,Screen Name ,User Name ,Tweet Created At,Tweet Text,User Location,Retweet Count,Retweeted,Phone Type,Favorite Count,Favorited ,Replied
0,ControlDynamic,Dynamic Pest Control,2021-08-05 10:24:20,"Pest bring not just discomfort but also diseases with them. Protect your family from those diseases, call to book a… https://t.co/l8HAXgcLgI",,0,False,Twitter for Android,0,False,None
1,__nilakshi,Nilakshi Basumatary,2021-08-03 07:11:41,That 1 week of rain in Delhi got me feeling so comfortable that I can’t handle the sun today. I’m inside my house a… https://t.co/05AKTVUVfA,India,0,False,Twitter for iPhone,0,False,None
2,GajendraRawat7,Gajendra Rawat,2021-08-02 16:09:33,Beautiful Sunday Morning in Delhi.            #DelhiRains #DelhiWeather #shotoniphone https://t.co/uak61SaNsB,,0,False,Twitter for iPhone,2,False,None
3,ControlDynamic,Dynamic Pest Control,2021-08-02 09:27:43,"Qoute of the day⬆️
Visit our website to learn more about pest control and our services 🌻⚡
.
.
#quotes #quotations… https://t.co/jflqOYUOK5",,0,False,Twitter for Android,1,False,None
4,Saurabh_968,सौरभ 🇮🇳,2021-08-01 09:54:50,"RT @TheFunjabiGuy: Thanku MC @ArvindKejriwal for turning Delhi Into Venice.

TMC @msisodia 😍😍😍

#DelhiRain #DelhiWeather https://t.co/8uwWf…","Patna, India",1,False,Twitter for Android,0,False,None
5,Zoom_News_India,Zoom News,2021-08-01 07:09:33,"Delhi: Heavy rains lash parts of Delhi-NCR, some areas waterlogged #DelhiRains #DelhiWeather #DelhiNCR https://t.co/N5jCqU7OIL",India,0,False,Twitter Web App,0,False,None
6,indiacom,India.com,2021-08-01 05:36:06,Air quality in #Delhi is now in the ‘good’ category as the capital recorded an overall AQI of 48 today. #DelhiRains… https://t.co/FUCJ17syQD,India,0,False,Twitter Web App,0,False,None
7,TheFunjabiGuy,What's In A Name,2021-08-01 05:05:43,"Thanku MC @ArvindKejriwal for turning Delhi Into Venice.

TMC @msisodia 😍😍😍

#DelhiRain #DelhiWeather https://t.co/8uwWfnTX86",,1,False,Twitter for Android,0,False,None
8,tenderheart_525,sunshine,2021-07-31 14:19:29,Dusk #delhiweather happy weekend https://t.co/2wuo2E2XhI,,0,False,Twitter for iPhone,0,False,None
9,MulayamNishadw1,Mulayam Nishadwanshi,2021-07-31 07:47:56,"RT @CentreLeak: New Delhi became world’s first smart city to have road side pools for rublic.
@rohit_chahal @LambaAlka 
#DelhiRains #delhiw…",,1,False,Twitter for Android,0,False,None
10,CentreLeak,News Leak Centre,2021-07-30 10:35:55,"New Delhi became world’s first smart city to have road side pools for rublic.
@rohit_chahal @LambaAlka 
#DelhiRains… https://t.co/OkKioGGk95","Noida, India",1,False,Twitter for iPhone,2,False,None
11,ControlDynamic,Dynamic Pest Control,2021-07-30 09:32:07,"This monsoon season, give the best gift to your home: protection from pests. Book our services today!
.
.
.… https://t.co/umuLKDe7Ik",,0,False,Twitter for Android,0,False,None
