,Screen Name ,User Name ,Tweet Created At,Tweet Text,User Location,Retweet Count,Retweeted,Phone Type,Favorite Count,Favorited ,Replied
0,tejassamel,Tejas A. Samel,2021-08-01 11:30:15,"RT @amolnwagle: Care is about empowering and not just enabling.

It's time to rebuild homes in #kokan and make our people capable again of…",Mumbai,31,False,Twitter for Android,0,False,None
1,Kiranshindes,Mystic Rider,2021-08-01 11:15:15,"RT @amolnwagle: Care is about empowering and not just enabling.

It's time to rebuild homes in #kokan and make our people capable again of…",,31,False,Twitter Web App,0,False,None
2,dumbre_tanmay,Tanmay Dumbre,2021-08-01 10:27:06,"RT @UYOBH26: We Thank All Our Donors, NSS DIT for coming forward for this noble cause. Lets stand together during hard times...
#flood #mah…",,1,False,Twitter for Android,0,False,None
3,UYOBH26,Unmukta Youth Organization,2021-08-01 10:26:51,"We Thank All Our Donors, NSS DIT for coming forward for this noble cause. Lets stand together during hard times...… https://t.co/gvUUXa2zzq",Pimpri-Chinchwad-Pune,1,False,Twitter for Android,2,False,None
4,BinduSi33056468,Bindu Singh,2021-08-01 07:55:23,"RT @amolnwagle: Care is about empowering and not just enabling.

It's time to rebuild homes in #kokan and make our people capable again of…",,31,False,Twitter for Android,0,False,None
5,ManakarAkshay,Akshay Mankar,2021-08-01 07:19:48,"ABVP student karyakartas always on frontline when society needs help! 

#ratnagiri #chiplunfloods #kokan #abvp… https://t.co/VggIH8JwZD",Maharashtra,0,False,Twitter Web App,1,False,None
6,sameernagothkar,समीर चंद्रकांत नागोठकर,2021-08-01 04:08:29,"RT @amolnwagle: Care is about empowering and not just enabling.

It's time to rebuild homes in #kokan and make our people capable again of…",pen raigad,31,False,Twitter for Android,0,False,None
7,Neetu25827063,Neetu Shankhan,2021-08-01 03:14:17,"RT @amolnwagle: Care is about empowering and not just enabling.

It's time to rebuild homes in #kokan and make our people capable again of…",,31,False,Twitter for Android,0,False,None
8,aol_shruu,Shruti Naik,2021-08-01 02:40:06,Let us donate to this cause and play our small role (from the shelters and comforts of our homes) by contributing t… https://t.co/9eltltjnpL,"Bengaluru, India",1,False,Twitter for Android,0,False,None
9,varanadsree,sreekumar,2021-08-01 02:04:06,"RT @amolnwagle: Care is about empowering and not just enabling.

It's time to rebuild homes in #kokan and make our people capable again of…",,31,False,Twitter for Android,0,False,None
10,kumarankodamana,kumaran kodamana,2021-08-01 00:01:52,"RT @amolnwagle: Care is about empowering and not just enabling.

It's time to rebuild homes in #kokan and make our people capable again of…",Ernakulam,31,False,Twitter for Android,0,False,None
11,drprema,Dr. Prema Seshadri🇮🇳,2021-07-31 23:31:17,"RT @amolnwagle: Care is about empowering and not just enabling.

It's time to rebuild homes in #kokan and make our people capable again of…","Bangalore, India",31,False,Twitter for iPhone,0,False,None
12,ChiragRajagopal,Aruna Rajagopal,2021-07-31 22:04:51,"RT @amolnwagle: Care is about empowering and not just enabling.

It's time to rebuild homes in #kokan and make our people capable again of…","Thane, India",31,False,Twitter for Android,0,False,None
13,NikitaMadaan3,Nikita Madaan,2021-07-31 17:54:21,"RT @amolnwagle: Care is about empowering and not just enabling.

It's time to rebuild homes in #kokan and make our people capable again of…","Mumbai, India",31,False,Twitter for Android,0,False,None
14,ShwetaSTikoo,Shweta,2021-07-31 17:33:18,"RT @amolnwagle: Care is about empowering and not just enabling.

It's time to rebuild homes in #kokan and make our people capable again of…","Bengaluru, Karnataka, India",31,False,Twitter for Android,0,False,None
15,FayzanK,Fayzan Faiyaz Ahmed Khan,2021-07-31 17:00:01,RT @FaiyazAhmed1961: #AIMIM Mumbai Unit's work of providing aid and relief to the #Kokan flood victims is going on. Soon all relief materia…,,50,False,Twitter for Android,0,False,None
16,SwamiVishwaroop,Swami Vishwaroop,2021-07-31 16:56:46,"RT @amolnwagle: Care is about empowering and not just enabling.

It's time to rebuild homes in #kokan and make our people capable again of…",India,31,False,Twitter for iPhone,0,False,None
