,Screen Name ,User Name ,Tweet Created At,Tweet Text,User Location,Retweet Count,Retweeted,Phone Type,Favorite Count,Favorited ,Replied
0,mohite_dhruv,Dhruv Monika Shivaji Mohite,2021-08-02 15:07:36,"Kolhapur as a city has gone through a lot in the last 3 years considering the COVID-19 pandemic, floods in 2019 and… https://t.co/0o7GdLfr4u","Kolhapur, India",0,False,Twitter for iPhone,2,False,1422212475810897927
1,AdvMaheshMohit2,Adv. Mahesh Mohite,2021-08-01 01:43:20,"RT @Dev_Fadnavis: I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…",,93,False,Twitter for Android,0,False,None
2,NehaKul39035104,Neha Kulkarni,2021-07-31 13:59:00,"RT @Dev_Fadnavis: I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…","Mumbai, India",93,False,Twitter for Android,0,False,None
3,PradipJ17289129,Pradip Jagtap,2021-07-31 13:57:47,"RT @Dev_Fadnavis: I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…",,93,False,Twitter for Android,0,False,None
4,sable_rajendra,Rajendra Sabale Patil,2021-07-31 13:20:28,"RT @Dev_Fadnavis: I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…",sambhajinagar,93,False,Twitter for Android,0,False,None
5,Yogesh_Gogawale,Yogesh Gogawale,2021-07-31 11:12:20,"RT @Dev_Fadnavis: I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…","Pune, India",93,False,Twitter for Android,0,False,None
6,parkhi_jaydeep,Jaydeep Parkhi,2021-07-31 10:54:49,"RT @Dev_Fadnavis: I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…","Pune, India",93,False,Twitter for Android,0,False,None
7,raidk011,Krishna Rai,2021-07-31 08:41:38,"RT @Dev_Fadnavis: I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…","Mumbai, India",93,False,Twitter for Android,0,False,None
8,sujitbhauthite,Sujitkumar Thite,2021-07-31 08:08:54,"RT @Dev_Fadnavis: I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…","Pune University, Pune",93,False,Twitter for Android,0,False,None
9,Dev_Fadanvis,Devendra Fadnavis Fan,2021-07-31 07:09:28,Dev_Fadnavis: I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and… https://t.co/JT7zf7yTdG,"Maharashtra State, India",0,False,IFTTT,1,False,None
10,vivaantastic,Vivaan,2021-07-31 06:54:15,"RT @KhadeBajirao: Crop damage is sign of danger to future Farming. Save my Farmers from unscientific developments. 
#Kolhapurfloods https:/…","Patna, India",7,False,Twitter for Android,0,False,None
11,LSamdurkar,Lalit Samdurkar,2021-07-31 06:47:50,"RT @Dev_Fadnavis: I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…",,93,False,Twitter for Android,0,False,None
12,SweetBiswas12,s Biswas,2021-07-31 05:56:59,"RT @Dev_Fadnavis: I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…",,93,False,Twitter for Android,0,False,None
13,DeepakChillal,Deepak Vitthal Chillal,2021-07-31 03:26:36,"RT @Dev_Fadnavis: I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…",,93,False,Twitter for Android,0,False,None
14,MeSharmaAnuj,Anuj Sharma - अनुज शर्मा,2021-07-31 03:05:25,"RT @Dev_Fadnavis: I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…","Versova, Mumbai",93,False,Twitter for Android,0,False,None
15,Yus90363,Javier Peña/Medellin Cartel/Sinaloa/Cali/Stan,2021-07-31 02:55:34,"RT @Dev_Fadnavis: I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…","Medellín, Colombia",93,False,Twitter for Android,0,False,None
16,IncAnubhav90,Anubhav Kumar,2021-07-31 02:45:40,"RT @KhadeBajirao: Crop damage is sign of danger to future Farming. Save my Farmers from unscientific developments. 
#Kolhapurfloods https:/…",,7,False,Twitter for Android,0,False,None
17,INC264BaraPrg,264 Bara Vidhansabha,2021-07-31 02:39:24,"RT @KhadeBajirao: Crop damage is sign of danger to future Farming. Save my Farmers from unscientific developments. 
#Kolhapurfloods https:/…",Bara Prayagraj Uttar Pradesh,7,False,Twitter for Android,0,False,None
18,INCDheeraj_SM,#AandolanJiviDheeraj Vishwakarma देVa,2021-07-31 02:22:10,"RT @KhadeBajirao: Crop damage is sign of danger to future Farming. Save my Farmers from unscientific developments. 
#Kolhapurfloods https:/…","Allahabad, India",7,False,Twitter for Android,0,False,None
19,aj20199,aj2019,2021-07-31 00:03:32,"RT @Dev_Fadnavis: I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…",,93,False,Twitter for Android,0,False,None
20,sagarbagul10,Sagar Bagul,2021-07-30 22:08:20,"RT @Dev_Fadnavis: I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…",Mumbai,93,False,Twitter for iPhone,0,False,None
21,ramki001,r ramakrishnan,2021-07-30 17:48:44,"RT @Dev_Fadnavis: I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…",Bahrain,93,False,Twitter for Android,0,False,None
22,Suraj31695283,Suraj,2021-07-30 17:36:34,"RT @Dev_Fadnavis: I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…",Malbar Hil,93,False,Twitter for Android,0,False,None
23,thehindu108,भारत भूमी के मराठा 🚩🇮🇳,2021-07-30 17:04:04,"RT @Dev_Fadnavis: I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…","विदर्भ, महाराष्ट्र",93,False,Twitter for Android,0,False,None
24,mipravindarekar,Pravin Darekar - प्रविण दरेकर,2021-07-30 16:55:27,"RT @Dev_Fadnavis: I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…","Maharashtra, India",93,False,Twitter for Android,0,False,None
25,mattykyrahul,K Y Rahul (Modiji se milna hai please 🙏🙏🙏,2021-07-30 16:55:02,"RT @Dev_Fadnavis: I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…","Nagpur, India",93,False,Twitter for Android,0,False,None
26,Devendra_Office,@OfficeOfDevendra,2021-07-30 16:45:25,"RT @Dev_Fadnavis: I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…","Maharashtra, India",93,False,Twitter for Android,0,False,None
27,arvind_joshi,🇮🇳Arvind Joshi🇮🇳,2021-07-30 16:36:41,"RT @Dev_Fadnavis: I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…",#VijayiBharat,93,False,Twitter for Android,0,False,None
28,ShreyashBJYM,Shreyash kumbhare,2021-07-30 16:28:36,"RT @Dev_Fadnavis: I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…","Nagpur, India",93,False,Twitter for Android,0,False,None
29,deepakpohekar,Deepak Pohekar,2021-07-30 16:24:31,"RT @Dev_Fadnavis: I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…","Amravati, India",93,False,Twitter for Android,0,False,None
30,UmeshchandraB,Umeshchandra Bhosale's Office.,2021-07-30 16:07:51,"RT @Dev_Fadnavis: I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…","Nashik, India",93,False,Twitter for Android,0,False,None
31,SUDHIRKUMARNANA,SUDHIR REDDY,2021-07-30 16:07:20,"RT @Dev_Fadnavis: I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…",VISAKHAPATNAM ,93,False,Twitter for Android,0,False,None
32,Vaibhav_bjp4,Vaibhav Mankar,2021-07-30 16:07:17,"RT @Dev_Fadnavis: I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…","Nagpur, India",93,False,Twitter for Android,0,False,None
33,Shubham61749445,Shubham Ghatare,2021-07-30 16:07:09,"RT @Dev_Fadnavis: I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…",Nagpur,93,False,Twitter for Android,0,False,None
34,RajBans43184468,Raj Bansode,2021-07-30 16:05:37,"RT @Dev_Fadnavis: I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…",,93,False,Twitter for iPhone,0,False,None
35,EkVishwa,#Bharat-Ek VishwaGuru🇮🇳,2021-07-30 16:04:43,"RT @Dev_Fadnavis: I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…",,93,False,Twitter for Android,0,False,None
36,sachinrbjp3555,sachin.s.rathod (सचिन.एस.राठोड),2021-07-30 16:04:19,"RT @Dev_Fadnavis: I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…","Mumbai, India",93,False,Twitter for Android,0,False,None
37,InnovativeHindu,Innovative Hindu 🇮🇳,2021-07-30 16:03:30,"RT @Dev_Fadnavis: I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…",Bharat ,93,False,Twitter for Android,0,False,None
38,mishrag1986,Gaurav Mishra BJPUP,2021-07-30 16:02:20,"RT @Dev_Fadnavis: I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…","उत्तर प्रदेश, भारत",93,False,Twitter for Android,0,False,None
39,Gunwagh,Gunvant Waghulde,2021-07-30 16:01:46,"RT @Dev_Fadnavis: I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…","Maharashtra, India",93,False,Twitter for Android,0,False,None
40,GosaviPtashant,Prashant k Gosavi,2021-07-30 15:56:24,"RT @Dev_Fadnavis: I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…","Nashik, India",93,False,Twitter for Android,0,False,None
41,BJP4Maharashtra,भाजपा महाराष्ट्र,2021-07-30 15:56:12,"RT @Dev_Fadnavis: I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…",महाराष्ट्र,93,False,TweetDeck,0,False,None
