,Screen Name ,User Name ,Tweet Created At,Tweet Text,User Location,Retweet Count,Retweeted,Phone Type,Favorite Count,Favorited ,Replied
0,RetweetsMumbai,Mumbai News & Retweets,2021-08-05 18:37:59,"RT @PneumaThe: #Rainy #Vibes Check🌧⛈ 

#mumbaiweather #mumbai #green #macro #Twitter https://t.co/Ixt79LfqRI",Mumbai,1,False,RetweetsMumbaiOne,0,False,None
1,PneumaThe,Parth Jitendra Sathe,2021-08-05 18:35:42,"#Rainy #Vibes Check🌧⛈ 

#mumbaiweather #mumbai #green #macro #Twitter https://t.co/Ixt79LfqRI","Mumbai, India",1,False,Twitter for Android,1,False,None
2,IamAishwary007,Thakur Aishwary Somvanshi,2021-08-05 13:56:35,"@RanveerOfficial to @deepikapadukone : Socho ki jheelo me shehar ho, Lahro me apna ghar ho🙄...

@deepikapadukone to… https://t.co/EA5eBO6xFH","Noida, Uttar Pradesh",0,False,Twitter for Android,0,False,None
3,viralvm69,viral mehta,2021-08-05 13:20:04,RT @mybmc: #MumbaiWeather Forecast Aug 5 : Light to moderate rain in city and suburbs with occasional intense spells. Possibility of occasi…,"Mumbai, India",8,False,Twitter for Android,0,False,None
4,RetweetsMumbai,Mumbai News & Retweets,2021-08-05 08:07:13,"RT @ZamorinofBombay: This picture says a lot about Bombay as a city.
#tourswithconscience #connectingtheworld #attentiontodetail #familytou…",Mumbai,1,False,RetweetsMumbaiOne,0,False,None
5,ZamorinofBombay,Zamorin of Bombay City Adventures,2021-08-05 08:05:34,"This picture says a lot about Bombay as a city.
#tourswithconscience #connectingtheworld #attentiontodetail… https://t.co/FDf86fU7Lu","Mumbai, India",1,False,Twitter for Android,1,False,None
6,SinhaNishit,Nishit Piyush Sinha,2021-08-05 07:46:49,RT @mybmc: #MumbaiWeather Forecast Aug 5 : Light to moderate rain in city and suburbs with occasional intense spells. Possibility of occasi…,,8,False,Twitter for Android,0,False,None
7,MayurSawant3093,Mayur Sawant,2021-08-05 07:10:20,RT @mybmc: #MumbaiWeather Forecast Aug 5 : Light to moderate rain in city and suburbs with occasional intense spells. Possibility of occasi…,"Mumbai, India",8,False,Twitter for Android,0,False,None
8,PrimeLandConst1,Prime Land Constructions,2021-08-05 06:37:51,Come home to where your heart belongs where the chirping birds will be your neighbors and you will have people who… https://t.co/UvHoChPCex,,0,False,Twitter Web App,0,False,1423171368636477444
9,RajuAdsul,Raju Sudam Adsul राजु सुदाम अडसुळ,2021-08-05 06:25:17,RT @mybmc: #MumbaiWeather Forecast Aug 5 : Light to moderate rain in city and suburbs with occasional intense spells. Possibility of occasi…,,8,False,Twitter for Android,0,False,None
10,Rathod63633574,Rathod Reeta,2021-08-05 06:07:44,RT @mybmc: #MumbaiWeather Forecast Aug 5 : Light to moderate rain in city and suburbs with occasional intense spells. Possibility of occasi…,"Mumbai, India",8,False,Twitter for Android,0,False,None
11,OmkarKamble898,ओमकार संगिता रंगनाथ कांबळे,2021-08-05 06:01:47,RT @mybmc: #MumbaiWeather Forecast Aug 5 : Light to moderate rain in city and suburbs with occasional intense spells. Possibility of occasi…,"Borivali West, Mumbai",8,False,Twitter for Android,0,False,None
12,RavionlineRk,RK,2021-08-05 05:56:22,RT @mybmc: #MumbaiWeather Forecast Aug 5 : Light to moderate rain in city and suburbs with occasional intense spells. Possibility of occasi…,India,8,False,Twitter Web App,0,False,None
13,mybmc,"माझी Mumbai, आपली BMC",2021-08-05 05:50:22,#MumbaiWeather Forecast Aug 5 : Light to moderate rain in city and suburbs with occasional intense spells. Possibil… https://t.co/T7WpWK449q,"Mumbai, India",8,False,Twitter Web App,46,False,None
14,RetweetsMumbai,Mumbai News & Retweets,2021-08-05 05:40:47,"RT @heychiku: Morning walk in the middle of Mumbai City 🌆 is like listening alarm snooze around rather than chirping with birds✌️
#mumbai #…",Mumbai,1,False,RetweetsMumbaiOne,0,False,None
15,heychiku,Chirag Panchal,2021-08-05 05:37:03,Morning walk in the middle of Mumbai City 🌆 is like listening alarm snooze around rather than chirping with birds✌️… https://t.co/C0vuSdvj4Y,"Mumbai, India",1,False,Twitter for iPhone,1,False,None
16,MyMumbaiWeather,My Mumbai Weather,2021-08-05 05:08:09,#MumbaiWeather Cloudy today! With a high of 30C and a low of 27C.,"Mumbai, India",0,False,IFTTT,0,False,None
17,iamsdadia,Shreyans,2021-08-05 02:31:29,"#MumbaiWeather - Sunrise: August 5, 2021 at 06:16AM Cloudy today! With a high of: 30C and a low of:27C #DailyUpdate #WeatherReports",Mumbai,0,False,IFTTT,0,False,None
18,RetweetsMumbai,Mumbai News & Retweets,2021-08-04 13:18:29,RT @priyankasareen1: meanwhile this happens when u decide to take a break and go for a walk #MumbaiRains #MumbaiWeather #evening #walking #…,Mumbai,1,False,RetweetsMumbaiOne,0,False,None
19,priyankasareen1,Priyanka Sareen,2021-08-04 13:15:32,meanwhile this happens when u decide to take a break and go for a walk #MumbaiRains #MumbaiWeather #evening… https://t.co/B9QNVGmlgJ,"Mumbai, India",1,False,Twitter for iPhone,4,False,None
20,RajuAdsul,Raju Sudam Adsul राजु सुदाम अडसुळ,2021-08-04 10:51:17,RT @mybmc: #MumbaiWeather Forecast Aug 1: LIGHT TO MODERATE RAIN IN CITY AND SUBURBS; POSSIBILITY OF OCCASSIONAL INTENSE SPELLS. OCCASIONAL…,,8,False,Twitter for Android,0,False,None
21,RajuAdsul,Raju Sudam Adsul राजु सुदाम अडसुळ,2021-08-04 10:50:35,RT @mybmc: #MumbaiWeather Forecast Aug 2 : LIGHT TO MODERATE RAIN IN CITY AND SUBURBS; POSSIBILITY OF OCCASSIONAL INTENSE SPELL. OCCASSIONA…,,6,False,Twitter for Android,0,False,None
22,RajuAdsul,Raju Sudam Adsul राजु सुदाम अडसुळ,2021-08-04 10:48:57,RT @mybmc: #MumbaiWeather Forecast Aug 3 : LIGHT TO MODERATE RAIN IN CITY AND SUBURBS; POSSIBILITY OF OCCASSIONAL INTENSE SPELL. OCCASSIONA…,,9,False,Twitter for Android,0,False,None
23,RajuAdsul,Raju Sudam Adsul राजु सुदाम अडसुळ,2021-08-04 10:47:16,RT @mybmc: #MumbaiWeather Forecast Aug 4 :  LIGHT TO MODERATE RAIN IN CITY AND SUBURBS; POSSIBILITY OF OCCASIONAL INTENSE SPELLS. OCCASSION…,,7,False,Twitter for Android,0,False,None
