,Screen Name ,User Name ,Tweet Created At,Tweet Text,User Location,Retweet Count,Retweeted,Phone Type,Favorite Count,Favorited ,Replied
0,rajankumarngr,Rajan Kumar 🇮🇳,2021-08-04 16:38:45,RT @harjeetwadhwa: Request you to please share this so that it can help #Flood Area's and People in #kolhapurflood #KonkanFloods #satararai…,,1,False,Twitter for Android,0,False,None
1,harjeetwadhwa,Er. Harjeetsingh Wadhwa,2021-08-04 16:25:24,Request you to please share this so that it can help #Flood Area's and People in #kolhapurflood #KonkanFloods… https://t.co/COi1Z06932,Ahmednagar,1,False,Twitter for Android,2,False,None
2,VaibhavBW,Vaibhav Walunj,2021-08-04 12:10:21,"The interception to the feeds is breakdown of allocations via Centre and State Govt.
Additionally, with changed mon… https://t.co/BysqMYRgvY",🌍,0,False,Twitter Web App,0,False,None
3,KavitaP_,Indian,2021-08-03 04:32:47,When CM is free going for trip without taking food for them. Funny . Any NGO will also carry food when meet.… https://t.co/dFTEqn7F8u,"Hyderabad, India",0,False,Twitter for Android,0,False,None
4,sudhakrbhalerao,Sudhakar Bhalerao,2021-08-02 06:35:04,"RT @Dev_Fadnavis: 📍Kolhapur :
Yesterday, visited Narasimhawadi in Kolhapur district to see the damages &amp; meet flood hit people. Look at the…",udgir,286,False,Twitter for Android,0,False,None
5,Sanjeev7184,Sanjeev jadhav,2021-08-02 02:37:05,RT @shanpati: Worried about Your car submerged in flood waters? Look no further. Here is the link to the information to claim Your insuranc…,Thane,11,False,Twitter for Android,0,False,None
6,alhadpatil,eth_ere_Al,2021-08-02 01:14:58,RT @shanpati: Worried about Your car submerged in flood waters? Look no further. Here is the link to the information to claim Your insuranc…,Belgaum,11,False,Twitter for iPhone,0,False,None
7,pratikpatilll,प्रतिक पाटील 🇮🇳,2021-08-01 17:12:15,RT @shanpati: Worried about Your car submerged in flood waters? Look no further. Here is the link to the information to claim Your insuranc…,"Palghar, Maharashtra, India",11,False,Twitter for Android,0,False,None
8,SatamShrilekha,Shrilekha Satam,2021-08-01 17:03:43,RT @shanpati: Worried about Your car submerged in flood waters? Look no further. Here is the link to the information to claim Your insuranc…,,11,False,Twitter for iPhone,0,False,None
9,satejp,Satej (Bunty) D. Patil,2021-08-01 16:48:42,RT @shanpati: Worried about Your car submerged in flood waters? Look no further. Here is the link to the information to claim Your insuranc…,Kolhapur,11,False,Twitter for Android,0,False,None
10,MTigdolli,Manjunath Tigdolli,2021-08-01 15:37:23,RT @shanpati: Worried about Your car submerged in flood waters? Look no further. Here is the link to the information to claim Your insuranc…,,11,False,Twitter for Android,0,False,None
11,Aapalkolhapur,आपलं कोल्हापूर,2021-08-01 15:34:05,RT @shanpati: Worried about Your car submerged in flood waters? Look no further. Here is the link to the information to claim Your insuranc…,आपलं कोल्हापूर,11,False,Twitter for Android,0,False,None
12,bharatias,Bharati Sahasrabudhe,2021-08-01 15:22:15,RT @shanpati: Worried about Your car submerged in flood waters? Look no further. Here is the link to the information to claim Your insuranc…,"Mumbai, India",11,False,Twitter for Android,0,False,None
13,BelagaviForum,Belagavi Forum 🇮🇳,2021-08-01 14:50:32,RT @shanpati: Worried about Your car submerged in flood waters? Look no further. Here is the link to the information to claim Your insuranc…,,11,False,Twitter for Android,0,False,None
14,belagavi_news,•Belagavi News|बेलगावि समाचार|ಬೆಳಗಾವಿ ಸುದ್ದಿ•🇮🇳,2021-08-01 14:49:18,RT @shanpati: Worried about Your car submerged in flood waters? Look no further. Here is the link to the information to claim Your insuranc…,"Belgaum, India",11,False,Twitter for Android,0,False,None
15,AshwinPatil1108,Ashwin Patil 🇮🇳,2021-08-01 14:48:32,RT @shanpati: Worried about Your car submerged in flood waters? Look no further. Here is the link to the information to claim Your insuranc…,"467 Sheri Galli Belgaum
",11,False,Twitter for Android,0,False,None
16,shanpati,Shantanu's Weather Updates MH / KA / GOA,2021-08-01 14:42:57,Worried about Your car submerged in flood waters? Look no further. Here is the link to the information to claim You… https://t.co/hxDgY9MDCq,Kolhapur and Mumbai,11,False,Twitter for Android,30,False,None
17,TeamSwwapnil,Team Swapnil,2021-08-01 10:51:18,RT @swwapniljoshi: Pls spread the word ! #KolhapurFlood #KonkanFloods,,12,False,Twitter for Android,0,False,None
18,fpjindia,Free Press Journal,2021-08-01 08:46:12,Maharashtra: Devendra Fadnavis seeks all-party meet to discuss long-term measures for flood management… https://t.co/VuCyUOHbpo,India,0,False,Twitter Web App,0,False,None
19,AshwinPatil1108,Ashwin Patil 🇮🇳,2021-08-01 07:24:55,"RT @shanpati: Holding Good!! 

Open weather conditions to continue till evening. No rains. 

#kolhapurflood #Kolhapur #Belgaum","467 Sheri Galli Belgaum
",1,False,Twitter for Android,0,False,None
20,shanpati,Shantanu's Weather Updates MH / KA / GOA,2021-08-01 07:21:13,"Holding Good!! 

Open weather conditions to continue till evening. No rains. 

#kolhapurflood #Kolhapur #Belgaum https://t.co/ZnJP1x0vtg",Kolhapur and Mumbai,1,False,Twitter for Android,10,False,None
21,RetweetsMumbai,Mumbai News & Retweets,2021-08-01 04:50:20,"RT @grace_entertain: Desi girl mode on! 
@Chitraganda #mumbai  #entertainmentnews #kolhapurflood 

https://t.co/dcVI2bIGDF https://t.co/auJ…",Mumbai,1,False,RetweetsMumbaiOne,0,False,None
22,grace_entertain,Grace Entertainment,2021-08-01 04:49:42,"Desi girl mode on! 
@Chitraganda #mumbai  #entertainmentnews #kolhapurflood 

https://t.co/dcVI2bIGDF https://t.co/auJ00klirQ",Mumbai,1,False,Twitter Web App,0,False,None
23,AdvMaheshMohit2,Adv. Mahesh Mohite,2021-08-01 01:40:55,"RT @Dev_Fadnavis: 📍Kolhapur :
Yesterday, visited Narasimhawadi in Kolhapur district to see the damages &amp; meet flood hit people. Look at the…",,286,False,Twitter for Android,0,False,None
24,bjymm217,BJYM217,2021-07-31 20:41:24,"RT @Dev_Fadnavis: 📍Kolhapur :
Yesterday, visited Narasimhawadi in Kolhapur district to see the damages &amp; meet flood hit people. Look at the…",,286,False,Twitter for Android,0,False,None
25,pradeepmagare,Pradeep,2021-07-31 16:07:08,"This is dedicated to all the political parties and our elected, non elected, prospect leaders. U r the one who has… https://t.co/1VZZNvPckJ",Mumbai,0,False,Twitter for Android,1,False,None
26,Rajeshk74805051,Rajesh kurup,2021-07-31 11:09:00,"RT @tanmay_shinde99: Multiple parts of the Indian state of Maharashtra are devastated by floods..
Visuals from Kolhapur India..
Massive flo…",,10,False,Twitter for Android,0,False,None
27,parkhi_jaydeep,Jaydeep Parkhi,2021-07-31 10:55:43,"RT @Dev_Fadnavis: 📍Kolhapur :
Yesterday, visited Narasimhawadi in Kolhapur district to see the damages &amp; meet flood hit people. Look at the…","Pune, India",286,False,Twitter for Android,0,False,None
28,raidk011,Krishna Rai,2021-07-31 08:39:58,"RT @Dev_Fadnavis: 📍Kolhapur :
Yesterday, visited Narasimhawadi in Kolhapur district to see the damages &amp; meet flood hit people. Look at the…","Mumbai, India",286,False,Twitter for Android,0,False,None
29,AkilShipra17_02,Akil shipra🇮🇳 ( BACKUP),2021-07-31 07:37:16,"RT @ShipraMohsin: #flood 
#reliefwork 
#floodreliefwork
#kolhapurflood 
@PFI_Maharashtra 
@PFIOfficial 
@maha_tourism 
@TimesNow 
@thewire_…","Mumbai, India",24,False,Twitter for Android,0,False,None
30,ParabPrarambh,PrarambhParab,2021-07-31 06:00:51,"RT @Dev_Fadnavis: 📍Kolhapur :
Yesterday, visited Narasimhawadi in Kolhapur district to see the damages &amp; meet flood hit people. Look at the…",,286,False,Twitter for Android,0,False,None
31,ImFaiz_07,🇮🇳Baseri Faiz بشیری فیض,2021-07-31 05:05:27,"Pray for Kolhapur &amp; Chiplun🙏😞
My prayers for everyone human, animal and plants in Maharashtra 

#kolhapurflood… https://t.co/fSbobmNwl4",I ❤️ India,0,False,Twitter for Android,0,False,None
32,MRadiowala,M Shamim Maniyar (Radiowala),2021-07-31 04:59:54,"RT @Dev_Fadnavis: 📍Kolhapur :
Yesterday, visited Narasimhawadi in Kolhapur district to see the damages &amp; meet flood hit people. Look at the…","मुंबई, भारत",286,False,Twitter for Android,0,False,None
33,KerkarVirendra,Virendra Kerkar,2021-07-31 03:40:40,"RT @Dev_Fadnavis: 📍Kolhapur :
Yesterday, visited Narasimhawadi in Kolhapur district to see the damages &amp; meet flood hit people. Look at the…",,286,False,Twitter for Android,0,False,None
34,SureshP53677915,Suresh Patel,2021-07-31 03:25:23,"RT @Dev_Fadnavis: 📍Kolhapur :
Yesterday, visited Narasimhawadi in Kolhapur district to see the damages &amp; meet flood hit people. Look at the…","Mumbai, India",286,False,Twitter for Android,0,False,None
35,MeSharmaAnuj,Anuj Sharma - अनुज शर्मा,2021-07-31 03:04:15,"RT @Dev_Fadnavis: 📍Kolhapur :
Yesterday, visited Narasimhawadi in Kolhapur district to see the damages &amp; meet flood hit people. Look at the…","Versova, Mumbai",286,False,Twitter for Android,0,False,None
36,im_mayurkothari,Mayur M Kothari,2021-07-31 02:08:40,"RT @Dev_Fadnavis: 📍Kolhapur :
Yesterday, visited Narasimhawadi in Kolhapur district to see the damages &amp; meet flood hit people. Look at the…",India,286,False,Twitter for Android,0,False,None
37,LalimaSony,Lalima Mishra Sony,2021-07-30 20:17:03,"RT @Dev_Fadnavis: 📍Kolhapur :
Yesterday, visited Narasimhawadi in Kolhapur district to see the damages &amp; meet flood hit people. Look at the…",Balia Uttar Pradesh,286,False,Twitter for Android,0,False,None
38,Jayeshshewale,Jayesh Shewale 🇮🇳,2021-07-30 19:51:31,"RT @Dev_Fadnavis: 📍Kolhapur :
Yesterday, visited Narasimhawadi in Kolhapur district to see the damages &amp; meet flood hit people. Look at the…","Jalgaon & Bengaluru, India",286,False,Twitter for Android,0,False,None
39,mishrag1986,Gaurav Mishra BJPUP,2021-07-30 19:41:31,"RT @Dev_Fadnavis: 📍Kolhapur :
Yesterday, visited Narasimhawadi in Kolhapur district to see the damages &amp; meet flood hit people. Look at the…","उत्तर प्रदेश, भारत",286,False,Twitter for Android,0,False,None
40,Poojasawant95,Pooja Sawant,2021-07-30 18:48:09,RT @swwapniljoshi: Pls spread the word ! #KolhapurFlood #KonkanFloods,"Mumbai, India",12,False,Twitter for Android,0,False,None
41,sachinrbjp3555,sachin.s.rathod (सचिन.एस.राठोड),2021-07-30 18:25:05,"RT @Dev_Fadnavis: 📍Kolhapur :
Yesterday, visited Narasimhawadi in Kolhapur district to see the damages &amp; meet flood hit people. Look at the…","Mumbai, India",286,False,Twitter for Android,0,False,None
42,devasamarthak,देवा भाऊ समर्थक,2021-07-30 18:17:05,"RT @Dev_Fadnavis: 📍Kolhapur :
Yesterday, visited Narasimhawadi in Kolhapur district to see the damages &amp; meet flood hit people. Look at the…",,286,False,Twitter for Android,0,False,None
43,sharadgawade195,SHARAD GAVADE,2021-07-30 17:47:58,"RT @Dev_Fadnavis: 📍Kolhapur :
Yesterday, visited Narasimhawadi in Kolhapur district to see the damages &amp; meet flood hit people. Look at the…","Kolhapur, Maharashtra",286,False,Twitter for Android,0,False,None
44,GRajput95,SUGAR PROHIBITION ACTIVIST,2021-07-30 17:22:01,"RT @Dev_Fadnavis: 📍Kolhapur :
Yesterday, visited Narasimhawadi in Kolhapur district to see the damages &amp; meet flood hit people. Look at the…",,286,False,Twitter for Android,0,False,None
45,Chankya16517155,Chankya,2021-07-30 16:41:03,"RT @Dev_Fadnavis: 📍Kolhapur :
Yesterday, visited Narasimhawadi in Kolhapur district to see the damages &amp; meet flood hit people. Look at the…",,286,False,Twitter for Android,0,False,None
46,dbmahadik,Dhananjay Mahadik,2021-07-30 16:37:53,"RT @Dev_Fadnavis: 📍Kolhapur :
Yesterday, visited Narasimhawadi in Kolhapur district to see the damages &amp; meet flood hit people. Look at the…","Kolhapur, India",286,False,Twitter for Android,0,False,None
47,SwapnilRaje2705,Swapnil Bhosale,2021-07-30 16:36:14,"RT @Dev_Fadnavis: 📍Kolhapur :
Yesterday, visited Narasimhawadi in Kolhapur district to see the damages &amp; meet flood hit people. Look at the…",Pune,286,False,Twitter for Android,0,False,None
48,swwapnil_fc,Swapnil Joshi FC,2021-07-30 16:16:51,RT @swwapniljoshi: Pls spread the word ! #KolhapurFlood #KonkanFloods,"Mumbai, India",12,False,Twitter for Android,0,False,None
49,raghunath_parab,Raghunath Parab,2021-07-30 16:01:00,"RT @Dev_Fadnavis: 📍Kolhapur :
Yesterday, visited Narasimhawadi in Kolhapur district to see the damages &amp; meet flood hit people. Look at the…","Mumbai, India",286,False,Twitter for Android,0,False,None
50,Shrikan87273508,Shrikant Tiwari,2021-07-30 15:42:27,"RT @Dev_Fadnavis: 📍Kolhapur :
Yesterday, visited Narasimhawadi in Kolhapur district to see the damages &amp; meet flood hit people. Look at the…","Palghar, India",286,False,Twitter for Android,0,False,None
51,Sameer754961577,Sameer Dhuri,2021-07-30 15:35:31,"RT @Dev_Fadnavis: 📍Kolhapur :
Yesterday, visited Narasimhawadi in Kolhapur district to see the damages &amp; meet flood hit people. Look at the…",,286,False,Twitter for Android,0,False,None
52,vchalukya,vrushali chalukya,2021-07-30 15:21:12,"RT @Dev_Fadnavis: 📍Kolhapur :
Yesterday, visited Narasimhawadi in Kolhapur district to see the damages &amp; meet flood hit people. Look at the…","Pune, India",286,False,Twitter for iPhone,0,False,None
53,sachinac895,Sachin Choudhary,2021-07-30 14:47:35,"RT @Dev_Fadnavis: 📍Kolhapur :
Yesterday, visited Narasimhawadi in Kolhapur district to see the damages &amp; meet flood hit people. Look at the…","New Delhi, India",286,False,Twitter for Android,0,False,None
54,real_smrpandit,Smriti Pandit,2021-07-30 14:35:43,"RT @india_zariya: Relief material for #kolhapurflood #Maharashtra 

Pls help us do more 

GPay or Paytm +917030508222
Bank transfer - Jariy…","Orissa, India",4,False,Twitter for Android,0,False,None
55,Agarwal1Puneet,Puneet,2021-07-30 14:16:23,"RT @Dev_Fadnavis: 📍Kolhapur :
Yesterday, visited Narasimhawadi in Kolhapur district to see the damages &amp; meet flood hit people. Look at the…","Noida, India",286,False,Twitter for Android,0,False,None
56,dinkar9_dinkar,Dinkar@9,2021-07-30 14:13:10,"RT @Dev_Fadnavis: 📍Kolhapur :
Yesterday, visited Narasimhawadi in Kolhapur district to see the damages &amp; meet flood hit people. Look at the…",,286,False,Twitter Web App,0,False,None
57,iKaranSharma99,KARAN SHARMA,2021-07-30 13:26:06,"RT @Dev_Fadnavis: 📍Kolhapur :
Yesterday, visited Narasimhawadi in Kolhapur district to see the damages &amp; meet flood hit people. Look at the…","Mumbai, Amravati, Bikaner ",286,False,Twitter for Android,0,False,None
58,akmehta63,akmehta,2021-07-30 13:14:15,"RT @Dev_Fadnavis: 📍Kolhapur :
Yesterday, visited Narasimhawadi in Kolhapur district to see the damages &amp; meet flood hit people. Look at the…",,286,False,Twitter for Android,0,False,None
59,AkshayBhade5,Akshay Bhade (अक्षय भदे) 🇮🇳,2021-07-30 12:55:53,"RT @Dev_Fadnavis: 📍Kolhapur :
Yesterday, visited Narasimhawadi in Kolhapur district to see the damages &amp; meet flood hit people. Look at the…","Pune, Maharashtra State, INDIA",286,False,Twitter for Android,0,False,None
