,Screen Name ,User Name ,Tweet Created At,Tweet Text,User Location,Retweet Count,Retweeted,Phone Type,Favorite Count,Favorited ,Replied
0,PrabhaKiran11,Prabha Kiran,2020-02-18 14:00:13,RT @AstroAmigo: AAP MLA shared a single tweet of conducting Sundar Kand Path on first Tuesday of every month and it seems to have triggered…,"New Delhi, India",15,False,Twitter for iPhone,0,False,None
1,sidhart84477903,Sourabh (Sidheart ❤️),2020-02-18 14:00:12,"RT @premchavan444: AAP Sab Kahan Se Ho Sidhearts ?

Note : Comment Using Tag Everyone 

#WeMissYouSid",,16,False,Twitter for Android,0,False,None
2,AgrimaV,Agrima Vrishni,2020-02-18 14:00:11,"RT @OfficialSidNaaz: ** Tell me kya kar rhe ho aap log ?? **

I'm just standing and tweeting !!
And hoping Sana sees that we're trending fo…",,513,False,Twitter Web App,0,False,None
3,PoonamK28490861,Poonam (love Sana),2020-02-18 14:00:10,"RT @OfficialSidNaaz: ** Tell me kya kar rhe ho aap log ?? **

I'm just standing and tweeting !!
And hoping Sana sees that we're trending fo…",,513,False,Twitter for Android,0,False,None
4,sidshuklalover,❣AISHWARYA KASHIV🤴#SidHearts🤴❣,2020-02-18 14:00:09,"RT @Being_Aman_: We r on 4th Position again...

Ab Neeche Mat Jaane Do....
RT Karo ...apne dusre account se..
Meine sare apne tweets abhi .…","Madhya Pradesh, India",342,False,Twitter for Android,0,False,None
5,Akshayr22690895,Akshay rai,2020-02-18 14:00:07,"RT @OfficialSidNaaz: ** Tell me kya kar rhe ho aap log ?? **

I'm just standing and tweeting !!
And hoping Sana sees that we're trending fo…",,513,False,Twitter Web App,0,False,None
6,Ali__khann,Ali khan,2020-02-18 14:00:06,"@fawadchaudhry Aap ka kaam Pakistan to teek krna hai, Better to do ur job here.
Ur Govt should Do something for chi… https://t.co/4V26Wjqsmd",Pakistan | China,0,False,Twitter for iPhone,0,False,1229403395959742465
7,vijetas52837312,vijeta sharma,2020-02-18 14:00:05,"RT @OfficialSidNaaz: ** Tell me kya kar rhe ho aap log ?? **

I'm just standing and tweeting !!
And hoping Sana sees that we're trending fo…",,513,False,Twitter for iPhone,0,False,None
8,riyaban22135394,riya bansal,2020-02-18 14:00:05,"RT @OfficialSidNaaz: ** Tell me kya kar rhe ho aap log ?? **

I'm just standing and tweeting !!
And hoping Sana sees that we're trending fo…","Chandigarh, India",513,False,Twitter for Android,0,False,None
9,Mihir_2321,Mihir Patel,2020-02-18 14:00:04,"RT @MeetPat65165557: Aap Konse Level Ke Sid Fan Ho?? 
Vote Karo Fast
And To or Result 2 din me mile ga
So RT MAXIMUM and Share in groups 
#…","Ahmadabad City, India",1,False,Twitter for Android,0,False,None
10,IngleManasi,Manasi Ingle,2020-02-18 14:00:03,"RT @OfficialSidNaaz: ** Tell me kya kar rhe ho aap log ?? **

I'm just standing and tweeting !!
And hoping Sana sees that we're trending fo…",pune,513,False,Twitter for Android,0,False,None
11,Bashira84117529,only for shehnaaz,2020-02-18 14:00:02,"RT @OfficialSidNaaz: ** Tell me kya kar rhe ho aap log ?? **

I'm just standing and tweeting !!
And hoping Sana sees that we're trending fo…",India Mumbai ,513,False,Twitter for Android,0,False,None
12,syedsaad797,Saad Bukhari,2020-02-18 14:00:01,"RT @NJLahori: Beta. Asalamalaikum. Main aap ki Ami ke umar ki hooN.
She must have spent good money on teaching you deen, educating you, giv…",Pakistan,228,False,Twitter for Android,0,False,None
13,CNNnews18,News18,2020-02-18 14:00:01,"#AAPHindutvaPitch -- AAP counters BJP with 'Hanuman bhakti' post polls.

Watch #NewsEpicentre with @maryashakil at… https://t.co/r6nLuuez7Y",India,0,False,Twitter Media Studio,0,False,None
14,TheQuint,The Quint,2020-02-18 14:00:00,"Blogs | ""It is over to Delhi CM Arvind Kejriwal now to maximise the momentum and take quick advantage of his newfou… https://t.co/tvS1TNupFq",,0,False,TweetDeck,0,False,None
15,TheQuint,The Quint,2020-02-18 14:00:00,".@prashantkishor launches 'youth movement' for Bihar's progress, says it isn't aimed at Assembly polls. But reading… https://t.co/QHzQNVeyNX",,0,False,TweetDeck,0,False,None
16,MunshiJamindar,Munshi Branded Bachha #प्रशासक_समिति #TPN #KRT,2020-02-18 13:59:57,"RT @Shuchi4India: #Britishers: Got trading powers with help of Indians who bought foreign goods because of cheaper rates.

#Kejriwal: Got r…","Mau, India",1,False,Twitter for Android,0,False,None
17,__whisk__,Callmehisfan💚,2020-02-18 13:59:56,"RT @Punam39141899: @MehakBhatti15 Mehak behen I love you jese you are supporting Sidnaazians 
Bahaduri tab hai jab aap kisi kamjor k sath h…",,2,False,Twitter for Android,0,False,None
18,RahulTi51095605,Rahul Tiwari,2020-02-18 13:59:56,RT @VikasSi20049472: we want sidnaz  in seriel #FansDemandSidNaazShow @ColorsTV walo se nhi ho payga shyd @StarPlus @SonyTV @ZeeTV  aap kuc…,,16,False,Twitter for Android,0,False,None
19,ChinVij,Richi~ SidHeart ❤️,2020-02-18 13:59:54,"RT @KSidheart: U r overthinking
In future esa kbhi hua..tb dekhenge na
#WeMissYouSid
Itni bdi baat na bolo pls
Qki show end ho chuka h
Time…","Mumbai, India",78,False,Twitter for iPhone,0,False,None
20,sardarhasanaly,sardar hasan alikhan,2020-02-18 13:59:53,"RT @NJLahori: Beta. Asalamalaikum. Main aap ki Ami ke umar ki hooN.
She must have spent good money on teaching you deen, educating you, giv…","London, England",228,False,Twitter for iPhone,0,False,None
21,Savi10697163,Flipper 💜(savi),2020-02-18 13:59:53,"RT @OfficialSidNaaz: ** Tell me kya kar rhe ho aap log ?? **

I'm just standing and tweeting !!
And hoping Sana sees that we're trending fo…",,514,False,Twitter for Android,0,False,None
22,rajawajidali,wajid ali,2020-02-18 13:59:53,"RT @NJLahori: Beta. Asalamalaikum. Main aap ki Ami ke umar ki hooN.
She must have spent good money on teaching you deen, educating you, giv…","miltonkeynes, UK",228,False,Twitter for Android,0,False,None
23,Raja_Sw,"Raja راجہ - awaaz do, hum ek hain",2020-02-18 13:59:52,"@sarvarta I u/stand this is also a political project of AAP, hoping to wean Hindus away from BJP.
But the more you… https://t.co/RElNyk8qXD",,0,False,Twitter Web App,0,False,1229766469036081152
24,Tanhaji_2020,Tanhaji The Commander,2020-02-18 13:59:51,"RT @OpIndia_com: We are not soft Hindus, we are strong Hindus: AAP MLA Saurabh Bharadwaj announces Sundar Kaand recital every month https:/…","Pune, Maharashtra",29,False,Twitter Web App,0,False,None
25,aslibharat1,aslibharat,2020-02-18 13:59:48,"RT @ranganaathan: Takeaway from Delhi elections..
1. Freebies attract middle class too.
2. GST issues added to small/medium business troubl…",,116,False,Twitter Web App,0,False,None
26,Dhangus1,Dushy™ ⚔️,2020-02-18 13:59:48,RT @ANI: Greater Kailash AAP MLA Saurabh Bhardwaj: Recitation of Ramayana's Sunder Kanda will be held in different areas (of his constituen…,"Jaipur, India",420,False,Twitter for Android,0,False,None
27,AAbbiya,a.abbiya,2020-02-18 13:59:45,"RT @Being_Aman_: We r on 4th Position again...

Ab Neeche Mat Jaane Do....
RT Karo ...apne dusre account se..
Meine sare apne tweets abhi .…",,343,False,Twitter for iPhone,0,False,None
28,alokkirti1990,A.K Kirti 💖,2020-02-18 13:59:45,"RT @SunoRishi: @AltNews  Recent works

Fact Check on Jamia incident

Fact Check on. JNU violence

Fact Check on  AMU slogans 

Fact check o…","INDIAN, USA",2,False,Twitter for Android,0,False,None
29,Bhavya61206836,Bhavya,2020-02-18 13:59:45,RT @VikasSi20049472: we want sidnaz  in seriel #FansDemandSidNaazShow @ColorsTV walo se nhi ho payga shyd @StarPlus @SonyTV @ZeeTV  aap kuc…,,16,False,Twitter for Android,0,False,None
30,Gandhi_RKK,Rakesh K K Gandhi,2020-02-18 13:59:45,"RT @OpIndia_com: We are not soft Hindus, we are strong Hindus: AAP MLA Saurabh Bharadwaj announces Sundar Kaand recital every month https:/…",Wherever I want to be,29,False,Twitter Web App,0,False,None
31,Jagdeep98924803,Jagdeepkaur,2020-02-18 13:59:45,"RT @OfficialSidNaaz: ** Tell me kya kar rhe ho aap log ?? **

I'm just standing and tweeting !!
And hoping Sana sees that we're trending fo…",,514,False,Twitter for iPhone,0,False,None
32,rithikmanoj,Rithik Manoj,2020-02-18 13:59:44,RT @ANI: Greater Kailash AAP MLA Saurabh Bhardwaj: Recitation of Ramayana's Sunder Kanda will be held in different areas (of his constituen…,Dubai & Kerala,420,False,Twitter for iPhone,0,False,None
33,BullettBaaz,BullettBaaz Sharma 🇮🇳,2020-02-18 13:59:44,"RT @imraajeev: Aap chronology samajhiye:

Rahul Gandhi warned about saffron terrorism threat. 

ISI &amp; Laskar-e-Taiba sent 10 terrorists wea…",New Delhi,227,False,Twitter for Android,0,False,None
34,Jayant93489466,Jayantttttt,2020-02-18 13:59:44,RT @KaJhangra: @manupunjabim3 Bas #ParasChhabra kaam krta rhe hume aur kuch ni chahie...jo aap logo ne uske kapde jooto ka maxak banaya hai…,,2,False,Twitter for Android,0,False,None
35,MeetPat65165557,Meet Patil,2020-02-18 13:59:43,"Aap Konse Level Ke Sid Fan Ho?? 
Vote Karo Fast
And To or Result 2 din me mile ga
So RT MAXIMUM and Share in groups… https://t.co/rChtQsBTZ0",India,1,False,Twitter for Android,3,False,None
36,SidNaazForeve16,SidNaaz Forever,2020-02-18 13:59:43,"RT @OfficialSidNaaz: To My Stalker SidNaazians,

Babies, please itna stalk mt kro dono ko.
Let them breathe.

Wo kaha jate h, kya khate h,…","Guwahati, India",1412,False,Twitter for Android,0,False,None
37,Janvi1289,Ankita,2020-02-18 13:59:42,"RT @Being_Aman_: We r on 4th Position again...

Ab Neeche Mat Jaane Do....
RT Karo ...apne dusre account se..
Meine sare apne tweets abhi .…",,343,False,Twitter for Android,0,False,None
38,NITINBHARDWAJ76,NITIN SHARMA,2020-02-18 13:59:41,"RT @Being_Aman_: AAP Sab Kahan Se Ho Sidhearts ?

Note : Comment Using Tag Everyone 

#WeMissYouSid","Mahendragarh, India",799,False,Twitter for Android,0,False,None
39,SidNaazForeve16,SidNaaz Forever,2020-02-18 13:59:40,"RT @OfficialSidNaaz: We know you all love SidNaaz.
For the sake of that love, respect their privacy.

Aap log bade ho toh baby think and ac…","Guwahati, India",664,False,Twitter for Android,0,False,None
40,Sandhusaab3710,Sandhu Saab,2020-02-18 13:59:38,"RT @Being_Aman_: AAP Sab Kahan Se Ho Sidhearts ?

Note : Comment Using Tag Everyone 

#WeMissYouSid",India,799,False,Twitter for Android,0,False,None
41,Karanjit_6838,Karanjit Singh,2020-02-18 13:59:36,RT @ANI: Greater Kailash AAP MLA Saurabh Bhardwaj: Recitation of Ramayana's Sunder Kanda will be held in different areas (of his constituen…,"Jalandhar, India",420,False,Twitter for iPhone,0,False,None
42,rameshkhanal22,Ramesh Khan Al,2020-02-18 13:59:35,"RT @Being_Aman_: AAP Sab Kahan Se Ho Sidhearts ?

Note : Comment Using Tag Everyone 

#WeMissYouSid",Nepal,799,False,Twitter for iPhone,0,False,None
43,VanshMe53736410,Vansh Mehta,2020-02-18 13:59:32,RT @VikasSi20049472: we want sidnaz  in seriel #FansDemandSidNaazShow @ColorsTV walo se nhi ho payga shyd @StarPlus @SonyTV @ZeeTV  aap kuc…,,17,False,Twitter for Android,0,False,None
44,Aneesa38712326,Aneesa ❤(SidHearts),2020-02-18 13:59:31,"RT @Being_Aman_: AAP Sab Kahan Se Ho Sidhearts ?

Note : Comment Using Tag Everyone 

#WeMissYouSid",,799,False,Twitter for Android,0,False,None
45,e83f71673866400,sid shukla,2020-02-18 13:59:29,RT @VikasSi20049472: we want sidnaz  in seriel #FansDemandSidNaazShow @ColorsTV walo se nhi ho payga shyd @StarPlus @SonyTV @ZeeTV  aap kuc…,"Jabalpur, India",17,False,Twitter for Android,0,False,None
46,EsratujE,Emu,2020-02-18 13:59:29,"RT @OfficialSidNaaz: BB13 's no other contestant is missed like SidNaaz

~~ Aap kitna miss krre ho Sid and Sana ko  ~~

#FansDemandSidNaazS…",,805,False,Twitter for Android,0,False,None
47,Arjun_sidHeart,Arjun❤️ #BB13WinnerSid,2020-02-18 13:59:28,"RT @Being_Aman_: We r on 4th Position again...

Ab Neeche Mat Jaane Do....
RT Karo ...apne dusre account se..
Meine sare apne tweets abhi .…",India,343,False,Twitter for Android,0,False,None
