,Screen Name ,User Name ,Tweet Created At,Tweet Text,User Location,Retweet Count,Retweeted,Phone Type,Favorite Count,Favorited ,Replied
0,revdal,Alastair Singh-McCollum,2021-08-12 21:14:22,RT @makoladevelops: M’akola Housing Society’s Director of Communications Charla Huber writes for the @timescolonist about her experience on…,Unceded Coast Salish lands,4,False,Twitter for Android,0,False,None
1,ahma_bc,AHMA,2021-08-12 21:13:46,RT @makoladevelops: M’akola Housing Society’s Director of Communications Charla Huber writes for the @timescolonist about her experience on…,"British Columbia, Canada",4,False,Twitter for Android,0,False,None
2,Akola_29,Akola,2021-08-12 18:21:59,@LordNexus @EliteEpicGamerz @Bungie Butttttt we will get stasis weapons next season!!!!!,,0,False,Twitter for Android,3,False,1425881590735986691
3,katlegoleano1,"excuse me, Dior?",2021-08-12 17:17:07,le a akola the you are worried about one thing 😭😭 sbwl life ye then 😭😭 https://t.co/WlEsRudkoM,"Gaborone, Botswana",0,False,Twitter for Android,0,False,None
4,iamFaizan2500,Mohammad Faizan,2021-08-12 16:50:47,"@StyleListings Learning Tiles Fitting Work
At Akola Maharashtra
Currently Rest","Akola, India",0,False,Twitter for Android,1,False,1425834240260796416
5,TM65Claw,Shadow CIaw #LostJudgment,2021-08-12 16:49:23,@treehugger115 Akola wishes it could be a fraction of Soul Silver though,,0,False,Twitter for Android,1,False,1425861714243903498
6,iamFaizan2500,Mohammad Faizan,2021-08-12 16:48:57,@TrakinTech #AskArun Arun Bhai is Independence Day par Biggest Giveaway Hoga Ya kuch Special Video Aaega By the way… https://t.co/J39HiImTzD,"Akola, India",0,False,Twitter for Android,0,False,1425811448194760708
7,BalodeMorwal,Ashwini Morwal Balode,2021-08-12 16:43:05,"@ncc_dte 
11 Mah Batln 
Shri Shivaji College of Arts, Commerce and Science Akola
Felicitation of Alumni and career… https://t.co/LPyDIJo95U",,0,False,Twitter for Android,0,False,None
8,BhatiSmith,SMITH BHATI 🇮🇳,2021-08-12 15:40:13,@JM_Scindia @narendramodi @JM_Scindia  i am from akola maharashtra sir!!! Since 25 years bjp has mp's n mla's from… https://t.co/Q3p4E7Qcsg,,0,False,Twitter for Android,1,False,1425795611249373187
9,shre23,Shreyas,2021-08-12 15:33:56,"RT @priority_n: He completed his life circle in just 25 years,made Supreme Sacrifice for his Motherland leaving his Mother and family behin…","Bengaluru, India",9,False,Twitter for Android,0,False,None
10,AbhilashRatho14,Abhilash Rathod,2021-08-12 14:38:01,"@maha_tourism Patur (nanasaheb) a town  in Akola district,  historical places - 1)patur Caves  build by Buddhist Ru… https://t.co/O7Nz9KUJmN",,0,False,Twitter Web App,4,False,1425806224998625284
11,SMSsupply,Sean Brookshire,2021-08-12 14:10:32,"RT @GovindaGroup1: Welcome to #GOVINDAGROUP, where convenience &amp; a great lifestyle unite to create a truly immersive experience.

Ready to…","Libby, MT",1,False,hello world8912,0,False,None
12,GovindaGroup1,Govinda Group Amravati,2021-08-12 14:00:41,"Welcome to #GOVINDAGROUP, where convenience &amp; a great lifestyle unite to create a truly immersive experience.

Read… https://t.co/5sVjRudLcA","Amravati, India",1,False,Twitter for Android,0,False,None
13,gagan_priya,"Gagan Priya Ahuja, CFA",2021-08-12 12:21:48,"RT @priority_n: He completed his life circle in just 25 years,made Supreme Sacrifice for his Motherland leaving his Mother and family behin…","New Delhi, India",9,False,Twitter for Android,0,False,None
14,apk_ninja,APK Ninja,2021-08-12 12:16:56,"RT @Socialnut__: 12th August 2021
International YOUTH Day
#NationalYouthDay #YouthDay #Motivation  #Swamivivekanand #Vivekananda #Olympics…",Kaduna,3,False,APK Ninja,0,False,None
15,sectest9,Security Testing,2021-08-12 12:16:29,"RT @Socialnut__: 12th August 2021
International YOUTH Day
#NationalYouthDay #YouthDay #Motivation  #Swamivivekanand #Vivekananda #Olympics…","Hyderabad, India",3,False,auto is the only way it can be ,0,False,None
16,CyberSecurityN8,Cyber Security News,2021-08-12 12:16:24,"RT @Socialnut__: 12th August 2021
International YOUTH Day
#NationalYouthDay #YouthDay #Motivation  #Swamivivekanand #Vivekananda #Olympics…",,3,False,forRetweeting,0,False,None
17,Socialnut__,Social Nut,2021-08-12 12:16:22,"12th August 2021
International YOUTH Day
#NationalYouthDay #YouthDay #Motivation  #Swamivivekanand #Vivekananda… https://t.co/PufSJDqmkW",India,3,False,Twitter Web App,1,False,None
18,BabariaJaidip,Jaidip Babaria,2021-08-12 10:11:06,@MahaGovtMic @rajuparulekar @Amravati @AmravatiNews @amcamravati @Akola Still 20 mins .  ..,,0,False,Twitter for Android,0,False,1425753724501196800
19,BSNLCorporate,BSNL India,2021-08-12 09:06:09,"@BSNLCorporate Sir, supply your Location at Akola , L/L No. , Mobile NO.  and plan please and retwit",India,0,False,OneDirect Suite - P,3,False,1424343836843773952
20,freshers_home,Freshershome.com,2021-08-12 07:15:12,"Sales Representative
Required Skills: sales, marketing, business development, target, retail. Designation / Title S… https://t.co/pCCqNQu9sw","Bengaluru, Karnataka, India",0,False,IFTTT,0,False,None
21,shrikant_akola,Shrikant Sapre,2021-08-12 06:19:22,RT @AimraIndia: Bihar State quarterly meeting witnessed 100% presence &amp; commitment of all the leaders. A healthy discussion on new ideas to…,"Akola, India",209,False,Twitter for Android,0,False,None
22,shrikant_akola,Shrikant Sapre,2021-08-12 06:19:18,RT @AimraIndia: National leaders quarterly connect  with state team Odisha. A healthy discussion on new ideas &amp; Drive for membership to con…,"Akola, India",175,False,Twitter for Android,0,False,None
23,shrikant_akola,Shrikant Sapre,2021-08-12 06:19:14,"RT @AimraIndia: Maharashtra State quarterly meeting with the National leaders. The plan proposed to build a state office, Membership drive,…","Akola, India",268,False,Twitter for Android,0,False,None
24,shrikant_akola,Shrikant Sapre,2021-08-12 06:19:10,"RT @AimraIndia: Aimra leaders meet to stop the sales of activated mobiles in India &amp; for export, which is jeopardizing for the retailers. A…","Akola, India",469,False,Twitter for Android,0,False,None
25,shrikant_akola,Shrikant Sapre,2021-08-12 06:19:02,"RT @AimraIndia: Jharkhand State quarterly meeting with the National leaders. The plan proposed to build a state office, Membership drive, C…","Akola, India",168,False,Twitter for Android,0,False,None
26,shrikant_akola,Shrikant Sapre,2021-08-12 06:18:57,"RT @AimraIndia: TN leaders quarterly meeting with the National leaders. Dialogue on numerous topics, expansion of association in TN also Co…","Akola, India",84,False,Twitter for Android,0,False,None
27,shrikant_akola,Shrikant Sapre,2021-08-12 06:18:53,"RT @AimraIndia: Haryana State quarterly connect &amp; National leader's Dialogue. Awareness on not to buy &amp; sell pre-activated mobiles, Counter…","Akola, India",156,False,Twitter for Android,0,False,None
28,shrikant_akola,Shrikant Sapre,2021-08-12 06:18:31,@AimraIndia @XiaomiIndia @realmeIndia @CCI_India @PiyushGoyal @DIPPGOI @TOIBusiness @DainikBhaskar @CNBCTV18News… https://t.co/wjmkKvtoSJ,"Akola, India",0,False,Twitter for Android,0,False,1425417131127050241
29,shrikant_akola,Shrikant Sapre,2021-08-12 06:18:29,RT @AimraIndia: @XiaomiIndia @realmeIndia are equal culprits in aiding E-commerce for selling exclusively through preferred sellers &amp; provi…,"Akola, India",493,False,Twitter for Android,0,False,None
30,shrikant_akola,Shrikant Sapre,2021-08-12 06:18:25,@XiaomiIndia @realmeIndia are equal culprits in aiding E-commerce for selling exclusively through preferred sellers… https://t.co/uAvdRKUOLU,"Akola, India",0,False,Twitter for Android,0,False,None
31,RetweetsMumbai,Mumbai News & Retweets,2021-08-12 06:08:08,"RT @puneshoroficial: Delta Plus Variant cases of #COVID19 in #Maharashtra rises to 65.
13 new cases reported including 7 from #Mumbai, 3 fr…",Mumbai,8,False,RetweetsMumbaiOne,0,False,None
32,puneshoroficial,PuneShor,2021-08-12 06:02:25,"Delta Plus Variant cases of #COVID19 in #Maharashtra rises to 65.
13 new cases reported including 7 from #Mumbai, 3… https://t.co/v0Wn1uZ6wk","Pune, India",8,False,Twitter Web App,2,False,None
33,foreverwailand,Wailand,2021-08-12 05:59:57,@benard_paade @BradleyCarlvin1 @BlackeyEyed @MrTenderi @MimiHearts1 @Johnlaban256 @AllanSseky @0_BENTLEY_… https://t.co/yU1c7iQEpS,"Kampala, Uganda",0,False,Twitter for Android,3,False,1425698067026677760
34,MtCabs,MT Cabs,2021-08-12 05:54:07,#cabservices#taxi#taxiservices#outstationcabservices#book#onewaycab#onesidetaxi#onewaytaxi#outstationcab#roundtrip#… https://t.co/JfMgOzHMeo,Pune,0,False,Twitter Web App,1,False,None
35,Bhagwat93532047,Bhagwati🇮🇳,2021-08-12 05:47:46,"RT @priority_n: He completed his life circle in just 25 years,made Supreme Sacrifice for his Motherland leaving his Mother and family behin…",india,9,False,Twitter for Android,0,False,None
36,TakaleAkhilesh,Akhilesh 🇮🇳🕊️,2021-08-12 05:38:49,"RT @anjayaaTOI: Nagpur: Delta Plus variant of Covid-19 has been detected in Vidarbha's three districts- Chandrapur, Gondia and Akola. Total…",Bramhand,8,False,Twitter for Android,0,False,None
37,M_Anantkumar,Anantkumar,2021-08-12 05:37:32,"RT @Thevarsteffy: #NEWSUPDATE 20 more samples with #DeltaPlusVariant reported taking the count to 35. Of the 20, 7 from #Mumbai 3 #Pune 2 e…","Pune, India",7,False,Twitter for Android,0,False,None
38,MahiSha48854236,Mahi Sharma,2021-08-12 05:29:30,"RT @SGattewar_NGP: #DeltaPlusVariant of Covid-19 has been detected in #Vidarbha's three districts

1. #Chandrapur
2. #Gondia
3. #Akola

Tot…",,4,False,Twitter for Android,0,False,None
39,WriterThriller,AjaySachdev,2021-08-12 05:14:45,"RT @priority_n: He completed his life circle in just 25 years,made Supreme Sacrifice for his Motherland leaving his Mother and family behin…",,9,False,Twitter Web App,0,False,None
40,TOI_Nagpur,TOI Nagpur,2021-08-12 04:45:51,"4 Delta plus cases found in Chanda, Gondia &amp; Akola
 https://t.co/kCC1X8yhpv
Download the TOI app now:
https://t.co/FSEQiv0uKL",,0,False,Twitter for Android,0,False,None
41,KadageMohan,Mohan Kadge,2021-08-12 04:32:40,RT @Deepakk75058621: Took a detailed review of Land Acq issues of Akola airport .,,4,False,Twitter for Android,0,False,None
42,PublicationsSs,SS Publications,2021-08-12 04:00:58,"@cpmgnortheast

@IndiaPostOffice

REMIND 18 Article RM413128845IN  was dispatched from 443201 to 795004 on 12th JUL… https://t.co/SAjyNcBzaI",,0,False,Twitter Web App,0,False,1425668545279512584
43,PublicationsSs,SS Publications,2021-08-12 04:00:43,"@cpmgnortheast

@IndiaPostOffice

REMIND 17 Article RM413128845IN  was dispatched from 443201 to 795004 on 12th JUL… https://t.co/djhYbhpGgk",,0,False,Twitter Web App,0,False,1425303989650821120
44,shindeajinkya73,🇮🇳 अजिंक्य शिंदे 🇮🇳,2021-08-12 03:23:58,"RT @priority_n: He completed his life circle in just 25 years,made Supreme Sacrifice for his Motherland leaving his Mother and family behin…","जलगांव, भारत",9,False,Twitter for Android,0,False,None
45,sarap_vitthal,Vitthal Sarap Patil - विठ्ठल सरप पाटील,2021-08-12 03:14:33,"My inspiration My Mentor 
Leading from the front always 🙂
@AUThackeray ji
@SardesaiVarun ji… https://t.co/yqW6q5laYu","Akola, India",0,False,Twitter for iPhone,2,False,None
46,Haldikumkum,Sounds of Music,2021-08-12 02:48:49,"RT @priority_n: He completed his life circle in just 25 years,made Supreme Sacrifice for his Motherland leaving his Mother and family behin…",,9,False,Twitter for Android,0,False,None
47,OmkarPatle3,Omkar Patle,2021-08-12 02:41:33,"#DeltaPlusVariant of Covid-19 has been detected in #Vidarbha's three districts.

1. #Chandrapur
2. #Gondia
3.… https://t.co/K7BXHkips7","Tirora, Maharashtra",0,False,Twitter for Android,0,False,None
48,luckykalia59,indian,2021-08-12 02:40:06,"RT @priority_n: He completed his life circle in just 25 years,made Supreme Sacrifice for his Motherland leaving his Mother and family behin…","Punjab, India",9,False,Twitter for Android,0,False,None
