,Screen Name ,User Name ,Tweet Created At,Tweet Text,User Location,Retweet Count,Retweeted,Phone Type,Favorite Count,Favorited ,Replied
0,DS33574218,Asim Riaz fan girl💓,2020-02-18 08:30:54,"RT @ItsMeRida_: #ForeverWithAsim

Indeed Asim has Won Million Of Hearts &lt;3
Proud Asim's Fangirl!!
Allah Bless You Riaz Family!!
@imrealasim…",,22,False,Twitter for Android,0,False,None
1,ArifAns03401807,Arif Ansari,2020-02-18 08:30:54,"RT @bollywood_life: Bigg Boss 13: Fan requests Asim Riaz's dad to accept Rashami Desai as 'bahu' for elder son, Umar; fans create #UmRash…",,312,False,Twitter for Android,0,False,None
2,itsarshan786,Arshan Khan,2020-02-18 08:30:53,RT @Spotboye: #BiggBoss13 ex-contestant Asim Riaz finally comes across @JohnCena’s post that made the 1st runner-up speechless. He then exp…,"New Delhi, India",209,False,Twitter for Android,0,False,None
3,SurbhiSuryavan1,Surbhi Suryavanshi,2020-02-18 08:30:49,"RT @Spotboye: LOL!😂

Asim Riaz, @TheRashamiDesai and Umar Riaz doing the Garmi hook step, as Himanshi Khurana cheers, will make you miss #B…",India,1010,False,Twitter for Android,0,False,None
4,GarimaSlays,PROUD RASHAMIAN 💞,2020-02-18 08:30:49,"RT @bollywood_life: Bigg Boss 13: Fan requests Asim Riaz's dad to accept Rashami Desai as 'bahu' for elder son, Umar; fans create #UmRash…",THE BAY \m/ ,312,False,Twitter for Android,0,False,None
5,Asim31361236,Asim Riaz,2020-02-18 08:30:49,"RT @scarssmiley: Hina Khan and Asim Riaz are lovee. Both of them stand strong for right, for their friends and are strong headed beautiful…",,9,False,Twitter Web App,0,False,None
6,Sbrajpoot4,$B Ŕ@jpöôť🙆,2020-02-18 08:30:46,RT @pinkvilla: #KaranJohar denies rumours of making #StudentoftheYear3 with #BiggBoss13 runner up #AsimRiaz &amp; #SuhanaKhan https://t.co/eMnp…,,442,False,Twitter for Android,0,False,None
7,sweety01230123,Utkarsha #dipikafan,2020-02-18 08:30:45,"RT @bollywood_life: Bigg Boss 13: Fan requests Asim Riaz's dad to accept Rashami Desai as 'bahu' for elder son, Umar; fans create #UmRash…","Navi Mumbai, Maharashtra",309,False,Twitter Web App,0,False,None
8,mirzak386,Mirza Khan,2020-02-18 08:30:45,"RT @TheKhabri12: Exclusive &amp; Confirmed!

Bigg Boss 13 Runner-Up Asim Riaz To Debut Opposite
ShahRukh Khan’s Daughter, Suhana Khan, In Stude…",,2072,False,Twitter for Android,0,False,None
9,Rohita26345802,Rohita (Asim's Fan),2020-02-18 08:30:44,"RT @ItsMeRida_: #ForeverWithAsim

Indeed Asim has Won Million Of Hearts &lt;3
Proud Asim's Fangirl!!
Allah Bless You Riaz Family!!
@imrealasim…",Nepal,22,False,Twitter for Android,0,False,None
10,iam_arfatansari,Arfat Ansari,2020-02-18 08:30:43,"RT @Showbiz_IT: #KaranJohar denies launching #SuhanaKhan and #AsimRiaz in #SOTY3 : Absolutely baseless stories
https://t.co/8WvVaB8AZZ","Ahmadabad City, India",8,False,Twitter for Android,0,False,None
11,AsimSqu90431040,Asim Squad,2020-02-18 08:30:42,"RT @bollywood_life: Bigg Boss 13: Fan requests Asim Riaz's dad to accept Rashami Desai as 'bahu' for elder son, Umar; fans create #UmRash…",,312,False,Twitter for Android,0,False,None
12,Asim31361236,Asim Riaz,2020-02-18 08:30:42,"RT @RajBaddhan: #ListenBack ‼️

#BiggBoss13 finalist @imrealasim exclusive chat with me:

💥 His experience on the show 
💥 His love #Himansh…",,757,False,Twitter Web App,0,False,None
13,Alirizv59168889,Alirizvi..,2020-02-18 08:30:39,"RT @bollywood_life: Bigg Boss 13: Fan requests Asim Riaz's dad to accept Rashami Desai as 'bahu' for elder son, Umar; fans create #UmRash…",,312,False,Twitter for Android,0,False,None
14,sazan_sidheart,@sazanlimboo,2020-02-18 08:30:38,"RT @etimes: .@karanjohar puts an end to all the ‘Student Of The Year 3’ rumours with his reply

#KaranJohar 

For the latest Entertainment…",,174,False,Twitter Web App,0,False,None
15,hasnainaly9,Hasnain 🙋‍♂️,2020-02-18 08:30:37,"RT @htshowbiz: #BiggBoss13: #HimanshiKhurana says she felt ‘shy’ when #AsimRiaz held her hand, introduced her to his family

https://t.co/C…",,164,False,Twitter for iPhone,0,False,None
16,Farzana34501716,Farzana,2020-02-18 08:30:37,"RT @RajBaddhan: #ListenBack ‼️

#BiggBoss13 finalist @imrealasim exclusive chat with me:

💥 His experience on the show 
💥 His love #Himansh…",,756,False,Twitter for Android,0,False,None
17,slayer_Piya,Piya,2020-02-18 08:30:33,"RT @asimhimanshi99: I supported u so much Asim Riaz day nd night
What I wanted in return?
Just this that you have pink blood instead of red…",,7,False,Twitter for Android,0,False,None
18,shuaib60482724,shuaib,2020-02-18 08:30:25,"RT @RajBaddhan: Listen back 

My exclusive interview with #BiggBoss13 finalist (&amp; our winner) @imrealasim on my show today. 

Click here: h…",,1914,False,Twitter for iPhone,0,False,None
19,DarkHor41980828,Dark_Horse🐎♠️,2020-02-18 08:30:25,"RT @toitv: Exclusive - Bigg Boss 13's Asim Riaz on John Cena's support: It's a big achievement, the hard work I've put in the last 10 years…",,1096,False,Twitter for Android,0,False,None
20,AakifaJuwle,Akku,2020-02-18 08:30:23,RT @iDaringbaaz: Karan johar is replying about rumors related to asim riaz. That's what asim riaz craze is on SM 🔥Everybody knows it's a ru…,,284,False,Twitter for iPhone,0,False,None
21,KhandsRahat,RahatKhan,2020-02-18 08:30:21,"RT @leorasinha: See the difference in views on Instagram Live Chat of two favourites of BB13.
The craze for Asim Riaz is just phenomenal.…","Secunderabad, Hyderabad",575,False,Twitter for Android,0,False,None
22,Ritu39003334,Ritu,2020-02-18 08:30:21,"RT @TheKhabri12: Exclusive &amp; Confirmed!

Bigg Boss 13 Runner-Up Asim Riaz To Debut Opposite
ShahRukh Khan’s Daughter, Suhana Khan, In Stude…",,2072,False,Twitter for Android,0,False,None
23,sunmy68386657,sun,2020-02-18 08:30:18,RT @Bollyhungama: VIDEO: #HimanshiKhurana can’t stop laughing as her fellow #BiggBoss13 contestants #RashamiDesai and #AsimRiaz do the ‘Gar…,india,1,False,Twitter for Android,0,False,None
24,SyedFur42378448,Syed Furkhan,2020-02-18 08:30:17,"RT @Guru2722000: Damn 

Asim Riaz                  Bhalu 's 
Hotel room &gt;&gt;&gt;&gt;&gt;&gt;   Victory
Fun
#ForeverWithAsim 
#AsimRiaz",,8,False,Twitter for Android,0,False,None
25,Vandana04924498,Vandana Gupta,2020-02-18 08:30:12,"RT @vineethamenon4: BREAKING NEWS.......As per source,

Salman Khan was not happy with BB13 makers for placing Asim Riaz in the top 2 

He…",,2626,False,Twitter for Android,0,False,None
26,DarkHor41980828,Dark_Horse🐎♠️,2020-02-18 08:30:11,"RT @ZeeNews: #BiggBoss13 finalist #AsimRiaz video calls rapper #Bohemia, thanks #JohnCena on Instagram – Watch

https://t.co/88LtayOWSI",,1204,False,Twitter for Android,0,False,None
27,sidharthfanpage,Sidharth Shukla♥️ Fans😍🖤,2020-02-18 08:30:10,RT @bollywood_life: Karan Johar slams baseless rumours on Student Of The Year 3 after reports of Asim Riaz - Suhana Khan's casting goes vir…,,547,False,Twitter Web App,0,False,None
28,Ashifkh59312152,Ashif khan,2020-02-18 08:30:08,"RT @ItsMeRida_: #ForeverWithAsim

Indeed Asim has Won Million Of Hearts &lt;3
Proud Asim's Fangirl!!
Allah Bless You Riaz Family!!
@imrealasim…",Delhi,22,False,Twitter Web App,0,False,None
29,Sanse26058724,Kushi,2020-02-18 08:30:07,"RT @bollywood_life: Bigg Boss 13: Fan requests Asim Riaz's dad to accept Rashami Desai as 'bahu' for elder son, Umar; fans create #UmRash…",,312,False,Twitter Web App,0,False,None
30,ArifAns03401807,Arif Ansari,2020-02-18 08:30:06,"RT @Spotboye: LOL!😂

Asim Riaz, @TheRashamiDesai and Umar Riaz doing the Garmi hook step, as Himanshi Khurana cheers, will make you miss #B…",,1010,False,Twitter for Android,0,False,None
31,MDRizwa19548922,MD Rizwan,2020-02-18 08:30:04,"RT @ZeeNews: #BiggBoss13 finalist #AsimRiaz video calls rapper #Bohemia, thanks #JohnCena on Instagram – Watch

https://t.co/88LtayOWSI",,1204,False,Twitter for Android,0,False,None
32,AliAshter15,Ali Ashter,2020-02-18 08:30:02,"RT @Guru2722000: Damn 

Asim Riaz                  Bhalu 's 
Hotel room &gt;&gt;&gt;&gt;&gt;&gt;   Victory
Fun
#ForeverWithAsim 
#AsimRiaz",,8,False,Twitter for Android,0,False,None
33,Bollyhungama,Bollywood Hungama,2020-02-18 08:30:00,VIDEO: #HimanshiKhurana can’t stop laughing as her fellow #BiggBoss13 contestants #RashamiDesai and #AsimRiaz do th… https://t.co/ZQqReu7EUs,,1,False,TweetDeck,4,False,None
34,AsimBabyyy,D🌟ᴬˢⁱᵐ♡,2020-02-18 08:29:59,"RT @Guru2722000: Damn 

Asim Riaz                  Bhalu 's 
Hotel room &gt;&gt;&gt;&gt;&gt;&gt;   Victory
Fun
#ForeverWithAsim 
#AsimRiaz",🎀  𝒜𝓈𝒾𝓂 𝓀 𝒹𝒾𝓁 𝓅  🎀,8,False,Twitter for Android,0,False,None
35,ChuphalKuldeep,Kuldeep Chuphal,2020-02-18 08:29:57,"RT @ABHriDoy10: See the difference in views on Instagram Live Chat of two favourites of BB13.
The craze for Asim Riaz is just phenomenal.
@…","New Delhi, India",253,False,Twitter for Android,0,False,None
36,RaquibAli8,Raquib Ali,2020-02-18 08:29:55,"RT @AsYouNotWish: Bully boy, Sidharth Shukla deserves an Oscar for overacting. The way, he faked nervousness as if he didn’t know that he i…",Allah Ka Banda,6230,False,Twitter for Android,0,False,None
