,Screen Name ,User Name ,Tweet Created At,Tweet Text,User Location,Retweet Count,Retweeted,Phone Type,Favorite Count,Favorited ,Replied
0,SonuHan23454662,Sonu Handa,2020-03-07 08:53:48,"RT @JharkhandPMC: With a 10.4% rise in crimes against women in just 2 years, why has the top brass of the BJP govt, including the Women &amp; C…",,4,False,Twitter for Android,0,False,None
1,RajasthanPMC,Rajasthan Pradesh Mahila Congress,2020-03-07 08:53:47,"RT @EastUpPMC: With a 10.4% rise in crimes against women in just 2 years, why has the top brass of the BJP govt, including the Women &amp; Chil…","Rajasthan, India",4,False,Twitter for iPhone,0,False,None
2,NidhiJain3116,Nidhi Jain,2020-03-07 08:53:46,"RT @GauravPandhi: ▪️Demonetization
▪️After NRC in Assam
▪️GST
▪️KYC
▪️Aadhar Updation
▪️PNB Bank Scam
▪️Jandhan Bank A/c
▪️PMC Bank
▪️Pollu…",,282,False,Twitter for Android,0,False,None
3,flutter72468829,flutter,2020-03-07 08:53:46,"@TheDragSlayer4 @_atma @writeraashu @AamIndividual @RohanKandid @fayedsouza @amitmalviya By the same measure, you s… https://t.co/FFiJIpRG2H",,0,False,Twitter for iPhone,0,False,1236212654458507264
4,sandeepnarahar1,sandeep narahari,2020-03-07 08:53:45,@oldhandhyd They beloong to same family and his brother daughter was in BJP and now question BJP https://t.co/aTxpa9qYrI,,0,False,Twitter for Android,0,False,1235997288008278016
5,SyedSab16211535,🇮🇳Sayed Sabir ALi 🇮🇳NSUI🇮🇳,2020-03-07 08:53:44,RT @Nattashasharrma: Passage of the Women's Reservation Bill was one of the poll promises of the BJP. It has already been passed in RS. It…,"Bareilly, India",35,False,Twitter for Android,0,False,None
6,ShivtejShinde_,Shivtej Shinde,2020-03-07 08:53:42,"@Javedakhtarjadu The issue is that the statue is removed by Karnataka's BJP government. 
No matter what is the reas… https://t.co/pQvojVhhCz","Pune, India",0,False,Twitter for Android,0,False,1236142977661038592
7,Shivam___Rajput,shivam singh,2020-03-07 08:53:40,RT @DigvijayBJYM: It was wonderful as Tarun Thakur dada visited my home in Burnpur Asansol. He is currently the Shakti Kendra Pramukh but t…,"Toronto, Ontario",5,False,Twitter for iPhone,0,False,None
8,RajasthanPMC,Rajasthan Pradesh Mahila Congress,2020-03-07 08:53:37,"RT @HaryanaPMC: With a 10.4% rise in crimes against women in just 2 years, why has the top brass of the BJP govt, including the Women &amp; Chi…","Rajasthan, India",9,False,Twitter for iPhone,0,False,None
9,alayneslady,parasite supremacist,2020-03-07 08:53:34,RT @Abihabib: India is now censoring its own TV channels for reporting on BJP’s role in Delhi violence. As one Western diplomat said to me…,"15 Yemen Road, Yemen.",2132,False,Twitter for iPhone,0,False,None
10,TheFederal_in,The Federal,2020-03-07 08:53:34,"If #Karnataka is the yardstick, we are likely witnessing the beginning of the end of the #KamalNath-led #Congress g… https://t.co/HZwKBnYYCz",India,0,False,Zoho Social,0,False,None
11,Mohamma20093728,Mohammad Aamir Khan,2020-03-07 08:53:30,RT @ThePeopleOfIN: In a move to publicly name and shame participants of the anti CAA protests in Lucknow – and jeopardise their lives at th…,"New Delhi, India",140,False,Twitter for Android,0,False,None
12,MuazzamMirza2,Muazzam Mirza,2020-03-07 08:53:29,"RT @INCIndia: Beti Bachao Beti Padhao was merely a slogan to grab votes but when it came to implementation, BJP failed miserably. BJP ruled…",,232,False,Twitter for iPhone,0,False,None
13,asalamualikum,Naeem,2020-03-07 08:53:27,"RT @GauravPandhi: ▪️Demonetization
▪️After NRC in Assam
▪️GST
▪️KYC
▪️Aadhar Updation
▪️PNB Bank Scam
▪️Jandhan Bank A/c
▪️PMC Bank
▪️Pollu…",.,282,False,Twitter for Android,0,False,None
14,inc_ricky,ರಿಕ್ಕಿ (Ricky),2020-03-07 08:53:26,"RT @asmitabee: SC: stays bail of people who incited no violence, have no criminal record, HC had called investigation against them mala fid…",Bengaluru ,26,False,Twitter for Android,0,False,None
15,FhayezA,coin man,2020-03-07 08:53:26,@Abihabib Carry on censoring. These days it is a an open society. Twitter.  Hide all you want bjp you murderers and rapsists,,0,False,Twitter for Android,0,False,1236104781543788544
16,bhagirathi29,Latika 🇮🇳,2020-03-07 08:53:25,RT @BJP4India: LIVE: BJP National President Shri @JPNadda’s address on Jan Aushadhi Diwas celebrations in Delhi. #JanJanTakJanAushadhi http…,"Mumbai, India",118,False,Twitter for Android,0,False,None
17,ugetprince,Abhishek Rajput,2020-03-07 08:53:25,RT @rao_nava: The Financial land mines placed by P Chidambaram and the Congress party has started to explode whenever BJP trying to step on…,India,24,False,Twitter for Android,0,False,None
18,RajasthanPMC,Rajasthan Pradesh Mahila Congress,2020-03-07 08:53:25,RT @Nattashasharrma: Passage of the Women's Reservation Bill was one of the poll promises of the BJP. It has already been passed in RS. It…,"Rajasthan, India",35,False,Twitter for iPhone,0,False,None
19,anadi111,dev mishra,2020-03-07 08:53:25,"RT @dhruv_rathee: Malayalam News Channels AsianetNews and Media One telecast banned for 48 hours by Modi Govt 

This is a blatant fascist d…",Prayagraj(Allahabad),5441,False,Twitter Web App,0,False,None
20,saavy_m,Savita,2020-03-07 08:53:25,RT @AartiTikoo: Any news media outlet that’s showing one-sided violence in Delhi communal riots in which both Muslims &amp; Hindus were killed…,,157,False,Twitter for iPad,0,False,None
21,alwyn_mithra,Alwyn,2020-03-07 08:53:22,"RT @sneha2986: BJP = Bhartiya Jumla Party

Let's get innovative... Add to the list!",Bengaluru,95,False,Twitter for Android,0,False,None
22,suessww,heisenberg,2020-03-07 08:53:21,"RT @GauravPandhi: ▪️Demonetization
▪️After NRC in Assam
▪️GST
▪️KYC
▪️Aadhar Updation
▪️PNB Bank Scam
▪️Jandhan Bank A/c
▪️PMC Bank
▪️Pollu…",,282,False,Twitter for Android,0,False,None
