,Screen Name ,User Name ,Tweet Created At,Tweet Text,User Location,Retweet Count,Retweeted,Phone Type,Favorite Count,Favorited ,Replied
0,BillRob22261292,Bill Roberts,2020-02-25 08:52:56,"RT @ianrweeks: What's the point of checking arrivals at ports and airports, or quarantining possible Corona Virus sufferers, when the Borde…","Northumbria, UK",172,False,Twitter for Android,0,False,None
1,nacevalenti,Sanity Clause,2020-02-25 08:52:55,"RT @AWorldOutOfMind: No worries America, Donald trump has put the very best person possible in charge of the Corona Virus response, we have…","Louisiana, USA",165,False,Twitter for iPhone,0,False,None
2,ndcnn,Chitra Narayanan,2020-02-25 08:52:54,@Xpheno_ @PeopleMatters2 The travel industry is going to be very badly hit due to Corona virus .  Especially leisure travel.,New Delhi,0,False,Twitter Web App,0,False,1232225857218826241
3,x1wings_21,LimeLime,2020-02-25 08:52:53,RT @hhangyeol: Please postpone dogyul’s coming activities include overseas schedules.The corona virus is getting serious. Please always tel…,,3,False,Twitter for Android,0,False,None
4,Graviton_Z,Za Hid,2020-02-25 08:52:49,"Corona virus where are you first let me take your name with respect 'Novel Corona Virus'.

Where are you ?  The gov… https://t.co/CP1ZKuAUgU",Kashmir,0,False,Twitter for Android,0,False,None
5,MathiasWolfbrok,WolfTV | Mathias Wolfbrok,2020-02-25 08:52:47,"RT @SNKPofficial: Unfortunately due to rising cases of the Corona Virus (COVID-19), we decided to postpone the SWC JAPAN TOUR FINAL and SWC…",Somewhere in Europe,112,False,Twitter for Android,0,False,None
6,dnylbot,ًrocky day,2020-02-25 08:52:38,like kpop gc promo nsfw shindong heechul momo loyal list loyalies shawn mendes smut feet gg stans ariana grande str… https://t.co/eakhkSVxrp,,0,False,Twitter for iPhone,0,False,None
7,YacobiGuillaume,Guillaume Yacobi,2020-02-25 08:52:37,"@prakashranjan5 only since we know you
you are really infectuous
you are a twin corona virus
but glad that this com… https://t.co/xfTMAWLrGK",,0,False,Twitter Web App,0,False,1232167090007744516
8,cashmoneyglock,Tyrone Jackson,2020-02-25 08:52:35,@JOYEUSE72 @krishanisdead Trump books small venues to create the appearance of packed rallies. A great incubation ground for corona virus.,"St Louis, MO",0,False,Twitter Web App,0,False,1232226368483725313
9,danasstarr,danasstar,2020-02-25 08:52:32,"RT @Perpetualmaniac: Literally one of the side effects of Remdesivir, the new corona virus drug.",NYC,27,False,Twitter for iPad,0,False,None
10,Old_soul84,Azurescens --- soon ?,2020-02-25 08:52:28,@TiSeb91 @DuPouvoirDachat Corona virus is a name for a group of viruses that probably have existed for millions of… https://t.co/K8G21nl7E8,Earth,0,False,Twitter Web App,0,False,1232223833467375618
11,Godfounnd,🐦COCOA KRAKYE🐦,2020-02-25 08:52:26,"RT @shinil_abubaker: 900 people get corona virus &amp; the whole world wants to wear surgical mask, 30 million people have AIDS but still nobod…",,58,False,Twitter for Android,0,False,None
12,INDOLighting,INDO Lighting,2020-02-25 08:52:26,"RT @Light_Building: Light + Building 2020 postponed
Due to the increased spread of the corona virus in Europe, Messe Frankfurt decided to p…",Southampton,129,False,Twitter Web Client,0,False,None
13,Dreamer_girllll,Beebsu🌱,2020-02-25 08:52:26,RT @vegan_logic: I have 0 evidence to support this intuition but I’m pretty sure being vegan makes me immune to the corona virus,"Haapsalu, Eesti",2,False,Twitter for Android,0,False,None
14,12fv123,12Fiona,2020-02-25 08:52:24,"RT @ianrweeks: What's the point of checking arrivals at ports and airports, or quarantining possible Corona Virus sufferers, when the Borde…",,172,False,Twitter for Android,0,False,None
15,Ayuky131,Ayuky13 With Chen Kim Jongdae,2020-02-25 08:52:23,"@sagittarius_pcy money isn't everything, take care of yourself, I've heard that in Korea the corona virus has been… https://t.co/fFTmcRDV04",,0,False,Twitter Web App,0,False,1232183285779820544
16,AMIRABB75493210,AMIR ABBAS,2020-02-25 08:52:22,"we have to imitate the humanity of the Corona-virus , which has nothing to do with children , but some government d… https://t.co/vIsYLO7ybh",,0,False,Twitter Web App,1,False,1232226818519977984
17,beatrice_health,bot,2020-02-25 08:52:16,"RT @ReechKeesh: @RitaPanahi @wjdjean Complete nonsense. Corona virus only has a 2% death rate... Less than the ""regular"" flu.","nairobi, eastafrica",1,False,yakotester,0,False,None
18,beatrice_health,bot,2020-02-25 08:52:16,"RT @Mahek980: COVID19 (Corona virus) is officially in my state 😭
Guys remember 🇰🇼 in your prayers 
May Allah protect us all❤
Take a min of…","nairobi, eastafrica",2,False,yakotester,0,False,None
19,DownundaThe,TheDailyPressDownunda,2020-02-25 08:52:15,"@ScottFordInOhio New report that 8000 ppl on ""self imposed"" corona virus quarantine in Cali.

Be careful mate.",The Back of Beyond,0,False,Twitter Web App,0,False,1232130833340882944
20,jackimacca,jackimacca,2020-02-25 08:52:14,RT @elisled: Rory Stewart on radio 4 doing Government’s job for it i.e. as former Sec of State for International Development he’s explainin…,"Liverpool, United Kingdom",7,False,Twitter for iPhone,0,False,None
21,WassamBhatti1,W@ss@m Bh@tti,2020-02-25 08:52:05,"RT @Mahek980: COVID19 (Corona virus) is officially in my state 😭
Guys remember 🇰🇼 in your prayers 
May Allah protect us all❤
Take a min of…",Oukat main,2,False,Twitter for iPhone,0,False,None
22,ReechKeesh,Reech Keesh,2020-02-25 08:52:03,"@RitaPanahi @wjdjean Complete nonsense. Corona virus only has a 2% death rate... Less than the ""regular"" flu.",America,1,False,Twitter Web App,0,False,1232190839557783553
23,Mahek980,Mahek🇰🇼🇵🇰,2020-02-25 08:51:59,"COVID19 (Corona virus) is officially in my state 😭
Guys remember 🇰🇼 in your prayers 
May Allah protect us all❤
Take… https://t.co/isEOiJrBaT",,2,False,Twitter for Android,1,False,None
24,davidese72,King David,2020-02-25 08:51:55,"Corona virus is going round the whole country, you must protect yourself before it get to you

King David Healing H… https://t.co/upuLDC2BCp","Lagos, Nigeria",0,False,Twitter for Android,0,False,None
25,NataliMinoz,ntlsnmz,2020-02-25 08:51:55,"RT @PROMIZ_PMZ: It's a difficult time for corona virus is spreading.
PROMIZ hopes everyone can get through the corona virus infection safel…",,32,False,Twitter for Android,0,False,None
26,ninaharm,Nina,2020-02-25 08:51:53,@salmanonline enough water more regularly...the virus can enter your windpipes and into the LUNGS. That's very dang… https://t.co/3GqbwOldLX,Bahrain,0,False,Twitter for iPhone,0,False,1232218564544909312
27,mariellexnicole,Marielle 마리엘,2020-02-25 08:51:51,This whole corona virus sht in Korea makes me anxious. I just want my boys to stay safe and healthy 😭🙏🏼,still 622 ,0,False,Twitter for iPhone,0,False,None
28,glorod3,Y.G.Rodriguez,2020-02-25 08:51:49,"RT @JohnTrumpFanKJV: Lord, in thy mercy, Please keep the Corona Virus from spreading in America. Please Shield and Protect us from this evi…",,332,False,Twitter Web App,0,False,None
29,Quarm__,💧,2020-02-25 08:51:48,"Mama coroOna oo, mama coroOna oooo. If want to kill me kill me make ago i will never never go oo. Virus dey here oo… https://t.co/1oV04KjLZg","Nottingham, England",0,False,Twitter for iPhone,1,False,None
30,corona_virus_af,Corona Virus,2020-02-25 08:51:46,"RT @Teemaluv8: I'm new here, pls show me love by following me and I follow back to anywhere 😊🙏 https://t.co/7MJEbJ1Fwa","wuhan, China",1,False,Twitter for Android,0,False,None
31,armstrong_buh,Buh Armstrong K,2020-02-25 08:51:46,The said Two cases of corona virus in Cameroon was A FAKE NEWS. MINISANTÉ https://t.co/WLLOFf0vSI,,0,False,Twitter for Android,0,False,None
32,feifeijun,bega 🦋,2020-02-25 08:51:45,"RT @7X70times: UNIQ = always facing struggles out of their control once they think they've finally reached a goal 😭

- bad management
- Hal…",❤,13,False,Twitter for Android,0,False,None
33,beatrice_health,bot,2020-02-25 08:51:44,"RT @heonynunu: Jamsil stadium just closed until the corona virus is contained. At the moment, ticketing time for the bts concert in Seoul i…","nairobi, eastafrica",151,False,yakotester,0,False,None
34,LuanaLopes1207,루아나,2020-02-25 08:51:35,"RT @heonynunu: Jamsil stadium just closed until the corona virus is contained. At the moment, ticketing time for the bts concert in Seoul i…",Portugal,151,False,Twitter for iPad,0,False,None
35,marybnall01,marybnall01,2020-02-25 08:51:28,RT @Concealcarrygrl: Crisis has a tendency to expose scams. The Corona virus is beginning to expose and threatens to completely expose the…,"Texas, USA",211,False,Twitter for iPhone,0,False,None
36,shabyy_butt,Sibtain,2020-02-25 08:51:27,RT @namaloomafraaad: Covid-19 Corona virus is spreading like wildfire and Pakistan is unequipped to deal with something this deadly. Allah…,Torn b/w Pindi & Islamabad.,51,False,Twitter for Android,0,False,None
37,Gaming_Forever1,Ga♏ing_forever #XboxSeriesX 25tflops RDNA2 8K/120,2020-02-25 08:51:26,"RT @xLilSheWolfx: Corona Virus situation:

China - Mass quarantine cities slows the spread  of virus

Italy - Forcing people into quarantin…",,1,False,Twitter Web App,0,False,None
38,ngalexnelson,Alex Nelson,2020-02-25 08:51:22,@jiji3105 @J3LEJeVUtHpBsxZ Beware of corona virus ! hwaiting 💪,,0,False,Twitter for Android,0,False,1231841134407585792
39,__hell__00,Hell 🇱🇰,2020-02-25 08:51:20,RT @Alvinakapoor56: @starpluswht wht is the common mistake most people do when one has viral infection?Take antibiotics -which serial on ur…,,14,False,Twitter for Android,0,False,None
40,alexandreazara,Alexandre de Ázara,2020-02-25 08:51:10,RT @ojblanchard1: 1. The next few days will likely see an avalanche of analyses of the economic effects of the corona virus.  Here are a fe…,,329,False,Twitter for iPhone,0,False,None
41,HPot77,HoneyPot77𓁛𓁞🇺🇸,2020-02-25 08:51:08,"RT @_hublette: Why you need to chill tf out about the Corona Virus 

(as told gently &amp; kindly by @dilleyshow) https://t.co/23EtszWQrJ","Leipers Fork, TN",245,False,Twitter for iPad,0,False,None
42,worldnewsnetwrk,WorldNews,2020-02-25 08:51:01,China institutes an immediate ban on human eating and trading of wild animals to halt the virulent Corona Virus #CoronavirusOutbreak,South Africa,0,False,Twitter for Android,0,False,None
43,MorganMorgans40,Morganzzzzzz,2020-02-25 08:50:59,@ECDC_EU thank heavens the uk is still included in eu statistis until 31 dec 2020 so it's possible to get a source… https://t.co/oUozumAx07,Europe,0,False,Twitter Web App,0,False,None
