,Screen Name ,User Name ,Tweet Created At,Tweet Text,User Location,Retweet Count,Retweeted,Phone Type,Favorite Count,Favorited ,Replied
0,WeatherNDelhi,WeatherNewDelhi,2021-08-15 23:24:53,"Right now: Mist, Temperature: 30.09C, Humidity: 84, Wind: From W at 2.06KPH, Updated: 4:54AM #Delhi #Weather","New Delhi, India",1,False,WeatherNDelhi,1,False,None
1,SweetCookiesme,Arvind,2021-08-15 23:09:43,"RT @WeatherNDelhi: Right now: Mist, Temperature: 30.09C, Humidity: 84, Wind: From N at 0KPH, Updated: 3:54AM #Delhi #Weather",,1,False,current news ,0,False,None
2,WeatherNDelhi,WeatherNewDelhi,2021-08-15 22:24:53,"Right now: Mist, Temperature: 30.09C, Humidity: 84, Wind: From N at 0KPH, Updated: 3:54AM #Delhi #Weather","New Delhi, India",1,False,WeatherNDelhi,0,False,None
3,WeatherNDelhi,WeatherNewDelhi,2021-08-15 21:24:53,"Right now: Mist, Temperature: 30.09C, Humidity: 84, Wind: From W at 2.06KPH, Updated: 2:54AM #Delhi #Weather","New Delhi, India",0,False,WeatherNDelhi,0,False,None
4,SweetCookiesme,Arvind,2021-08-15 21:09:43,"RT @WeatherNDelhi: Right now: Mist, Temperature: 30.09C, Humidity: 84, Wind: From WSW at 1.54KPH, Updated: 1:54AM #Delhi #Weather",,1,False,current news ,0,False,None
5,WeatherNDelhi,WeatherNewDelhi,2021-08-15 20:24:52,"Right now: Mist, Temperature: 30.09C, Humidity: 84, Wind: From WSW at 1.54KPH, Updated: 1:54AM #Delhi #Weather","New Delhi, India",1,False,WeatherNDelhi,0,False,None
6,taab_e_sukhan,مصطفىىٰ,2021-08-15 20:19:39,"RT @ishadrita: Okay, have to say this- Hyderabad is probably the most underrated Indian metropolitan city. Great standard of living, amazin…",,357,False,Twitter for iPhone,0,False,None
7,Syedmin72840001,Syedminhaj,2021-08-15 20:10:16,"RT @ishadrita: Okay, have to say this- Hyderabad is probably the most underrated Indian metropolitan city. Great standard of living, amazin…",,357,False,Twitter for Android,0,False,None
8,theprtmk,Preetham Kumar,2021-08-15 19:53:56,"RT @ishadrita: Okay, have to say this- Hyderabad is probably the most underrated Indian metropolitan city. Great standard of living, amazin…","Montréal, Québec",357,False,Twitter for iPhone,0,False,None
9,WeatherNDelhi,WeatherNewDelhi,2021-08-15 19:24:52,"Right now: Mist, Temperature: 31.09C, Humidity: 79, Wind: From N at 0KPH, Updated: 12:54AM #Delhi #Weather","New Delhi, India",0,False,WeatherNDelhi,0,False,None
10,WeatherNDelhi,WeatherNewDelhi,2021-08-15 18:24:52,"Right now: Mist, Temperature: 31.09C, Humidity: 79, Wind: From N at 0KPH, Updated: 11:54PM #Delhi #Weather","New Delhi, India",0,False,WeatherNDelhi,0,False,None
11,prajwal__reddy,⅄ppƎɹ˥∀Mſ∀ɹԀ,2021-08-15 18:16:51,"RT @ishadrita: Okay, have to say this- Hyderabad is probably the most underrated Indian metropolitan city. Great standard of living, amazin…",India,357,False,Twitter for iPhone,0,False,None
12,Aman05322172,अमन मिश्रा युवा कांग्रेस,2021-08-15 17:52:38,"RT @srinivasiyc: Weather forecast for Red Fort, Delhi On 15th August 2021. https://t.co/Ma9B6mDbDR",अलसीसर जिला झुंझुनूं राजस्थान।,498,False,Twitter for Android,0,False,None
13,Sandeep_8888,Sandeep Thakur 🚩🇮🇳,2021-08-15 17:47:25,"RT @srinivasiyc: Weather forecast for Red Fort, Delhi On 15th August 2021. https://t.co/Ma9B6mDbDR","Dehra Gopipur, India",498,False,Twitter for Android,0,False,None
14,WeatherNDelhi,WeatherNewDelhi,2021-08-15 17:24:53,"Right now: Haze, Temperature: 32.09C, Humidity: 66, Wind: From N at 0KPH, Updated: 10:54PM #Delhi #Weather","New Delhi, India",0,False,WeatherNDelhi,1,False,None
15,CAA_256,Aditya,2021-08-15 17:22:05,"RT @ishadrita: Okay, have to say this- Hyderabad is probably the most underrated Indian metropolitan city. Great standard of living, amazin…","Hyderabad, India",357,False,Twitter for Android,0,False,None
16,ReformerNews1,ReformerNews,2021-08-15 16:27:10,Delhi’s ”Break Monsoon” Phase Likely To Continue Till August 18: Weather Department https://t.co/OvCDkL2PYg,,0,False,WordPress.com,0,False,None
17,WeatherNDelhi,WeatherNewDelhi,2021-08-15 16:24:53,"Right now: Haze, Temperature: 32.09C, Humidity: 66, Wind: From NW at 2.06KPH, Updated: 9:54PM #Delhi #Weather","New Delhi, India",0,False,WeatherNDelhi,0,False,None
18,Nenet_kharel,Nenet,2021-08-15 16:04:31,"RT @eva____anjali: Today's weather of delhi. Zero pollution.
#pollutionfreedelhi #Delhi https://t.co/477hDFcrt3",,2,False,Twitter for Android,0,False,None
19,hawee72,Harish Srinivasa,2021-08-15 15:57:18,"RT @srinivasiyc: Weather forecast for Red Fort, Delhi On 15th August 2021. https://t.co/Ma9B6mDbDR",,498,False,Twitter Web App,0,False,None
20,aniljames65,Anil James @ അനിൽ ജെയിംസ്,2021-08-15 15:55:59,"RT @srinivasiyc: Weather forecast for Red Fort, Delhi On 15th August 2021. https://t.co/Ma9B6mDbDR",Faridabad. ( From  കേരളം ),498,False,Twitter Web App,0,False,None
21,WeatherNDelhi,WeatherNewDelhi,2021-08-15 15:24:52,"Right now: Haze, Temperature: 33.09C, Humidity: 58, Wind: From NW at 2.06KPH, Updated: 8:54PM #Delhi #Weather","New Delhi, India",0,False,WeatherNDelhi,1,False,None
22,Agrawal_Raj,Raj Agrawal,2021-08-15 14:58:30,"[Automated]

#Delhi weather as of 20:28

33°C, feels like 39°C, haze, very poor air quality
Humidity 58%, Pressure… https://t.co/5JJ90i4wga",,0,False,Raj’s Automated Tweets,0,False,None
23,WeatherNDelhi,WeatherNewDelhi,2021-08-15 14:24:53,"Right now: Haze, Temperature: 33.09C, Humidity: 55, Wind: From NW at 2.06KPH, Updated: 7:54PM #Delhi #Weather","New Delhi, India",0,False,WeatherNDelhi,0,False,None
24,b0redenough,Pranav Shetty,2021-08-15 14:10:15,"RT @ishadrita: Okay, have to say this- Hyderabad is probably the most underrated Indian metropolitan city. Great standard of living, amazin…",,357,False,Twitter for Android,0,False,None
25,vagdevi21,indefinite_soul❤️,2021-08-15 14:07:22,"RT @ishadrita: Okay, have to say this- Hyderabad is probably the most underrated Indian metropolitan city. Great standard of living, amazin…","Hyderabad, India",357,False,Twitter for Android,0,False,None
26,AGirl_IsSou,Curious Girl 🔔,2021-08-15 14:03:35,"RT @ishadrita: Okay, have to say this- Hyderabad is probably the most underrated Indian metropolitan city. Great standard of living, amazin…",,357,False,Twitter for iPhone,0,False,None
27,Gulabiboss6,🔔,2021-08-15 13:50:59,"RT @ishadrita: Okay, have to say this- Hyderabad is probably the most underrated Indian metropolitan city. Great standard of living, amazin…",,357,False,Twitter for Android,0,False,None
28,_tAArun_,TR,2021-08-15 13:49:56,"RT @ishadrita: Okay, have to say this- Hyderabad is probably the most underrated Indian metropolitan city. Great standard of living, amazin…",,357,False,Twitter for iPhone,0,False,None
29,WeatherNDelhi,WeatherNewDelhi,2021-08-15 13:24:52,"Right now: Haze, Temperature: 34.09C, Humidity: 52, Wind: From WNW at 2.57KPH, Updated: 6:54PM #Delhi #Weather","New Delhi, India",0,False,WeatherNDelhi,0,False,None
30,DhasmanaRewat,Rewat Dhasmana,2021-08-15 13:05:41,"RT @iitdelhi: #IITDelhi #startup on mission to make ‘all-weather’ national flag 

https://t.co/WauKGhXq04",,15,False,Twitter for Android,0,False,None
31,DhasmanaRewat,Rewat Dhasmana,2021-08-15 13:05:38,"RT @Sunday_Standard: SWATRIC, an IIT Delhi-based startup has collaborated with the Flag Foundation of India to engineer a fabric suitable f…",,7,False,Twitter for Android,0,False,None
32,SaiDelhiNCR,"Sri Sathya Sai Seva Organisations, Delhi-NCR",2021-08-15 13:00:00,"To serve the society even in small ways is the noblest of actions.

Last Sunday, even amidst heavy rain 🌧️🌂☔️and di… https://t.co/PM3GKarCcs",Delhi-NCR,0,False,TweetDeck,5,False,None
33,MayankDas2687,Maynk TheIndian.,2021-08-15 12:58:14,@renan_lyngwa Hahaha really what a joke so many khasi's are working in Bangalore Mumbai Pune Kolkata Delhi Noida Gu… https://t.co/JnHOsHK2F7,"Mumbai, India",0,False,Twitter for iPhone,1,False,1426811696857841664
34,harshithsayzz,Harshith ᴿᵃᵈʰᵉˢʰʸᵃᵐ💞,2021-08-15 12:52:10,"RT @ishadrita: Okay, have to say this- Hyderabad is probably the most underrated Indian metropolitan city. Great standard of living, amazin…","Nizam, India ",357,False,Twitter for Android,0,False,None
35,aaipkyairport,"AAI Pakyong Airport, Sikim",2021-08-15 12:41:12,"@iambhutia Yes ,Delhi flight is coming twice/thrice in a week due extreme bad weather as well as less passenger loa… https://t.co/CAr6pT696S","Pakyong Airport, Sikim ",0,False,Twitter for Android,1,False,1426806453998821380
36,RajeshChinnam,Rajesh Chinnam🇮🇳,2021-08-15 12:30:30,"RT @ishadrita: Okay, have to say this- Hyderabad is probably the most underrated Indian metropolitan city. Great standard of living, amazin…",Hyderabad,357,False,Twitter for iPhone,0,False,None
37,WeatherNDelhi,WeatherNewDelhi,2021-08-15 12:24:53,"Right now: Clouds, Temperature: 34.09C, Humidity: 52, Wind: From WNW at 3.09KPH, Updated: 5:54PM #Delhi #Weather","New Delhi, India",0,False,WeatherNDelhi,1,False,None
38,Agrawal_Raj,Raj Agrawal,2021-08-15 11:58:20,"[Automated]

#Delhi weather as of 17:28

35°C, feels like 40°C, few clouds, very poor air quality
Humidity 49%, Pre… https://t.co/KJphzEL2uv",,0,False,Raj’s Automated Tweets,0,False,None
39,Namrata36102894,Janhvikapoorlove,2021-08-15 11:55:53,"RT @ishadrita: Okay, have to say this- Hyderabad is probably the most underrated Indian metropolitan city. Great standard of living, amazin…",,357,False,Twitter Web App,0,False,None
40,BikramS01513033,ਚ‍‍ੜਤ ਸਿੰਘ ਖਾਲਸਾ,2021-08-15 11:31:48,RT @Akali_Dal_: .@capt_amarinder your claim of helping farmers agitation is laughable! Help: By letting them face miserable weather conditi…,,34,False,Twitter for Android,0,False,None
41,dheerajsingh09,Dheeraj Singh,2021-08-15 11:27:17,"RT @srinivasiyc: Weather forecast for Red Fort, Delhi On 15th August 2021. https://t.co/Ma9B6mDbDR","Bhiwani, India",498,False,Twitter for iPhone,0,False,None
42,WeatherNDelhi,WeatherNewDelhi,2021-08-15 11:24:52,"Right now: Clouds, Temperature: 35.09C, Humidity: 49, Wind: From NW at 3.6KPH, Updated: 4:54PM #Delhi #Weather","New Delhi, India",0,False,WeatherNDelhi,0,False,None
43,Junaid124000,Junaid Siddiqui,2021-08-15 11:22:46,"RT @srinivasiyc: Weather forecast for Red Fort, Delhi On 15th August 2021. https://t.co/Ma9B6mDbDR",,498,False,Twitter for Android,0,False,None
44,RajeevNarayan01,Rajeev Narayan Prasad,2021-08-15 11:11:32,"RT @srinivasiyc: Weather forecast for Red Fort, Delhi On 15th August 2021. https://t.co/Ma9B6mDbDR","Ranchi, India",498,False,Twitter for Android,0,False,None
45,IYCJodhpur,Jodhpur Youth Congress,2021-08-15 11:09:39,"RT @srinivasiyc: Weather forecast for Red Fort, Delhi On 15th August 2021. https://t.co/Ma9B6mDbDR","Jodhpur, India",498,False,Twitter for Android,0,False,None
46,guyandtheworld,adarsh,2021-08-15 11:06:58,"actual unpopular opinion - bangalore sucks. it’s full of dust, gross mismanagement by the authorities and crowded c… https://t.co/NOeaETDcqW",gulag,1,False,Twitter for iPhone,29,False,None
47,surdeepbaid,surdeep kumar baid,2021-08-15 10:43:03,"RT @srinivasiyc: Weather forecast for Red Fort, Delhi On 15th August 2021. https://t.co/Ma9B6mDbDR",Kolkata ,498,False,Twitter for Android,0,False,None
48,WeatherNDelhi,WeatherNewDelhi,2021-08-15 10:24:53,"Right now: Haze, Temperature: 35.09C, Humidity: 49, Wind: From NW at 3.6KPH, Updated: 3:54PM #Delhi #Weather","New Delhi, India",0,False,WeatherNDelhi,0,False,None
49,Atul_Sharma_Iyc,Rahul Gandhi,2021-08-15 10:23:39,"RT @srinivasiyc: Weather forecast for Red Fort, Delhi On 15th August 2021. https://t.co/Ma9B6mDbDR",Betul,498,False,Twitter for Android,0,False,None
50,porendra,pratap porendra,2021-08-15 10:19:31,"RT @srinivasiyc: Weather forecast for Red Fort, Delhi On 15th August 2021. https://t.co/Ma9B6mDbDR",,498,False,Twitter for iPhone,0,False,None
