,Screen Name ,User Name ,Tweet Created At,Tweet Text,User Location,Retweet Count,Retweeted,Phone Type,Favorite Count,Favorited ,Replied
0,insiderbuyings,insiderbuying,2020-03-07 08:36:02,$DELL new insider selling: 111095 shares. https://t.co/eeRwGZJly9,,0,False,insiderbuyingselling,0,False,None
1,Bree_Dell,Bree,2020-03-07 08:35:46,"@justanothertown Raw...
Thelma
Green Inferno",Philippines,0,False,Twitter for Android,0,False,1236203996672454656
2,calabrese_u,U Calabrese,2020-03-07 08:35:43,"RT @acmilan: #OnThisDay 🗓
On our first visit to Heysel following the 1985 tragedy, our Captain @FBaresi paid tribute to the victims ❤

In u…",Italia,61,False,Twitter for Android,0,False,None
3,iam_Johnwinner,Virgin Boy🇳🇬,2020-03-07 08:35:09,"RT @TWEETORACLE: Get yourself one of these Impeccably functional Lappy.
Dell LATITUDE 5480
MANUFACTURED 2018
Intel core i5
256GB SSD
8GB RA…",Nigeria,6,False,Twitter for Android,0,False,None
4,MacPCParts,Jason Jacob,2020-03-07 08:34:11,"Dell Inspiron 11 (3153) Motherboard System Board with Intel i3 2.3GHz CPU - 04R7J
https://t.co/VOM8w64pMA https://t.co/uhSvfkWc7C",,0,False,IFTTT,0,False,None
5,M_A_Dell,Megan A. Dell Author,2020-03-07 08:33:57,"Morning #WritingCommunity. I've not been on here for a few days, it's been a busy week for me. But back to the edit… https://t.co/X1eWFrKEaq",,0,False,Twitter for Android,0,False,None
6,Hello_Opik,radenmasopik,2020-03-07 08:33:20,"RT @acmilan: #OnThisDay 🗓
On our first visit to Heysel following the 1985 tragedy, our Captain @FBaresi paid tribute to the victims ❤

In u…","Bogor, Jawa Barat",61,False,Twitter for Android,0,False,None
7,gearoidtgriffin,Gearoid Griffin,2020-03-07 08:33:06,RT @DellTechWorld: Please see our statement regarding Dell Technologies World 2020. https://t.co/ZeSb20rMyK,"Cork, Ireland",62,False,Twitter for iPhone,0,False,None
8,triolone,Federica Triolone,2020-03-07 08:32:58,"RT @acmilan: #OnThisDay 🗓
On our first visit to Heysel following the 1985 tragedy, our Captain @FBaresi paid tribute to the victims ❤

In u…",,61,False,Twitter for Android,0,False,None
9,OkonoDestine,DeBass,2020-03-07 08:32:54,"@___yummii @thaonlyfetty A new phone and a new dell alienware laptop.......with that, more money is assured 😁",,0,False,Twitter for Android,0,False,1236170875130589186
10,EpikAsia,Asia Rogaishio,2020-03-07 08:31:06,"@AshNicholsArt @AshNicholsArt uh.... Get this one... I have this at work. ASH, THE COLOR IS SO UNREAL, IT'S THE SHA… https://t.co/FgcqMPKbeg",No Where and Every Where,0,False,Twitter for Android,0,False,1236194280521093131
11,cinziaserra,Cinzia Serra,2020-03-07 08:30:27,RT @DellTechWorld: Please see our statement regarding Dell Technologies World 2020. https://t.co/ZeSb20rMyK,Turin,62,False,Twitter for iPhone,0,False,None
