,Screen Name ,User Name ,Tweet Created At,Tweet Text,User Location,Retweet Count,Retweeted,Phone Type,Favorite Count,Favorited ,Replied
0,vallabhthanvi,Vallabh Thanvi,2020-02-25 08:48:46,"RT @IndiaToday: Did you know before Melania Trump got married to US Prez Donald Trump, she was a supermodel who wasn’t originally from the…",,15,False,Twitter for Android,0,False,None
1,suepatroit,Sue,2020-02-25 08:48:44,"RT @retired9941: Eric Trump slams Sanders: 'He has three accomplishments, two of which are naming post offices'

https://t.co/xUnlvHPSs5","Michigan, USA",6,False,Twitter for Android,0,False,None
2,MEI38245401,ME&I,2020-02-25 08:48:41,"RT @GaillardAlda: As Trump visits India, on the table: plan to counter China’s reach with Blue Dot network
From        @ME&amp;I#9741 ⁦@Patriot…",,1,False,Twitter Web App,0,False,None
3,MaPathan2,Ali asif,2020-02-25 08:48:41,RT @MichaelKugelman: 5 dead in the Indian capital on the day that Donald Trump arrives there. Think about that for a moment. This has becom…,,1016,False,Twitter Web App,0,False,None
4,Fahad74166074,Fahad_atiq,2020-02-25 08:48:40,"RT @MaleehaHashmey: Today's Practical Joke: 😂

US President #DonaldTrump PRAISES #Pakistan while standing on Indian soil &amp; Modi even forgot…",United Arab Emirates Hamdan,133,False,Twitter for Android,0,False,None
5,1liners,JES,2020-02-25 08:48:40,"RT @BoycottUtah: It is Tuesday, February 25, 2020.  One citizen, I call for the removal from office by any legal means, the impeached fasci…",,83,False,Twitter Web App,0,False,None
6,cchandramouli1,C. Chandramouli,2020-02-25 08:48:39,RT @TOIDelhi: US President Donald Trump with First Lady Melania Trump paid homage to Mahatma Gandhi at his memorial - Rajghat. https://t.co…,"New Delhi/Jaipur, INDIA",2,False,Twitter for Android,0,False,None
7,cross4don,OSAYI AUGUSTINE,2020-02-25 08:48:38,RT @NigeriaNewsdesk: Boko Haram: Pastor begs Donald Trump to save Nigerians https://t.co/zdYNfJrh2h,,5,False,Twitter Web App,0,False,None
8,schitter,Karl Schramm,2020-02-25 08:48:36,RT @TimOBrien: “Bernie Sanders says he’s the Democrat best-equipped to defeat Donald Trump in November. But Florida Democrats insist he‘s t…,"Los Gatos, CA",429,False,Twitter for iPad,0,False,None
9,kbhan89,Kuldeep Bhan,2020-02-25 08:48:36,"#America loves #India, will always be faithful and loyal friend: @realDonaldTrump
https://t.co/r0rSRrKaWZ",Jammu And Kashmir,0,False,Twitter for Android,0,False,None
10,kimlara4444444,kim lara,2020-02-25 08:48:36,Donald Trump greeted by huge crowds during official visit to India https://t.co/6vr3UwQO1n via @YouTube,Calif. from OHIO,0,False,Twitter Web Client,0,False,None
11,MoHsInTaHiR19,MoHsIn TaHiR,2020-02-25 08:48:35,RT @ANI: Uttar Pradesh: US President Donald Trump's daughter Ivanka Trump and her husband Jared Kushner at the Taj Mahal in Agra. https://t…,Uttar Pradesh ,140,False,Twitter for Android,0,False,None
12,BreasleyAdam,Adam Breasley😷✊,2020-02-25 08:48:35,RT @aiww: Delhi rocked by deadly protests during Donald Trump's India visit | India | The Guardian https://t.co/8YVA80VKHu,,8,False,Twitter Web App,0,False,None
13,BrianASpeer,Brian Speer,2020-02-25 08:48:35,"RT @charliekirk11: Maxine Waters just said that members of the “crips &amp; bloods” have more integrity than Donald Trump

Democrats defend any…",Christian :: Husband :: Dad ,1730,False,Twitter for iPhone,0,False,None
