,Screen Name ,User Name ,Tweet Created At,Tweet Text,User Location,Retweet Count,Retweeted,Phone Type,Favorite Count,Favorited ,Replied
0,KarenVendy,Kaz Raw Vegan Vendy,2020-02-23 11:37:23,"A large scale 5G network engineering program will be piloted in Wuhan. By 2020, 5G network will cover every corner… https://t.co/fZFIH3stnW",AUSTRALIA,0,False,Twitter Web App,0,False,None
1,AminnRiaz,AMIN RIAZ,2020-02-23 11:37:18,"RT @AltaayrFaaris: #لفافیاسب_سےبڑامافیا
Begin lifaafa's Accountability 
There are no professional organizations like bar associations or en…","Punjab, Pakistan",2,False,Twitter for iPhone,0,False,None
2,byunluhan,zahra♡⁷⁷,2020-02-23 11:37:13,"RT @mylovelywooseok: After 5 years, I’m finally graduated with Bachelor of Science in Advanced Materials Science and Engineering from Sungk…",,1392,False,Twitter for Android,0,False,None
3,ManorfieldPri,Manorfield Primary S,2020-02-23 11:37:12,"A group of children visited @CityUniLondon before the half-term break for an engineering workshop.

Their challenge… https://t.co/fr4gDcDVFG",,0,False,Twitter Web App,0,False,None
4,offethhacker,Ethical Hacker,2020-02-23 11:37:09,"RT @0verfl0w_: Time for another post! Following on from last week's blog, we're statically reversing stage 2 of our shellcode, which incorp…",127.0.0.1,33,False,Twitter for Android,0,False,None
5,Chyke11,Bow and go😎,2020-02-23 11:36:56,"@Ifechideere My thoughts honestly, if the SE as presently constituted breaks off, with proper leadership they can a… https://t.co/WKMjFFqkMe","Abuja, Nigeria.",0,False,Twitter for Android,0,False,1231359548813869056
6,cogera2017,COGERA,2020-02-23 11:36:54,"@KHerriage Agreed! My profession is chemical production and power engineering, that being said wind turbines are br… https://t.co/jK4PDuxM5D",,0,False,Twitter for iPhone,0,False,1231524299703541762
7,r3al__AJ,AJ 🦅,2020-02-23 11:36:48,"I think I’m done talking bout the courses and apps, that’s literally the most important apps you’ll come across in… https://t.co/QCKjcTxFkx","Mersin, Turkey",0,False,Twitter for iPhone,1,False,1231542442874241025
8,ThetaSolutions,Theta Solutions,2020-02-23 11:36:23,"This is the best time for an AR/VR Engineer!

Detail: https://t.co/FYgBvTLu98

#Theta #ThetaSolutions #ThetaTrainings","Sialkot, Pakistan",0,False,Twitter Web App,0,False,None
9,Se_Railway,Southeastern,2020-02-23 11:36:21,"@frathgeber Hi Florian, the services in our metro area that go through London Bridge to St Pancras and beyond are r… https://t.co/N1BfR8rAGK","London, Kent and East Sussex",0,False,Hootsuite Inc.,0,False,1231540871306280960
