,Screen Name ,User Name ,Tweet Created At,Tweet Text,User Location,Retweet Count,Retweeted,Phone Type,Favorite Count,Favorited ,Replied
0,thepyramidcafe,Pyramid Cafè,2020-03-07 08:16:23,HTC is Hosting Its Next Developer Conference in VR Amid Coronavirus Concerns https://t.co/zSLoQzvxwn,#SecondLife Solaris Island ,0,False,IFTTT,0,False,None
1,cryptobusiness1,Crypto Business,2020-03-07 08:12:16,"BitcoinNews: ""HTC Unveils Privacy Protecting 5G Router, Pundi X Finalizes Blockchain Phone Prototype… https://t.co/5OBSN6rWq5",Cyprus,0,False,IFTTT,0,False,None
2,CoolDealCA,CoolDeal,2020-03-07 08:07:13,"STSS via Amazon [] has *AUKEY Quick Charge 3.0 USB Wall Charger 4 Ports 42W Travel Charger, Compatible Samsung Gala… https://t.co/RJFvqYTMGZ",United States,0,False,scal.club,0,False,None
3,JacobusSystems,Jacobus Systems,2020-03-07 08:04:42,RT @ESP32net: “Esper” (@JaspervanLoenen) — a VR installation using 60 ESP32-CAM wireless IP cameras with a custom mounting and power system…,"Brighton & Hove, UK",1,False,Jacobus Systems 1,0,False,None
4,ESP32net,ESP32,2020-03-07 08:04:31,“Esper” (@JaspervanLoenen) — a VR installation using 60 ESP32-CAM wireless IP cameras with a custom mounting and po… https://t.co/LCR6Uz8yi0,The Internet of Things,1,False,Tweetbot for Mac,3,False,None
5,techpeepee,📱🍆🍆,2020-03-07 08:00:01,tablet self-driving lte meteor lake htc google tpu 🍆 🍆,Your Internets,0,False,TWlTTER,0,False,None
6,zozanation,HAITAKI HASIRA BY DOMANI MUNGA is Out #LINKINBIO,2020-03-07 07:56:08,"RT @zozanation: Get your Haitaki Hasira T-shirts at Geng Geng Collections
#ZOZANATION #WAKADINALI #RONGRENDE #HAITAKIHASIRA
Starehe
0790 83…","Nairobi, Kenya",2,False,Twitter for Android,0,False,None
7,Charlieasike,AsiKE,2020-03-07 07:52:56,"RT @zozanation: Get your Haitaki Hasira T-shirts at Geng Geng Collections
#ZOZANATION #WAKADINALI #RONGRENDE #HAITAKIHASIRA
Starehe
0790 83…","Nairobi, Kenya",2,False,Twitter for Android,0,False,None
8,FawaShah,Farah Shah,2020-03-07 07:50:58,RT @ohioantiquities: Shop my sale: 15% off. https://t.co/DhCiFnaJLq #etsy #ohioantiques #etsyfinds #etsygifts #etsysale #etsycoupon #shopsm…,Sitting at the Kitchen table,4,False,Twitter for Android,0,False,None
9,Nikolet63505891,Nikoleta Maxitani,2020-03-07 07:48:58,RT @RtoVR: HTC is Hosting Its Next Developer Conference in VR Amid Coronavirus Concerns https://t.co/CJ1mOEBbwu @htcvive https://t.co/5mjKy…,"Θεσσαλονίκη, Ελλάς",27,False,Twitter for Android,0,False,None
