,Screen Name ,User Name ,Tweet Created At,Tweet Text,User Location,Retweet Count,Retweeted,Phone Type,Favorite Count,Favorited ,Replied
0,ymaggarwal,🦜🦋🍁Maverick🏵🦚🇮🇳,2021-08-12 13:35:29,"RT @moon_chandani: Nimgiri, Junnar, Pune https://t.co/B2ZYapbEwS","Ghaziabad, India",3,False,Twitter for Android,0,False,None
1,fingeritis,Fingeritis,2021-08-12 01:07:21,"@thebetterindia Reverse Waterfall Naneghat
095456 20541
https://t.co/qyWmIrVJG2",Earth ,0,False,Twitter for Android,0,False,1425480812229664772
2,moon_chandani,Chandni,2021-08-11 19:30:26,"RT @moon_chandani: Nimgiri, Junnar, Pune https://t.co/B2ZYapbEwS",KANPUR ,3,False,Twitter Web App,0,False,None
3,Niche2300,NicheJourno,2021-08-11 12:39:46,"RT @viralvdoz: Video: Mysterious bike without rider spotted running on Pune-Nashik Highway
https://t.co/rjA6LHq7jN
#Bullet #Pune #Nashik #P…",Global Location,1,False,Twitter for Android,0,False,None
4,viralvdoz,ViralVdoz,2021-08-11 12:37:35,"Video: Mysterious bike without rider spotted running on Pune-Nashik Highway
https://t.co/rjA6LHq7jN
#Bullet #Pune… https://t.co/HbPlAP52tZ","London, UK",1,False,Twitter Web App,1,False,None
5,imran_almel,imran almel,2021-08-11 07:02:53,RT @techmahindracsr: Some glimpses from our recent #COVIDRelief distribution drive held in the nearby areas of Junnar (Pune). Our location…,,1,False,Twitter for Android,0,False,None
6,techmahindracsr,Tech Mahindra Foundation,2021-08-11 06:50:22,Some glimpses from our recent #COVIDRelief distribution drive held in the nearby areas of Junnar (Pune). Our locati… https://t.co/vhw4Pwrcyn,India,1,False,Twitter Web App,10,False,None
7,Krishnavallabhi,Krishnapreeti,2021-08-11 02:19:54,"#Shri_Vighneshwar
This temple located on the banks of River Kukdi, fortified on all four sides,is spiritually activ… https://t.co/opARYan3k6",,0,False,Twitter for Android,1,False,1425280785276227589
8,AdityaT93647042,Aditya Tiwari,2021-08-10 19:21:50,"RT @moon_chandani: Nimgiri, Junnar, Pune https://t.co/B2ZYapbEwS","उत्तर प्रदेश, भारत",3,False,Twitter for Android,0,False,None
9,moon_chandani,Chandni,2021-08-10 19:18:30,"Nimgiri, Junnar, Pune https://t.co/B2ZYapbEwS",KANPUR ,3,False,Twitter Web App,14,False,None
10,kolhevinaykumar,श्री. विनय शिरीष कोल्हे,2021-08-10 18:03:24,Just posted a photo @ Junnar/जुन्नर https://t.co/0b0xjYOz03,Pune,0,False,Instagram,0,False,None
11,AnimalNsw2015,ANIMAL JUSTICE NSW,2021-08-10 11:11:29,RT @WildlifeSOS: An adult male #leopard broke into a school canteen in #Maharashtra &amp; was successfully rescued in a 4 hr long  operation by…,Sydney Australia,49,False,Twitter for iPhone,0,False,None
12,anupsatphale,Anup Satphale,2021-08-09 16:12:56,"@MahaForest department's initiative to prevent Human animal conflict.
#animals #wildlife #conflict #PUNE… https://t.co/hKUuYVaDxj","Pune, India",0,False,Twitter for Android,0,False,None
13,RetweetsMumbai,Mumbai News & Retweets,2021-08-08 13:04:45,"RT @SFVResort: Congratulations @Neeraj_chopra1 

Visit once and Win a #goldmedal of #Peace and #Serenity

Visit :- https://t.co/4jrJBO45DE…",Mumbai,1,False,RetweetsMumbaiOne,0,False,None
14,SFVResort,Shivneri Fort Valley Resort,2021-08-08 13:01:10,"Congratulations @Neeraj_chopra1 

Visit once and Win a #goldmedal of #Peace and #Serenity

Visit :-… https://t.co/IAIh1pTFzJ","Junnar, India",1,False,Twitter for Android,2,False,None
15,RetweetsMumbai,Mumbai News & Retweets,2021-08-08 12:47:10,"RT @Mybhumi_Resort_: Congratulations @Neeraj_chopra1 
Win a Gold Medal of #Peace #Enjoyment #Relax

𝗠𝗮𝗸𝗶𝗻𝗴 𝘆𝗼𝘂𝗿 𝘀𝘁𝗮𝘆 𝗺𝗲𝗺𝗼𝗿𝗮𝗯𝗹𝗲
@Mybhumi_Res…",Mumbai,1,False,RetweetsMumbaiOne,0,False,None
16,Mybhumi_Resort_,Mybhumi Agro Tourism,2021-08-08 12:43:19,"Congratulations @Neeraj_chopra1 
Win a Gold Medal of #Peace #Enjoyment #Relax

𝗠𝗮𝗸𝗶𝗻𝗴 𝘆𝗼𝘂𝗿 𝘀𝘁𝗮𝘆 𝗺𝗲𝗺𝗼𝗿𝗮𝗯𝗹𝗲… https://t.co/2SPKLNQFff","Junnar, India",1,False,Twitter for Android,1,False,None
17,greentimes999,mari smet,2021-08-07 18:32:51,RT @WildlifeSOS: An adult male #leopard broke into a school canteen in #Maharashtra &amp; was successfully rescued in a 4 hr long  operation by…,,49,False,Twitter Web App,0,False,None
18,Shubhan17336498,Shubhangi Jadhav,2021-08-07 03:52:15,RT @Krishnavallabhi: The self-materialized seat of #Shri_Girijatmaj is on the top of d mountain #Lenyadri in the midst of stone cave carvin…,,10,False,Twitter for Android,0,False,None
19,BrigitteCavana2,Brigitte Cavanagh,2021-08-07 02:48:43,RT @WildlifeSOS: An adult male #leopard broke into a school canteen in #Maharashtra &amp; was successfully rescued in a 4 hr long  operation by…,Vancouver.  Canada,49,False,Twitter Web App,0,False,None
20,MumbaiNewsRT,Mumbai News,2021-08-06 11:35:42,"RT @MirrorNow: In a tragic incident, a Delhi woman died after she fell from Jivdhan fort while trekking in Pune district of Maharashtra on…",,1,False,Mumbai News,0,False,None
21,MirrorNow,Mirror Now,2021-08-06 11:30:00,"In a tragic incident, a Delhi woman died after she fell from Jivdhan fort while trekking in Pune district of Mahara… https://t.co/lj8ZQfSIYe",India,1,False,Twitter Web App,0,False,None
22,TransformerInd2,Transformer_India,2021-08-05 08:27:34,"@nitin_gadkari Great !!

Maharashtra is great State but both Central and State Government needs to do more to impro… https://t.co/CRkCoQf2up",,0,False,Twitter for Android,2,False,1423180058357682178
23,JasonKILLpatriK,Jason KILLpatricK,2021-08-05 05:56:31,RT @WildlifeSOS: An adult male #leopard broke into a school canteen in #Maharashtra &amp; was successfully rescued in a 4 hr long  operation by…,East Tennessee USA,49,False,Twitter for Android,0,False,None
24,punekarnews,Punekar News,2021-08-05 05:27:39,#Pune: Develop Junnar’s Buddhist Caves As A World Tourist Destination: MP @MPGirishBapat Bapat… https://t.co/7w3Vbes5Eb,Pune,0,False,Twitter for Android,0,False,None
25,ShabbottMary,Mary shabbott,2021-08-04 21:23:38,RT @WildlifeSOS: An adult male #leopard broke into a school canteen in #Maharashtra &amp; was successfully rescued in a 4 hr long  operation by…,,49,False,Twitter for iPhone,0,False,None
