,Screen Name ,User Name ,Tweet Created At,Tweet Text,User Location,Retweet Count,Retweeted,Phone Type,Favorite Count,Favorited ,Replied
0,Musca_dom,Musca autumnalis* (*seasonal flavor),2020-02-23 11:41:10,@AngryRadFemMums People shouldn't have to go through this when performing a smear test (or any other medical procedure).,Finland,0,False,Twitter Web App,0,False,1230828724809060359
1,dtcav,Donna Cavanagh,2020-02-23 11:41:07,@MarkRuffalo @Miriam2626 Only if we have to. you are not concerned over no medical records or the fact that he knew… https://t.co/6UJh10js87,"Philadelphia, PA",0,False,Twitter for iPhone,0,False,1231398153301176327
2,Nebxvibes,#Team360NH,2020-02-23 11:41:06,Human Resources Manager at a State-of-the-art Medical Centre – Lead Enterprise Support Company Limited… https://t.co/VVo57fE2wa,"Lagos, Nigeria",0,False,WordPress.com,0,False,None
3,JonnyGucks,Jonny Guckian,2020-02-23 11:41:05,"RT @ESanganyado: I got an email asking me to submit a manuscript in a medical journal. Despite my ignorance regarding medicine, the pressur…","Leeds, England",754,False,Twitter for iPhone,0,False,None
4,Rainer_Klute,Rainer Klute,2020-02-23 11:41:04,@OliverHaas19 @kindofmagic4u @IchobanSlidid @Chr_schan @avi_shomer @MatthiasGrimm7 @Nuklearia @BjrnPeters3 … Its Re… https://t.co/fmQOZzcRYh,"Dortmund, Germany",0,False,TweetDeck,0,False,1231544416197849088
5,360NAIJAHITS,360NAIJAHITS.COM.NG🇳🇬🇨🇦,2020-02-23 11:41:03,Human Resources Manager at a State-of-the-art Medical Centre – Lead Enterprise Support Company Limited… https://t.co/0ESpN9Ql03,Nigeria,0,False,WordPress.com,0,False,None
6,jadntrumpebooks,Jaden Trump Ebooks,2020-02-23 11:41:03,release detailed medical records. I have been able to spend far less money than others on the Fox Network tonight at 10pm EST on,internet,0,False,dontrump_ebooks,0,False,None
7,suefew,Sue Fewster #POWA 🖐,2020-02-23 11:41:02,RT @AliAlbrecht5: What's most shocking about the DWP have nurses to do the medical exams and they're without doubt the progeny of Nazi nurs…,"Bury, Manchester, UK",9,False,Twitter for iPad,0,False,None
8,AdorahCiddy,ciddy adorah,2020-02-23 11:41:02,Human Resources Manager at a State-of-the-art Medical Centre – Lead Enterprise Support Company Limited… https://t.co/VOWXwYPM9W,Lagos State,0,False,WordPress.com,0,False,None
9,Alitwit11,Ali-twt,2020-02-23 11:40:59,"@Lghara93 @MSNBC MSNBand Leila,
Even according to the Regime's officials in Iran  food and medical equipment is not… https://t.co/Jq2QEhEeJ8",,0,False,Twitter for Android,0,False,1231295573594034177
10,_sara_jade_,💧Sara,2020-02-23 11:40:59,@kezincanberra Massive stress especially with the govt breathing down his  neck. Morrison probably making decisions… https://t.co/rVLHqaJGzG,Australia,0,False,Twitter for iPhone,0,False,1231536783260704773
11,Butter747,Butter747,2020-02-23 11:40:57,"RT @reddogsusie: #TN #MEMPHIS
🆘🆘HELP NEEDED! 5wo #puppy LETHARGIC, NOT EATING-HAS RESCUE INTEREST BUT NEEDS #PLEDGES for her medical care!…",Mia Jax FL,564,False,Twitter for iPhone,0,False,None
12,KaanthanJ,Kaanthan Jawahar,2020-02-23 11:40:57,If you’re the ED doc and you’ve got a liaison psychiatry service then focus on the immediate medical management and… https://t.co/IvEIKRb2UJ,"Nottingham, England",0,False,Twitter for iPhone,0,False,None
13,lseefeldt3,Checks&Balances ✍️,2020-02-23 11:40:56,"RT @JCTheResistance: The Utah GOP has once again undermined the will of the voters.

Utah passed 3 ballot iniatives.

The GOP has undone Me…",Florida,952,False,Twitter for Android,0,False,None
14,Krishna70458022,Krishna mishra Mishra,2020-02-23 11:40:55,"RT @salonigkn: Video Credit 👉 @ramyanls to my buddy

@sidharth_shukla at an inguration medical ward of GHRC hospital #SidharthShukla
#SidHe…",,33,False,Twitter for Android,0,False,None
15,americanshadow,Shadow banned,2020-02-23 11:40:54,"RT @venezuelancon: A woman in Venezuela is forced to give birth on the lobby floor of a hospital, because they ran out of beds. There are n…",Be Prepared,91,False,Twitter Web App,0,False,None
16,RoyaltyMedical,Royalty Medical,2020-02-23 11:40:53,"Back Office Certified Medical Assistant - Whittier, CA https://t.co/zZuLNN46R7",United States,0,False,CATS Twitter Integration,0,False,None
17,SA55501,price,2020-02-23 11:40:52,@WPCION Daily thousands afghanis visits Pakistan for medical treatment .🙄,earth,0,False,Twitter for Android,0,False,1231543595959832577
18,philosophyjour,philosophicalsociety.net🇺🇸🇬🇧,2020-02-23 11:40:51,"RT @inthecopa: Simply heartbreaking - as mother and daughter exchange air hugs 😓

China’s medical personnel must endure family separations…","Sarasota, FL, USA ",89,False,Twitter Web App,0,False,None
19,Troller_Shukla,▄▀▄ 𝐓Ř𝓞Łˡέя 𝓢нỮк𝓵Ã ▄▀▄,2020-02-23 11:40:51,RT @ramyanls: While inaugurating the medical ward at GHRC @sidharth_shukla #SidharthShukla https://t.co/MuHVdfZCs9,"Mumbai, India ;)",327,False,Twitter for Android,0,False,None
