,Screen Name ,User Name ,Tweet Created At,Tweet Text,User Location,Retweet Count,Retweeted,Phone Type,Favorite Count,Favorited ,Replied
0,RetweetsMumbai,Mumbai News & Retweets,2021-08-15 23:51:52,"RT @WeatherMumbai: Right now: Clouds, Temperature: 25.99C, Humidity: 94, Wind: From N at 0KPH, Updated: 5:18AM #Mumbai #Weather",Mumbai,1,False,RetweetsMumbaiOne,0,False,None
1,WeatherMumbai,WeatherMumbai,2021-08-15 23:48:41,"Right now: Clouds, Temperature: 25.99C, Humidity: 94, Wind: From N at 0KPH, Updated: 5:18AM #Mumbai #Weather","Mumbai, India",1,False,WeatherMumbai,0,False,None
2,RetweetsMumbai,Mumbai News & Retweets,2021-08-15 22:49:43,"RT @WeatherMumbai: Right now: Haze, Temperature: 25.99C, Humidity: 94, Wind: From NNE at 2.06KPH, Updated: 4:18AM #Mumbai #Weather",Mumbai,1,False,RetweetsMumbaiOne,0,False,None
3,WeatherMumbai,WeatherMumbai,2021-08-15 22:48:41,"Right now: Haze, Temperature: 25.99C, Humidity: 94, Wind: From NNE at 2.06KPH, Updated: 4:18AM #Mumbai #Weather","Mumbai, India",1,False,WeatherMumbai,1,False,None
4,RetweetsMumbai,Mumbai News & Retweets,2021-08-15 21:50:12,"RT @WeatherMumbai: Right now: Haze, Temperature: 25.99C, Humidity: 94, Wind: From ESE at 1.54KPH, Updated: 3:18AM #Mumbai #Weather",Mumbai,1,False,RetweetsMumbaiOne,0,False,None
5,WeatherMumbai,WeatherMumbai,2021-08-15 21:48:40,"Right now: Haze, Temperature: 25.99C, Humidity: 94, Wind: From ESE at 1.54KPH, Updated: 3:18AM #Mumbai #Weather","Mumbai, India",1,False,WeatherMumbai,0,False,None
6,RetweetsMumbai,Mumbai News & Retweets,2021-08-15 20:49:42,"RT @WeatherMumbai: Right now: Haze, Temperature: 25.99C, Humidity: 94, Wind: From ENE at 2.06KPH, Updated: 2:18AM #Mumbai #Weather",Mumbai,1,False,RetweetsMumbaiOne,0,False,None
7,WeatherMumbai,WeatherMumbai,2021-08-15 20:48:41,"Right now: Haze, Temperature: 25.99C, Humidity: 94, Wind: From ENE at 2.06KPH, Updated: 2:18AM #Mumbai #Weather","Mumbai, India",1,False,WeatherMumbai,1,False,None
8,RetweetsMumbai,Mumbai News & Retweets,2021-08-15 19:49:43,"RT @WeatherMumbai: Right now: Haze, Temperature: 25.99C, Humidity: 94, Wind: From N at 0KPH, Updated: 1:18AM #Mumbai #Weather",Mumbai,1,False,RetweetsMumbaiOne,0,False,None
9,WeatherMumbai,WeatherMumbai,2021-08-15 19:48:41,"Right now: Haze, Temperature: 25.99C, Humidity: 94, Wind: From N at 0KPH, Updated: 1:18AM #Mumbai #Weather","Mumbai, India",1,False,WeatherMumbai,0,False,None
10,RetweetsMumbai,Mumbai News & Retweets,2021-08-15 18:51:01,"RT @WeatherMumbai: Right now: Haze, Temperature: 25.99C, Humidity: 94, Wind: From N at 0KPH, Updated: 12:18AM #Mumbai #Weather",Mumbai,1,False,RetweetsMumbaiOne,0,False,None
11,WeatherMumbai,WeatherMumbai,2021-08-15 18:48:46,"Right now: Haze, Temperature: 25.99C, Humidity: 94, Wind: From N at 0KPH, Updated: 12:18AM #Mumbai #Weather","Mumbai, India",1,False,WeatherMumbai,1,False,None
12,RetweetsMumbai,Mumbai News & Retweets,2021-08-15 17:50:58,"RT @WeatherMumbai: Right now: Haze, Temperature: 25.99C, Humidity: 94, Wind: From E at 2.57KPH, Updated: 11:18PM #Mumbai #Weather",Mumbai,1,False,RetweetsMumbaiOne,0,False,None
13,WeatherMumbai,WeatherMumbai,2021-08-15 17:48:40,"Right now: Haze, Temperature: 25.99C, Humidity: 94, Wind: From E at 2.57KPH, Updated: 11:18PM #Mumbai #Weather","Mumbai, India",1,False,WeatherMumbai,0,False,None
14,SnewoolAlt,Snowy Alt,2021-08-15 17:38:54,@Spider_Pant @Captain_L_e_v_i @TUnlimitedd @CricCrazyJohns they picked based on pitch and weather as weather also e… https://t.co/WFykIrNLaa,,0,False,Twitter Web App,0,False,1426959269023285248
15,RetweetsMumbai,Mumbai News & Retweets,2021-08-15 16:50:55,"RT @WeatherMumbai: Right now: Haze, Temperature: 25.99C, Humidity: 94, Wind: From E at 2.57KPH, Updated: 10:18PM #Mumbai #Weather",Mumbai,1,False,RetweetsMumbaiOne,0,False,None
16,WeatherMumbai,WeatherMumbai,2021-08-15 16:48:40,"Right now: Haze, Temperature: 25.99C, Humidity: 94, Wind: From E at 2.57KPH, Updated: 10:18PM #Mumbai #Weather","Mumbai, India",1,False,WeatherMumbai,0,False,None
17,RetweetsMumbai,Mumbai News & Retweets,2021-08-15 15:50:43,"RT @WeatherMumbai: Right now: Haze, Temperature: 25.99C, Humidity: 94, Wind: From E at 3.09KPH, Updated: 9:18PM #Mumbai #Weather",Mumbai,1,False,RetweetsMumbaiOne,0,False,None
18,WeatherMumbai,WeatherMumbai,2021-08-15 15:48:41,"Right now: Haze, Temperature: 25.99C, Humidity: 94, Wind: From E at 3.09KPH, Updated: 9:18PM #Mumbai #Weather","Mumbai, India",1,False,WeatherMumbai,1,False,None
19,IndiAves,IndiAves,2021-08-15 15:00:24,"RT @FoxBat_IND: #Cattle egret in classic pose but rather unhappy about the #weather it seems.
Unfortunately, no longer a common sight in #M…",India,3,False,Twitter Web App,0,False,None
20,RetweetsMumbai,Mumbai News & Retweets,2021-08-15 15:00:01,"RT @Agrawal_Raj: [Automated]

#Mumbai weather as of 20:28

26°C, feels like 26°C, haze, 0.21mm rain last 1h, poor air quality
Humidity 94%,…",Mumbai,1,False,RetweetsMumbaiOne,0,False,None
21,Agrawal_Raj,Raj Agrawal,2021-08-15 14:58:28,"[Automated]

#Mumbai weather as of 20:28

26°C, feels like 26°C, haze, 0.21mm rain last 1h, poor air quality
Humidi… https://t.co/XLqhymdUXl",,1,False,Raj’s Automated Tweets,0,False,None
