,Screen Name ,User Name ,Tweet Created At,Tweet Text,User Location,Retweet Count,Retweeted,Phone Type,Favorite Count,Favorited ,Replied
0,NaziaKabanii,Nazia Kabani,2021-08-16 14:59:20,"Well, at least the weather is good. #MumbaiWeather","Mumbai, India",0,False,Twitter for Android,1,False,None
1,RetweetsMumbai,Mumbai News & Retweets,2021-08-16 10:50:20,"RT @fpjindia: #Mumbai weather update: Monsoon revives after a two weeks lull; reports @diptivsingh 
#MumbaiRains #MumbaiWeather 
https://t.…",Mumbai,1,False,RetweetsMumbaiOne,0,False,None
2,fpjindia,Free Press Journal,2021-08-16 10:49:45,"#Mumbai weather update: Monsoon revives after a two weeks lull; reports @diptivsingh 
#MumbaiRains #MumbaiWeather… https://t.co/9NAvFaP6io",India,1,False,Twitter Web App,1,False,None
3,viralvm69,viral mehta,2021-08-16 08:42:39,"RT @mybmc: #MumbaiWeather forecast 16 Aug, 2021: MODERATE RAIN IN CITY AND SUBURBS WITH POSSIBILITY OF HEAVY FALLS AT ISOLATED PLACES.

Hig…","Mumbai, India",1,False,Twitter for Android,0,False,None
4,iankitp,ᴀɴᴋɪᴛ,2021-08-16 07:51:27,"Cycling in the City!
#MondayMood #mumbaiweather https://t.co/WouBBfwe7O","Mumbai, India",0,False,Twitter for Android,5,False,None
5,mybmc,"माझी Mumbai, आपली BMC",2021-08-16 06:37:43,"#MumbaiWeather forecast 16 Aug, 2021: MODERATE RAIN IN CITY AND SUBURBS WITH POSSIBILITY OF HEAVY FALLS AT ISOLATED… https://t.co/9vJzcLu4p5","Mumbai, India",1,False,Twitter for Android,19,False,1427157497530359810
6,MyMumbaiWeather,My Mumbai Weather,2021-08-16 05:06:34,#MumbaiWeather PM Thunderstorms today! With a high of 30C and a low of 26C.,"Mumbai, India",0,False,IFTTT,0,False,None
7,iamsdadia,Shreyans,2021-08-16 02:31:45,"#MumbaiWeather - Sunrise: August 16, 2021 at 06:19AM AM Thunderstorms today! With a high of: 29C and a low of:26C… https://t.co/66XPJGXS5k",Mumbai,0,False,IFTTT,0,False,None
8,RetweetsMumbai,Mumbai News & Retweets,2021-08-15 14:47:37,RT @thewarriergal: The beautiful western railway head office in #Mumbai @incredibleindia @maha_tourism @WesternRly #photography #MumbaiRain…,Mumbai,6,False,RetweetsMumbaiOne,0,False,None
9,coloursofmumbai,Colours Of Mumbai,2021-08-15 14:47:14,RT @thewarriergal: The beautiful western railway head office in #Mumbai @incredibleindia @maha_tourism @WesternRly #photography #MumbaiRain…,Mumbai,6,False,Twitter for Android,0,False,None
10,RetweetsMumbai,Mumbai News & Retweets,2021-08-15 10:48:33,"RT @Dreamitbig135: #mumbaiweather today is pure Sunday bliss. Such days deserve nothing but good food, home comfort and couch loyalties :)…",Mumbai,1,False,RetweetsMumbaiOne,0,False,None
11,Dreamitbig135,Dreams&Hope,2021-08-15 10:45:34,"#mumbaiweather today is pure Sunday bliss. Such days deserve nothing but good food, home comfort and couch loyalties :)
#Mumbai #mumbaiRains","Mumbai, India",1,False,Twitter Web App,1,False,None
12,mayurirk,Moy,2021-08-15 08:00:47,Watching @modernlovetv season 1 on #IndependenceDay . May be little late in joining the party..But here I am. And t… https://t.co/PMQivsfiB2,Guwahati/Mumbai,0,False,Twitter for Android,0,False,None
13,LonavalaTourism,Lonavala Tourism,2021-08-15 06:02:07,"RT @ya_maddy12: The rain is falling and so I am...❤️

#lonavala #mumbai #mumbaimaharastra #lonavalarain #lonavaladiary #amachimumbai #mumba…","Lonavala, India",2,False,Twitter for Android,0,False,None
14,MyMumbaiWeather,My Mumbai Weather,2021-08-15 05:11:26,#MumbaiWeather Rain today! With a high of 29C and a low of 26C.,"Mumbai, India",0,False,IFTTT,1,False,None
15,kanchacheena78,Firoz,2021-08-15 03:47:18,"RT @RoarWeather: #India #IndianAirForce #IndianArmy #IndianNavy #IndiaAt75

#mumbairain #Mumbai #Goa #amrutmahotsav
#Maharashtra #mumbaiwea…",,2,False,Twitter for Android,0,False,None
16,RetweetsMumbai,Mumbai News & Retweets,2021-08-15 03:21:11,"RT @RoarWeather: #India #IndianAirForce #IndianArmy #IndianNavy #IndiaAt75

#mumbairain #Mumbai #Goa #amrutmahotsav
#Maharashtra #mumbaiwea…",Mumbai,2,False,RetweetsMumbaiOne,0,False,None
17,RoarWeather,RoarWeather 🌦🌾,2021-08-15 03:19:53,"#India #IndianAirForce #IndianArmy #IndianNavy #IndiaAt75

#mumbairain #Mumbai #Goa #amrutmahotsav
#Maharashtra… https://t.co/lkBIAIgydt",,2,False,Twitter for Android,4,False,None
18,iamsdadia,Shreyans,2021-08-15 02:31:48,"#MumbaiWeather - Sunrise: August 15, 2021 at 06:19AM Heavy Rain today! With a high of: 29C and a low of:26C #DailyUpdate #WeatherReports",Mumbai,0,False,IFTTT,0,False,None
19,GaikwadMantray,M.G / Mumbai & Konkan Goa weather ⛈️,2021-08-15 01:41:59,"RT @SkymetWeather: Such a pleasant start to a Sunday morning. 
#MumbaiRains #Mumbai #mumbaiweather https://t.co/6p2mALJytA","Mumbai, India",2,False,Twitter for Android,0,False,None
20,RetweetsMumbai,Mumbai News & Retweets,2021-08-15 01:10:20,"RT @SkymetWeather: Such a pleasant start to a Sunday morning. 
#MumbaiRains #Mumbai #mumbaiweather https://t.co/6p2mALJytA",Mumbai,2,False,RetweetsMumbaiOne,0,False,None
21,SkymetWeather,SkymetWeather,2021-08-15 01:09:59,"Such a pleasant start to a Sunday morning. 
#MumbaiRains #Mumbai #mumbaiweather https://t.co/6p2mALJytA",India,2,False,Twitter for Android,22,False,None
22,RetweetsMumbai,Mumbai News & Retweets,2021-08-14 13:11:45,"RT @ya_maddy12: The rain is falling and so I am...❤️

#lonavala #mumbai #mumbaimaharastra #lonavalarain #lonavaladiary #amachimumbai #mumba…",Mumbai,2,False,RetweetsMumbaiOne,0,False,None
23,ya_maddy12,Madhu Yadav,2021-08-14 13:06:41,"The rain is falling and so I am...❤️

#lonavala #mumbai #mumbaimaharastra #lonavalarain #lonavaladiary… https://t.co/jWAldl61mx",Gurgaon India,2,False,Twitter for Android,8,False,None
24,nishadkulkarni,Nishad Kulkarni 🇮🇳,2021-08-14 07:09:32,Insane rain in Mumbai region right now. Pleasant weather back again! #MumbaiRains #rain #mumbaiweather #navimumbai https://t.co/XX8P1pDM1L,"Mumbai / Aurangabad, India",0,False,Twitter for Android,1,False,None
25,MyMumbaiWeather,My Mumbai Weather,2021-08-14 05:13:33,#MumbaiWeather Cloudy today! With a high of 29C and a low of 26C.,"Mumbai, India",0,False,IFTTT,0,False,None
26,RetweetsMumbai,Mumbai News & Retweets,2021-08-14 02:31:36,"RT @fpjindia: #Mumbai: Latest updates on August 14 
#mumbairain #MumbaiPolice #MumbaiWeather #Maharashtra #Pune #COVID19 
https://t.co/qTSo…",Mumbai,1,False,RetweetsMumbaiOne,0,False,None
27,iamsdadia,Shreyans,2021-08-14 02:31:31,"#MumbaiWeather - Sunrise: August 14, 2021 at 06:19AM AM Rain today! With a high of: 30C and a low of:26C #DailyUpdate #WeatherReports",Mumbai,0,False,IFTTT,0,False,None
