,Screen Name ,User Name ,Tweet Created At,Tweet Text,User Location,Retweet Count,Retweeted,Phone Type,Favorite Count,Favorited ,Replied
0,Nepal_News_En,Nepal News English,2020-02-23 11:21:51,Khabarhub: NCP forms task force to suggest constitution-amendment proposal - https://t.co/X1eNmLFNNR,"Kathmandu, Nepal",0,False,Poster-app,0,False,None
1,nrajabpcl,Rajagopalan. N,2020-02-23 11:19:04,"RT @AjitsinhJagirda: To all fake Modi Bhakt account will never succeed. 

See how you all Congress +SP +BSP +TMC+NCP+DMK+CPI+
CPIM +PFI + s…",,1,False,Twitter for Android,0,False,None
2,ranjan14in,Ranjan Gupta,2020-02-23 11:17:41,"RT @ZeeNews: In tell-all book, ex-Mumbai Police chief Rakesh Maria claims he was unceremoniously transferred by Congress-NCP govt

https://…","Lucknow, Barabanki, India",92,False,Twitter for Android,0,False,None
3,ArjunM1412,Arjun Mohan,2020-02-23 11:16:00,"RT @MukulAgarwal66: What utter bullshit.
Basically, this is to forestall other cities to demand and existing cities to enhance metro.

NCP…","Mumbai, India",20,False,Twitter for Android,0,False,None
4,JunaidS75577028,Iam Junaid,2020-02-23 11:15:06,"@imtiaz_jaleel No need to proof sir #wesupportaimim
#wesupportwarispathan
#wesupportasaduddinowaisi
Bas ek request… https://t.co/ox3OdaeEOh",,0,False,Twitter for Android,0,False,1230839513712168961
5,RatnaniHitesh,હિતેશ રતનાણી,2020-02-23 11:10:24,"RT @MukulAgarwal66: What utter bullshit.
Basically, this is to forestall other cities to demand and existing cities to enhance metro.

NCP…","Pune, India",20,False,Twitter for Android,0,False,None
6,jduraj14,Janina 🇵🇱,2020-02-23 11:10:16,"RT @kr3at: Epidemiology expert on #CoronaVirus ""This virus... concerns me the most of everything I've worked on,"" warming it could ""potenti…","Torino, Piemonte",36,False,Twitter for Android,0,False,None
7,AjitsinhJagirda,ajitsinh Jagirdar 🇮🇳 #We_The_Threadeans,2020-02-23 11:09:52,"To all fake Modi Bhakt account will never succeed. 

See how you all Congress +SP +BSP +TMC+NCP+DMK+CPI+
CPIM +PFI… https://t.co/LtmUxKwRop",,1,False,Twitter Web App,2,False,None
8,farhanjavaid4,farhanjavaid,2020-02-23 11:00:09,Ncp leader Farhan kitab said that Pdd chief engineer ajaz dar writes me I have no fund for installation of electric… https://t.co/Qap9pBAoB3,Srinagar,0,False,Twitter Web App,0,False,None
9,ExploringTJ,Exploring Tianjin,2020-02-23 11:00:07,"#ExploringTianjin【The CARTOON GUIDE TO NCP PREVENTION AND CONTROL】(drawn by Zuo Chuan, Zhao Xinli, translated by Ge… https://t.co/wq358Qw1Od","Tianjin, China",0,False,Buffer,0,False,None
10,ArtiSharma001,#JaiShriRam🇮🇳ArtiSharma_VHS.,2020-02-23 10:59:41,"Dr @Swamy39
Cracks Widen In Maha Vikas Aghadi As  CM Uddhav’s Open Support To CAA, NPR Pinches NCP And Congress… https://t.co/PoOW7pTQXh",INDIA/ BHARAT.,0,False,Twitter for Android,1,False,None
11,rahshar2016,#Howdy Modi Ke Saath Mei Aur Mera Bharat 🇮🇳,2020-02-23 10:59:15,"RT @PoliticalKida: Shivsena backstabbed BJP after elections by joining hands with Congress &amp; NCP.

No wonder now CM @OfficeofUT is silent o…","Delhi, India",263,False,Twitter for Android,0,False,None
12,Online_khabar,Onlinekhabar,2020-02-23 10:55:33,"RT @OnlineKhabar_En: NCP forms task force to suggest constitution amendment proposal
#Nepal #politics
https://t.co/GgAPO4TOno https://t.co/…","BuddhaNagar, Kathmandu ",1,False,Twitter Web App,0,False,None
13,OnlineKhabar_En,OnlineKhabar_English,2020-02-23 10:54:47,"NCP forms task force to suggest constitution amendment proposal
#Nepal #politics
https://t.co/GgAPO4TOno https://t.co/emL8MlV18E",Kathmandu,1,False,Twitter Web App,0,False,None
14,Tocqueville001,⚖️🗽Tocqueville ✍️🗳,2020-02-23 10:47:04,"RT @Da_Show_Stopper: New coronavirus cases reported in South Korea and China, as Iran, Italy battle outbreak | CBC News https://t.co/hj0cqo…",🌎,1,False,Twitter for iPhone,0,False,None
15,Da_Show_Stopper,Bound Here By Evil!,2020-02-23 10:46:20,"New coronavirus cases reported in South Korea and China, as Iran, Italy battle outbreak | CBC News… https://t.co/NfEg3iaMzM",Shhhh,1,False,Twitter Web Client,0,False,None
16,hebdomedallic,Jhootball agent,2020-02-23 10:44:32,RT @prasannavishy: Maharashtra: Congress-NCP-Sena Govt Closes Project Launched By Fadnavis To Rid State Of Droughts; Data Tells It Was Succ…,Ahmedabad,162,False,Twitter for iPhone,0,False,None
17,MurariKainya,मुरारी,2020-02-23 10:42:23,From Discover on Google https://t.co/9Vp9SEN3YS,भारत,0,False,Twitter for Android,0,False,None
18,Surende91766301,Surender Kumar,2020-02-23 10:42:09,RT @AjitKDoval_FAN: It was so difficult for Cabinet Minister and NCP Leader Nawab Malik (Black Jacket) to raise hands to salute #Shivaji Ma…,,667,False,Twitter for Android,0,False,None
19,Jmeb80,Archellian,2020-02-23 10:41:39,@Scarlet0Pimp @ncp It's got ANPR,"53.26933,-2.121825",0,False,Twitter for Android,0,False,1231261037367844864
20,PrasadKarwa,Prasad Karwa,2020-02-23 10:35:24,"RT @MukulAgarwal66: What utter bullshit.
Basically, this is to forestall other cities to demand and existing cities to enhance metro.

NCP…","Bengaluru, India",20,False,Twitter for iPhone,0,False,None
21,vinodshadija,Vinod,2020-02-23 10:31:55,"RT @MukulAgarwal66: What utter bullshit.
Basically, this is to forestall other cities to demand and existing cities to enhance metro.

NCP…",Hyderabad,20,False,Twitter for Android,0,False,None
22,outrightlyyours,AntiConventional,2020-02-23 10:27:18,RT @AjitKDoval_FAN: It was so difficult for Cabinet Minister and NCP Leader Nawab Malik (Black Jacket) to raise hands to salute #Shivaji Ma…,"Pune, India",667,False,Twitter for iPhone,0,False,None
23,ACS20,Shankar,2020-02-23 10:26:35,RT @AjitKDoval_FAN: It was so difficult for Cabinet Minister and NCP Leader Nawab Malik (Black Jacket) to raise hands to salute #Shivaji Ma…,"Hindustan, Bharat",667,False,Twitter for Android,0,False,None
24,Sandeep_4800,Sandeep Kumar,2020-02-23 10:22:41,RT @AjitKDoval_FAN: It was so difficult for Cabinet Minister and NCP Leader Nawab Malik (Black Jacket) to raise hands to salute #Shivaji Ma…,"India, Noida",667,False,Twitter for iPhone,0,False,None
25,lyndall41055926,lyndall,2020-02-23 10:21:36,"RT @kr3at: Epidemiology expert on #CoronaVirus ""This virus... concerns me the most of everything I've worked on,"" warming it could ""potenti…",,36,False,Twitter Web App,0,False,None
26,asin1411,Asin,2020-02-23 10:21:33,RT @AjitKDoval_FAN: It was so difficult for Cabinet Minister and NCP Leader Nawab Malik (Black Jacket) to raise hands to salute #Shivaji Ma…,,667,False,Twitter for iPhone,0,False,None
27,INDDEA,INDEPENDENT DEMOCRATIC ASSOCIATES,2020-02-23 10:21:04,RT @AjitKDoval_FAN: It was so difficult for Cabinet Minister and NCP Leader Nawab Malik (Black Jacket) to raise hands to salute #Shivaji Ma…,India,667,False,Twitter for iPhone,0,False,None
28,MandarSawant184,Mandar Manmohan Sawant,2020-02-23 10:18:33,"RT @MukulAgarwal66: What utter bullshit.
Basically, this is to forestall other cities to demand and existing cities to enhance metro.

NCP…",Mumbai,20,False,Twitter for Android,0,False,None
29,Rajivan22291838,Chowkidar Rajivanand,2020-02-23 10:10:48,RT @AjitKDoval_FAN: It was so difficult for Cabinet Minister and NCP Leader Nawab Malik (Black Jacket) to raise hands to salute #Shivaji Ma…,,667,False,Twitter for Android,0,False,None
30,sBHm1,Shubham,2020-02-23 10:09:43,RT @AjitKDoval_FAN: It was so difficult for Cabinet Minister and NCP Leader Nawab Malik (Black Jacket) to raise hands to salute #Shivaji Ma…,,667,False,Twitter for Android,0,False,None
31,pabloidlisambar,pablo idlisambar,2020-02-23 10:01:53,"And the NCP, SS, Cong combine does nothing about it? What shit! https://t.co/xEcbm8cQF6",India,0,False,Twitter for iPhone,2,False,None
32,moliticsindia,Molitics,2020-02-23 10:01:40,"Thackeray Supports CAA, NCP and Congress Ask Him to Reconsider
@OfficeofUT @ShivSena @NCPspeaks @INCIndia… https://t.co/YgTmmiAhPo","Gurgaon, India",0,False,Twitter for Android,1,False,None
33,AshwaniChowdhry,Ashwani Chowdhry,2020-02-23 09:45:57,RT @prasannavishy: Maharashtra: Congress-NCP-Sena Govt Closes Project Launched By Fadnavis To Rid State Of Droughts; Data Tells It Was Succ…,"Lucknow, India",162,False,Twitter for Android,0,False,None
34,Findings2020,CoronaVirusInsider,2020-02-23 09:45:51,"RT @SwarajyaMag: Congress’ Manish Tewari asserted that CM Thackeray needs to be re-acquainted with the design of the Constitution.

https:/…",,4,False,Twitter for iPhone,0,False,None
