,Screen Name ,User Name ,Tweet Created At,Tweet Text,User Location,Retweet Count,Retweeted,Phone Type,Favorite Count,Favorited ,Replied
0,WhitestoneChina,WhitestoneDome_CN,2020-02-18 07:50:01,Best Tempered Glass Screen Protector For The Oneplus 7 Pro The Whiteston... https://t.co/zvaHCzpaJ7 via @YouTube… https://t.co/ULutRqzN1x,,0,False,Buffer,0,False,None
1,YashBarle2,Yash Barle,2020-02-18 07:49:52,"RT @OnePlus_IN: The search for our true #Techmates is still on. 

What is OnePlus 7T Pro’s camera’s field of view? 
(“A lot” won’t be consi…","Chhattisgarh, India",38,False,Twitter for Android,0,False,None
2,AnshulT_28,Anshul Tiwari,2020-02-18 07:48:45,RT @AnshulT_28: @oneplus @OnePlus_IN @OnePlus_Support  I am using a one plus 7pro and fade up with the hang issue. This is the ridiculous t…,"Noida, India",1,False,Twitter for Android,0,False,None
3,news18dotcom,News18.com,2020-02-18 07:47:56,#TechReview | This phone is a lot more than just enabling the S-Pen experience at a much lower price point.… https://t.co/XfCZxNk4ev,India,0,False,TweetDeck,0,False,None
4,gizmochina,GIZMOCHINA,2020-02-18 07:47:00,OnePlus 8 Pro may feature IP68 Water and Dust Resistance - Gizmochina https://t.co/PLcRGml592,,0,False,Buffer,0,False,None
5,ManthanNayani1,Manthan Nayani,2020-02-18 07:46:23,"RT @AMIT_GUJJU: Spent 10 yrs of my savings &amp; finally bought OnePlus 7T Pro.

Reply me Congratulations likh dein. 🙈 https://t.co/dV4Qe9pbUj",,176,False,Twitter for Android,0,False,None
6,Raju_0101,Raju,2020-02-18 07:45:46,"#Oneplus 8, 8 Pro &amp; 8Lite Prices,
Not Official
Source:Giztop
#Oneplus8 #Oneplus8Pro #Oneplus8Lite https://t.co/rQyC4hfwTe",India,0,False,Twitter for Android,0,False,None
7,Sri_teja_y,Sri Teja,2020-02-18 07:44:46,@OnePlus_IN Do you have any plans for smart watch in India,"Vijayawada, India",0,False,Twitter for Android,0,False,None
8,Upawhat,Upamanyu Yavalkar,2020-02-18 07:43:48,"So proud of our little team @LabsRonin for making big news!!
https://t.co/9lxuZg71XY","Pune, India",0,False,Twitter Web App,0,False,None
9,somsirsa,Somsirsa Chatterjee,2020-02-18 07:42:30,Samsung Galaxy Note10 Lite Review: The Battle With The OnePlus 7T is Too Close to Call https://t.co/fVYgRwRotA https://t.co/o4EZ5wmRHN,"Chandigarh, India",0,False,WordPress.com,0,False,None
10,Pritpalkaur123,Pritpal kaur,2020-02-18 07:38:56,"RT @DrHarshaliPHD: Spent 10 yrs of my savings &amp; finally bought iPhone 11 pro max and OnePlus 7T pro together 

Reply me Congratulations lik…",,30,False,Twitter Web App,0,False,None
11,Rohan74305492,Rohan,2020-02-18 07:38:44,"RT @AMIT_GUJJU: Spent 10 yrs of my savings &amp; finally bought OnePlus 7T Pro.

Reply me Congratulations likh dein. 🙈 https://t.co/dV4Qe9pbUj","Tamil Nadu, India",176,False,Twitter for Android,0,False,None
12,OnePlus_Support,OnePlus Support,2020-02-18 07:38:42,@khandevil78625 We completely understand the issue you are having with the device. We request you to send us a dire… https://t.co/GOr7zVsrST,,0,False, OneDirect Suite Apps,0,False,1229398001874980864
13,OnePlus_Support,OnePlus Support,2020-02-18 07:38:20,@upsfeup Thank you for reaching out to us. Kindly refer to the link to initiate a direct message so that we can dis… https://t.co/TPlT58cTzi,,0,False, OneDirect Suite Apps,0,False,1229502683364626433
14,Pricebaba,Pricebaba,2020-02-18 07:37:55,"OnePlus 7, 7 Pro and 7T Pro receive Jio VoWiFi support with latest update https://t.co/uOLKvI8rW6","Gurgaon, India",0,False,TweetDeck,1,False,None
15,OnePlus_Support,OnePlus Support,2020-02-18 07:37:06,@T1l3 Thank you for reaching out to us. We do acknowledge the concern you are having. We request you to send us a d… https://t.co/RLFs7wSbFm,,0,False, OneDirect Suite Apps,0,False,1229399019518152709
