,Screen Name ,User Name ,Tweet Created At,Tweet Text,User Location,Retweet Count,Retweeted,Phone Type,Favorite Count,Favorited ,Replied
0,ViralMNews,Viral News,2020-03-07 08:18:28,"Oppo Find X2 Pro, Find X2 With 120Hz Display, Snapdragon 865 SoC Launched: Price, Specifications https://t.co/03cqr3ANxn",New York,0,False,IFTTT,0,False,None
1,AbdulaImran,Abdullah Imran,2020-03-07 08:18:27,@BenGeskin @UniverseIce Oppo has thicker bazels on sides,"Lahore, Pakistan",0,False,Twitter for Android,0,False,1236204394070360065
2,WZ65,Photography News RSS,2020-03-07 08:18:18,Oppo launches Find X2 Pro with  periscope tele and calibrated 120Hz display https://t.co/Bg7u7PQNEs #dpreview,Kingdom of Saudi Arabia,0,False,IFTTT,0,False,None
3,ChibolonC,chibolon_chester™️,2020-03-07 08:18:18,"RT @FCBarcelona: 📸 @oppo PIC OF THE WEEK | Leo #Messi, La Liga Player of the Month for February!

4️⃣ Games
4️⃣ Wins
4️⃣ Goals
6️⃣ Assists…","Abuja, Nigeria",694,False,Twitter Web App,0,False,None
4,techclbr,Tech Calibre,2020-03-07 08:18:17,"OPPO Find X2 smartphone launches https://t.co/SVg9t96VBX

#OPPOFindX2 #Android #Camera #Smartphones - #OPPO… https://t.co/k5f9DuxO7g",Bangalore / Delhi,0,False,Twitter Web App,0,False,None
5,Abhisek66768782,Abhisek Mohanty,2020-03-07 08:18:15,@sarvikas Why @NokiaMobile isn't using @nokia 's ozo technology for their phones?? @sarvikas @mehta_ajey @nokia whe… https://t.co/alZl1cmADK,"Bhubaneshwar, India",0,False,Twitter for Android,0,False,1235943558726782976
6,genshiun,smoes,2020-03-07 08:18:08,@wahoo_harold @oppo Hey Harold! Nice to meet you @ AMC!,Japan,0,False,Twitter for iPhone,0,False,1236064583279947777
7,mifiraja,Mufassar Rajput,2020-03-07 08:17:39,@OPPOPakistan Dear oppo i have oppo f1s in marshmellow 6.0 android version . It is to much old version since 5year… https://t.co/SLSpZXD42r,"Islamabad, Pakistan",0,False,Twitter for Android,0,False,1233337379265695746
8,prineSaad1,Prince  Saad,2020-03-07 08:17:20,@oppo I absolutely love the new 64mp camera with the 60x zoom and those crispy night mode images when combined with… https://t.co/7grnnggpB5,Larkana,0,False,Twitter Web App,0,False,1235873255640231936
9,Neha7722,Neha,2020-03-07 08:17:18,"RT @techscico: Oppo also announced its smart watch

- 1.91 '' curved screen
- 46mm
- 1GB RAM
- 8GB memory
- Bluetooth 5.0, NFC and GPS
- ES…",,10,False,Twitter for Android,0,False,None
10,pointofpp,pointofpp,2020-03-07 08:17:14,"RT @hexrt_attxck: 191018  OPPO Super Flagship Store at Emquartier

ไม่ได้ดึง มันตึงเองงง

#Bbillkin
#บิวกิ้น
#บิวกิ้นพีพี https://t.co/q1Ux…",,24,False,Twitter for iPhone,0,False,None
11,RAHULDADA024,Rahul Ramrao Joshi,2020-03-07 08:17:12,RT @jigarbjadav: @RAHULDADA024 @colorosglobal @oppo @OPPOMobileUK @oppomobileindia @Kunalpandit024 @PamuKaka @dummiDipika @joshi_navnath Al…,LATUR MAHARASHTRA,1,False,Twitter for Android,0,False,None
12,ob_aimad47,El Mambus,2020-03-07 08:17:08,"RT @oppo: Your chance to WIN an #OPPOFindX2Pro in our Launch Event GIVEAWAY! Here's how! 🤯

💚 Comment below your favorite #OPPOFindX2Series…",Algiers,2452,False,Twitter for Android,0,False,None
13,solemnflare,Nee-chan,2020-03-07 08:17:07,wanna have that Oppo Reno huhuh,NF REAL MUSIC ,0,False,Twitter Web App,0,False,None
14,iamthedankness,No One,2020-03-07 08:16:59,"RT @oppo: Your chance to WIN an #OPPOFindX2Pro in our Launch Event GIVEAWAY! Here's how! 🤯

💚 Comment below your favorite #OPPOFindX2Series…",Pakistan,2452,False,Twitter Web App,0,False,None
15,csakzozo,Zoz,2020-03-07 08:16:43,"@AbdulRa98323594 @UniverseIce Than why would anyone buy the oppo phone, if you can state this so obviously?",Paradise,0,False,Twitter for Android,0,False,1236203586499026946
16,puLse4D,puLse2D,2020-03-07 08:16:32,"@theunlockr @oppo @Qualcomm @Sony Why is it so expensiv ? 
Find 7 // vooc , 2k Display, 13mp Cam ,3000mah = 450€",Germany,0,False,Twitter for Android,0,False,1235971820597260293
