,Screen Name ,User Name ,Tweet Created At,Tweet Text,User Location,Retweet Count,Retweeted,Phone Type,Favorite Count,Favorited ,Replied
0,techbdgiant,Tech bd giant,2020-02-25 08:14:05,"Realme X50 Pro 5G with Snapdragon 865 SoC, Dual Front Cameras Launched: Price in India, Specifications https://t.co/zjYMvtUzNd","Doha, Qatar",0,False,IFTTT,0,False,None
1,mHawkinsYodha,HAWKIN👽Dsrk'sWARRIOR👑🌝🔥🇮🇳,2020-02-25 08:14:05,"RT @MadhavSheth1: After bringing you the best of Tech World, now it’s time to bring to you the best of Entertainment World.

Bhai @BeingSal…","Delhi, India",428,False,Twitter for Android,0,False,None
2,techbdgiant,Tech bd giant,2020-02-25 08:14:04,"Realme Band Launch Set for March 5, Smartwatch Also Expected Soon https://t.co/vIKVdgQpil","Doha, Qatar",0,False,IFTTT,0,False,None
3,Vivekp_07,Vivek Pathak🇮🇳,2020-02-25 08:14:02,"RT @realmemobiles: Setting the pace of the future with India's First 5G Smartphone #realmeX50Pro:
-SDM 865
-6 Cameras with 20x Zoom
-65W Su…",India,23,False,Twitter for Android,0,False,None
4,techbdgiant,Tech bd giant,2020-02-25 08:14:01,"Realme X50 Pro 5G vs Realme X2 Pro: Price in India, Specifications Compared https://t.co/gAfBl7gMti","Doha, Qatar",0,False,IFTTT,0,False,None
5,Salmani11368164,Salmania💯🔛,2020-02-25 08:13:59,RT @Beingvicky786: This pic of #SalmanKhan during the ad shoot for #realme confirms that his appearance from #Radhe is most probably gonna…,,2,False,Twitter for Android,0,False,None
6,realmecareIN,realme India Support,2020-02-25 08:13:56,"@swarnasunny Hey, we will begin rolling out the realme UI update based on Android 10 for realme X from the last wee… https://t.co/M7WfiiwAGt",India,0,False,Twitter Web App,0,False,1231987618063085568
7,MukulKumarSah5,Mukul kumar sah,2020-02-25 08:13:53,"RT @MadhavSheth1: After bringing you the best of Tech World, now it’s time to bring to you the best of Entertainment World.

Bhai @BeingSal…",,428,False,Twitter for Android,0,False,None
8,PremSehgal7,Prem Sehgal,2020-02-25 08:13:49,"@MadhavSheth1 @BeingSalmanKhan @realmemobiles Watermark dekho
Realme 6 
Hmm",,0,False,Twitter Web App,0,False,1232191853547663360
9,ItsSohailM,Mohammed Sohail ✪,2020-02-25 08:13:41,"#SalmanKhan is the brand ambassador for #Realme 😎🔥

By the way #Realme is my Favt smartphone brand.. 📱❤️
Bcoz I'm a… https://t.co/nI7yZdCXbH","Bengaluru, India",0,False,Twitter for Android,0,False,None
10,sunder_barange,Sunder Barange,2020-02-25 08:13:31,"Realme X50 Pro 5G Goes on Sale From Rs 37,999 And is The First 5G Phone in India https://t.co/eVCbnvxrpc","Indore, India",0,False,IFTTT,0,False,None
11,Akshay30658650,Akshay,2020-02-25 08:13:28,@MadhavSheth1 Realme 6 will launch today....!!! Right...!!,"Kolkata, India",0,False,Twitter for Android,0,False,1232153229615673348
12,AsimFanArmy4,Asim Fan Army,2020-02-25 08:13:23,"RT @Shivamchawla05: Wow what a good news rough and tough realme phones with rough and tough bhai  @BeingSalmanKhan .
Damn excited.😍😍😍😍😍
@Ma…",,7,False,Twitter for Android,0,False,None
13,MSTE27,SHAHZAN SID (@MSTECH27),2020-02-25 08:13:22,RT @sarthak2002: Please launch the Realme X50 (4G) Midranger in India...i m waiting...i will buy a device on May 2020.....please release it…,,1,False,Twitter for Android,0,False,None
