,Screen Name ,User Name ,Tweet Created At,Tweet Text,User Location,Retweet Count,Retweeted,Phone Type,Favorite Count,Favorited ,Replied
0,anil_connects,🧘‍♂️Anil🤸‍♂️Kumar👬,2020-03-07 08:03:42,@rampkfannnn Samsung basic phone n rubber chappal chala simple ga vunnadu🙏,భారత దేశం,0,False,Twitter for Android,0,False,1236200455446749184
1,MAYANKK58796740,MAYANK KAUSHIK,2020-03-07 08:03:38,"Samsung Galaxy Tab A 8.0 (Black, 2GB RAM, 32GB Storage) WiFi + 4G https://t.co/iIGPcH3Qre",CHARKHI DADRI,0,False,IFTTT,0,False,None
2,SambaElectronic,SAMBA ELECTRONICS,2020-03-07 08:03:38,"RT @SamsungKE: It's never too late with the #AddWash washing machine. Just add that forgotten laundry during the wash.
https://t.co/aPbeA0t…","Mombasa, Kenya",1,False,Twitter Web App,0,False,None
3,VeniVidi_Veenis,JVV,2020-03-07 08:03:37,@DaveDiCello I'm not a professional but I took this sunset from Children's Hospital last week.  Not bad for a Samsu… https://t.co/mCKqR20wnN,,0,False,Twitter for Android,0,False,1235921202318921728
4,Lil_Nerd_Face,Lil Nerd Face,2020-03-07 08:03:29,The Best Samsung Galaxy S20 Deals (and Which Model to Choose) https://t.co/48QTfq2M2z #news #technology #trends… https://t.co/87gOUr2K49,Antarctica,0,False,IFTTT,0,False,None
5,anil_connects,🧘‍♂️Anil🤸‍♂️Kumar👬,2020-03-07 08:03:23,@LillyMogudu_ Samsung basic phone n rubber chappal chala simple ga vunnadu🙏,భారత దేశం,0,False,Twitter for Android,0,False,1236200497641488384
6,kotlinatso,KotlinAtSO,2020-03-07 08:03:23,FileNotFoundException after ACTION_IMAGE_CAPTURE on Samsung_Phone https://t.co/5JOL62rbiI,,0,False,IFTTT,0,False,None
7,femi_golden,Golden NO 1 ✨,2020-03-07 08:03:15,"RT @femi_golden: Now selling @Goldengadgetsng ✨🔥

Samsung S20 - N305,000

Samsung S20+ - N340,000

Samsung S20 Ultra - N420,000

Samsung Ga…",Lagos,46,False,Twitter for iPhone,0,False,None
8,Sortiwa,Sortiwa,2020-03-07 08:03:14,"Samsung to shift some smartphone production to Vietnam due to coronavirus  

By: Reuters | Seoul |

Published: Marc… https://t.co/Hi2vytPr4I",United States,0,False,Sortiwa News,0,False,None
9,_hauntedthought,an angry beanpole 又,2020-03-07 08:03:10,It's mildly annoying that one of the ways to get the Samsung Credit offer to pop for you is to delete and reinstall the Shop Samsung app.,"Indiana, USA",0,False,Twitter for Android,0,False,None
10,ONES_Gadget,ONES_Gadget,2020-03-07 08:03:10,"Samsung Galaxy A31 gets Bluetooth certified, launch imminent https://t.co/aE5iYkminq https://t.co/mJaFzF07Py",Yogyakarta,0,False,IFTTT,0,False,None
11,BigCMobilesIND,BigC Mobiles,2020-03-07 08:03:09,The revolutionary #Samsung #GalaxyS20series is available at #Bigcmobiles now ! Shop #SamsungGalaxy #S20Plus /… https://t.co/0VtyvDGpv8,"A.P & Telangana, India",0,False,Twitter Web App,0,False,None
12,sweetsudha1,Sudha,2020-03-07 08:03:04,@girikesavan Some of Samsung fone models do not allow us to uninstall Facebook,,0,False,Twitter Web App,0,False,1236198079608442882
