,Screen Name ,User Name ,Tweet Created At,Tweet Text,User Location,Retweet Count,Retweeted,Phone Type,Favorite Count,Favorited ,Replied
0,vivekwalker,vivek sharma,2020-02-25 07:43:59,RT @SirishChandran: SUVs like Seltos / Creta might be grabbing headlines but Honda haven’t given up on sedans. 7th gen #HondaCity launches…,Dehradun//New Delhi,5,False,Twitter for Android,0,False,None
1,MercedesBenz365,Mercedes Benz,2020-02-25 07:19:32,"Five big car launches in India within next 30 days: Hyundai Creta, new Honda City and more - Financial Express https://t.co/vR9RhUaxCf",Liverpool,0,False,dlvr.it,0,False,None
2,v3cars,V3Cars,2020-02-25 07:15:00,"The next-Gen Hyundai New #Creta 2020 - All you need to know. Expected #prices, launch date and time frame, engine… https://t.co/FLo0DSCYwY","Gurgaon, India",0,False,Twitter Web App,0,False,None
3,GmaHappymilan,happymilan Mirella❤🖤❤🖤❤🖤,2020-02-25 06:47:58,Da Discover su Google https://t.co/5GcM06mH7P,Sora (Fr),0,False,Twitter for Android,1,False,None
4,Prabhat_M_,Prabhat Mishra,2020-02-25 06:28:53,"RT @A_M_A_R_Biswas: New Hyundai Creta was unveiled at the just-concluded Auto Expo 2020 and people can't stop talking about its design, exp…",Noida,1,False,Twitter Web App,0,False,None
5,Prabhat_M_,Prabhat Mishra,2020-02-25 06:28:28,"RT @A_M_A_R_Biswas: Top 5 upcoming SUVs: The new Hyundai Creta 2020, 2020 Maruti Suzuki Vitara Brezza, Tata Gravitas, Kia Seonet and MG Hec…",Noida,1,False,Twitter Web App,0,False,None
6,A_M_A_R_Biswas,Amar Biswas,2020-02-25 06:26:30,"Top 5 upcoming SUVs: The new Hyundai Creta 2020, 2020 Maruti Suzuki Vitara Brezza, Tata Gravitas, Kia Seonet and MG… https://t.co/3KBADJAPGC",Raipur,1,False,Twitter Web App,1,False,None
7,A_M_A_R_Biswas,Amar Biswas,2020-02-25 06:26:03,"New Hyundai Creta was unveiled at the just-concluded Auto Expo 2020 and people can't stop talking about its design,… https://t.co/mAYrzgNRhF",Raipur,1,False,Twitter Web App,0,False,None
8,A_M_A_R_Biswas,Amar Biswas,2020-02-25 06:24:05,RT @Soma_Mohanty_: 2020 Hyundai Creta launch in India will take place on March 17. The offers up to Rs 1.15 lakh are on the first-generatio…,Raipur,1,False,Twitter Web App,0,False,None
9,A_M_A_R_Biswas,Amar Biswas,2020-02-25 06:23:56,RT @Soma_Mohanty_: New Hyundai Creta (2020 Creta) price in India might be in the range of Rs 10 lakh (ex-showroom) and Rs 17 lakh (ex-showr…,Raipur,1,False,Twitter Web App,0,False,None
