,Screen Name ,User Name ,Tweet Created At,Tweet Text,User Location,Retweet Count,Retweeted,Phone Type,Favorite Count,Favorited ,Replied
0,MotorOctane,MotorOctane,2020-02-25 08:00:00,"Honda Shine now gets 5 speed gearbox

#Honda
#Shine
#Fivespeed

https://t.co/CxuIXWznJr",Bombay,0,False,TweetDeck,0,False,None
1,23Aug87,The Name Is AJITH,2020-02-25 06:36:15,"RT @maxabout: #BS6 #Honda #Shine 125 Launched!

https://t.co/CdJKVVmyk7",In Everyone's Heart,2,False,Twitter for Android,0,False,None
2,Prabhat_M_,Prabhat Mishra,2020-02-25 06:29:22,"RT @autocarindiamag: The updated, BS6-compliant Honda Shine 125 gets a silent start system, a longer wheelbase, higher fuel efficiency and…",Noida,8,False,Twitter Web App,0,False,None
3,KonguKish,கிஷோர் பெரியசாமி,2020-02-25 05:47:12,"RT @maxabout: #BS6 #Honda #Shine 125 Launched!

https://t.co/CdJKVVmyk7","Erode, India",2,False,Twitter for Android,0,False,None
4,maxabout,Maxabout.com,2020-02-25 05:38:21,"#BS6 #Honda #Shine 125 Launched!

https://t.co/CdJKVVmyk7",India,2,False,Twitter Web App,0,False,None
5,ayu_biswas,Ayushi Biswas,2020-02-25 05:14:01,"RT @autocarindiamag: The updated, BS6-compliant Honda Shine 125 gets a silent start system, a longer wheelbase, higher fuel efficiency and…",noida,8,False,Twitter Web App,0,False,None
6,31584_,るきや,2020-02-25 03:26:13,dj honda x b.i.g. joe  / Shine On https://t.co/Ue0B7Sdj8J @YouTubeより,,0,False,Twitter for iPhone,1,False,None
7,techinfonics,techinfonics.com,2020-02-25 01:04:08,"New BS6-compliant engine is claimed to deliver 14 percent better fuel economy; prices have increased by Rs 7,000 ov… https://t.co/oRKc42nJng",,0,False,Blog2Social APP,0,False,None
8,Dohastadiumplus,Doha Stadium Plus,2020-02-24 21:28:13,"Vinales finish on top as Yamaha shine in Qatar testing
#MotoGP #Vnales #Yamaha #Suzuki #Honda #Losail

https://t.co/p8i73BR6aP",Qatar,0,False,Twitter Web App,0,False,None
9,indian_autos,Team IndianAutosBlog,2020-02-24 19:39:26,"The CB Shine SP is Honda's premium 125cc motorcycle.

It is an addition to the existing CB Shine model and uses the… https://t.co/McpvkRQ8mg",india,0,False,Twitter Web App,0,False,None
10,RsinghSameer,Sameer Singh,2020-02-24 12:03:29,"RT @autocarindiamag: The updated, BS6-compliant Honda Shine 125 gets a silent start system, a longer wheelbase, higher fuel efficiency and…",Pune,8,False,Twitter Web App,0,False,None
11,RidhiJhaa,Riddhi Jhala,2020-02-24 11:52:31,"RT @autocarindiamag: The updated, BS6-compliant Honda Shine 125 gets a silent start system, a longer wheelbase, higher fuel efficiency and…","Lajpat nagar, Delhi",8,False,Twitter Web App,0,False,None
12,Hitesh_yagni,Hitesh Yagnik,2020-02-24 11:43:22,"RT @autocarindiamag: The updated, BS6-compliant Honda Shine 125 gets a silent start system, a longer wheelbase, higher fuel efficiency and…",Delhi,8,False,Twitter Web App,0,False,None
13,mehek_mahtani,mehek mahtani,2020-02-24 11:40:54,"RT @autocarindiamag: The updated, BS6-compliant Honda Shine 125 gets a silent start system, a longer wheelbase, higher fuel efficiency and…",pune,8,False,Twitter Web App,0,False,None
14,gayan_prakashsi,Gayan Prakash Singh,2020-02-24 11:37:56,"RT @autocarindiamag: The updated, BS6-compliant Honda Shine 125 gets a silent start system, a longer wheelbase, higher fuel efficiency and…",Delhi,8,False,Twitter Web App,0,False,None
15,16Hacs,Hacs 16,2020-02-24 11:04:14,All New Honda CB Shine 125 BS6 Review (Hindi) | First Look | Hacs16 https://t.co/IbPx2kx2xk via @YouTube,"Jaipur, India",0,False,Twitter Web Client,0,False,None
16,Carandbike5,Carandbike,2020-02-24 11:01:28,"BS6 Honda Shine 125 launched at Rs 67,857

Honda 2Wheelers India has launched the BS6-compliant Shine 125 at Rs 67,… https://t.co/jmxBpcpq7T",India,0,False,IFTTT,0,False,None
17,Speed2torque_,SPEED2TORQUE,2020-02-24 10:59:31,"BS6 Honda Shine 125 launched at Rs 67,857 https://t.co/KHFsJXTbJw https://t.co/xvv9KC9CKU",World wide web,0,False,WordPress.com,0,False,None
18,autocarindiamag,Autocar India,2020-02-24 10:51:11,"The updated, BS6-compliant Honda Shine 125 gets a silent start system, a longer wheelbase, higher fuel efficiency a… https://t.co/lzio9Zuyk9",Mumbai,8,False,Twitter Web App,18,False,None
19,Zigwheels,ZigWheels,2020-02-24 08:02:28,#Honda now has two new #BS6 #motorcycles in its stable. Both the #Shine BS6 and SP 125 share the same motor but off… https://t.co/XKsP3ymL0X,"Jaipur, Rajasthan",0,False,Hootsuite Inc.,2,False,None
20,c_infoline,Consumer Infoline,2020-02-24 06:16:51,Honda BS-6 Version Shine 125CC gives more Mileage https://t.co/G2YVYTmbQ3 https://t.co/XjHJnE6b81,India,0,False,WordPress.com,0,False,None
21,honda2wheelerin,Honda 2 Wheelers,2020-02-24 06:11:38,@Devendarbalaji Thank you for your interest in Honda 2 Wheelers. Do visit our website for more details.… https://t.co/Ha2Ttpl3ff,,0,False,Konnect Social,0,False,1231409028246339584
22,autoinfo_aniket,Aniket Jain,2020-02-24 06:04:55,Honda Motorcycle and Scooter India launched the next generation of Shine motorcycle in India. It is powered by a  B… https://t.co/G3sqbrzXBM,"Gurgaon, India",0,False,Twitter Web App,0,False,None
23,01Himanshu10,Himanshu Vashistha,2020-02-24 03:54:34,"@honda2wheelerin sir,  I am facing a really bad problem in Honda cb shine which i purchased in march 2019 from ASR… https://t.co/RHPTkZwsm1","Bhiwani, India",0,False,Twitter for Android,0,False,None
24,nikunjsanghi,Nikunj Sanghi,2020-02-24 02:22:55,"RT @autocarpro: Begin Feb's last Monday with Jan sales in India 
Top 5 Utility Vehicles https://t.co/5XDvSkKHI5
UV market share: https://t.…","Alwar,Rajasthan,India",1,False,Twitter for Android,0,False,None
25,autocarpro,Autocar Professional,2020-02-24 01:07:28,"Begin Feb's last Monday with Jan sales in India 
Top 5 Utility Vehicles https://t.co/5XDvSkKHI5
UV market share:… https://t.co/trCwnVHnvQ","Mumbai, Maharashtra",1,False,Twitter Web App,1,False,None
26,jodohnyasano,Nan #Juvenilizm,2020-02-23 21:49:03,"HAPPY 1ST ANNIVERSARY MY BABIES💖
May you shine brighter like a diamond💎
@Notequal_ME
@_sakurai_momo_ @ochiai_kirari… https://t.co/x1kQE68ZYb",インドネシア 🇮🇩,0,False,Twitter for Android,0,False,None
27,EINMotorcycles,EIN Motorcycle News,2020-02-23 14:00:43,"Honda Shine 125 BS6 vs BS4: Price, specs, features differences explained! https://t.co/VUJUABngte","Washington, D.C.",0,False,EIN News Publisher,0,False,None
28,Zigwheels,ZigWheels,2020-02-23 10:10:48,"From the onslaught of #BS6-compliant #two-wheelers to the introduction of the #Forza300, here’s a summary of the to… https://t.co/2C31AdcuMr","Jaipur, Rajasthan",0,False,Hootsuite Inc.,7,False,None
29,bikedekho,BikeDekho,2020-02-23 03:30:05,"As an eventful week draws to a close, we bring you all the important updates from the two-wheeled world over the la… https://t.co/uXNxOk4wr4",,0,False,Hootsuite Inc.,0,False,None
30,Devendarbalaji,Devendar.Balaji,2020-02-23 02:42:45,@honda2wheelerin sir when will you launch the Honda CB shine bs 6 model pls give any information or I will go for o… https://t.co/cPLz8XsyHB,"Kunigal, India",0,False,Twitter for Android,0,False,None
31,gayan_prakashsi,Gayan Prakash Singh,2020-02-22 16:47:28,"RT @mechnotechs: #HMSI Launched BSVI Compliant #Honda Shine #motorcycles.
#mechnotechs
https://t.co/PsCivW0Eq0",Delhi,3,False,Twitter Web App,0,False,None
32,KatieHawks,Katie Hawks,2020-02-22 16:39:38,"If my ""smart honda"" were truly smart, it would know that i don't want to shine my brights when I'm driving in the middle of town?",,0,False,Twitter Web App,1,False,None
33,01Himanshu10,Himanshu Vashistha,2020-02-22 14:57:21,@honda2wheelerin @honda2wheelerin  I am facing a really bad problem in Honda cb shine which i purchased in march 20… https://t.co/M9tnxYsLCf,"Bhiwani, India",0,False,Twitter for Android,0,False,1231230722825809920
34,01Himanshu10,Himanshu Vashistha,2020-02-22 14:19:29,@honda2wheelerin  I am facing a really bad problem in Honda cb shine which i purchased in march 2019 from ASR honda… https://t.co/EOJn7hYiTv,"Bhiwani, India",0,False,Twitter for Android,0,False,None
35,VikasYa85722130,Vikas Yadav,2020-02-22 10:26:56,@honda2wheelerin Had purchased a new Honda Shine in November 2019. Saw the new BS6 Shine which was launched on 21st… https://t.co/0qiHYa0wDE,,0,False,Twitter for Android,0,False,None
36,MouthShut_com,MouthShut.com,2020-02-22 09:57:06,1/5 #Review on #HondaCBShine125SP by faizansuper https://t.co/J1Njr2HlIv,Here and there,0,False,Mouthshut.com,0,False,None
37,SubratMukharje4,Subrat Mukharjee,2020-02-22 09:18:45,"RT @mechnotechs: #HMSI Launched BSVI Compliant #Honda Shine #motorcycles.
#mechnotechs
https://t.co/PsCivW0Eq0",Raipur,3,False,Twitter Web App,0,False,None
38,RaoSheenu,sheenu rao,2020-02-22 07:24:14,"RT @mechnotechs: #HMSI Launched BSVI Compliant #Honda Shine #motorcycles.
#mechnotechs
https://t.co/PsCivW0Eq0",,3,False,Twitter Web App,0,False,None
39,mechnotechs,Mechnotechs,2020-02-22 07:00:00,"#HMSI Launched BSVI Compliant #Honda Shine #motorcycles.
#mechnotechs
https://t.co/PsCivW0Eq0","New Delhi, India",3,False,TweetDeck,5,False,None
40,hondadayuae,Sam Halabi,2020-02-22 06:20:59,#checking in on my other #box #bronze #shine #golden #lower #arm #rear #honda #civic #eg8 #performance #suspension… https://t.co/w75LfRXcFF,"Abu Dhabi, United Arab Emirate",0,False,Instagram,0,False,None
41,VIPortalINC,VIPortal INC,2020-02-21 23:23:37,"Honda Shine 125 BS6 vs BS4: Price, specs, features differences explained! https://t.co/YajY8xxXVh https://t.co/wt261vTYK0","Nairobi, Kenya",0,False,dlvr.it,0,False,None
42,NewsBaba4,News Baba,2020-02-21 21:50:33,"Honda launches BS6 Shine, now to get 5 speed gearboxes; Company claims to give 14% higher mileage… https://t.co/8VCkLAR6WK","Anand, India",0,False,WordPress.com,0,False,None
43,MouthShut_com,MouthShut.com,2020-02-21 19:56:06,1/5 #Review on #HondaCBShine125SP by faizansuper https://t.co/J1Njr2HlIv,Here and there,0,False,Mouthshut.com,0,False,None
44,Soms_Tweet,𝓢𝓸𝓶,2020-02-21 16:19:01,@manas007_2000 Honda Shine in 2012,Mumbai/Bengaluru,0,False,Twitter for iPhone,0,False,1230675436855840768
45,NewsBaba4,News Baba,2020-02-21 15:14:47,"bs6 honda shine 125: Honda Shine 125 bike launched with BS6 engine, priced at Rs 67857 – honda shine 125 bike launc… https://t.co/RarUU2coEW","Anand, India",0,False,WordPress.com,0,False,None
46,NewsBaba4,News Baba,2020-02-21 13:31:22,"Honda launches new variant of Shine, will give 14% more mileage, know more features https://t.co/7UkyBwCn5Q https://t.co/3q50t7Xv4Q","Anand, India",0,False,WordPress.com,0,False,None
47,saratna29128604,sarat nayak,2020-02-21 11:14:25,Honda Shine BSVI vs Hero Glamor BSVI: Price and Specifications – Times of India https://t.co/dolNbEGjTZ https://t.co/L5LFTZ20mW,,0,False,WordPress.com,0,False,None
48,saratna29128604,sarat nayak,2020-02-21 11:14:24,Honda Shine BSVI vs Hero Glamor BSVI: Price and Specifications – Times of India https://t.co/ExPNjz29I0 https://t.co/5GRG2KankO,,0,False,WordPress.com,0,False,None
49,Fortune_Honda,Fortune Honda,2020-02-21 11:03:18,The all-new Shine with amazing eSP Technology and eco-friendly BS-VI Engine that keeps emission in check. Its ACG S… https://t.co/tNRPpleodN,"Hyderabad, India",0,False,Twitter Web App,3,False,None
