,Screen Name ,User Name ,Tweet Created At,Tweet Text,User Location,Retweet Count,Retweeted,Phone Type,Favorite Count,Favorited ,Replied
0,sharwansinghra6,shravanrathore9 shravanrathore18,2020-03-07 08:24:22,@HPIndia Hp not replace printer so I send notice,Jaipur,0,False,Twitter for Android,0,False,1236175040489467905
1,AkshayKoreti2,Akshay Koreti,2020-03-07 08:24:20,"https://t.co/CJTb5efcJQ

Specifications
General
In The Box
Handset, Adapter 5V/2A, Important Info Book with Warrant… https://t.co/EaeseuWrTM",,0,False,Twitter Web App,0,False,None
2,nelyata_hp,kneely ☻,2020-03-07 08:24:19,my mom didn’t really let me dye my hair when i was younger so now that i can i forget how to act,,0,False,Twitter for iPhone,0,False,None
3,99_hp,Just Suze Now,2020-03-07 08:24:07,@EnglishmanAdam We’re in stockpiling mode because the world is ending here!,Bermondsey,0,False,Twitter for iPad,0,False,1236019038532272133
4,LondonCabbie78,Kbe4 M/M,2020-03-07 08:23:53,RT @lidgates: ⁦@RBKC⁩ ⁦@FelicityBuchan⁩ look at all the cyclists who would be using the segregated cycle super highway on this rainy aftern…,,45,False,Twitter for iPhone,0,False,None
5,_ReturnByDeath,Anna 🎀,2020-03-07 08:23:51,"@evilfemto Yeah, same with HP too 💀 it’s sad and disheartening, but it is what it is",🇵🇸 🇵🇰 🇸🇾,0,False,Twitter for iPhone,1,False,1236205641221509120
6,1kawre,kawre,2020-03-07 08:23:50,"RT @sjokz: ‼️ GIVEAWAY TIME ‼️
In celebration of my partnership with @OMENbyHP you can win the same goodies I received in my care package!…",,329,False,Twitter for Android,0,False,None
7,tonny_touchz,MindSurgeon🇰🇪🇺🇬🇹🇿,2020-03-07 08:23:42,"HP 820(Touch)
Processor Core i5
Ram 4 GB
Storage 500

Price 23,000

Call/App 0726 514 84
#kenya7s #ikokazikenya… https://t.co/urf3McY1cl","Nairobi, Kenya",0,False,Twitter Web App,0,False,None
8,TheRealBandisa,🇿🇦 Bandisa P Masilela🇿🇦,2020-03-07 08:23:32,"RT @adewalekemi65: Please,what is the full meaning of hp? 🤣🤣🤣","Pretoria, South Africa",25,False,Twitter for iPhone,0,False,None
9,CarBasics,CarBasics,2020-03-07 08:23:19,"RT from Jalopnik Here's how a 2020 Toyota Supra is remade to handle 1,000 hp and competitive drifting.… https://t.co/EfjSUydvV9",UK,0,False,IFTTT,0,False,None
10,JissyMilissiyL,Jissy,2020-03-07 08:23:14,all those hp fanfics i've read 🙃 https://t.co/cn5U4hbsCn,,0,False,Twitter Web App,0,False,None
