,Screen Name ,User Name ,Tweet Created At,Tweet Text,User Location,Retweet Count,Retweeted,Phone Type,Favorite Count,Favorited ,Replied
0,femtech_,FemTech_🖥👩🏽‍💻,2020-02-25 08:27:06,"RT @KCGIT1: The Future for Industrial Services: The Digital Twin 
#KCGCOLLEGE @KCGtechnology #iteducation #universities #engineeringcollege…","Berlin, Deutschland",1,False,friendly fem tech bot,0,False,None
1,KCGIT1,KCGIT,2020-02-25 08:26:59,"The Future for Industrial Services: The Digital Twin 
#KCGCOLLEGE @KCGtechnology #iteducation #universities… https://t.co/75tSyTMTyy",,1,False,Twitter Web Client,0,False,None
2,KikoJavie,Fiat Voluntas Tua,2020-02-25 08:24:49,RT @StopS386: @michellemalkin Verizon layoffs: https://t.co/N5yhwHZv78,"Texas, USA",61,False,Twitter for Android,0,False,None
3,PhilPlate,Phil Gilberts Nuts On A Plate,2020-02-25 08:20:44,RT @JamesMcCormack: @HmrconI @RishiSunak @stopoffpayroll @IPSEwestminster @ContractorCalc @BaloPig @CarrotyD @elashton @mc_conscience Whate…,,2,False,Twitter Web App,0,False,None
4,kodrikar_s,CitizenSK,2020-02-25 08:17:54,@CafeCoffeeDay Shared Cafe details in DM. We had CCD outlets in Infosys hinjewadi phase 2 Pune campus. They were go… https://t.co/hODQ0oMd1s,,0,False,Twitter for Android,0,False,1232178766136446976
5,Marion94862795,Marion,2020-02-25 07:46:45,RT @JamesMcCormack: @HmrconI @RishiSunak @stopoffpayroll @IPSEwestminster @ContractorCalc @BaloPig @CarrotyD @elashton @mc_conscience Whate…,,2,False,Twitter for iPhone,0,False,None
6,Neoreturns,Manish Malhotra,2020-02-25 07:37:07,RT @techUK: The lifetime of tech relevance is 18 months says @Neoreturns @Infosys. This is why it’s important to create a talent pipeline f…,"London, Mumbai",4,False,Twitter for Android,0,False,None
7,NHtex,🔥 HireAmOnly🔥,2020-02-25 07:36:23,RT @StopS386: @michellemalkin Verizon layoffs: https://t.co/N5yhwHZv78,"Dallas, TX",61,False,Twitter for Android,0,False,None
8,NHtex,🔥 HireAmOnly🔥,2020-02-25 07:36:01,RT @michellemalkin: @realDonaldTrump @SenMikeLee @CPAC @IvankaTrump @dcgov Another of the most infamous H-1B replacement fiascos: SoCal Edi…,"Dallas, TX",142,False,Twitter for Android,0,False,None
9,NHtex,🔥 HireAmOnly🔥,2020-02-25 07:35:44,RT @michellemalkin: @realDonaldTrump @SenMikeLee @CPAC @IvankaTrump Harley Davison outsourced US tech workers in 2012 and again in 2015 to…,"Dallas, TX",97,False,Twitter for Android,0,False,None
