,Screen Name ,User Name ,Tweet Created At,Tweet Text,User Location,Retweet Count,Retweeted,Phone Type,Favorite Count,Favorited ,Replied
0,amjadiiism,2ab+streanh+weed energy,2020-03-07 08:52:25,"RT @ashoswai: If you want to comment on the tweets of Modi's news agency ANI, take a screenshot of that tweet, don't just retweet. Don't co…","Aage se right, wha se fuck off",104,False,Twitter for Android,0,False,None
1,Vinod251995,Vinodkumar,2020-03-07 08:52:25,"RT @PTI_News: Not a single bomb blast in the country in last 6 years. This has not happened just like that, but due to strong measures take…","Mumbai, India",314,False,Twitter for Android,0,False,None
2,AmitDarji_,Amit Darji,2020-03-07 08:52:24,"RT @RahulGandhi: No Yes Bank. 

Modi and his ideas have destroyed India’s economy. 

 #NoBank","Gujarat, India.",14471,False,INCSMWarrior,0,False,None
3,joeyspeakin,Himanshu,2020-03-07 08:52:24,"RT @desimojito: Hi @anubhavsinha 

Modi ji tweeted the other day that to stay safe from Corona Virus avoid mass gatherings. It was a sure s…",Gujarat INDIA,124,False,Twitter Web App,0,False,None
4,kufaarcritic,South Africa تضامن فلسطين,2020-03-07 08:52:19,@Moody1111Dream @YouTube Is the're such a word in the world in the vocab of U.N. TRump Nentenyahu Erdogan Modi 😂😂😂,,0,False,Twitter for Android,0,False,1236212260806287360
5,FamousRob,FamousRob,2020-03-07 08:52:19,"RT @Andrew_Adonis: The UK media should be paying more attention to the fascist Modi regime in India, deploying techniques of terror &amp; dehum…",Sydney,8,False,Twitter for iPhone,0,False,None
6,Worldcu55617750,HolisterJames,2020-03-07 08:52:19,These illustrate woman shld be arrested and put behind bars. She has never read CA. For her it means Muslims Come a… https://t.co/tqYuZ6h2wI,,0,False,Twitter for Android,0,False,None
7,mohan8395,Mohan Singh Negi,2020-03-07 08:52:18,"Sir, not the special forces but Modi and his loyal crooks in the system. https://t.co/0qnEFncwkv",India,0,False,Twitter Web App,0,False,None
8,CPSingh_14,CP Singh,2020-03-07 08:52:16,"RT @PTI_News: Not a single bomb blast in the country in last 6 years. This has not happened just like that, but due to strong measures take…",,314,False,Twitter Web App,0,False,None
9,aintyourshitt,Lahori,2020-03-07 08:52:15,"RT @AsharJawad: Mass protests in Dhaka against Modi's planned visit. Pakistan &amp; Bangladesh, geographically 2000 km apart may not be one cou…","Lahore, Pakistan",8,False,Twitter for Android,0,False,None
10,rajeeshpicks,Rajeesh Nair,2020-03-07 08:52:15,RT @mkvenu1: Can’t understand FM ‘s logic. She insists Yes bank loans are UPA period loans. Then how have they increased 400% since 2015?…,"Vadodara, India",3040,False,TweetDeck,0,False,None
11,deepak_khaneja,Deepak Khaneja,2020-03-07 08:52:15,"PM Modi’s appeal makes 19 lakh farmers join organic farming
https://t.co/gFkfWf0vVF

via NaMo App https://t.co/gCOVfMXlVK",,0,False,Twitter for Android,0,False,None
12,waqas9783,Waqas Qureshi,2020-03-07 08:52:13,"RT @IbnSamani: Kabul, Kapisa and Herat the three major Farsi speaking cities of Afghanistan staged biggest anti 🇮🇳 Modi protests yesterday…","Islamabad, Pakistan",62,False,Twitter for Android,0,False,None
13,renganathanr,RenganathanRAJAGOPAL,2020-03-07 08:52:12,"RT @HLKodo: Reason why British Parliament is worried about, 
Narendra Modi,
Hindu Nationalism,
Islamophobia,
Delhi Violence,
RSS,
CAA etc…","Perth, Western Australia",461,False,Twitter for Android,0,False,None
14,showing_sm,SM,2020-03-07 08:52:10,"RT @geetv79: ""मित्रों मैं देश नहौं बिकने दूँगा"" #ModiLies 
India Up for Sale as Modi Offers National Icons to Plug Deficit

Affiliates of h…",,126,False,Twitter for Android,0,False,None
15,SahilBh67379577,Sahil Bhardwaj,2020-03-07 08:52:09,"RT @dhruv_rathee: Malayalam News Channels AsianetNews and Media One telecast banned for 48 hours by Modi Govt 

This is a blatant fascist d…",,5432,False,Twitter Web App,0,False,None
16,_contemptuous,काफ़िर Lakkhan,2020-03-07 08:52:08,"RT @PTI_News: Not a single bomb blast in the country in last 6 years. This has not happened just like that, but due to strong measures take…",Lokhandwala,314,False,Twitter Web App,0,False,None
17,PunjabPMC,Punjab Pradesh Mahila Congress,2020-03-07 08:52:08,RT @MahilaCongress: .@BJP4India in its election manifesto promised to ensure passage of women's reservation bill.The commitment forgotten t…,"Punjab, India",38,False,Twitter for iPhone,0,False,None
18,shab1128,shabana begum,2020-03-07 08:52:08,RT @RepAndyLevin: I am devastated by the violence that has consumed Delhi. This is what the ethno-nationalism of Narendra Modi has wrought—…,,83,False,Twitter for Android,0,False,None
19,LMLido,LM Lido,2020-03-07 08:52:07,"RT @dhruv_rathee: International Criticism of CAA-NRC and Delhi Riots 

👉 In British Parliament
👉 In European Parliament
👉 United Nations Hu…",,5470,False,Twitter Web App,0,False,None
20,SanathK59332735,Sanath Kumar,2020-03-07 08:52:07,"RT @vivekagnihotri: Short Story:

“Hindutva is dangerous” said a Liberal son.
“What is Hindutva?” Father asked.
Son didn’t know
“Ummmmm....…",,8381,False,Twitter for Android,0,False,None
21,pkprantar1,Prabir Kumar panda,2020-03-07 08:52:06,"RT @CPIM_WESTBENGAL: The Polit Bureau of the CPI(M) strongly condemns the 48-hour ban imposed on two Malayalam news channels, Asianet News…",,1,False,Twitter for Android,0,False,None
22,SAUDSXI,Saud Ibrahim,2020-03-07 08:52:05,"RT @dhruv_rathee: Malayalam News Channels AsianetNews and Media One telecast banned for 48 hours by Modi Govt 

This is a blatant fascist d…",,5432,False,Twitter for Android,0,False,None
