,Screen Name ,User Name ,Tweet Created At,Tweet Text,User Location,Retweet Count,Retweeted,Phone Type,Favorite Count,Favorited ,Replied
0,RetweetsMumbai,Mumbai News & Retweets,2021-08-12 19:15:47,"RT @iamtusharjpawar: Citizens Who Taken Both Doses of Vaccination Now Enabled to obtain E-pass online for travelling in Local Trains.

Clic…",Mumbai,1,False,RetweetsMumbaiOne,0,False,None
1,iamtusharjpawar,Tushar Pawar 🇮🇳,2021-08-12 19:11:18,"Citizens Who Taken Both Doses of Vaccination Now Enabled to obtain E-pass online for travelling in Local Trains.

C… https://t.co/A6UK9KciLb","Maharashtra , India",1,False,Twitter for Android,0,False,None
2,RetweetsMumbai,Mumbai News & Retweets,2021-08-12 19:05:20,"RT @NareshBhalla: Shops, malls, offices business all r open but #MumbaiLocal trains r not open fr all.
How do @OfficeofUT think people will…",Mumbai,1,False,RetweetsMumbaiOne,0,False,None
3,NareshBhalla,TrollsKaKaal,2021-08-12 19:04:45,"Shops, malls, offices business all r open but #MumbaiLocal trains r not open fr all.
How do @OfficeofUT think peopl… https://t.co/qvtCXRlTQN",,1,False,Twitter Web App,0,False,None
4,SagayaRaj_11,Sagayaraj Victor,2021-08-12 18:02:46,"RT @mumbaimatterz: #GoodNews #Mumbai

Now Fully Vaccinated citizens can apply for #Epass for travel by #MumbaiLocal trains.

Universal Trav…",Mumbai,21,False,Twitter for Android,0,False,None
5,ii_anogh,ANOGH MAVANI,2021-08-12 17:47:30,"RT @mumbaimatterz: #GoodNews #Mumbai

Now Fully Vaccinated citizens can apply for #Epass for travel by #MumbaiLocal trains.

Universal Trav…",Mumbai,21,False,Twitter Web App,0,False,None
6,israramrelia,!$R@R,2021-08-12 17:38:32,"RT @mumbaimatterz: #GoodNews #Mumbai

Now Fully Vaccinated citizens can apply for #Epass for travel by #MumbaiLocal trains.

Universal Trav…",India,21,False,Twitter for iPhone,0,False,None
7,abhinavP26,Mohan Parab,2021-08-12 17:09:40,"RT @mumbaimatterz: #GoodNews #Mumbai

Now Fully Vaccinated citizens can apply for #Epass for travel by #MumbaiLocal trains.

Universal Trav…",,21,False,Twitter for Android,0,False,None
8,Nipurn,Nipurn Dholakia 🇮🇳,2021-08-12 16:08:32,"RT @mumbaimatterz: #GoodNews #Mumbai

Now Fully Vaccinated citizens can apply for #Epass for travel by #MumbaiLocal trains.

Universal Trav…",Ahmedabad India,21,False,Twitter for Android,0,False,None
9,Vedantp13,Vedant,2021-08-12 16:00:46,@KhamanDhokIa Life line #MumbaiLocal ❤️ https://t.co/KZvABVpgNS,,0,False,Twitter for Android,2,False,1425847802890899457
10,viralvm69,viral mehta,2021-08-12 15:08:41,"RT @mid_day: WATCH VIDEO | 

#Maharashtra government has allowed #fullyvaccinated citizens with a 14-day cooling period to use local trains…","Mumbai, India",1,False,Twitter for Android,0,False,None
