,Screen Name ,User Name ,Tweet Created At,Tweet Text,User Location,Retweet Count,Retweeted,Phone Type,Favorite Count,Favorited ,Replied
0,Kanishk08395827,James Bond,2020-02-25 08:31:32,"RT @AsliDevil: Brand Ambassador Salman Khan with Mr Sheth, CEO of #Realme Mobile !#RealmeSalman @BeingSalmanKhan https://t.co/XAxsCpsk95","Mumbai, India",4,False,Twitter for Android,0,False,None
1,naresh_96,Supermoon,2020-02-25 08:22:18,@MadhavSheth1 @BeingSalmanKhan @realmemobiles I think realme mobile will become expensive now it's bad for realme fans.,India,0,False,Twitter for Android,0,False,1232191853547663360
2,EnamulRaj9,Being_Enamul,2020-02-25 08:20:24,"RT @AsliDevil: Brand Ambassador Salman Khan with Mr Sheth, CEO of #Realme Mobile !#RealmeSalman @BeingSalmanKhan https://t.co/XAxsCpsk95","West Bengal, India",4,False,Twitter for Android,0,False,None
3,dhanawadiya,Harish Dhanawadiya,2020-02-25 08:19:51,"RT @AsliDevil: Brand Ambassador Salman Khan with Mr Sheth, CEO of #Realme Mobile !#RealmeSalman @BeingSalmanKhan https://t.co/XAxsCpsk95",,4,False,Twitter Web App,0,False,None
4,BeingKalptaru,KT,2020-02-25 08:17:33,"RT @AsliDevil: Brand Ambassador Salman Khan with Mr Sheth, CEO of #Realme Mobile !#RealmeSalman @BeingSalmanKhan https://t.co/XAxsCpsk95","Bhubaneshwar, India",4,False,Twitter for Android,0,False,None
5,AsliDevil,Azhar Khan 😈✌🏻,2020-02-25 08:12:53,"Brand Ambassador Salman Khan with Mr Sheth, CEO of #Realme Mobile !#RealmeSalman @BeingSalmanKhan https://t.co/XAxsCpsk95","Mumbai,India",4,False,Twitter for Android,7,False,None
6,ashishak49,Radhey....,2020-02-25 08:02:38,time to buy a new realme mobile #realmeSalman,India,0,False,Twitter for Android,0,False,None
7,IamNobodyFor_U,It's NoBody,2020-02-25 07:59:05,RT @coolkishore59: @MadhavSheth1 @BeingSalmanKhan @realmemobiles I'm big fan of Salman khan  there are no words bcoz the realme is going to…,Not Exist For U,1,False,Twitter for Android,0,False,None
8,aasubaby,Chulbul Sabab,2020-02-25 07:51:35,@MadhavSheth1 @BeingSalmanKhan @realmemobiles In the film industry There is a only one mega star the Salman Khan an… https://t.co/kdalrW2mjZ,"Bettiah Industrial Area, Betti",0,False,Twitter for Android,0,False,1232191853547663360
9,coolkishore59,kishorek,2020-02-25 07:46:16,@MadhavSheth1 @BeingSalmanKhan @realmemobiles I'm big fan of Salman khan  there are no words bcoz the realme is goi… https://t.co/1qkqAnJGNJ,"Bengaluru, India",1,False,Twitter for Android,1,False,1232191853547663360
10,MangiesShop,MangieS Shop,2020-02-25 07:43:36,"#smartphone, #pro, #android, #samsung, #apple, #tech, #phone, #xiaomi, #mobile, #nokia, #oneplus, #s, #gadget,… https://t.co/Oz3dFhets5",Germany,0,False,SocialRabbit Plugin,0,False,None
11,Sahith60604411,Sahith,2020-02-25 07:41:42,RT @iamprasadtech: Friends iam not reviewing Realme X50 Pro.Kindly dont ask any Questions regarding Realme X50 Pro. First 5G Mobile unboxin…,"Hyderabad, India",124,False,Twitter for Android,0,False,None
12,janardansingh09,Ashwani Janardan #GOVERN EYE  ),2020-02-25 07:37:28,"RT @gizmotimestech: New Video: Realme X50 Pro Gaming Review, PUBG Mobile Graphics, Heating and Battery Drain Test https://t.co/PgOo2jGE42 #…","Uttar Pradesh, India",23,False,Twitter for Android,0,False,None
13,sandipdey_,Sandip Dey,2020-02-25 07:31:53,"RT @gizmotimestech: New Video: Realme X50 Pro Gaming Review, PUBG Mobile Graphics, Heating and Battery Drain Test https://t.co/PgOo2jGE42 #…",Earth,23,False,Twitter for Android,0,False,None
14,pullare96774509,#aaforlife,2020-02-25 07:27:05,RT @iamprasadtech: Friends iam not reviewing Realme X50 Pro.Kindly dont ask any Questions regarding Realme X50 Pro. First 5G Mobile unboxin…,"Coimbatore, India",124,False,Twitter for Android,0,False,None
15,VijayisWinner,VIJAY,2020-02-25 07:26:57,"@MadhavSheth1 Sir My Mom is in love with your phones.
In 2018 I bought #Realme1 to her from that time she loves ur… https://t.co/7A4UagwCa6","Hyderabad, India",0,False,Twitter for Android,0,False,None
16,nudheer,Nudheer,2020-02-25 07:22:02,@MadhavSheth1 We need relame's cureved display mobile. And also realme mobile phone's flash must need more power,Guruvayoor-Manattala-Perakam-E,0,False,Twitter for Android,0,False,1231878195441356800
17,ZubairK71017932,Zubair Khan,2020-02-25 07:10:37,@realmemobiles Are bas mobile hi lonch karoge ya update BHI doge realme ui Ka realme 5pro me,"Gorakhpur, India",0,False,Twitter for Android,0,False,1232200848039497729
18,revanth_r0yal,Revanth Royal,2020-02-25 06:59:18,@ATHIest47 @ImChinna_ Realme x2 best for value megatha ey Mobile tho polchukunna,"Andhra Pradesh, India",0,False,Twitter for Android,1,False,1232173375541219329
19,Ramana78846957,Ramana,2020-02-25 06:46:03,@MadhavSheth1 @BeingSalmanKhan @realmemobiles Realme 6 mobile,"Sangareddi, India",0,False,Twitter for Android,1,False,1232191853547663360
20,iamchanti2001,Chanti,2020-02-25 06:07:26,RT @iamprasadtech: Friends iam not reviewing Realme X50 Pro.Kindly dont ask any Questions regarding Realme X50 Pro. First 5G Mobile unboxin…,"Indiana, USA",124,False,Twitter for Android,0,False,None
21,techattract,TechAttract,2020-02-25 05:49:09,"Xiaomi Overtake Oneplus, Realme and Vivo are Exposed to The Impact of Corona

Xiaomi Overtake Oneplus, Realme and V… https://t.co/rAEasKtVhX",United States,0,False,IFTTT,0,False,None
22,Iam__praneeth,Rebel Star,2020-02-25 05:38:40,@ImChinna_ Realme x2 best mobile,"East Godavari,Amalapuram",0,False,Twitter for Android,3,False,1232170283076685824
23,sampath_shannu,sampath shannu ✨⭐,2020-02-25 05:24:32,RT @iamprasadtech: Friends iam not reviewing Realme X50 Pro.Kindly dont ask any Questions regarding Realme X50 Pro. First 5G Mobile unboxin…,"Eluru, India",124,False,Twitter for Android,0,False,None
24,VSuryatejaV,Surya teja,2020-02-25 05:20:36,RT @iamprasadtech: Friends iam not reviewing Realme X50 Pro.Kindly dont ask any Questions regarding Realme X50 Pro. First 5G Mobile unboxin…,Hyderabad,124,False,Twitter for Android,0,False,None
25,drlokesh086,Lokesh Shrivastav,2020-02-25 05:18:35,@realmemobiles i have a serious problem in my x2 mobile two different contacts get merged into one.... that is crea… https://t.co/hUeO27sk4T,,0,False,Twitter for Android,0,False,None
26,Venkatdurga15,Venkatdurga,2020-02-25 04:55:57,RT @iamprasadtech: Friends iam not reviewing Realme X50 Pro.Kindly dont ask any Questions regarding Realme X50 Pro. First 5G Mobile unboxin…,,124,False,Twitter for Android,0,False,None
