,Screen Name ,User Name ,Tweet Created At,Tweet Text,User Location,Retweet Count,Retweeted,Phone Type,Favorite Count,Favorited ,Replied
0,deepcell,Software and IT News,2020-03-07 08:49:24,Red Hat Security Advisory 2020-0726-01 https://t.co/tBXOlFe3CS,Seven Seas,0,False,IFTTT,0,False,None
1,deepcell,Software and IT News,2020-03-07 08:49:23,Red Hat Security Advisory 2020-0729-01 https://t.co/moJWSKenO9,Seven Seas,0,False,IFTTT,0,False,None
2,deepcell,Software and IT News,2020-03-07 08:49:23,Red Hat Security Advisory 2020-0728-01 https://t.co/UfrVO3LNEX,Seven Seas,0,False,IFTTT,0,False,None
3,deepcell,Software and IT News,2020-03-07 08:49:22,Red Hat Security Advisory 2020-0727-01 https://t.co/3YENATlIPX,Seven Seas,0,False,IFTTT,0,False,None
4,deepcell,Software and IT News,2020-03-07 08:49:21,Red Hat Security Advisory 2020-0720-01 https://t.co/nVC1Oyg3ne,Seven Seas,0,False,IFTTT,0,False,None
5,deepcell,Software and IT News,2020-03-07 08:49:20,Red Hat Security Advisory 2020-0721-01 https://t.co/ZK6rEe8u1z,Seven Seas,0,False,IFTTT,0,False,None
6,deepcell,Software and IT News,2020-03-07 08:49:19,Red Hat Security Advisory 2020-0708-01 https://t.co/1qcOw9KN2Z,Seven Seas,0,False,IFTTT,0,False,None
7,deepcell,Software and IT News,2020-03-07 08:49:19,Red Hat Security Advisory 2020-0707-01 https://t.co/KCN5PLhAgj,Seven Seas,0,False,IFTTT,0,False,None
8,deepcell,Software and IT News,2020-03-07 08:49:18,Red Hat Security Advisory 2020-0704-01 https://t.co/Ez73hNp8mj,Seven Seas,0,False,IFTTT,0,False,None
9,deepcell,Software and IT News,2020-03-07 08:49:17,Red Hat Security Advisory 2020-0703-01 https://t.co/j9T3UA8FJJ,Seven Seas,0,False,IFTTT,0,False,None
10,jimgris,Jim Grisanzio,2020-03-07 08:45:45,"RT @headius: It was bound to happen eventually: Red Hat has issued rules limiting international travel to ""business emergencies"" and forbid…",Kinki,2,False,Twitter for iPhone,0,False,None
11,rjsego,⁷,2020-03-07 08:44:58,hm i still have sort of red hair well faded but i could literally try and pull a bv3 jk outfit (excluding the bucket hat),,0,False,Twitter Web App,0,False,None
12,NataliaKerensky,Chuck Berry,2020-03-07 08:44:25,"RT @dentintheworld: @RUKidinme2154 @MrAndyNgo @benshapiro @NYPDnews @CNN I'm sure Brian Stelter is all over this one, it's almost as bad as…",,1,False,Twitter Web App,0,False,None
13,margaretjud149,Judie Lancaster🌊,2020-03-07 08:38:53,"RT @amvetsupport: Looking at that moron trump wearing his fat jacket, his idiotic red hat, a shirt that doesn’t begin to cover up his lard…","South Carolina, USA",116,False,Twitter Web App,0,False,None
14,RileyDao916,Riley Deezy,2020-03-07 08:38:36,RT @S_C_: The line clearly meant don’t pit me against my brothers no matter what our differences are (red hat) now go pick up Meek album .…,"Sacramento, CA",51485,False,Twitter for Android,0,False,None
15,Diance3,Diance,2020-03-07 08:37:13,"@realDonaldTrump @GovBillLee @MariaLeeTN Did the photo op thing, wore the politicizing red hat, offered a few thumb… https://t.co/hJ0p5seuyu",,0,False,Twitter Web App,0,False,1236135907201294336
16,startmakingsens,MrSensible,2020-03-07 08:26:04,@sturdyAlex The fat old ignorant guy in the red hat is in the prime demographic for mortality from corvid19. 😶,just here.,0,False,Twitter for Android,0,False,1236182045149327360
17,bzabby,Brian Zabloudil,2020-03-07 08:25:02,"RT @20thgrader: Europe puts us to shame in so bad. If u ever have an argument with a ""freedom loving"" red hat, just ask them why it takes 6…","Leesburg, VA",4,False,Twitter for Android,0,False,None
18,cyberfire69,pld6019,2020-03-07 08:22:44,RT @dancinglight4u: @rulajebreal @atrupar Why do we have to look red campaign hat on a official government trip . I fine it offensive at ev…,"Colorado, USA",4,False,Twitter for iPhone,0,False,None
19,coldlonjas,🥫,2020-03-07 08:17:43,"RT @drskyskull: I feel like a big clue is right there in the video, wearing a red hat and looking like a dumbass.",,10,False,Twitter for iPhone,0,False,None
20,OpineBLOGS,Opine●BLOGS by @OpineMediaGroup,2020-03-07 08:16:21,"CloudBlogs » Red Hat Expands Hybrid Cloud Partner Certifications, Support Services - Channel Futures… https://t.co/SPCll0FaPg",,0,False,IFTTT,0,False,None
21,OpineBLOGS,Opine●BLOGS by @OpineMediaGroup,2020-03-07 08:16:18,"CloudBlogs » 'In managing hybrid cloud, it's VMware Tanzu vs Red Hat OpenShift' - Times of India… https://t.co/2sT6rqphGI",,0,False,IFTTT,0,False,None
22,pixiebellshop,Pixiebell,2020-03-07 08:14:27,"Crochet Hat, Womens Hat, Winter Hat, 1920s Flapper Hat, Womens Accessories, Garbo Cloche Hat Poinsettia Red… https://t.co/0kXGQHkGzX",A Vermonter in Florida,0,False,Twitter Web Client,0,False,None
23,sexyislandgyal,Danielle 💜⁷,2020-03-07 08:13:07,"@red_inque @_jimintoday_ @doyou_bangtan @BTS_twt I sure did lol at first I was wondering if it was Joon, when I cou… https://t.co/ThE43ZcIWZ","Bristol, England",0,False,Twitter for Android,0,False,1236120443557310465
24,StephM16921914,Steph M,2020-03-07 08:12:12,@mikenactor I think the hat needs a splash of red. Other than that cool look.,,0,False,Twitter for Android,1,False,1236194817534615553
