,Tweet Text,Remove user,Remove url,Remove RT,Remove pun,Remove stop
0,"Pest bring not just discomfort but also diseases with them. Protect your family from those diseases, call to book a… https://t.co/l8HAXgcLgI","Pest bring not just discomfort but also diseases with them. Protect your family from those diseases, call to book a… https://t.co/l8HAXgcLgI","Pest bring not just discomfort but also diseases with them. Protect your family from those diseases, call to book a… ","Pest bring not just discomfort but also diseases with them. Protect your family from those diseases, call to book a… ",Pest bring not just discomfort but also diseases with them Protect your family from those diseases call to book a… ,"['Pest', 'bring', 'discomfort', 'also', 'diseases', 'Protect', 'family', 'diseases', 'call', 'book', 'a…']"
1,That 1 week of rain in Delhi got me feeling so comfortable that I can’t handle the sun today. I’m inside my house a… https://t.co/05AKTVUVfA,That 1 week of rain in Delhi got me feeling so comfortable that I can’t handle the sun today. I’m inside my house a… https://t.co/05AKTVUVfA,That 1 week of rain in Delhi got me feeling so comfortable that I can’t handle the sun today. I’m inside my house a… ,hat  week of rain in Delhi got me feeling so comfortable that I can’t handle the sun today. I’m inside my house a… ,hat  week of rain in Delhi got me feeling so comfortable that I can’t handle the sun today I’m inside my house a… ,"['hat', 'week', 'rain', 'Delhi', 'got', 'feeling', 'comfortable', 'I', 'can’t', 'handle', 'sun', 'today', 'I’m', 'inside', 'house', 'a…']"
2,Beautiful Sunday Morning in Delhi.            #DelhiRains #DelhiWeather #shotoniphone https://t.co/uak61SaNsB,Beautiful Sunday Morning in Delhi.            #DelhiRains #DelhiWeather #shotoniphone https://t.co/uak61SaNsB,Beautiful Sunday Morning in Delhi.            #DelhiRains #DelhiWeather #shotoniphone ,Beautiful Sunday Morning in Delhi.            #Delhiains #DelhiWeather #shotoniphone ,Beautiful Sunday Morning in Delhi            Delhiains DelhiWeather shotoniphone ,"['Beautiful', 'Sunday', 'Morning', 'Delhi', 'Delhiains', 'DelhiWeather', 'shotoniphone']"
3,"Qoute of the day⬆️
Visit our website to learn more about pest control and our services 🌻⚡
.
.
#quotes #quotations… https://t.co/jflqOYUOK5","Qoute of the day⬆️
Visit our website to learn more about pest control and our services 🌻⚡
.
.
#quotes #quotations… https://t.co/jflqOYUOK5","Qoute of the day⬆️
Visit our website to learn more about pest control and our services 🌻⚡
.
.
#quotes #quotations… ","Qoute of the day⬆️
Visit our website to learn more about pest control and our services 🌻⚡
.
.
#quotes #quotations… ","Qoute of the day⬆️
Visit our website to learn more about pest control and our services 🌻⚡


quotes quotations… ","['Qoute', 'day⬆️', 'Visit', 'website', 'learn', 'pest', 'control', 'services', '🌻⚡', 'quotes', 'quotations…']"
4,"RT @TheFunjabiGuy: Thanku MC @ArvindKejriwal for turning Delhi Into Venice.

TMC @msisodia 😍😍😍

#DelhiRain #DelhiWeather https://t.co/8uwWf…","RT  Thanku MC  for turning Delhi Into Venice.

TMC  😍😍😍

#DelhiRain #DelhiWeather https://t.co/8uwWf…","RT  Thanku MC  for turning Delhi Into Venice.

TMC  😍😍😍

#DelhiRain #DelhiWeather ","  hanku MC  for turning Delhi Into Venice.

MC  😍😍😍

#Delhiain #DelhiWeather ","  hanku MC  for turning Delhi Into Venice

MC  😍😍😍

Delhiain DelhiWeather ","['hanku', 'MC', 'turning', 'Delhi', 'Into', 'Venice', 'MC', '😍😍😍', 'Delhiain', 'DelhiWeather']"
5,"Delhi: Heavy rains lash parts of Delhi-NCR, some areas waterlogged #DelhiRains #DelhiWeather #DelhiNCR https://t.co/N5jCqU7OIL","Delhi: Heavy rains lash parts of Delhi-NCR, some areas waterlogged #DelhiRains #DelhiWeather #DelhiNCR https://t.co/N5jCqU7OIL","Delhi: Heavy rains lash parts of Delhi-NCR, some areas waterlogged #DelhiRains #DelhiWeather #DelhiNCR ","Delhi: Heavy rains lash parts of Delhi-NC, some areas waterlogged #Delhiains #DelhiWeather #DelhiNC ",Delhi Heavy rains lash parts of DelhiNC some areas waterlogged Delhiains DelhiWeather DelhiNC ,"['Delhi', 'Heavy', 'rains', 'lash', 'parts', 'DelhiNC', 'areas', 'waterlogged', 'Delhiains', 'DelhiWeather', 'DelhiNC']"
6,Air quality in #Delhi is now in the ‘good’ category as the capital recorded an overall AQI of 48 today. #DelhiRains… https://t.co/FUCJ17syQD,Air quality in #Delhi is now in the ‘good’ category as the capital recorded an overall AQI of 48 today. #DelhiRains… https://t.co/FUCJ17syQD,Air quality in #Delhi is now in the ‘good’ category as the capital recorded an overall AQI of 48 today. #DelhiRains… ,Air quality in #Delhi is now in the ‘good’ category as the capital recorded an overall AQI of  today. #Delhiains… ,Air quality in Delhi is now in the ‘good’ category as the capital recorded an overall AQI of  today Delhiains… ,"['Air', 'quality', 'Delhi', '‘good’', 'category', 'capital', 'recorded', 'overall', 'AQI', 'today', 'Delhiains…']"
7,"Thanku MC @ArvindKejriwal for turning Delhi Into Venice.

TMC @msisodia 😍😍😍

#DelhiRain #DelhiWeather https://t.co/8uwWfnTX86","Thanku MC  for turning Delhi Into Venice.

TMC  😍😍😍

#DelhiRain #DelhiWeather https://t.co/8uwWfnTX86","Thanku MC  for turning Delhi Into Venice.

TMC  😍😍😍

#DelhiRain #DelhiWeather ","hanku MC  for turning Delhi Into Venice.

MC  😍😍😍

#Delhiain #DelhiWeather ","hanku MC  for turning Delhi Into Venice

MC  😍😍😍

Delhiain DelhiWeather ","['hanku', 'MC', 'turning', 'Delhi', 'Into', 'Venice', 'MC', '😍😍😍', 'Delhiain', 'DelhiWeather']"
8,Dusk #delhiweather happy weekend https://t.co/2wuo2E2XhI,Dusk #delhiweather happy weekend https://t.co/2wuo2E2XhI,Dusk #delhiweather happy weekend ,Dusk #delhiweather happy weekend ,Dusk delhiweather happy weekend ,"['Dusk', 'delhiweather', 'happy', 'weekend']"
9,"RT @CentreLeak: New Delhi became world’s first smart city to have road side pools for rublic.
@rohit_chahal @LambaAlka 
#DelhiRains #delhiw…","RT  New Delhi became world’s first smart city to have road side pools for rublic.
  
#DelhiRains #delhiw…","RT  New Delhi became world’s first smart city to have road side pools for rublic.
  
#DelhiRains #delhiw…","  New Delhi became world’s first smart city to have road side pools for rublic.
  
#Delhiains #delhiw…","  New Delhi became world’s first smart city to have road side pools for rublic
  
Delhiains delhiw…","['New', 'Delhi', 'became', 'world’s', 'first', 'smart', 'city', 'road', 'side', 'pools', 'rublic', 'Delhiains', 'delhiw…']"
