,Tweet Text,Remove user,Remove url,Remove RT,Remove pun,Remove stop
0,"RT @amolnwagle: Care is about empowering and not just enabling.

It's time to rebuild homes in #kokan and make our people capable again of…","RT  Care is about empowering and not just enabling.

It's time to rebuild homes in #kokan and make our people capable again of…","RT  Care is about empowering and not just enabling.

It's time to rebuild homes in #kokan and make our people capable again of…","  Care is about empowering and not just enabling.

It's time to rebuild homes in #kokan and make our people capable again of…","  Care is about empowering and not just enabling

Its time to rebuild homes in kokan and make our people capable again of…","['Care', 'empowering', 'enabling', 'Its', 'time', 'rebuild', 'homes', 'kokan', 'make', 'people', 'capable', 'of…']"
1,"RT @amolnwagle: Care is about empowering and not just enabling.

It's time to rebuild homes in #kokan and make our people capable again of…","RT  Care is about empowering and not just enabling.

It's time to rebuild homes in #kokan and make our people capable again of…","RT  Care is about empowering and not just enabling.

It's time to rebuild homes in #kokan and make our people capable again of…","  Care is about empowering and not just enabling.

It's time to rebuild homes in #kokan and make our people capable again of…","  Care is about empowering and not just enabling

Its time to rebuild homes in kokan and make our people capable again of…","['Care', 'empowering', 'enabling', 'Its', 'time', 'rebuild', 'homes', 'kokan', 'make', 'people', 'capable', 'of…']"
2,"RT @UYOBH26: We Thank All Our Donors, NSS DIT for coming forward for this noble cause. Lets stand together during hard times...
#flood #mah…","RT  We Thank All Our Donors, NSS DIT for coming forward for this noble cause. Lets stand together during hard times...
#flood #mah…","RT  We Thank All Our Donors, NSS DIT for coming forward for this noble cause. Lets stand together during hard times...
#flood #mah…","  We hank All Our Donors, NSS DI for coming forward for this noble cause. Lets stand together during hard times...
#flood #mah…","  We hank All Our Donors NSS DI for coming forward for this noble cause Lets stand together during hard times
flood mah…","['We', 'hank', 'All', 'Our', 'Donors', 'NSS', 'DI', 'coming', 'forward', 'noble', 'cause', 'Lets', 'stand', 'together', 'hard', 'times', 'flood', 'mah…']"
3,"We Thank All Our Donors, NSS DIT for coming forward for this noble cause. Lets stand together during hard times...… https://t.co/gvUUXa2zzq","We Thank All Our Donors, NSS DIT for coming forward for this noble cause. Lets stand together during hard times...… https://t.co/gvUUXa2zzq","We Thank All Our Donors, NSS DIT for coming forward for this noble cause. Lets stand together during hard times...… ","We hank All Our Donors, NSS DI for coming forward for this noble cause. Lets stand together during hard times...… ",We hank All Our Donors NSS DI for coming forward for this noble cause Lets stand together during hard times… ,"['We', 'hank', 'All', 'Our', 'Donors', 'NSS', 'DI', 'coming', 'forward', 'noble', 'cause', 'Lets', 'stand', 'together', 'hard', 'times…']"
4,"RT @amolnwagle: Care is about empowering and not just enabling.

It's time to rebuild homes in #kokan and make our people capable again of…","RT  Care is about empowering and not just enabling.

It's time to rebuild homes in #kokan and make our people capable again of…","RT  Care is about empowering and not just enabling.

It's time to rebuild homes in #kokan and make our people capable again of…","  Care is about empowering and not just enabling.

It's time to rebuild homes in #kokan and make our people capable again of…","  Care is about empowering and not just enabling

Its time to rebuild homes in kokan and make our people capable again of…","['Care', 'empowering', 'enabling', 'Its', 'time', 'rebuild', 'homes', 'kokan', 'make', 'people', 'capable', 'of…']"
5,"ABVP student karyakartas always on frontline when society needs help! 

#ratnagiri #chiplunfloods #kokan #abvp… https://t.co/VggIH8JwZD","ABVP student karyakartas always on frontline when society needs help! 

#ratnagiri #chiplunfloods #kokan #abvp… https://t.co/VggIH8JwZD","ABVP student karyakartas always on frontline when society needs help! 

#ratnagiri #chiplunfloods #kokan #abvp… ","ABVP student karyakartas always on frontline when society needs help! 

#ratnagiri #chiplunfloods #kokan #abvp… ","ABVP student karyakartas always on frontline when society needs help 

ratnagiri chiplunfloods kokan abvp… ","['ABVP', 'student', 'karyakartas', 'always', 'frontline', 'society', 'needs', 'help', 'ratnagiri', 'chiplunfloods', 'kokan', 'abvp…']"
6,"RT @amolnwagle: Care is about empowering and not just enabling.

It's time to rebuild homes in #kokan and make our people capable again of…","RT  Care is about empowering and not just enabling.

It's time to rebuild homes in #kokan and make our people capable again of…","RT  Care is about empowering and not just enabling.

It's time to rebuild homes in #kokan and make our people capable again of…","  Care is about empowering and not just enabling.

It's time to rebuild homes in #kokan and make our people capable again of…","  Care is about empowering and not just enabling

Its time to rebuild homes in kokan and make our people capable again of…","['Care', 'empowering', 'enabling', 'Its', 'time', 'rebuild', 'homes', 'kokan', 'make', 'people', 'capable', 'of…']"
7,"RT @amolnwagle: Care is about empowering and not just enabling.

It's time to rebuild homes in #kokan and make our people capable again of…","RT  Care is about empowering and not just enabling.

It's time to rebuild homes in #kokan and make our people capable again of…","RT  Care is about empowering and not just enabling.

It's time to rebuild homes in #kokan and make our people capable again of…","  Care is about empowering and not just enabling.

It's time to rebuild homes in #kokan and make our people capable again of…","  Care is about empowering and not just enabling

Its time to rebuild homes in kokan and make our people capable again of…","['Care', 'empowering', 'enabling', 'Its', 'time', 'rebuild', 'homes', 'kokan', 'make', 'people', 'capable', 'of…']"
8,Let us donate to this cause and play our small role (from the shelters and comforts of our homes) by contributing t… https://t.co/9eltltjnpL,Let us donate to this cause and play our small role (from the shelters and comforts of our homes) by contributing t… https://t.co/9eltltjnpL,Let us donate to this cause and play our small role (from the shelters and comforts of our homes) by contributing t… ,Let us donate to this cause and play our small role (from the shelters and comforts of our homes) by contributing t… ,Let us donate to this cause and play our small role from the shelters and comforts of our homes by contributing t… ,"['Let', 'us', 'donate', 'cause', 'play', 'small', 'role', 'shelters', 'comforts', 'homes', 'contributing', 't…']"
9,"RT @amolnwagle: Care is about empowering and not just enabling.

It's time to rebuild homes in #kokan and make our people capable again of…","RT  Care is about empowering and not just enabling.

It's time to rebuild homes in #kokan and make our people capable again of…","RT  Care is about empowering and not just enabling.

It's time to rebuild homes in #kokan and make our people capable again of…","  Care is about empowering and not just enabling.

It's time to rebuild homes in #kokan and make our people capable again of…","  Care is about empowering and not just enabling

Its time to rebuild homes in kokan and make our people capable again of…","['Care', 'empowering', 'enabling', 'Its', 'time', 'rebuild', 'homes', 'kokan', 'make', 'people', 'capable', 'of…']"
