,Tweet Text,Remove user,Remove url,Remove RT,Remove pun,Remove stop
0,"RT @PneumaThe: #Rainy #Vibes Check🌧⛈ 

#mumbaiweather #mumbai #green #macro #Twitter https://t.co/Ixt79LfqRI","RT  #Rainy #Vibes Check🌧⛈ 

#mumbaiweather #mumbai #green #macro #Twitter https://t.co/Ixt79LfqRI","RT  #Rainy #Vibes Check🌧⛈ 

#mumbaiweather #mumbai #green #macro #Twitter ","  #ainy #Vibes Check🌧⛈ 

#mumbaiweather #mumbai #green #macro #witter ","  ainy Vibes Check🌧⛈ 

mumbaiweather mumbai green macro witter ","['ainy', 'Vibes', 'Check🌧⛈', 'mumbaiweather', 'mumbai', 'green', 'macro', 'witter']"
1,"#Rainy #Vibes Check🌧⛈ 

#mumbaiweather #mumbai #green #macro #Twitter https://t.co/Ixt79LfqRI","#Rainy #Vibes Check🌧⛈ 

#mumbaiweather #mumbai #green #macro #Twitter https://t.co/Ixt79LfqRI","#Rainy #Vibes Check🌧⛈ 

#mumbaiweather #mumbai #green #macro #Twitter ","#ainy #Vibes Check🌧⛈ 

#mumbaiweather #mumbai #green #macro #witter ","ainy Vibes Check🌧⛈ 

mumbaiweather mumbai green macro witter ","['ainy', 'Vibes', 'Check🌧⛈', 'mumbaiweather', 'mumbai', 'green', 'macro', 'witter']"
2,"@RanveerOfficial to @deepikapadukone : Socho ki jheelo me shehar ho, Lahro me apna ghar ho🙄...

@deepikapadukone to… https://t.co/EA5eBO6xFH"," to  : Socho ki jheelo me shehar ho, Lahro me apna ghar ho🙄...

 to… https://t.co/EA5eBO6xFH"," to  : Socho ki jheelo me shehar ho, Lahro me apna ghar ho🙄...

 to… "," to  : Socho ki jheelo me shehar ho, Lahro me apna ghar ho🙄...

 to… "," to   Socho ki jheelo me shehar ho Lahro me apna ghar ho🙄

 to… ","['Socho', 'ki', 'jheelo', 'shehar', 'ho', 'Lahro', 'apna', 'ghar', 'ho🙄', 'to…']"
3,RT @mybmc: #MumbaiWeather Forecast Aug 5 : Light to moderate rain in city and suburbs with occasional intense spells. Possibility of occasi…,RT  #MumbaiWeather Forecast Aug 5 : Light to moderate rain in city and suburbs with occasional intense spells. Possibility of occasi…,RT  #MumbaiWeather Forecast Aug 5 : Light to moderate rain in city and suburbs with occasional intense spells. Possibility of occasi…,  #MumbaiWeather Forecast Aug  : Light to moderate rain in city and suburbs with occasional intense spells. Possibility of occasi…,  MumbaiWeather Forecast Aug   Light to moderate rain in city and suburbs with occasional intense spells Possibility of occasi…,"['MumbaiWeather', 'Forecast', 'Aug', 'Light', 'moderate', 'rain', 'city', 'suburbs', 'occasional', 'intense', 'spells', 'Possibility', 'occasi…']"
4,"RT @ZamorinofBombay: This picture says a lot about Bombay as a city.
#tourswithconscience #connectingtheworld #attentiontodetail #familytou…","RT  This picture says a lot about Bombay as a city.
#tourswithconscience #connectingtheworld #attentiontodetail #familytou…","RT  This picture says a lot about Bombay as a city.
#tourswithconscience #connectingtheworld #attentiontodetail #familytou…","  his picture says a lot about Bombay as a city.
#tourswithconscience #connectingtheworld #attentiontodetail #familytou…","  his picture says a lot about Bombay as a city
tourswithconscience connectingtheworld attentiontodetail familytou…","['picture', 'says', 'lot', 'Bombay', 'city', 'tourswithconscience', 'connectingtheworld', 'attentiontodetail', 'familytou…']"
5,"This picture says a lot about Bombay as a city.
#tourswithconscience #connectingtheworld #attentiontodetail… https://t.co/FDf86fU7Lu","This picture says a lot about Bombay as a city.
#tourswithconscience #connectingtheworld #attentiontodetail… https://t.co/FDf86fU7Lu","This picture says a lot about Bombay as a city.
#tourswithconscience #connectingtheworld #attentiontodetail… ","his picture says a lot about Bombay as a city.
#tourswithconscience #connectingtheworld #attentiontodetail… ","his picture says a lot about Bombay as a city
tourswithconscience connectingtheworld attentiontodetail… ","['picture', 'says', 'lot', 'Bombay', 'city', 'tourswithconscience', 'connectingtheworld', 'attentiontodetail…']"
6,RT @mybmc: #MumbaiWeather Forecast Aug 5 : Light to moderate rain in city and suburbs with occasional intense spells. Possibility of occasi…,RT  #MumbaiWeather Forecast Aug 5 : Light to moderate rain in city and suburbs with occasional intense spells. Possibility of occasi…,RT  #MumbaiWeather Forecast Aug 5 : Light to moderate rain in city and suburbs with occasional intense spells. Possibility of occasi…,  #MumbaiWeather Forecast Aug  : Light to moderate rain in city and suburbs with occasional intense spells. Possibility of occasi…,  MumbaiWeather Forecast Aug   Light to moderate rain in city and suburbs with occasional intense spells Possibility of occasi…,"['MumbaiWeather', 'Forecast', 'Aug', 'Light', 'moderate', 'rain', 'city', 'suburbs', 'occasional', 'intense', 'spells', 'Possibility', 'occasi…']"
7,RT @mybmc: #MumbaiWeather Forecast Aug 5 : Light to moderate rain in city and suburbs with occasional intense spells. Possibility of occasi…,RT  #MumbaiWeather Forecast Aug 5 : Light to moderate rain in city and suburbs with occasional intense spells. Possibility of occasi…,RT  #MumbaiWeather Forecast Aug 5 : Light to moderate rain in city and suburbs with occasional intense spells. Possibility of occasi…,  #MumbaiWeather Forecast Aug  : Light to moderate rain in city and suburbs with occasional intense spells. Possibility of occasi…,  MumbaiWeather Forecast Aug   Light to moderate rain in city and suburbs with occasional intense spells Possibility of occasi…,"['MumbaiWeather', 'Forecast', 'Aug', 'Light', 'moderate', 'rain', 'city', 'suburbs', 'occasional', 'intense', 'spells', 'Possibility', 'occasi…']"
8,Come home to where your heart belongs where the chirping birds will be your neighbors and you will have people who… https://t.co/UvHoChPCex,Come home to where your heart belongs where the chirping birds will be your neighbors and you will have people who… https://t.co/UvHoChPCex,Come home to where your heart belongs where the chirping birds will be your neighbors and you will have people who… ,Come home to where your heart belongs where the chirping birds will be your neighbors and you will have people who… ,Come home to where your heart belongs where the chirping birds will be your neighbors and you will have people who… ,"['Come', 'home', 'heart', 'belongs', 'chirping', 'birds', 'neighbors', 'people', 'who…']"
9,RT @mybmc: #MumbaiWeather Forecast Aug 5 : Light to moderate rain in city and suburbs with occasional intense spells. Possibility of occasi…,RT  #MumbaiWeather Forecast Aug 5 : Light to moderate rain in city and suburbs with occasional intense spells. Possibility of occasi…,RT  #MumbaiWeather Forecast Aug 5 : Light to moderate rain in city and suburbs with occasional intense spells. Possibility of occasi…,  #MumbaiWeather Forecast Aug  : Light to moderate rain in city and suburbs with occasional intense spells. Possibility of occasi…,  MumbaiWeather Forecast Aug   Light to moderate rain in city and suburbs with occasional intense spells Possibility of occasi…,"['MumbaiWeather', 'Forecast', 'Aug', 'Light', 'moderate', 'rain', 'city', 'suburbs', 'occasional', 'intense', 'spells', 'Possibility', 'occasi…']"
