,Tweet Text,Remove user,Remove url,Remove RT,Remove pun,Remove stop
0,RT @harjeetwadhwa: Request you to please share this so that it can help #Flood Area's and People in #kolhapurflood #KonkanFloods #satararai…,RT  Request you to please share this so that it can help #Flood Area's and People in #kolhapurflood #KonkanFloods #satararai…,RT  Request you to please share this so that it can help #Flood Area's and People in #kolhapurflood #KonkanFloods #satararai…,  equest you to please share this so that it can help #Flood Area's and People in #kolhapurflood #KonkanFloods #satararai…,  equest you to please share this so that it can help Flood Areas and People in kolhapurflood KonkanFloods satararai…,"['equest', 'please', 'share', 'help', 'Flood', 'Areas', 'People', 'kolhapurflood', 'KonkanFloods', 'satararai…']"
1,Request you to please share this so that it can help #Flood Area's and People in #kolhapurflood #KonkanFloods… https://t.co/COi1Z06932,Request you to please share this so that it can help #Flood Area's and People in #kolhapurflood #KonkanFloods… https://t.co/COi1Z06932,Request you to please share this so that it can help #Flood Area's and People in #kolhapurflood #KonkanFloods… ,equest you to please share this so that it can help #Flood Area's and People in #kolhapurflood #KonkanFloods… ,equest you to please share this so that it can help Flood Areas and People in kolhapurflood KonkanFloods… ,"['equest', 'please', 'share', 'help', 'Flood', 'Areas', 'People', 'kolhapurflood', 'KonkanFloods…']"
2,"The interception to the feeds is breakdown of allocations via Centre and State Govt.
Additionally, with changed mon… https://t.co/BysqMYRgvY","The interception to the feeds is breakdown of allocations via Centre and State Govt.
Additionally, with changed mon… https://t.co/BysqMYRgvY","The interception to the feeds is breakdown of allocations via Centre and State Govt.
Additionally, with changed mon… ","he interception to the feeds is breakdown of allocations via Centre and State Govt.
Additionally, with changed mon… ","he interception to the feeds is breakdown of allocations via Centre and State Govt
Additionally with changed mon… ","['interception', 'feeds', 'breakdown', 'allocations', 'via', 'Centre', 'State', 'Govt', 'Additionally', 'changed', 'mon…']"
3,When CM is free going for trip without taking food for them. Funny . Any NGO will also carry food when meet.… https://t.co/dFTEqn7F8u,When CM is free going for trip without taking food for them. Funny . Any NGO will also carry food when meet.… https://t.co/dFTEqn7F8u,When CM is free going for trip without taking food for them. Funny . Any NGO will also carry food when meet.… ,When CM is free going for trip without taking food for them. Funny . Any NGO will also carry food when meet.… ,When CM is free going for trip without taking food for them Funny  Any NGO will also carry food when meet… ,"['When', 'CM', 'free', 'going', 'trip', 'without', 'taking', 'food', 'Funny', 'Any', 'NGO', 'also', 'carry', 'food', 'meet…']"
4,"RT @Dev_Fadnavis: 📍Kolhapur :
Yesterday, visited Narasimhawadi in Kolhapur district to see the damages &amp; meet flood hit people. Look at the…","RT  📍Kolhapur :
Yesterday, visited Narasimhawadi in Kolhapur district to see the damages &amp; meet flood hit people. Look at the…","RT  📍Kolhapur :
Yesterday, visited Narasimhawadi in Kolhapur district to see the damages &amp; meet flood hit people. Look at the…","  📍Kolhapur :
Yesterday, visited Narasimhawadi in Kolhapur district to see the damages &amp; meet flood hit people. Look at the…","  📍Kolhapur 
Yesterday visited Narasimhawadi in Kolhapur district to see the damages amp meet flood hit people Look at the…","['📍Kolhapur', 'Yesterday', 'visited', 'Narasimhawadi', 'Kolhapur', 'district', 'see', 'damages', 'amp', 'meet', 'flood', 'hit', 'people', 'Look', 'the…']"
5,RT @shanpati: Worried about Your car submerged in flood waters? Look no further. Here is the link to the information to claim Your insuranc…,RT  Worried about Your car submerged in flood waters? Look no further. Here is the link to the information to claim Your insuranc…,RT  Worried about Your car submerged in flood waters? Look no further. Here is the link to the information to claim Your insuranc…,  Worried about Your car submerged in flood waters? Look no further. Here is the link to the information to claim Your insuranc…,  Worried about Your car submerged in flood waters Look no further Here is the link to the information to claim Your insuranc…,"['Worried', 'Your', 'car', 'submerged', 'flood', 'waters', 'Look', 'Here', 'link', 'information', 'claim', 'Your', 'insuranc…']"
6,RT @shanpati: Worried about Your car submerged in flood waters? Look no further. Here is the link to the information to claim Your insuranc…,RT  Worried about Your car submerged in flood waters? Look no further. Here is the link to the information to claim Your insuranc…,RT  Worried about Your car submerged in flood waters? Look no further. Here is the link to the information to claim Your insuranc…,  Worried about Your car submerged in flood waters? Look no further. Here is the link to the information to claim Your insuranc…,  Worried about Your car submerged in flood waters Look no further Here is the link to the information to claim Your insuranc…,"['Worried', 'Your', 'car', 'submerged', 'flood', 'waters', 'Look', 'Here', 'link', 'information', 'claim', 'Your', 'insuranc…']"
7,RT @shanpati: Worried about Your car submerged in flood waters? Look no further. Here is the link to the information to claim Your insuranc…,RT  Worried about Your car submerged in flood waters? Look no further. Here is the link to the information to claim Your insuranc…,RT  Worried about Your car submerged in flood waters? Look no further. Here is the link to the information to claim Your insuranc…,  Worried about Your car submerged in flood waters? Look no further. Here is the link to the information to claim Your insuranc…,  Worried about Your car submerged in flood waters Look no further Here is the link to the information to claim Your insuranc…,"['Worried', 'Your', 'car', 'submerged', 'flood', 'waters', 'Look', 'Here', 'link', 'information', 'claim', 'Your', 'insuranc…']"
8,RT @shanpati: Worried about Your car submerged in flood waters? Look no further. Here is the link to the information to claim Your insuranc…,RT  Worried about Your car submerged in flood waters? Look no further. Here is the link to the information to claim Your insuranc…,RT  Worried about Your car submerged in flood waters? Look no further. Here is the link to the information to claim Your insuranc…,  Worried about Your car submerged in flood waters? Look no further. Here is the link to the information to claim Your insuranc…,  Worried about Your car submerged in flood waters Look no further Here is the link to the information to claim Your insuranc…,"['Worried', 'Your', 'car', 'submerged', 'flood', 'waters', 'Look', 'Here', 'link', 'information', 'claim', 'Your', 'insuranc…']"
9,RT @shanpati: Worried about Your car submerged in flood waters? Look no further. Here is the link to the information to claim Your insuranc…,RT  Worried about Your car submerged in flood waters? Look no further. Here is the link to the information to claim Your insuranc…,RT  Worried about Your car submerged in flood waters? Look no further. Here is the link to the information to claim Your insuranc…,  Worried about Your car submerged in flood waters? Look no further. Here is the link to the information to claim Your insuranc…,  Worried about Your car submerged in flood waters Look no further Here is the link to the information to claim Your insuranc…,"['Worried', 'Your', 'car', 'submerged', 'flood', 'waters', 'Look', 'Here', 'link', 'information', 'claim', 'Your', 'insuranc…']"
