,Tweet Text,Remove user,Remove url,Remove RT,Remove pun,Remove stop
0,"Pin Code:[411038] 
PMC P Subudh Hospi And Resear
Vaccines: COVISHIELD,
Min Age Limit: [18],
Dose1 Capacity: 40,44,4… https://t.co/dXt9KXyuUd","Pin Code:[411038] 
PMC P Subudh Hospi And Resear
Vaccines: COVISHIELD,
Min Age Limit: [18],
Dose1 Capacity: 40,44,4… https://t.co/dXt9KXyuUd","Pin Code:[411038] 
PMC P Subudh Hospi And Resear
Vaccines: COVISHIELD,
Min Age Limit: [18],
Dose1 Capacity: 40,44,4… ","Pin Code:[] 
PMC P Subudh Hospi And esear
Vaccines: COVISHIELD,
Min Age Limit: [],
Dose Capacity: ,,… ","Pin Code 
PMC P Subudh Hospi And esear
Vaccines COVISHIELD
Min Age Limit 
Dose Capacity … ","['Pin', 'Code', 'PMC', 'P', 'Subudh', 'Hospi', 'And', 'esear', 'Vaccines', 'COVISHIELD', 'Min', 'Age', 'Limit', 'Dose', 'Capacity', '…']"
1,"RT @PuneUpdater: Pin Code:[411026] 
PCMC Pritam Hospital Bhosari
Vaccines: COVISHIELD,
Min Age Limit: [18,45],
Dose1 Capacity: 49,46,81,48,…","RT  Pin Code:[411026] 
PCMC Pritam Hospital Bhosari
Vaccines: COVISHIELD,
Min Age Limit: [18,45],
Dose1 Capacity: 49,46,81,48,…","RT  Pin Code:[411026] 
PCMC Pritam Hospital Bhosari
Vaccines: COVISHIELD,
Min Age Limit: [18,45],
Dose1 Capacity: 49,46,81,48,…","  Pin Code:[] 
PCMC Pritam Hospital Bhosari
Vaccines: COVISHIELD,
Min Age Limit: [,],
Dose Capacity: ,,,,…","  Pin Code 
PCMC Pritam Hospital Bhosari
Vaccines COVISHIELD
Min Age Limit 
Dose Capacity …","['Pin', 'Code', 'PCMC', 'Pritam', 'Hospital', 'Bhosari', 'Vaccines', 'COVISHIELD', 'Min', 'Age', 'Limit', 'Dose', 'Capacity', '…']"
2,"Pin Code:[412202] 
RURAL SHREE GANRAJ HOSPITAL
Vaccines: COVISHIELD,
Min Age Limit: [18,45],
Dose1 Capacity: 19,20,… https://t.co/prtRxFD3af","Pin Code:[412202] 
RURAL SHREE GANRAJ HOSPITAL
Vaccines: COVISHIELD,
Min Age Limit: [18,45],
Dose1 Capacity: 19,20,… https://t.co/prtRxFD3af","Pin Code:[412202] 
RURAL SHREE GANRAJ HOSPITAL
Vaccines: COVISHIELD,
Min Age Limit: [18,45],
Dose1 Capacity: 19,20,… ","Pin Code:[] 
UAL SHEE GANAJ HOSPIAL
Vaccines: COVISHIELD,
Min Age Limit: [,],
Dose Capacity: ,,… ","Pin Code 
UAL SHEE GANAJ HOSPIAL
Vaccines COVISHIELD
Min Age Limit 
Dose Capacity … ","['Pin', 'Code', 'UAL', 'SHEE', 'GANAJ', 'HOSPIAL', 'Vaccines', 'COVISHIELD', 'Min', 'Age', 'Limit', 'Dose', 'Capacity', '…']"
3,"RT @PuneUpdater: Pin Code:[411014] 
KOTHARI CHARITABLE TRUST
Vaccines: COVAXIN COVISHIELD,
Min Age Limit: [18],
Dose1 Capacity: 1,23,48,24,…","RT  Pin Code:[411014] 
KOTHARI CHARITABLE TRUST
Vaccines: COVAXIN COVISHIELD,
Min Age Limit: [18],
Dose1 Capacity: 1,23,48,24,…","RT  Pin Code:[411014] 
KOTHARI CHARITABLE TRUST
Vaccines: COVAXIN COVISHIELD,
Min Age Limit: [18],
Dose1 Capacity: 1,23,48,24,…","  Pin Code:[] 
KOHAI CHAIABLE US
Vaccines: COVAXIN COVISHIELD,
Min Age Limit: [],
Dose Capacity: ,,,,…","  Pin Code 
KOHAI CHAIABLE US
Vaccines COVAXIN COVISHIELD
Min Age Limit 
Dose Capacity …","['Pin', 'Code', 'KOHAI', 'CHAIABLE', 'US', 'Vaccines', 'COVAXIN', 'COVISHIELD', 'Min', 'Age', 'Limit', 'Dose', 'Capacity', '…']"
4,Plastic and thermocole pollution in kashyapi Dam. #nashik #maharashtra #pollution #mumbai #pune #rain @TV9Marathi… https://t.co/jE3vYde3Eo,Plastic and thermocole pollution in kashyapi Dam. #nashik #maharashtra #pollution #mumbai #pune #rain  https://t.co/jE3vYde3Eo,Plastic and thermocole pollution in kashyapi Dam. #nashik #maharashtra #pollution #mumbai #pune #rain  ,Plastic and thermocole pollution in kashyapi Dam. #nashik #maharashtra #pollution #mumbai #pune #rain  ,Plastic and thermocole pollution in kashyapi Dam nashik maharashtra pollution mumbai pune rain  ,"['Plastic', 'thermocole', 'pollution', 'kashyapi', 'Dam', 'nashik', 'maharashtra', 'pollution', 'mumbai', 'pune', 'rain']"
5,"Pin Code:[411046] 
PMC P Jeevandhara Hospital
Vaccines: COVISHIELD,
Min Age Limit: [18,45],
Dose1 Capacity: 81,48,… https://t.co/BfoQj9lTfO","Pin Code:[411046] 
PMC P Jeevandhara Hospital
Vaccines: COVISHIELD,
Min Age Limit: [18,45],
Dose1 Capacity: 81,48,… https://t.co/BfoQj9lTfO","Pin Code:[411046] 
PMC P Jeevandhara Hospital
Vaccines: COVISHIELD,
Min Age Limit: [18,45],
Dose1 Capacity: 81,48,… ","Pin Code:[] 
PMC P Jeevandhara Hospital
Vaccines: COVISHIELD,
Min Age Limit: [,],
Dose Capacity: ,,… ","Pin Code 
PMC P Jeevandhara Hospital
Vaccines COVISHIELD
Min Age Limit 
Dose Capacity … ","['Pin', 'Code', 'PMC', 'P', 'Jeevandhara', 'Hospital', 'Vaccines', 'COVISHIELD', 'Min', 'Age', 'Limit', 'Dose', 'Capacity', '…']"
6,"Pin Code:[411015] 
PMC P Kasturba Speciality Hosp
Vaccines: COVISHIELD,
Min Age Limit: [18,45],
Dose1 Capacity: 84,… https://t.co/pqBUjhtzJ5","Pin Code:[411015] 
PMC P Kasturba Speciality Hosp
Vaccines: COVISHIELD,
Min Age Limit: [18,45],
Dose1 Capacity: 84,… https://t.co/pqBUjhtzJ5","Pin Code:[411015] 
PMC P Kasturba Speciality Hosp
Vaccines: COVISHIELD,
Min Age Limit: [18,45],
Dose1 Capacity: 84,… ","Pin Code:[] 
PMC P Kasturba Speciality Hosp
Vaccines: COVISHIELD,
Min Age Limit: [,],
Dose Capacity: ,… ","Pin Code 
PMC P Kasturba Speciality Hosp
Vaccines COVISHIELD
Min Age Limit 
Dose Capacity … ","['Pin', 'Code', 'PMC', 'P', 'Kasturba', 'Speciality', 'Hosp', 'Vaccines', 'COVISHIELD', 'Min', 'Age', 'Limit', 'Dose', 'Capacity', '…']"
7,"RT @PuneUpdater: Pin Code:[411014] 
KOTHARI CHARITABLE TRUST
Vaccines: COVAXIN COVISHIELD,
Min Age Limit: [18],
Dose1 Capacity: 1,23,48,24,…","RT  Pin Code:[411014] 
KOTHARI CHARITABLE TRUST
Vaccines: COVAXIN COVISHIELD,
Min Age Limit: [18],
Dose1 Capacity: 1,23,48,24,…","RT  Pin Code:[411014] 
KOTHARI CHARITABLE TRUST
Vaccines: COVAXIN COVISHIELD,
Min Age Limit: [18],
Dose1 Capacity: 1,23,48,24,…","  Pin Code:[] 
KOHAI CHAIABLE US
Vaccines: COVAXIN COVISHIELD,
Min Age Limit: [],
Dose Capacity: ,,,,…","  Pin Code 
KOHAI CHAIABLE US
Vaccines COVAXIN COVISHIELD
Min Age Limit 
Dose Capacity …","['Pin', 'Code', 'KOHAI', 'CHAIABLE', 'US', 'Vaccines', 'COVAXIN', 'COVISHIELD', 'Min', 'Age', 'Limit', 'Dose', 'Capacity', '…']"
8,"RT @IndiaToday: Resolution passed by #Pune civic body for constructing 25-ft tall sculpture of Lord Ram at playground

https://t.co/xDHJKfy…","RT  Resolution passed by #Pune civic body for constructing 25-ft tall sculpture of Lord Ram at playground

https://t.co/xDHJKfy…","RT  Resolution passed by #Pune civic body for constructing 25-ft tall sculpture of Lord Ram at playground

","  esolution passed by #Pune civic body for constructing -ft tall sculpture of Lord am at playground

","  esolution passed by Pune civic body for constructing ft tall sculpture of Lord am at playground

","['esolution', 'passed', 'Pune', 'civic', 'body', 'constructing', 'ft', 'tall', 'sculpture', 'Lord', 'playground']"
9,"Pin Code:[411042] 
PMC P Alliance Munot Hospital
Vaccines: COVISHIELD,
Min Age Limit: [18],
Dose1 Capacity: 487,493… https://t.co/IFpNvDz0Iv","Pin Code:[411042] 
PMC P Alliance Munot Hospital
Vaccines: COVISHIELD,
Min Age Limit: [18],
Dose1 Capacity: 487,493… https://t.co/IFpNvDz0Iv","Pin Code:[411042] 
PMC P Alliance Munot Hospital
Vaccines: COVISHIELD,
Min Age Limit: [18],
Dose1 Capacity: 487,493… ","Pin Code:[] 
PMC P Alliance Munot Hospital
Vaccines: COVISHIELD,
Min Age Limit: [],
Dose Capacity: ,… ","Pin Code 
PMC P Alliance Munot Hospital
Vaccines COVISHIELD
Min Age Limit 
Dose Capacity … ","['Pin', 'Code', 'PMC', 'P', 'Alliance', 'Munot', 'Hospital', 'Vaccines', 'COVISHIELD', 'Min', 'Age', 'Limit', 'Dose', 'Capacity', '…']"
