,Tweet Text,Remove user,Remove url,Remove RT,Remove pun,Remove stop
0,RT @makoladevelops: M’akola Housing Society’s Director of Communications Charla Huber writes for the @timescolonist about her experience on…,RT  M’akola Housing Society’s Director of Communications Charla Huber writes for the  about her experience on…,RT  M’akola Housing Society’s Director of Communications Charla Huber writes for the  about her experience on…,  M’akola Housing Society’s Director of Communications Charla Huber writes for the  about her experience on…,  M’akola Housing Society’s Director of Communications Charla Huber writes for the  about her experience on…,"['M’akola', 'Housing', 'Society’s', 'Director', 'Communications', 'Charla', 'Huber', 'writes', 'experience', 'on…']"
1,RT @makoladevelops: M’akola Housing Society’s Director of Communications Charla Huber writes for the @timescolonist about her experience on…,RT  M’akola Housing Society’s Director of Communications Charla Huber writes for the  about her experience on…,RT  M’akola Housing Society’s Director of Communications Charla Huber writes for the  about her experience on…,  M’akola Housing Society’s Director of Communications Charla Huber writes for the  about her experience on…,  M’akola Housing Society’s Director of Communications Charla Huber writes for the  about her experience on…,"['M’akola', 'Housing', 'Society’s', 'Director', 'Communications', 'Charla', 'Huber', 'writes', 'experience', 'on…']"
2,@LordNexus @EliteEpicGamerz @Bungie Butttttt we will get stasis weapons next season!!!!!,   Butttttt we will get stasis weapons next season!!!!!,   Butttttt we will get stasis weapons next season!!!!!,   Butttttt we will get stasis weapons next season!!!!!,   Butttttt we will get stasis weapons next season,"['Butttttt', 'get', 'stasis', 'weapons', 'next', 'season']"
3,le a akola the you are worried about one thing 😭😭 sbwl life ye then 😭😭 https://t.co/WlEsRudkoM,le a akola the you are worried about one thing 😭😭 sbwl life ye then 😭😭 https://t.co/WlEsRudkoM,le a akola the you are worried about one thing 😭😭 sbwl life ye then 😭😭 ,le a akola the you are worried about one thing 😭😭 sbwl life ye then 😭😭 ,le a akola the you are worried about one thing 😭😭 sbwl life ye then 😭😭 ,"['le', 'akola', 'worried', 'one', 'thing', '😭😭', 'sbwl', 'life', 'ye', '😭😭']"
4,"@StyleListings Learning Tiles Fitting Work
At Akola Maharashtra
Currently Rest"," Learning Tiles Fitting Work
At Akola Maharashtra
Currently Rest"," Learning Tiles Fitting Work
At Akola Maharashtra
Currently Rest"," Learning iles Fitting Work
At Akola Maharashtra
Currently est"," Learning iles Fitting Work
At Akola Maharashtra
Currently est","['Learning', 'iles', 'Fitting', 'Work', 'At', 'Akola', 'Maharashtra', 'Currently', 'est']"
5,@treehugger115 Akola wishes it could be a fraction of Soul Silver though, Akola wishes it could be a fraction of Soul Silver though, Akola wishes it could be a fraction of Soul Silver though, Akola wishes it could be a fraction of Soul Silver though, Akola wishes it could be a fraction of Soul Silver though,"['Akola', 'wishes', 'could', 'fraction', 'Soul', 'Silver', 'though']"
6,@TrakinTech #AskArun Arun Bhai is Independence Day par Biggest Giveaway Hoga Ya kuch Special Video Aaega By the way… https://t.co/J39HiImTzD, #AskArun Arun Bhai is Independence Day par Biggest Giveaway Hoga Ya kuch Special Video Aaega By the way… https://t.co/J39HiImTzD, #AskArun Arun Bhai is Independence Day par Biggest Giveaway Hoga Ya kuch Special Video Aaega By the way… , #AskArun Arun Bhai is Independence Day par Biggest Giveaway Hoga Ya kuch Special Video Aaega By the way… , AskArun Arun Bhai is Independence Day par Biggest Giveaway Hoga Ya kuch Special Video Aaega By the way… ,"['AskArun', 'Arun', 'Bhai', 'Independence', 'Day', 'par', 'Biggest', 'Giveaway', 'Hoga', 'Ya', 'kuch', 'Special', 'Video', 'Aaega', 'By', 'way…']"
7,"@ncc_dte 
11 Mah Batln 
Shri Shivaji College of Arts, Commerce and Science Akola
Felicitation of Alumni and career… https://t.co/LPyDIJo95U"," 
11 Mah Batln 
Shri Shivaji College of Arts, Commerce and Science Akola
Felicitation of Alumni and career… https://t.co/LPyDIJo95U"," 
11 Mah Batln 
Shri Shivaji College of Arts, Commerce and Science Akola
Felicitation of Alumni and career… "," 
 Mah Batln 
Shri Shivaji College of Arts, Commerce and Science Akola
Felicitation of Alumni and career… "," 
 Mah Batln 
Shri Shivaji College of Arts Commerce and Science Akola
Felicitation of Alumni and career… ","['Mah', 'Batln', 'Shri', 'Shivaji', 'College', 'Arts', 'Commerce', 'Science', 'Akola', 'Felicitation', 'Alumni', 'career…']"
8,@JM_Scindia @narendramodi @JM_Scindia  i am from akola maharashtra sir!!! Since 25 years bjp has mp's n mla's from… https://t.co/Q3p4E7Qcsg,    i am from akola maharashtra sir!!! Since 25 years bjp has mp's n mla's from… https://t.co/Q3p4E7Qcsg,    i am from akola maharashtra sir!!! Since 25 years bjp has mp's n mla's from… ,    i am from akola maharashtra sir!!! Since  years bjp has mp's n mla's from… ,    i am from akola maharashtra sir Since  years bjp has mps n mlas from… ,"['akola', 'maharashtra', 'sir', 'Since', 'years', 'bjp', 'mps', 'n', 'mlas', 'from…']"
9,"RT @priority_n: He completed his life circle in just 25 years,made Supreme Sacrifice for his Motherland leaving his Mother and family behin…","RT  He completed his life circle in just 25 years,made Supreme Sacrifice for his Motherland leaving his Mother and family behin…","RT  He completed his life circle in just 25 years,made Supreme Sacrifice for his Motherland leaving his Mother and family behin…","  He completed his life circle in just  years,made Supreme Sacrifice for his Motherland leaving his Mother and family behin…",  He completed his life circle in just  yearsmade Supreme Sacrifice for his Motherland leaving his Mother and family behin…,"['He', 'completed', 'life', 'circle', 'yearsmade', 'Supreme', 'Sacrifice', 'Motherland', 'leaving', 'Mother', 'family', 'behin…']"
