,Tweet Text,Remove user,Remove url,Remove RT,Remove pun,Remove stop
0,"RT @ianrweeks: What's the point of checking arrivals at ports and airports, or quarantining possible Corona Virus sufferers, when the Borde…","RT  What's the point of checking arrivals at ports and airports, or quarantining possible Corona Virus sufferers, when the Borde…","RT  What's the point of checking arrivals at ports and airports, or quarantining possible Corona Virus sufferers, when the Borde…","  What's the point of checking arrivals at ports and airports, or quarantining possible Corona Virus sufferers, when the Borde…",  Whats the point of checking arrivals at ports and airports or quarantining possible Corona Virus sufferers when the Borde…,"['Whats', 'point', 'checking', 'arrivals', 'ports', 'airports', 'quarantining', 'possible', 'Corona', 'Virus', 'sufferers', 'Borde…']"
1,"RT @AWorldOutOfMind: No worries America, Donald trump has put the very best person possible in charge of the Corona Virus response, we have…","RT  No worries America, Donald trump has put the very best person possible in charge of the Corona Virus response, we have…","RT  No worries America, Donald trump has put the very best person possible in charge of the Corona Virus response, we have…","  No worries America, Donald trump has put the very best person possible in charge of the Corona Virus response, we have…",  No worries America Donald trump has put the very best person possible in charge of the Corona Virus response we have…,"['No', 'worries', 'America', 'Donald', 'trump', 'put', 'best', 'person', 'possible', 'charge', 'Corona', 'Virus', 'response', 'have…']"
2,@Xpheno_ @PeopleMatters2 The travel industry is going to be very badly hit due to Corona virus .  Especially leisure travel.,  The travel industry is going to be very badly hit due to Corona virus .  Especially leisure travel.,  The travel industry is going to be very badly hit due to Corona virus .  Especially leisure travel.,  he travel industry is going to be very badly hit due to Corona virus .  Especially leisure travel.,  he travel industry is going to be very badly hit due to Corona virus   Especially leisure travel,"['travel', 'industry', 'going', 'badly', 'hit', 'due', 'Corona', 'virus', 'Especially', 'leisure', 'travel']"
3,RT @hhangyeol: Please postpone dogyul’s coming activities include overseas schedules.The corona virus is getting serious. Please always tel…,RT  Please postpone dogyul’s coming activities include overseas schedules.The corona virus is getting serious. Please always tel…,RT  Please postpone dogyul’s coming activities include overseas schedules.The corona virus is getting serious. Please always tel…,  Please postpone dogyul’s coming activities include overseas schedules.he corona virus is getting serious. Please always tel…,  Please postpone dogyul’s coming activities include overseas scheduleshe corona virus is getting serious Please always tel…,"['Please', 'postpone', 'dogyul’s', 'coming', 'activities', 'include', 'overseas', 'scheduleshe', 'corona', 'virus', 'getting', 'serious', 'Please', 'always', 'tel…']"
4,"Corona virus where are you first let me take your name with respect 'Novel Corona Virus'.

Where are you ?  The gov… https://t.co/CP1ZKuAUgU","Corona virus where are you first let me take your name with respect 'Novel Corona Virus'.

Where are you ?  The gov… https://t.co/CP1ZKuAUgU","Corona virus where are you first let me take your name with respect 'Novel Corona Virus'.

Where are you ?  The gov… ","Corona virus where are you first let me take your name with respect 'Novel Corona Virus'.

Where are you ?  he gov… ","Corona virus where are you first let me take your name with respect Novel Corona Virus

Where are you   he gov… ","['Corona', 'virus', 'first', 'let', 'take', 'name', 'respect', 'Novel', 'Corona', 'Virus', 'Where', 'gov…']"
5,"RT @SNKPofficial: Unfortunately due to rising cases of the Corona Virus (COVID-19), we decided to postpone the SWC JAPAN TOUR FINAL and SWC…","RT  Unfortunately due to rising cases of the Corona Virus (COVID-19), we decided to postpone the SWC JAPAN TOUR FINAL and SWC…","RT  Unfortunately due to rising cases of the Corona Virus (COVID-19), we decided to postpone the SWC JAPAN TOUR FINAL and SWC…","  Unfortunately due to rising cases of the Corona Virus (COVID-), we decided to postpone the SWC JAPAN OU FINAL and SWC…",  Unfortunately due to rising cases of the Corona Virus COVID we decided to postpone the SWC JAPAN OU FINAL and SWC…,"['Unfortunately', 'due', 'rising', 'cases', 'Corona', 'Virus', 'COVID', 'decided', 'postpone', 'SWC', 'JAPAN', 'OU', 'FINAL', 'SWC…']"
6,like kpop gc promo nsfw shindong heechul momo loyal list loyalies shawn mendes smut feet gg stans ariana grande str… https://t.co/eakhkSVxrp,like kpop gc promo nsfw shindong heechul momo loyal list loyalies shawn mendes smut feet gg stans ariana grande str… https://t.co/eakhkSVxrp,like kpop gc promo nsfw shindong heechul momo loyal list loyalies shawn mendes smut feet gg stans ariana grande str… ,like kpop gc promo nsfw shindong heechul momo loyal list loyalies shawn mendes smut feet gg stans ariana grande str… ,like kpop gc promo nsfw shindong heechul momo loyal list loyalies shawn mendes smut feet gg stans ariana grande str… ,"['like', 'kpop', 'gc', 'promo', 'nsfw', 'shindong', 'heechul', 'momo', 'loyal', 'list', 'loyalies', 'shawn', 'mendes', 'smut', 'feet', 'gg', 'stans', 'ariana', 'grande', 'str…']"
7,"@prakashranjan5 only since we know you
you are really infectuous
you are a twin corona virus
but glad that this com… https://t.co/xfTMAWLrGK"," only since we know you
you are really infectuous
you are a twin corona virus
but glad that this com… https://t.co/xfTMAWLrGK"," only since we know you
you are really infectuous
you are a twin corona virus
but glad that this com… "," only since we know you
you are really infectuous
you are a twin corona virus
but glad that this com… "," only since we know you
you are really infectuous
you are a twin corona virus
but glad that this com… ","['since', 'know', 'really', 'infectuous', 'twin', 'corona', 'virus', 'glad', 'com…']"
8,@JOYEUSE72 @krishanisdead Trump books small venues to create the appearance of packed rallies. A great incubation ground for corona virus.,  Trump books small venues to create the appearance of packed rallies. A great incubation ground for corona virus.,  Trump books small venues to create the appearance of packed rallies. A great incubation ground for corona virus.,  rump books small venues to create the appearance of packed rallies. A great incubation ground for corona virus.,  rump books small venues to create the appearance of packed rallies A great incubation ground for corona virus,"['rump', 'books', 'small', 'venues', 'create', 'appearance', 'packed', 'rallies', 'A', 'great', 'incubation', 'ground', 'corona', 'virus']"
9,"RT @Perpetualmaniac: Literally one of the side effects of Remdesivir, the new corona virus drug.","RT  Literally one of the side effects of Remdesivir, the new corona virus drug.","RT  Literally one of the side effects of Remdesivir, the new corona virus drug.","  Literally one of the side effects of emdesivir, the new corona virus drug.",  Literally one of the side effects of emdesivir the new corona virus drug,"['Literally', 'one', 'side', 'effects', 'emdesivir', 'new', 'corona', 'virus', 'drug']"
