,Tweet Text,Remove user,Remove url,Remove RT,Remove pun,Remove stop
0,"Right now: Mist, Temperature: 30.09C, Humidity: 84, Wind: From W at 2.06KPH, Updated: 4:54AM #Delhi #Weather","Right now: Mist, Temperature: 30.09C, Humidity: 84, Wind: From W at 2.06KPH, Updated: 4:54AM #Delhi #Weather","Right now: Mist, Temperature: 30.09C, Humidity: 84, Wind: From W at 2.06KPH, Updated: 4:54AM #Delhi #Weather","ight now: Mist, emperature: .C, Humidity: , Wind: From W at .KPH, Updated: :AM #Delhi #Weather",ight now Mist emperature C Humidity  Wind From W at KPH Updated AM Delhi Weather,"['ight', 'Mist', 'emperature', 'C', 'Humidity', 'Wind', 'From', 'W', 'KPH', 'Updated', 'AM', 'Delhi', 'Weather']"
1,"RT @WeatherNDelhi: Right now: Mist, Temperature: 30.09C, Humidity: 84, Wind: From N at 0KPH, Updated: 3:54AM #Delhi #Weather","RT  Right now: Mist, Temperature: 30.09C, Humidity: 84, Wind: From N at 0KPH, Updated: 3:54AM #Delhi #Weather","RT  Right now: Mist, Temperature: 30.09C, Humidity: 84, Wind: From N at 0KPH, Updated: 3:54AM #Delhi #Weather","  ight now: Mist, emperature: .C, Humidity: , Wind: From N at KPH, Updated: :AM #Delhi #Weather",  ight now Mist emperature C Humidity  Wind From N at KPH Updated AM Delhi Weather,"['ight', 'Mist', 'emperature', 'C', 'Humidity', 'Wind', 'From', 'N', 'KPH', 'Updated', 'AM', 'Delhi', 'Weather']"
2,"Right now: Mist, Temperature: 30.09C, Humidity: 84, Wind: From N at 0KPH, Updated: 3:54AM #Delhi #Weather","Right now: Mist, Temperature: 30.09C, Humidity: 84, Wind: From N at 0KPH, Updated: 3:54AM #Delhi #Weather","Right now: Mist, Temperature: 30.09C, Humidity: 84, Wind: From N at 0KPH, Updated: 3:54AM #Delhi #Weather","ight now: Mist, emperature: .C, Humidity: , Wind: From N at KPH, Updated: :AM #Delhi #Weather",ight now Mist emperature C Humidity  Wind From N at KPH Updated AM Delhi Weather,"['ight', 'Mist', 'emperature', 'C', 'Humidity', 'Wind', 'From', 'N', 'KPH', 'Updated', 'AM', 'Delhi', 'Weather']"
3,"Right now: Mist, Temperature: 30.09C, Humidity: 84, Wind: From W at 2.06KPH, Updated: 2:54AM #Delhi #Weather","Right now: Mist, Temperature: 30.09C, Humidity: 84, Wind: From W at 2.06KPH, Updated: 2:54AM #Delhi #Weather","Right now: Mist, Temperature: 30.09C, Humidity: 84, Wind: From W at 2.06KPH, Updated: 2:54AM #Delhi #Weather","ight now: Mist, emperature: .C, Humidity: , Wind: From W at .KPH, Updated: :AM #Delhi #Weather",ight now Mist emperature C Humidity  Wind From W at KPH Updated AM Delhi Weather,"['ight', 'Mist', 'emperature', 'C', 'Humidity', 'Wind', 'From', 'W', 'KPH', 'Updated', 'AM', 'Delhi', 'Weather']"
4,"RT @WeatherNDelhi: Right now: Mist, Temperature: 30.09C, Humidity: 84, Wind: From WSW at 1.54KPH, Updated: 1:54AM #Delhi #Weather","RT  Right now: Mist, Temperature: 30.09C, Humidity: 84, Wind: From WSW at 1.54KPH, Updated: 1:54AM #Delhi #Weather","RT  Right now: Mist, Temperature: 30.09C, Humidity: 84, Wind: From WSW at 1.54KPH, Updated: 1:54AM #Delhi #Weather","  ight now: Mist, emperature: .C, Humidity: , Wind: From WSW at .KPH, Updated: :AM #Delhi #Weather",  ight now Mist emperature C Humidity  Wind From WSW at KPH Updated AM Delhi Weather,"['ight', 'Mist', 'emperature', 'C', 'Humidity', 'Wind', 'From', 'WSW', 'KPH', 'Updated', 'AM', 'Delhi', 'Weather']"
5,"Right now: Mist, Temperature: 30.09C, Humidity: 84, Wind: From WSW at 1.54KPH, Updated: 1:54AM #Delhi #Weather","Right now: Mist, Temperature: 30.09C, Humidity: 84, Wind: From WSW at 1.54KPH, Updated: 1:54AM #Delhi #Weather","Right now: Mist, Temperature: 30.09C, Humidity: 84, Wind: From WSW at 1.54KPH, Updated: 1:54AM #Delhi #Weather","ight now: Mist, emperature: .C, Humidity: , Wind: From WSW at .KPH, Updated: :AM #Delhi #Weather",ight now Mist emperature C Humidity  Wind From WSW at KPH Updated AM Delhi Weather,"['ight', 'Mist', 'emperature', 'C', 'Humidity', 'Wind', 'From', 'WSW', 'KPH', 'Updated', 'AM', 'Delhi', 'Weather']"
6,"RT @ishadrita: Okay, have to say this- Hyderabad is probably the most underrated Indian metropolitan city. Great standard of living, amazin…","RT  Okay, have to say this- Hyderabad is probably the most underrated Indian metropolitan city. Great standard of living, amazin…","RT  Okay, have to say this- Hyderabad is probably the most underrated Indian metropolitan city. Great standard of living, amazin…","  Okay, have to say this- Hyderabad is probably the most underrated Indian metropolitan city. Great standard of living, amazin…",  Okay have to say this Hyderabad is probably the most underrated Indian metropolitan city Great standard of living amazin…,"['Okay', 'say', 'Hyderabad', 'probably', 'underrated', 'Indian', 'metropolitan', 'city', 'Great', 'standard', 'living', 'amazin…']"
7,"RT @ishadrita: Okay, have to say this- Hyderabad is probably the most underrated Indian metropolitan city. Great standard of living, amazin…","RT  Okay, have to say this- Hyderabad is probably the most underrated Indian metropolitan city. Great standard of living, amazin…","RT  Okay, have to say this- Hyderabad is probably the most underrated Indian metropolitan city. Great standard of living, amazin…","  Okay, have to say this- Hyderabad is probably the most underrated Indian metropolitan city. Great standard of living, amazin…",  Okay have to say this Hyderabad is probably the most underrated Indian metropolitan city Great standard of living amazin…,"['Okay', 'say', 'Hyderabad', 'probably', 'underrated', 'Indian', 'metropolitan', 'city', 'Great', 'standard', 'living', 'amazin…']"
8,"RT @ishadrita: Okay, have to say this- Hyderabad is probably the most underrated Indian metropolitan city. Great standard of living, amazin…","RT  Okay, have to say this- Hyderabad is probably the most underrated Indian metropolitan city. Great standard of living, amazin…","RT  Okay, have to say this- Hyderabad is probably the most underrated Indian metropolitan city. Great standard of living, amazin…","  Okay, have to say this- Hyderabad is probably the most underrated Indian metropolitan city. Great standard of living, amazin…",  Okay have to say this Hyderabad is probably the most underrated Indian metropolitan city Great standard of living amazin…,"['Okay', 'say', 'Hyderabad', 'probably', 'underrated', 'Indian', 'metropolitan', 'city', 'Great', 'standard', 'living', 'amazin…']"
9,"Right now: Mist, Temperature: 31.09C, Humidity: 79, Wind: From N at 0KPH, Updated: 12:54AM #Delhi #Weather","Right now: Mist, Temperature: 31.09C, Humidity: 79, Wind: From N at 0KPH, Updated: 12:54AM #Delhi #Weather","Right now: Mist, Temperature: 31.09C, Humidity: 79, Wind: From N at 0KPH, Updated: 12:54AM #Delhi #Weather","ight now: Mist, emperature: .C, Humidity: , Wind: From N at KPH, Updated: :AM #Delhi #Weather",ight now Mist emperature C Humidity  Wind From N at KPH Updated AM Delhi Weather,"['ight', 'Mist', 'emperature', 'C', 'Humidity', 'Wind', 'From', 'N', 'KPH', 'Updated', 'AM', 'Delhi', 'Weather']"
