,Tweet Text,Remove user,Remove url,Remove RT,Remove pun,Remove stop
0,$DELL new insider selling: 111095 shares. https://t.co/eeRwGZJly9,$DELL new insider selling: 111095 shares. https://t.co/eeRwGZJly9,"['$DELL', 'new', 'insider', 'selling:', '111095', 'shares.']",$DELLnewinsiderselling:shares.,DELLnewinsidersellingshares,['DELLnewinsidersellingshares']
1,"@justanothertown Raw...
Thelma
Green Inferno"," Raw...
Thelma
Green Inferno","['Raw...', 'Thelma', 'Green', 'Inferno']",Raw...ThelmaGreenInferno,RawThelmaGreenInferno,['RawThelmaGreenInferno']
2,"RT @acmilan: #OnThisDay 🗓
On our first visit to Heysel following the 1985 tragedy, our Captain @FBaresi paid tribute to the victims ❤

In u…","RT  #OnThisDay 🗓
On our first visit to Heysel following the 1985 tragedy, our Captain  paid tribute to the victims ❤

In u…","['RT', '#OnThisDay', '🗓', 'On', 'first', 'visit', 'Heysel', 'following', '1985', 'tragedy,', 'Captain', 'paid', 'tribute', 'victims', '❤', 'In', 'u…']","#OnThisDay🗓OnfirstvisitHeyselfollowingtragedy,Captainpaidtributevictims❤Inu…",OnThisDay🗓OnfirstvisitHeyselfollowingtragedyCaptainpaidtributevictims❤Inu…,['OnThisDay🗓OnfirstvisitHeyselfollowingtragedyCaptainpaidtributevictims❤Inu…']
3,"RT @TWEETORACLE: Get yourself one of these Impeccably functional Lappy.
Dell LATITUDE 5480
MANUFACTURED 2018
Intel core i5
256GB SSD
8GB RA…","RT  Get yourself one of these Impeccably functional Lappy.
Dell LATITUDE 5480
MANUFACTURED 2018
Intel core i5
256GB SSD
8GB RA…","['RT', 'Get', 'one', 'Impeccably', 'functional', 'Lappy.', 'Dell', 'LATITUDE', '5480', 'MANUFACTURED', '2018', 'Intel', 'core', 'i5', '256GB', 'SSD', '8GB', 'RA…']",GetoneImpeccablyfunctionalLappy.DellLATITUDEMANUFACTUREDIntelcoreiGBSSDGBRA…,GetoneImpeccablyfunctionalLappyDellLATITUDEMANUFACTUREDIntelcoreiGBSSDGBRA…,['GetoneImpeccablyfunctionalLappyDellLATITUDEMANUFACTUREDIntelcoreiGBSSDGBRA…']
4,"Dell Inspiron 11 (3153) Motherboard System Board with Intel i3 2.3GHz CPU - 04R7J
https://t.co/VOM8w64pMA https://t.co/uhSvfkWc7C","Dell Inspiron 11 (3153) Motherboard System Board with Intel i3 2.3GHz CPU - 04R7J
https://t.co/VOM8w64pMA https://t.co/uhSvfkWc7C","['Dell', 'Inspiron', '11', '(3153)', 'Motherboard', 'System', 'Board', 'Intel', 'i3', '2.3GHz', 'CPU', '-', '04R7J']",DellInspiron()MotherboardSystemBoardInteli.GHzCPU-RJ,DellInspironMotherboardSystemBoardInteliGHzCPURJ,['DellInspironMotherboardSystemBoardInteliGHzCPURJ']
5,"Morning #WritingCommunity. I've not been on here for a few days, it's been a busy week for me. But back to the edit… https://t.co/X1eWFrKEaq","Morning #WritingCommunity. I've not been on here for a few days, it's been a busy week for me. But back to the edit… https://t.co/X1eWFrKEaq","['Morning', '#WritingCommunity.', ""I've"", 'days,', 'busy', 'week', 'me.', 'But', 'back', 'edit…']","Morning#WritingCommunity.I'vedays,busyweekme.Butbackedit…",MorningWritingCommunityIvedaysbusyweekmeButbackedit…,['MorningWritingCommunityIvedaysbusyweekmeButbackedit…']
6,"RT @acmilan: #OnThisDay 🗓
On our first visit to Heysel following the 1985 tragedy, our Captain @FBaresi paid tribute to the victims ❤

In u…","RT  #OnThisDay 🗓
On our first visit to Heysel following the 1985 tragedy, our Captain  paid tribute to the victims ❤

In u…","['RT', '#OnThisDay', '🗓', 'On', 'first', 'visit', 'Heysel', 'following', '1985', 'tragedy,', 'Captain', 'paid', 'tribute', 'victims', '❤', 'In', 'u…']","#OnThisDay🗓OnfirstvisitHeyselfollowingtragedy,Captainpaidtributevictims❤Inu…",OnThisDay🗓OnfirstvisitHeyselfollowingtragedyCaptainpaidtributevictims❤Inu…,['OnThisDay🗓OnfirstvisitHeyselfollowingtragedyCaptainpaidtributevictims❤Inu…']
7,RT @DellTechWorld: Please see our statement regarding Dell Technologies World 2020. https://t.co/ZeSb20rMyK,RT  Please see our statement regarding Dell Technologies World 2020. https://t.co/ZeSb20rMyK,"['RT', 'Please', 'see', 'statement', 'regarding', 'Dell', 'Technologies', 'World', '2020.']",PleaseseestatementregardingDellTechnologiesWorld.,PleaseseestatementregardingDellTechnologiesWorld,['PleaseseestatementregardingDellTechnologiesWorld']
8,"RT @acmilan: #OnThisDay 🗓
On our first visit to Heysel following the 1985 tragedy, our Captain @FBaresi paid tribute to the victims ❤

In u…","RT  #OnThisDay 🗓
On our first visit to Heysel following the 1985 tragedy, our Captain  paid tribute to the victims ❤

In u…","['RT', '#OnThisDay', '🗓', 'On', 'first', 'visit', 'Heysel', 'following', '1985', 'tragedy,', 'Captain', 'paid', 'tribute', 'victims', '❤', 'In', 'u…']","#OnThisDay🗓OnfirstvisitHeyselfollowingtragedy,Captainpaidtributevictims❤Inu…",OnThisDay🗓OnfirstvisitHeyselfollowingtragedyCaptainpaidtributevictims❤Inu…,['OnThisDay🗓OnfirstvisitHeyselfollowingtragedyCaptainpaidtributevictims❤Inu…']
9,"@___yummii @thaonlyfetty A new phone and a new dell alienware laptop.......with that, more money is assured 😁","  A new phone and a new dell alienware laptop.......with that, more money is assured 😁","['A', 'new', 'phone', 'new', 'dell', 'alienware', 'laptop.......with', 'that,', 'money', 'assured', '😁']","Anewphonenewdellalienwarelaptop.......withthat,moneyassured😁",Anewphonenewdellalienwarelaptopwiththatmoneyassured😁,['Anewphonenewdellalienwarelaptopwiththatmoneyassured😁']
10,"@AshNicholsArt @AshNicholsArt uh.... Get this one... I have this at work. ASH, THE COLOR IS SO UNREAL, IT'S THE SHA… https://t.co/FgcqMPKbeg","  uh.... Get this one... I have this at work. ASH, THE COLOR IS SO UNREAL, IT'S THE SHA… https://t.co/FgcqMPKbeg","['uh....', 'Get', 'one...', 'I', 'work.', 'ASH,', 'THE', 'COLOR', 'IS', 'SO', 'UNREAL,', ""IT'S"", 'THE', 'SHA…']","uh....Getone...Iwork.ASH,THECOLORISSOUNREAL,IT'STHESHA…",uhGetoneIworkASHTHECOLORISSOUNREALITSTHESHA…,['uhGetoneIworkASHTHECOLORISSOUNREALITSTHESHA…']
11,RT @DellTechWorld: Please see our statement regarding Dell Technologies World 2020. https://t.co/ZeSb20rMyK,RT  Please see our statement regarding Dell Technologies World 2020. https://t.co/ZeSb20rMyK,"['RT', 'Please', 'see', 'statement', 'regarding', 'Dell', 'Technologies', 'World', '2020.']",PleaseseestatementregardingDellTechnologiesWorld.,PleaseseestatementregardingDellTechnologiesWorld,['PleaseseestatementregardingDellTechnologiesWorld']
12,"RT @TWEETORACLE: Get yourself one of these Impeccably functional Lappy.
Dell LATITUDE 5480
MANUFACTURED 2018
Intel core i5
256GB SSD
8GB RA…","RT  Get yourself one of these Impeccably functional Lappy.
Dell LATITUDE 5480
MANUFACTURED 2018
Intel core i5
256GB SSD
8GB RA…","['RT', 'Get', 'one', 'Impeccably', 'functional', 'Lappy.', 'Dell', 'LATITUDE', '5480', 'MANUFACTURED', '2018', 'Intel', 'core', 'i5', '256GB', 'SSD', '8GB', 'RA…']",GetoneImpeccablyfunctionalLappy.DellLATITUDEMANUFACTUREDIntelcoreiGBSSDGBRA…,GetoneImpeccablyfunctionalLappyDellLATITUDEMANUFACTUREDIntelcoreiGBSSDGBRA…,['GetoneImpeccablyfunctionalLappyDellLATITUDEMANUFACTUREDIntelcoreiGBSSDGBRA…']
13,With Dell Technologies Cloud ☁️ you have 🧘 flexible consumption options that help your organization to reduce total… https://t.co/5SozcE7esE,With Dell Technologies Cloud ☁️ you have 🧘 flexible consumption options that help your organization to reduce total… https://t.co/5SozcE7esE,"['With', 'Dell', 'Technologies', 'Cloud', '☁️', '🧘', 'flexible', 'consumption', 'options', 'help', 'organization', 'reduce', 'total…']",WithDellTechnologiesCloud☁️🧘flexibleconsumptionoptionshelporganizationreducetotal…,WithDellTechnologiesCloud☁️🧘flexibleconsumptionoptionshelporganizationreducetotal…,['WithDellTechnologiesCloud☁️🧘flexibleconsumptionoptionshelporganizationreducetotal…']
14,@jooniebinie Dell https://t.co/aXf7B407X1, Dell https://t.co/aXf7B407X1,['Dell'],Dell,Dell,['Dell']
15,@Mrwhosetheboss @SamsungMobileUS @SamsungUS @SamsungUK @Huawei_Europe @HuaweiMobile @HuaweiMobileUK @HuaweiUSA… https://t.co/QCdOLOJSpe,        https://t.co/QCdOLOJSpe,[],,,[]
