,Tweet Text,Remove user,Remove url,Remove RT,Remove pun,Remove stop
0,"RT @IndiaToday: Did you know before Melania Trump got married to US Prez Donald Trump, she was a supermodel who wasn’t originally from the…","RT  Did you know before Melania Trump got married to US Prez Donald Trump, she was a supermodel who wasn’t originally from the…","RT  Did you know before Melania Trump got married to US Prez Donald Trump, she was a supermodel who wasn’t originally from the…","  Did you know before Melania rump got married to US Prez Donald rump, she was a supermodel who wasn’t originally from the…",  Did you know before Melania rump got married to US Prez Donald rump she was a supermodel who wasn’t originally from the…,"['Did', 'know', 'Melania', 'rump', 'got', 'married', 'US', 'Prez', 'Donald', 'rump', 'supermodel', 'wasn’t', 'originally', 'the…']"
1,"RT @retired9941: Eric Trump slams Sanders: 'He has three accomplishments, two of which are naming post offices'

https://t.co/xUnlvHPSs5","RT  Eric Trump slams Sanders: 'He has three accomplishments, two of which are naming post offices'

https://t.co/xUnlvHPSs5","RT  Eric Trump slams Sanders: 'He has three accomplishments, two of which are naming post offices'

","  Eric rump slams Sanders: 'He has three accomplishments, two of which are naming post offices'

","  Eric rump slams Sanders He has three accomplishments two of which are naming post offices

","['Eric', 'rump', 'slams', 'Sanders', 'He', 'three', 'accomplishments', 'two', 'naming', 'post', 'offices']"
2,"RT @GaillardAlda: As Trump visits India, on the table: plan to counter China’s reach with Blue Dot network
From        @ME&amp;I#9741 ⁦@Patriot…","RT  As Trump visits India, on the table: plan to counter China’s reach with Blue Dot network
From         ⁦","RT  As Trump visits India, on the table: plan to counter China’s reach with Blue Dot network
From         ⁦","  As rump visits India, on the table: plan to counter China’s reach with Blue Dot network
From         ⁦","  As rump visits India on the table plan to counter China’s reach with Blue Dot network
From         ⁦","['As', 'rump', 'visits', 'India', 'table', 'plan', 'counter', 'China’s', 'reach', 'Blue', 'Dot', 'network', 'From', '\u2066']"
3,RT @MichaelKugelman: 5 dead in the Indian capital on the day that Donald Trump arrives there. Think about that for a moment. This has becom…,RT  5 dead in the Indian capital on the day that Donald Trump arrives there. Think about that for a moment. This has becom…,RT  5 dead in the Indian capital on the day that Donald Trump arrives there. Think about that for a moment. This has becom…,   dead in the Indian capital on the day that Donald rump arrives there. hink about that for a moment. his has becom…,   dead in the Indian capital on the day that Donald rump arrives there hink about that for a moment his has becom…,"['dead', 'Indian', 'capital', 'day', 'Donald', 'rump', 'arrives', 'hink', 'moment', 'becom…']"
4,"RT @MaleehaHashmey: Today's Practical Joke: 😂

US President #DonaldTrump PRAISES #Pakistan while standing on Indian soil &amp; Modi even forgot…","RT  Today's Practical Joke: 😂

US President #DonaldTrump PRAISES #Pakistan while standing on Indian soil &amp; Modi even forgot…","RT  Today's Practical Joke: 😂

US President #DonaldTrump PRAISES #Pakistan while standing on Indian soil &amp; Modi even forgot…","  oday's Practical Joke: 😂

US President #Donaldrump PAISES #Pakistan while standing on Indian soil &amp; Modi even forgot…","  odays Practical Joke 😂

US President Donaldrump PAISES Pakistan while standing on Indian soil amp Modi even forgot…","['odays', 'Practical', 'Joke', '😂', 'US', 'President', 'Donaldrump', 'PAISES', 'Pakistan', 'standing', 'Indian', 'soil', 'amp', 'Modi', 'even', 'forgot…']"
5,"RT @BoycottUtah: It is Tuesday, February 25, 2020.  One citizen, I call for the removal from office by any legal means, the impeached fasci…","RT  It is Tuesday, February 25, 2020.  One citizen, I call for the removal from office by any legal means, the impeached fasci…","RT  It is Tuesday, February 25, 2020.  One citizen, I call for the removal from office by any legal means, the impeached fasci…","  It is uesday, February , .  One citizen, I call for the removal from office by any legal means, the impeached fasci…",  It is uesday February    One citizen I call for the removal from office by any legal means the impeached fasci…,"['It', 'uesday', 'February', 'One', 'citizen', 'I', 'call', 'removal', 'office', 'legal', 'means', 'impeached', 'fasci…']"
6,RT @TOIDelhi: US President Donald Trump with First Lady Melania Trump paid homage to Mahatma Gandhi at his memorial - Rajghat. https://t.co…,RT  US President Donald Trump with First Lady Melania Trump paid homage to Mahatma Gandhi at his memorial - Rajghat. https://t.co…,RT  US President Donald Trump with First Lady Melania Trump paid homage to Mahatma Gandhi at his memorial - Rajghat. ,  US President Donald rump with First Lady Melania rump paid homage to Mahatma Gandhi at his memorial - ajghat. ,  US President Donald rump with First Lady Melania rump paid homage to Mahatma Gandhi at his memorial  ajghat ,"['US', 'President', 'Donald', 'rump', 'First', 'Lady', 'Melania', 'rump', 'paid', 'homage', 'Mahatma', 'Gandhi', 'memorial', 'ajghat']"
7,RT @NigeriaNewsdesk: Boko Haram: Pastor begs Donald Trump to save Nigerians https://t.co/zdYNfJrh2h,RT  Boko Haram: Pastor begs Donald Trump to save Nigerians https://t.co/zdYNfJrh2h,RT  Boko Haram: Pastor begs Donald Trump to save Nigerians ,  Boko Haram: Pastor begs Donald rump to save Nigerians ,  Boko Haram Pastor begs Donald rump to save Nigerians ,"['Boko', 'Haram', 'Pastor', 'begs', 'Donald', 'rump', 'save', 'Nigerians']"
8,RT @TimOBrien: “Bernie Sanders says he’s the Democrat best-equipped to defeat Donald Trump in November. But Florida Democrats insist he‘s t…,RT  “Bernie Sanders says he’s the Democrat best-equipped to defeat Donald Trump in November. But Florida Democrats insist he‘s t…,RT  “Bernie Sanders says he’s the Democrat best-equipped to defeat Donald Trump in November. But Florida Democrats insist he‘s t…,  “Bernie Sanders says he’s the Democrat best-equipped to defeat Donald rump in November. But Florida Democrats insist he‘s t…,  “Bernie Sanders says he’s the Democrat bestequipped to defeat Donald rump in November But Florida Democrats insist he‘s t…,"['“Bernie', 'Sanders', 'says', 'he’s', 'Democrat', 'bestequipped', 'defeat', 'Donald', 'rump', 'November', 'But', 'Florida', 'Democrats', 'insist', 'he‘s', 't…']"
9,"#America loves #India, will always be faithful and loyal friend: @realDonaldTrump
https://t.co/r0rSRrKaWZ","#America loves #India, will always be faithful and loyal friend: 
https://t.co/r0rSRrKaWZ","#America loves #India, will always be faithful and loyal friend: 
","#America loves #India, will always be faithful and loyal friend: 
","America loves India will always be faithful and loyal friend 
","['America', 'loves', 'India', 'always', 'faithful', 'loyal', 'friend']"
