,Tweet Text,Remove user,Remove url,Remove RT,Remove pun,Remove stop
0,"RT @pilovil_jersey: ⚽️ ATTENTION ❗️❗️❗️

Hi I’m a college student took civil engineering I’m selling football jersey for my school funds ne…","RT  ⚽️ ATTENTION ❗️❗️❗️

Hi I’m a college student took civil engineering I’m selling football jersey for my school funds ne…","RT  ⚽️ ATTENTION ❗️❗️❗️

Hi I’m a college student took civil engineering I’m selling football jersey for my school funds ne…","  ⚽️ AENION ❗️❗️❗️

Hi I’m a college student took civil engineering I’m selling football jersey for my school funds ne…","  ⚽️ AENION ❗️❗️❗️

Hi I’m a college student took civil engineering I’m selling football jersey for my school funds ne…","['⚽️', 'AENION', '❗️❗️❗️', 'Hi', 'I’m', 'college', 'student', 'took', 'civil', 'engineering', 'I’m', 'selling', 'football', 'jersey', 'school', 'funds', 'ne…']"
1,RT @Satya_Tech9: Sir please solve our Engineering assistants cadre issue we are mentioned under blue print operator whose minimum qualifica…,RT  Sir please solve our Engineering assistants cadre issue we are mentioned under blue print operator whose minimum qualifica…,RT  Sir please solve our Engineering assistants cadre issue we are mentioned under blue print operator whose minimum qualifica…,  Sir please solve our Engineering assistants cadre issue we are mentioned under blue print operator whose minimum qualifica…,  Sir please solve our Engineering assistants cadre issue we are mentioned under blue print operator whose minimum qualifica…,"['Sir', 'please', 'solve', 'Engineering', 'assistants', 'cadre', 'issue', 'mentioned', 'blue', 'print', 'operator', 'whose', 'minimum', 'qualifica…']"
2,"@CodeWisdom Bad choice of words.

Treat code like the mundane engineering product it is, by not caring about superf… https://t.co/G8gcVIpBbo"," Bad choice of words.

Treat code like the mundane engineering product it is, by not caring about superf… https://t.co/G8gcVIpBbo"," Bad choice of words.

Treat code like the mundane engineering product it is, by not caring about superf… "," Bad choice of words.

reat code like the mundane engineering product it is, by not caring about superf… "," Bad choice of words

reat code like the mundane engineering product it is by not caring about superf… ","['Bad', 'choice', 'words', 'reat', 'code', 'like', 'mundane', 'engineering', 'product', 'caring', 'superf…']"
3,"Mark Lee

Architecture Department | Engineering Faculty
Teaching Assistant

- won a few competitions when he was st… https://t.co/gvtk5yHVzA","Mark Lee

Architecture Department | Engineering Faculty
Teaching Assistant

- won a few competitions when he was st… https://t.co/gvtk5yHVzA","Mark Lee

Architecture Department | Engineering Faculty
Teaching Assistant

- won a few competitions when he was st… ","Mark Lee

Architecture Department | Engineering Faculty
eaching Assistant

- won a few competitions when he was st… ","Mark Lee

Architecture Department  Engineering Faculty
eaching Assistant

 won a few competitions when he was st… ","['Mark', 'Lee', 'Architecture', 'Department', 'Engineering', 'Faculty', 'eaching', 'Assistant', 'competitions', 'st…']"
4,"At BAE Systems #Submarines, we have a huge diversity of roles where you can develop a career that challenges and re… https://t.co/hNOg8ufbCq","At BAE Systems #Submarines, we have a huge diversity of roles where you can develop a career that challenges and re… https://t.co/hNOg8ufbCq","At BAE Systems #Submarines, we have a huge diversity of roles where you can develop a career that challenges and re… ","At BAE Systems #Submarines, we have a huge diversity of roles where you can develop a career that challenges and re… ",At BAE Systems Submarines we have a huge diversity of roles where you can develop a career that challenges and re… ,"['At', 'BAE', 'Systems', 'Submarines', 'huge', 'diversity', 'roles', 'develop', 'career', 'challenges', 're…']"
5,"RT @mylovelywooseok: After 5 years, I’m finally graduated with Bachelor of Science in Advanced Materials Science and Engineering from Sungk…","RT  After 5 years, I’m finally graduated with Bachelor of Science in Advanced Materials Science and Engineering from Sungk…","RT  After 5 years, I’m finally graduated with Bachelor of Science in Advanced Materials Science and Engineering from Sungk…","  After  years, I’m finally graduated with Bachelor of Science in Advanced Materials Science and Engineering from Sungk…",  After  years I’m finally graduated with Bachelor of Science in Advanced Materials Science and Engineering from Sungk…,"['After', 'years', 'I’m', 'finally', 'graduated', 'Bachelor', 'Science', 'Advanced', 'Materials', 'Science', 'Engineering', 'Sungk…']"
6,"RT @makerdemy: IoT traffic is taking over; 5G, WiFi 6 are ascending

https://t.co/UziRSeeKvJ

#internetofthings #iot #technology #innovatio…","RT  IoT traffic is taking over; 5G, WiFi 6 are ascending

https://t.co/UziRSeeKvJ

#internetofthings #iot #technology #innovatio…","RT  IoT traffic is taking over; 5G, WiFi 6 are ascending



#internetofthings #iot #technology #innovatio…","  Io traffic is taking over; G, WiFi  are ascending



#internetofthings #iot #technology #innovatio…","  Io traffic is taking over G WiFi  are ascending



internetofthings iot technology innovatio…","['Io', 'traffic', 'taking', 'G', 'WiFi', 'ascending', 'internetofthings', 'iot', 'technology', 'innovatio…']"
7,"RT @IntEngineering: This powerful and versatile mini excavator can get in hard-to-reach places without any complications.

Via: https://t.c…","RT  This powerful and versatile mini excavator can get in hard-to-reach places without any complications.

Via: https://t.c…","RT  This powerful and versatile mini excavator can get in hard-to-reach places without any complications.

Via: ","  his powerful and versatile mini excavator can get in hard-to-reach places without any complications.

Via: ","  his powerful and versatile mini excavator can get in hardtoreach places without any complications

Via ","['powerful', 'versatile', 'mini', 'excavator', 'get', 'hardtoreach', 'places', 'without', 'complications', 'Via']"
8,"RT @makerdemy: Turn On and Plug In: The Evolution of Connected Cars

https://t.co/AaGanY4COl

#internetofthings #iot #technology #innovatio…","RT  Turn On and Plug In: The Evolution of Connected Cars

https://t.co/AaGanY4COl

#internetofthings #iot #technology #innovatio…","RT  Turn On and Plug In: The Evolution of Connected Cars



#internetofthings #iot #technology #innovatio…","  urn On and Plug In: he Evolution of Connected Cars



#internetofthings #iot #technology #innovatio…","  urn On and Plug In he Evolution of Connected Cars



internetofthings iot technology innovatio…","['urn', 'On', 'Plug', 'In', 'Evolution', 'Connected', 'Cars', 'internetofthings', 'iot', 'technology', 'innovatio…']"
9,"RT @makerdemy: IoT traffic is taking over; 5G, WiFi 6 are ascending

https://t.co/UziRSeeKvJ

#internetofthings #iot #technology #innovatio…","RT  IoT traffic is taking over; 5G, WiFi 6 are ascending

https://t.co/UziRSeeKvJ

#internetofthings #iot #technology #innovatio…","RT  IoT traffic is taking over; 5G, WiFi 6 are ascending



#internetofthings #iot #technology #innovatio…","  Io traffic is taking over; G, WiFi  are ascending



#internetofthings #iot #technology #innovatio…","  Io traffic is taking over G WiFi  are ascending



internetofthings iot technology innovatio…","['Io', 'traffic', 'taking', 'G', 'WiFi', 'ascending', 'internetofthings', 'iot', 'technology', 'innovatio…']"
