,Tweet Text,Remove user,Remove url,Remove RT,Remove pun,Remove stop
0,"RT @WeatherMumbai: Right now: Clouds, Temperature: 25.99C, Humidity: 94, Wind: From N at 0KPH, Updated: 5:18AM #Mumbai #Weather","RT  Right now: Clouds, Temperature: 25.99C, Humidity: 94, Wind: From N at 0KPH, Updated: 5:18AM #Mumbai #Weather","RT  Right now: Clouds, Temperature: 25.99C, Humidity: 94, Wind: From N at 0KPH, Updated: 5:18AM #Mumbai #Weather","  ight now: Clouds, emperature: .C, Humidity: , Wind: From N at KPH, Updated: :AM #Mumbai #Weather",  ight now Clouds emperature C Humidity  Wind From N at KPH Updated AM Mumbai Weather,"['ight', 'Clouds', 'emperature', 'C', 'Humidity', 'Wind', 'From', 'N', 'KPH', 'Updated', 'AM', 'Mumbai', 'Weather']"
1,"Right now: Clouds, Temperature: 25.99C, Humidity: 94, Wind: From N at 0KPH, Updated: 5:18AM #Mumbai #Weather","Right now: Clouds, Temperature: 25.99C, Humidity: 94, Wind: From N at 0KPH, Updated: 5:18AM #Mumbai #Weather","Right now: Clouds, Temperature: 25.99C, Humidity: 94, Wind: From N at 0KPH, Updated: 5:18AM #Mumbai #Weather","ight now: Clouds, emperature: .C, Humidity: , Wind: From N at KPH, Updated: :AM #Mumbai #Weather",ight now Clouds emperature C Humidity  Wind From N at KPH Updated AM Mumbai Weather,"['ight', 'Clouds', 'emperature', 'C', 'Humidity', 'Wind', 'From', 'N', 'KPH', 'Updated', 'AM', 'Mumbai', 'Weather']"
2,"RT @WeatherMumbai: Right now: Haze, Temperature: 25.99C, Humidity: 94, Wind: From NNE at 2.06KPH, Updated: 4:18AM #Mumbai #Weather","RT  Right now: Haze, Temperature: 25.99C, Humidity: 94, Wind: From NNE at 2.06KPH, Updated: 4:18AM #Mumbai #Weather","RT  Right now: Haze, Temperature: 25.99C, Humidity: 94, Wind: From NNE at 2.06KPH, Updated: 4:18AM #Mumbai #Weather","  ight now: Haze, emperature: .C, Humidity: , Wind: From NNE at .KPH, Updated: :AM #Mumbai #Weather",  ight now Haze emperature C Humidity  Wind From NNE at KPH Updated AM Mumbai Weather,"['ight', 'Haze', 'emperature', 'C', 'Humidity', 'Wind', 'From', 'NNE', 'KPH', 'Updated', 'AM', 'Mumbai', 'Weather']"
3,"Right now: Haze, Temperature: 25.99C, Humidity: 94, Wind: From NNE at 2.06KPH, Updated: 4:18AM #Mumbai #Weather","Right now: Haze, Temperature: 25.99C, Humidity: 94, Wind: From NNE at 2.06KPH, Updated: 4:18AM #Mumbai #Weather","Right now: Haze, Temperature: 25.99C, Humidity: 94, Wind: From NNE at 2.06KPH, Updated: 4:18AM #Mumbai #Weather","ight now: Haze, emperature: .C, Humidity: , Wind: From NNE at .KPH, Updated: :AM #Mumbai #Weather",ight now Haze emperature C Humidity  Wind From NNE at KPH Updated AM Mumbai Weather,"['ight', 'Haze', 'emperature', 'C', 'Humidity', 'Wind', 'From', 'NNE', 'KPH', 'Updated', 'AM', 'Mumbai', 'Weather']"
4,"RT @WeatherMumbai: Right now: Haze, Temperature: 25.99C, Humidity: 94, Wind: From ESE at 1.54KPH, Updated: 3:18AM #Mumbai #Weather","RT  Right now: Haze, Temperature: 25.99C, Humidity: 94, Wind: From ESE at 1.54KPH, Updated: 3:18AM #Mumbai #Weather","RT  Right now: Haze, Temperature: 25.99C, Humidity: 94, Wind: From ESE at 1.54KPH, Updated: 3:18AM #Mumbai #Weather","  ight now: Haze, emperature: .C, Humidity: , Wind: From ESE at .KPH, Updated: :AM #Mumbai #Weather",  ight now Haze emperature C Humidity  Wind From ESE at KPH Updated AM Mumbai Weather,"['ight', 'Haze', 'emperature', 'C', 'Humidity', 'Wind', 'From', 'ESE', 'KPH', 'Updated', 'AM', 'Mumbai', 'Weather']"
5,"Right now: Haze, Temperature: 25.99C, Humidity: 94, Wind: From ESE at 1.54KPH, Updated: 3:18AM #Mumbai #Weather","Right now: Haze, Temperature: 25.99C, Humidity: 94, Wind: From ESE at 1.54KPH, Updated: 3:18AM #Mumbai #Weather","Right now: Haze, Temperature: 25.99C, Humidity: 94, Wind: From ESE at 1.54KPH, Updated: 3:18AM #Mumbai #Weather","ight now: Haze, emperature: .C, Humidity: , Wind: From ESE at .KPH, Updated: :AM #Mumbai #Weather",ight now Haze emperature C Humidity  Wind From ESE at KPH Updated AM Mumbai Weather,"['ight', 'Haze', 'emperature', 'C', 'Humidity', 'Wind', 'From', 'ESE', 'KPH', 'Updated', 'AM', 'Mumbai', 'Weather']"
6,"RT @WeatherMumbai: Right now: Haze, Temperature: 25.99C, Humidity: 94, Wind: From ENE at 2.06KPH, Updated: 2:18AM #Mumbai #Weather","RT  Right now: Haze, Temperature: 25.99C, Humidity: 94, Wind: From ENE at 2.06KPH, Updated: 2:18AM #Mumbai #Weather","RT  Right now: Haze, Temperature: 25.99C, Humidity: 94, Wind: From ENE at 2.06KPH, Updated: 2:18AM #Mumbai #Weather","  ight now: Haze, emperature: .C, Humidity: , Wind: From ENE at .KPH, Updated: :AM #Mumbai #Weather",  ight now Haze emperature C Humidity  Wind From ENE at KPH Updated AM Mumbai Weather,"['ight', 'Haze', 'emperature', 'C', 'Humidity', 'Wind', 'From', 'ENE', 'KPH', 'Updated', 'AM', 'Mumbai', 'Weather']"
7,"Right now: Haze, Temperature: 25.99C, Humidity: 94, Wind: From ENE at 2.06KPH, Updated: 2:18AM #Mumbai #Weather","Right now: Haze, Temperature: 25.99C, Humidity: 94, Wind: From ENE at 2.06KPH, Updated: 2:18AM #Mumbai #Weather","Right now: Haze, Temperature: 25.99C, Humidity: 94, Wind: From ENE at 2.06KPH, Updated: 2:18AM #Mumbai #Weather","ight now: Haze, emperature: .C, Humidity: , Wind: From ENE at .KPH, Updated: :AM #Mumbai #Weather",ight now Haze emperature C Humidity  Wind From ENE at KPH Updated AM Mumbai Weather,"['ight', 'Haze', 'emperature', 'C', 'Humidity', 'Wind', 'From', 'ENE', 'KPH', 'Updated', 'AM', 'Mumbai', 'Weather']"
8,"RT @WeatherMumbai: Right now: Haze, Temperature: 25.99C, Humidity: 94, Wind: From N at 0KPH, Updated: 1:18AM #Mumbai #Weather","RT  Right now: Haze, Temperature: 25.99C, Humidity: 94, Wind: From N at 0KPH, Updated: 1:18AM #Mumbai #Weather","RT  Right now: Haze, Temperature: 25.99C, Humidity: 94, Wind: From N at 0KPH, Updated: 1:18AM #Mumbai #Weather","  ight now: Haze, emperature: .C, Humidity: , Wind: From N at KPH, Updated: :AM #Mumbai #Weather",  ight now Haze emperature C Humidity  Wind From N at KPH Updated AM Mumbai Weather,"['ight', 'Haze', 'emperature', 'C', 'Humidity', 'Wind', 'From', 'N', 'KPH', 'Updated', 'AM', 'Mumbai', 'Weather']"
9,"Right now: Haze, Temperature: 25.99C, Humidity: 94, Wind: From N at 0KPH, Updated: 1:18AM #Mumbai #Weather","Right now: Haze, Temperature: 25.99C, Humidity: 94, Wind: From N at 0KPH, Updated: 1:18AM #Mumbai #Weather","Right now: Haze, Temperature: 25.99C, Humidity: 94, Wind: From N at 0KPH, Updated: 1:18AM #Mumbai #Weather","ight now: Haze, emperature: .C, Humidity: , Wind: From N at KPH, Updated: :AM #Mumbai #Weather",ight now Haze emperature C Humidity  Wind From N at KPH Updated AM Mumbai Weather,"['ight', 'Haze', 'emperature', 'C', 'Humidity', 'Wind', 'From', 'N', 'KPH', 'Updated', 'AM', 'Mumbai', 'Weather']"
10,"RT @WeatherMumbai: Right now: Haze, Temperature: 25.99C, Humidity: 94, Wind: From N at 0KPH, Updated: 12:18AM #Mumbai #Weather","RT  Right now: Haze, Temperature: 25.99C, Humidity: 94, Wind: From N at 0KPH, Updated: 12:18AM #Mumbai #Weather","RT  Right now: Haze, Temperature: 25.99C, Humidity: 94, Wind: From N at 0KPH, Updated: 12:18AM #Mumbai #Weather","  ight now: Haze, emperature: .C, Humidity: , Wind: From N at KPH, Updated: :AM #Mumbai #Weather",  ight now Haze emperature C Humidity  Wind From N at KPH Updated AM Mumbai Weather,"['ight', 'Haze', 'emperature', 'C', 'Humidity', 'Wind', 'From', 'N', 'KPH', 'Updated', 'AM', 'Mumbai', 'Weather']"
11,"Right now: Haze, Temperature: 25.99C, Humidity: 94, Wind: From N at 0KPH, Updated: 12:18AM #Mumbai #Weather","Right now: Haze, Temperature: 25.99C, Humidity: 94, Wind: From N at 0KPH, Updated: 12:18AM #Mumbai #Weather","Right now: Haze, Temperature: 25.99C, Humidity: 94, Wind: From N at 0KPH, Updated: 12:18AM #Mumbai #Weather","ight now: Haze, emperature: .C, Humidity: , Wind: From N at KPH, Updated: :AM #Mumbai #Weather",ight now Haze emperature C Humidity  Wind From N at KPH Updated AM Mumbai Weather,"['ight', 'Haze', 'emperature', 'C', 'Humidity', 'Wind', 'From', 'N', 'KPH', 'Updated', 'AM', 'Mumbai', 'Weather']"
12,"RT @WeatherMumbai: Right now: Haze, Temperature: 25.99C, Humidity: 94, Wind: From E at 2.57KPH, Updated: 11:18PM #Mumbai #Weather","RT  Right now: Haze, Temperature: 25.99C, Humidity: 94, Wind: From E at 2.57KPH, Updated: 11:18PM #Mumbai #Weather","RT  Right now: Haze, Temperature: 25.99C, Humidity: 94, Wind: From E at 2.57KPH, Updated: 11:18PM #Mumbai #Weather","  ight now: Haze, emperature: .C, Humidity: , Wind: From E at .KPH, Updated: :PM #Mumbai #Weather",  ight now Haze emperature C Humidity  Wind From E at KPH Updated PM Mumbai Weather,"['ight', 'Haze', 'emperature', 'C', 'Humidity', 'Wind', 'From', 'E', 'KPH', 'Updated', 'PM', 'Mumbai', 'Weather']"
13,"Right now: Haze, Temperature: 25.99C, Humidity: 94, Wind: From E at 2.57KPH, Updated: 11:18PM #Mumbai #Weather","Right now: Haze, Temperature: 25.99C, Humidity: 94, Wind: From E at 2.57KPH, Updated: 11:18PM #Mumbai #Weather","Right now: Haze, Temperature: 25.99C, Humidity: 94, Wind: From E at 2.57KPH, Updated: 11:18PM #Mumbai #Weather","ight now: Haze, emperature: .C, Humidity: , Wind: From E at .KPH, Updated: :PM #Mumbai #Weather",ight now Haze emperature C Humidity  Wind From E at KPH Updated PM Mumbai Weather,"['ight', 'Haze', 'emperature', 'C', 'Humidity', 'Wind', 'From', 'E', 'KPH', 'Updated', 'PM', 'Mumbai', 'Weather']"
14,@Spider_Pant @Captain_L_e_v_i @TUnlimitedd @CricCrazyJohns they picked based on pitch and weather as weather also e… https://t.co/WFykIrNLaa,    they picked based on pitch and weather as weather also e… https://t.co/WFykIrNLaa,    they picked based on pitch and weather as weather also e… ,    they picked based on pitch and weather as weather also e… ,    they picked based on pitch and weather as weather also e… ,"['picked', 'based', 'pitch', 'weather', 'weather', 'also', 'e…']"
15,"RT @WeatherMumbai: Right now: Haze, Temperature: 25.99C, Humidity: 94, Wind: From E at 2.57KPH, Updated: 10:18PM #Mumbai #Weather","RT  Right now: Haze, Temperature: 25.99C, Humidity: 94, Wind: From E at 2.57KPH, Updated: 10:18PM #Mumbai #Weather","RT  Right now: Haze, Temperature: 25.99C, Humidity: 94, Wind: From E at 2.57KPH, Updated: 10:18PM #Mumbai #Weather","  ight now: Haze, emperature: .C, Humidity: , Wind: From E at .KPH, Updated: :PM #Mumbai #Weather",  ight now Haze emperature C Humidity  Wind From E at KPH Updated PM Mumbai Weather,"['ight', 'Haze', 'emperature', 'C', 'Humidity', 'Wind', 'From', 'E', 'KPH', 'Updated', 'PM', 'Mumbai', 'Weather']"
