,Tweet Text,Remove user,Remove url,Remove RT,Remove pun,Remove stop
0,"Well, at least the weather is good. #MumbaiWeather","Well, at least the weather is good. #MumbaiWeather","Well, at least the weather is good. #MumbaiWeather","Well, at least the weather is good. #MumbaiWeather",Well at least the weather is good MumbaiWeather,"['Well', 'least', 'weather', 'good', 'MumbaiWeather']"
1,"RT @fpjindia: #Mumbai weather update: Monsoon revives after a two weeks lull; reports @diptivsingh 
#MumbaiRains #MumbaiWeather 
https://t.…","RT  #Mumbai weather update: Monsoon revives after a two weeks lull; reports  
#MumbaiRains #MumbaiWeather 
https://t.…","RT  #Mumbai weather update: Monsoon revives after a two weeks lull; reports  
#MumbaiRains #MumbaiWeather 
","  #Mumbai weather update: Monsoon revives after a two weeks lull; reports  
#Mumbaiains #MumbaiWeather 
","  Mumbai weather update Monsoon revives after a two weeks lull reports  
Mumbaiains MumbaiWeather 
","['Mumbai', 'weather', 'update', 'Monsoon', 'revives', 'two', 'weeks', 'lull', 'reports', 'Mumbaiains', 'MumbaiWeather']"
2,"#Mumbai weather update: Monsoon revives after a two weeks lull; reports @diptivsingh 
#MumbaiRains #MumbaiWeather… https://t.co/9NAvFaP6io","#Mumbai weather update: Monsoon revives after a two weeks lull; reports  
#MumbaiRains #MumbaiWeather… https://t.co/9NAvFaP6io","#Mumbai weather update: Monsoon revives after a two weeks lull; reports  
#MumbaiRains #MumbaiWeather… ","#Mumbai weather update: Monsoon revives after a two weeks lull; reports  
#Mumbaiains #MumbaiWeather… ","Mumbai weather update Monsoon revives after a two weeks lull reports  
Mumbaiains MumbaiWeather… ","['Mumbai', 'weather', 'update', 'Monsoon', 'revives', 'two', 'weeks', 'lull', 'reports', 'Mumbaiains', 'MumbaiWeather…']"
3,"RT @mybmc: #MumbaiWeather forecast 16 Aug, 2021: MODERATE RAIN IN CITY AND SUBURBS WITH POSSIBILITY OF HEAVY FALLS AT ISOLATED PLACES.

Hig…","RT  #MumbaiWeather forecast 16 Aug, 2021: MODERATE RAIN IN CITY AND SUBURBS WITH POSSIBILITY OF HEAVY FALLS AT ISOLATED PLACES.

Hig…","RT  #MumbaiWeather forecast 16 Aug, 2021: MODERATE RAIN IN CITY AND SUBURBS WITH POSSIBILITY OF HEAVY FALLS AT ISOLATED PLACES.

Hig…","  #MumbaiWeather forecast  Aug, : MODEAE AIN IN CIY AND SUBUBS WIH POSSIBILIY OF HEAVY FALLS A ISOLAED PLACES.

Hig…","  MumbaiWeather forecast  Aug  MODEAE AIN IN CIY AND SUBUBS WIH POSSIBILIY OF HEAVY FALLS A ISOLAED PLACES

Hig…","['MumbaiWeather', 'forecast', 'Aug', 'MODEAE', 'AIN', 'IN', 'CIY', 'AND', 'SUBUBS', 'WIH', 'POSSIBILIY', 'OF', 'HEAVY', 'FALLS', 'A', 'ISOLAED', 'PLACES', 'Hig…']"
4,"Cycling in the City!
#MondayMood #mumbaiweather https://t.co/WouBBfwe7O","Cycling in the City!
#MondayMood #mumbaiweather https://t.co/WouBBfwe7O","Cycling in the City!
#MondayMood #mumbaiweather ","Cycling in the City!
#MondayMood #mumbaiweather ","Cycling in the City
MondayMood mumbaiweather ","['Cycling', 'City', 'MondayMood', 'mumbaiweather']"
5,"#MumbaiWeather forecast 16 Aug, 2021: MODERATE RAIN IN CITY AND SUBURBS WITH POSSIBILITY OF HEAVY FALLS AT ISOLATED… https://t.co/9vJzcLu4p5","#MumbaiWeather forecast 16 Aug, 2021: MODERATE RAIN IN CITY AND SUBURBS WITH POSSIBILITY OF HEAVY FALLS AT ISOLATED… https://t.co/9vJzcLu4p5","#MumbaiWeather forecast 16 Aug, 2021: MODERATE RAIN IN CITY AND SUBURBS WITH POSSIBILITY OF HEAVY FALLS AT ISOLATED… ","#MumbaiWeather forecast  Aug, : MODEAE AIN IN CIY AND SUBUBS WIH POSSIBILIY OF HEAVY FALLS A ISOLAED… ",MumbaiWeather forecast  Aug  MODEAE AIN IN CIY AND SUBUBS WIH POSSIBILIY OF HEAVY FALLS A ISOLAED… ,"['MumbaiWeather', 'forecast', 'Aug', 'MODEAE', 'AIN', 'IN', 'CIY', 'AND', 'SUBUBS', 'WIH', 'POSSIBILIY', 'OF', 'HEAVY', 'FALLS', 'A', 'ISOLAED…']"
6,#MumbaiWeather PM Thunderstorms today! With a high of 30C and a low of 26C.,#MumbaiWeather PM Thunderstorms today! With a high of 30C and a low of 26C.,#MumbaiWeather PM Thunderstorms today! With a high of 30C and a low of 26C.,#MumbaiWeather PM hunderstorms today! With a high of C and a low of C.,MumbaiWeather PM hunderstorms today With a high of C and a low of C,"['MumbaiWeather', 'PM', 'hunderstorms', 'today', 'With', 'high', 'C', 'low', 'C']"
7,"#MumbaiWeather - Sunrise: August 16, 2021 at 06:19AM AM Thunderstorms today! With a high of: 29C and a low of:26C… https://t.co/66XPJGXS5k","#MumbaiWeather - Sunrise: August 16, 2021 at 06:19AM AM Thunderstorms today! With a high of: 29C and a low of:26C… https://t.co/66XPJGXS5k","#MumbaiWeather - Sunrise: August 16, 2021 at 06:19AM AM Thunderstorms today! With a high of: 29C and a low of:26C… ","#MumbaiWeather - Sunrise: August ,  at :AM AM hunderstorms today! With a high of: C and a low of:C… ",MumbaiWeather  Sunrise August   at AM AM hunderstorms today With a high of C and a low ofC… ,"['MumbaiWeather', 'Sunrise', 'August', 'AM', 'AM', 'hunderstorms', 'today', 'With', 'high', 'C', 'low', 'ofC…']"
8,RT @thewarriergal: The beautiful western railway head office in #Mumbai @incredibleindia @maha_tourism @WesternRly #photography #MumbaiRain…,RT  The beautiful western railway head office in #Mumbai    #photography #MumbaiRain…,RT  The beautiful western railway head office in #Mumbai    #photography #MumbaiRain…,  he beautiful western railway head office in #Mumbai    #photography #Mumbaiain…,  he beautiful western railway head office in Mumbai    photography Mumbaiain…,"['beautiful', 'western', 'railway', 'head', 'office', 'Mumbai', 'photography', 'Mumbaiain…']"
9,RT @thewarriergal: The beautiful western railway head office in #Mumbai @incredibleindia @maha_tourism @WesternRly #photography #MumbaiRain…,RT  The beautiful western railway head office in #Mumbai    #photography #MumbaiRain…,RT  The beautiful western railway head office in #Mumbai    #photography #MumbaiRain…,  he beautiful western railway head office in #Mumbai    #photography #Mumbaiain…,  he beautiful western railway head office in Mumbai    photography Mumbaiain…,"['beautiful', 'western', 'railway', 'head', 'office', 'Mumbai', 'photography', 'Mumbaiain…']"
