,Tweet Text,Remove user,Remove url,Remove RT,Remove pun,Remove stop
0,"Oppo Find X2 Pro, Find X2 With 120Hz Display, Snapdragon 865 SoC Launched: Price, Specifications https://t.co/03cqr3ANxn","Oppo Find X2 Pro, Find X2 With 120Hz Display, Snapdragon 865 SoC Launched: Price, Specifications https://t.co/03cqr3ANxn","Oppo Find X2 Pro, Find X2 With 120Hz Display, Snapdragon 865 SoC Launched: Price, Specifications ","Oppo Find X Pro, Find X With Hz Display, Snapdragon  SoC Launched: Price, Specifications ",Oppo Find X Pro Find X With Hz Display Snapdragon  SoC Launched Price Specifications ,"['Oppo', 'Find', 'X', 'Pro', 'Find', 'X', 'With', 'Hz', 'Display', 'Snapdragon', 'SoC', 'Launched', 'Price', 'Specifications']"
1,@BenGeskin @UniverseIce Oppo has thicker bazels on sides,  Oppo has thicker bazels on sides,  Oppo has thicker bazels on sides,  Oppo has thicker bazels on sides,  Oppo has thicker bazels on sides,"['Oppo', 'thicker', 'bazels', 'sides']"
2,Oppo launches Find X2 Pro with  periscope tele and calibrated 120Hz display https://t.co/Bg7u7PQNEs #dpreview,Oppo launches Find X2 Pro with  periscope tele and calibrated 120Hz display https://t.co/Bg7u7PQNEs #dpreview,Oppo launches Find X2 Pro with  periscope tele and calibrated 120Hz display  #dpreview,Oppo launches Find X Pro with  periscope tele and calibrated Hz display  #dpreview,Oppo launches Find X Pro with  periscope tele and calibrated Hz display  dpreview,"['Oppo', 'launches', 'Find', 'X', 'Pro', 'periscope', 'tele', 'calibrated', 'Hz', 'display', 'dpreview']"
3,"RT @FCBarcelona: 📸 @oppo PIC OF THE WEEK | Leo #Messi, La Liga Player of the Month for February!

4️⃣ Games
4️⃣ Wins
4️⃣ Goals
6️⃣ Assists…","RT  📸  PIC OF THE WEEK | Leo #Messi, La Liga Player of the Month for February!

4️⃣ Games
4️⃣ Wins
4️⃣ Goals
6️⃣ Assists…","RT  📸  PIC OF THE WEEK | Leo #Messi, La Liga Player of the Month for February!

4️⃣ Games
4️⃣ Wins
4️⃣ Goals
6️⃣ Assists…","  📸  PIC OF HE WEEK | Leo #Messi, La Liga Player of the Month for February!

️⃣ Games
️⃣ Wins
️⃣ Goals
️⃣ Assists…","  📸  PIC OF HE WEEK  Leo Messi La Liga Player of the Month for February

️⃣ Games
️⃣ Wins
️⃣ Goals
️⃣ Assists…","['📸', 'PIC', 'OF', 'HE', 'WEEK', 'Leo', 'Messi', 'La', 'Liga', 'Player', 'Month', 'February', '️⃣', 'Games', '️⃣', 'Wins', '️⃣', 'Goals', '️⃣', 'Assists…']"
4,"OPPO Find X2 smartphone launches https://t.co/SVg9t96VBX

#OPPOFindX2 #Android #Camera #Smartphones - #OPPO… https://t.co/k5f9DuxO7g","OPPO Find X2 smartphone launches https://t.co/SVg9t96VBX

#OPPOFindX2 #Android #Camera #Smartphones - #OPPO… https://t.co/k5f9DuxO7g","OPPO Find X2 smartphone launches 

#OPPOFindX2 #Android #Camera #Smartphones - #OPPO… ","OPPO Find X smartphone launches 

#OPPOFindX #Android #Camera #Smartphones - #OPPO… ","OPPO Find X smartphone launches 

OPPOFindX Android Camera Smartphones  OPPO… ","['OPPO', 'Find', 'X', 'smartphone', 'launches', 'OPPOFindX', 'Android', 'Camera', 'Smartphones', 'OPPO…']"
5,@sarvikas Why @NokiaMobile isn't using @nokia 's ozo technology for their phones?? @sarvikas @mehta_ajey @nokia whe… https://t.co/alZl1cmADK, Why  isn't using  's ozo technology for their phones??    whe… https://t.co/alZl1cmADK, Why  isn't using  's ozo technology for their phones??    whe… , Why  isn't using  's ozo technology for their phones??    whe… , Why  isnt using  s ozo technology for their phones    whe… ,"['Why', 'isnt', 'using', 'ozo', 'technology', 'phones', 'whe…']"
6,@wahoo_harold @oppo Hey Harold! Nice to meet you @ AMC!,  Hey Harold! Nice to meet you @ AMC!,  Hey Harold! Nice to meet you @ AMC!,  Hey Harold! Nice to meet you @ AMC!,  Hey Harold Nice to meet you  AMC,"['Hey', 'Harold', 'Nice', 'meet', 'AMC']"
7,@OPPOPakistan Dear oppo i have oppo f1s in marshmellow 6.0 android version . It is to much old version since 5year… https://t.co/SLSpZXD42r, Dear oppo i have oppo f1s in marshmellow 6.0 android version . It is to much old version since 5year… https://t.co/SLSpZXD42r, Dear oppo i have oppo f1s in marshmellow 6.0 android version . It is to much old version since 5year… , Dear oppo i have oppo fs in marshmellow . android version . It is to much old version since year… , Dear oppo i have oppo fs in marshmellow  android version  It is to much old version since year… ,"['Dear', 'oppo', 'oppo', 'fs', 'marshmellow', 'android', 'version', 'It', 'much', 'old', 'version', 'since', 'year…']"
8,@oppo I absolutely love the new 64mp camera with the 60x zoom and those crispy night mode images when combined with… https://t.co/7grnnggpB5, I absolutely love the new 64mp camera with the 60x zoom and those crispy night mode images when combined with… https://t.co/7grnnggpB5, I absolutely love the new 64mp camera with the 60x zoom and those crispy night mode images when combined with… , I absolutely love the new mp camera with the x zoom and those crispy night mode images when combined with… , I absolutely love the new mp camera with the x zoom and those crispy night mode images when combined with… ,"['I', 'absolutely', 'love', 'new', 'mp', 'camera', 'x', 'zoom', 'crispy', 'night', 'mode', 'images', 'combined', 'with…']"
9,"RT @techscico: Oppo also announced its smart watch

- 1.91 '' curved screen
- 46mm
- 1GB RAM
- 8GB memory
- Bluetooth 5.0, NFC and GPS
- ES…","RT  Oppo also announced its smart watch

- 1.91 '' curved screen
- 46mm
- 1GB RAM
- 8GB memory
- Bluetooth 5.0, NFC and GPS
- ES…","RT  Oppo also announced its smart watch

- 1.91 '' curved screen
- 46mm
- 1GB RAM
- 8GB memory
- Bluetooth 5.0, NFC and GPS
- ES…","  Oppo also announced its smart watch

- . '' curved screen
- mm
- GB AM
- GB memory
- Bluetooth ., NFC and GPS
- ES…","  Oppo also announced its smart watch

   curved screen
 mm
 GB AM
 GB memory
 Bluetooth  NFC and GPS
 ES…","['Oppo', 'also', 'announced', 'smart', 'watch', 'curved', 'screen', 'mm', 'GB', 'AM', 'GB', 'memory', 'Bluetooth', 'NFC', 'GPS', 'ES…']"
