,Tweet Text,Remove user,Remove url,Remove RT,Remove pun,Remove stop
0,"⛅ 22.14°C feels like 22.76°C, overcast clouds

Humidity: 90 %
Wind: ☴ 2.63 meter/sec

#PuneWeather #Pune #Weather","⛅ 22.14°C feels like 22.76°C, overcast clouds

Humidity: 90 %
Wind: ☴ 2.63 meter/sec

#PuneWeather #Pune #Weather","⛅ 22.14°C feels like 22.76°C, overcast clouds

Humidity: 90 %
Wind: ☴ 2.63 meter/sec

#PuneWeather #Pune #Weather","⛅ .°C feels like .°C, overcast clouds

Humidity:  %
Wind: ☴ . meter/sec

#PuneWeather #Pune #Weather","⛅ °C feels like °C overcast clouds

Humidity  
Wind ☴  metersec

PuneWeather Pune Weather","['⛅', '°C', 'feels', 'like', '°C', 'overcast', 'clouds', 'Humidity', 'Wind', '☴', 'metersec', 'PuneWeather', 'Pune', 'Weather']"
1,"⛅ 22.18°C feels like 22.8°C, light rain

Humidity: 90 %
Wind: ☴ 2.69 meter/sec

#PuneWeather #Pune #Weather","⛅ 22.18°C feels like 22.8°C, light rain

Humidity: 90 %
Wind: ☴ 2.69 meter/sec

#PuneWeather #Pune #Weather","⛅ 22.18°C feels like 22.8°C, light rain

Humidity: 90 %
Wind: ☴ 2.69 meter/sec

#PuneWeather #Pune #Weather","⛅ .°C feels like .°C, light rain

Humidity:  %
Wind: ☴ . meter/sec

#PuneWeather #Pune #Weather","⛅ °C feels like °C light rain

Humidity  
Wind ☴  metersec

PuneWeather Pune Weather","['⛅', '°C', 'feels', 'like', '°C', 'light', 'rain', 'Humidity', 'Wind', '☴', 'metersec', 'PuneWeather', 'Pune', 'Weather']"
2,"⛅ 22.24°C feels like 22.87°C, light rain

Humidity: 90 %
Wind: ☴ 2.71 meter/sec

#PuneWeather #Pune #Weather","⛅ 22.24°C feels like 22.87°C, light rain

Humidity: 90 %
Wind: ☴ 2.71 meter/sec

#PuneWeather #Pune #Weather","⛅ 22.24°C feels like 22.87°C, light rain

Humidity: 90 %
Wind: ☴ 2.71 meter/sec

#PuneWeather #Pune #Weather","⛅ .°C feels like .°C, light rain

Humidity:  %
Wind: ☴ . meter/sec

#PuneWeather #Pune #Weather","⛅ °C feels like °C light rain

Humidity  
Wind ☴  metersec

PuneWeather Pune Weather","['⛅', '°C', 'feels', 'like', '°C', 'light', 'rain', 'Humidity', 'Wind', '☴', 'metersec', 'PuneWeather', 'Pune', 'Weather']"
3,"⛅ 22.38°C feels like 23.02°C, light rain

Humidity: 90 %
Wind: ☴ 2.67 meter/sec

#PuneWeather #Pune #Weather","⛅ 22.38°C feels like 23.02°C, light rain

Humidity: 90 %
Wind: ☴ 2.67 meter/sec

#PuneWeather #Pune #Weather","⛅ 22.38°C feels like 23.02°C, light rain

Humidity: 90 %
Wind: ☴ 2.67 meter/sec

#PuneWeather #Pune #Weather","⛅ .°C feels like .°C, light rain

Humidity:  %
Wind: ☴ . meter/sec

#PuneWeather #Pune #Weather","⛅ °C feels like °C light rain

Humidity  
Wind ☴  metersec

PuneWeather Pune Weather","['⛅', '°C', 'feels', 'like', '°C', 'light', 'rain', 'Humidity', 'Wind', '☴', 'metersec', 'PuneWeather', 'Pune', 'Weather']"
4,"⛅ 22.46°C feels like 23.09°C, overcast clouds

Humidity: 89 %
Wind: ☴ 2.29 meter/sec

#PuneWeather #Pune #Weather","⛅ 22.46°C feels like 23.09°C, overcast clouds

Humidity: 89 %
Wind: ☴ 2.29 meter/sec

#PuneWeather #Pune #Weather","⛅ 22.46°C feels like 23.09°C, overcast clouds

Humidity: 89 %
Wind: ☴ 2.29 meter/sec

#PuneWeather #Pune #Weather","⛅ .°C feels like .°C, overcast clouds

Humidity:  %
Wind: ☴ . meter/sec

#PuneWeather #Pune #Weather","⛅ °C feels like °C overcast clouds

Humidity  
Wind ☴  metersec

PuneWeather Pune Weather","['⛅', '°C', 'feels', 'like', '°C', 'overcast', 'clouds', 'Humidity', 'Wind', '☴', 'metersec', 'PuneWeather', 'Pune', 'Weather']"
5,"As of 12:33 am #Pune weather: 72.4F (22.5 C) overcast clouds, humidity 89%, wind 5 mph","As of 12:33 am #Pune weather: 72.4F (22.5 C) overcast clouds, humidity 89%, wind 5 mph","As of 12:33 am #Pune weather: 72.4F (22.5 C) overcast clouds, humidity 89%, wind 5 mph","As of : am #Pune weather: .F (. C) overcast clouds, humidity %, wind  mph",As of  am Pune weather F  C overcast clouds humidity  wind  mph,"['As', 'Pune', 'weather', 'F', 'C', 'overcast', 'clouds', 'humidity', 'wind', 'mph']"
6,Just from Pune.. my clicks @PuneTimesOnline #Pune #moonsun #moon #Sunsets #clouds #Weather #WeatherForecast… https://t.co/DBZUmqHv5Q,Just from Pune.. my clicks  #Pune #moonsun #moon #Sunsets #clouds #Weather #WeatherForecast… https://t.co/DBZUmqHv5Q,Just from Pune.. my clicks  #Pune #moonsun #moon #Sunsets #clouds #Weather #WeatherForecast… ,Just from Pune.. my clicks  #Pune #moonsun #moon #Sunsets #clouds #Weather #WeatherForecast… ,Just from Pune my clicks  Pune moonsun moon Sunsets clouds Weather WeatherForecast… ,"['Just', 'Pune', 'clicks', 'Pune', 'moonsun', 'moon', 'Sunsets', 'clouds', 'Weather', 'WeatherForecast…']"
7,"⛅ 22.59°C feels like 23.23°C, overcast clouds

Humidity: 89 %
Wind: ☴ 2.55 meter/sec

#PuneWeather #Pune #Weather","⛅ 22.59°C feels like 23.23°C, overcast clouds

Humidity: 89 %
Wind: ☴ 2.55 meter/sec

#PuneWeather #Pune #Weather","⛅ 22.59°C feels like 23.23°C, overcast clouds

Humidity: 89 %
Wind: ☴ 2.55 meter/sec

#PuneWeather #Pune #Weather","⛅ .°C feels like .°C, overcast clouds

Humidity:  %
Wind: ☴ . meter/sec

#PuneWeather #Pune #Weather","⛅ °C feels like °C overcast clouds

Humidity  
Wind ☴  metersec

PuneWeather Pune Weather","['⛅', '°C', 'feels', 'like', '°C', 'overcast', 'clouds', 'Humidity', 'Wind', '☴', 'metersec', 'PuneWeather', 'Pune', 'Weather']"
8,"⛅ 22.61°C feels like 23.25°C, overcast clouds

Humidity: 89 %
Wind: ☴ 2.24 meter/sec

#PuneWeather #Pune #Weather","⛅ 22.61°C feels like 23.25°C, overcast clouds

Humidity: 89 %
Wind: ☴ 2.24 meter/sec

#PuneWeather #Pune #Weather","⛅ 22.61°C feels like 23.25°C, overcast clouds

Humidity: 89 %
Wind: ☴ 2.24 meter/sec

#PuneWeather #Pune #Weather","⛅ .°C feels like .°C, overcast clouds

Humidity:  %
Wind: ☴ . meter/sec

#PuneWeather #Pune #Weather","⛅ °C feels like °C overcast clouds

Humidity  
Wind ☴  metersec

PuneWeather Pune Weather","['⛅', '°C', 'feels', 'like', '°C', 'overcast', 'clouds', 'Humidity', 'Wind', '☴', 'metersec', 'PuneWeather', 'Pune', 'Weather']"
9,"RT @WCRP_climate: We are proud to announce the launch of the International Monsoons Project Office (IMPO), a new joint office of WCRP and t…","RT  We are proud to announce the launch of the International Monsoons Project Office (IMPO), a new joint office of WCRP and t…","RT  We are proud to announce the launch of the International Monsoons Project Office (IMPO), a new joint office of WCRP and t…","  We are proud to announce the launch of the International Monsoons Project Office (IMPO), a new joint office of WCP and t…",  We are proud to announce the launch of the International Monsoons Project Office IMPO a new joint office of WCP and t…,"['We', 'proud', 'announce', 'launch', 'International', 'Monsoons', 'Project', 'Office', 'IMPO', 'new', 'joint', 'office', 'WCP', 't…']"
