,Tweet Text,Remove user,Remove url,Remove RT,Remove pun,Remove stop
0,"⛅ 21.84°C feels like 22.38°C, broken clouds

Humidity: 88 %
Wind: ☴ 3.01 meter/sec

#PuneWeather #Pune #Weather","⛅ 21.84°C feels like 22.38°C, broken clouds

Humidity: 88 %
Wind: ☴ 3.01 meter/sec

#PuneWeather #Pune #Weather","⛅ 21.84°C feels like 22.38°C, broken clouds

Humidity: 88 %
Wind: ☴ 3.01 meter/sec

#PuneWeather #Pune #Weather","⛅ .°C feels like .°C, broken clouds

Humidity:  %
Wind: ☴ . meter/sec

#PuneWeather #Pune #Weather","⛅ °C feels like °C broken clouds

Humidity  
Wind ☴  metersec

PuneWeather Pune Weather","['⛅', '°C', 'feels', 'like', '°C', 'broken', 'clouds', 'Humidity', 'Wind', '☴', 'metersec', 'PuneWeather', 'Pune', 'Weather']"
1,"⛅ 21.81°C feels like 22.37°C, broken clouds

Humidity: 89 %
Wind: ☴ 2.83 meter/sec

#PuneWeather #Pune #Weather","⛅ 21.81°C feels like 22.37°C, broken clouds

Humidity: 89 %
Wind: ☴ 2.83 meter/sec

#PuneWeather #Pune #Weather","⛅ 21.81°C feels like 22.37°C, broken clouds

Humidity: 89 %
Wind: ☴ 2.83 meter/sec

#PuneWeather #Pune #Weather","⛅ .°C feels like .°C, broken clouds

Humidity:  %
Wind: ☴ . meter/sec

#PuneWeather #Pune #Weather","⛅ °C feels like °C broken clouds

Humidity  
Wind ☴  metersec

PuneWeather Pune Weather","['⛅', '°C', 'feels', 'like', '°C', 'broken', 'clouds', 'Humidity', 'Wind', '☴', 'metersec', 'PuneWeather', 'Pune', 'Weather']"
2,"⛅ 21.9°C feels like 22.47°C, broken clouds

Humidity: 89 %
Wind: ☴ 2.81 meter/sec

#PuneWeather #Pune #Weather","⛅ 21.9°C feels like 22.47°C, broken clouds

Humidity: 89 %
Wind: ☴ 2.81 meter/sec

#PuneWeather #Pune #Weather","⛅ 21.9°C feels like 22.47°C, broken clouds

Humidity: 89 %
Wind: ☴ 2.81 meter/sec

#PuneWeather #Pune #Weather","⛅ .°C feels like .°C, broken clouds

Humidity:  %
Wind: ☴ . meter/sec

#PuneWeather #Pune #Weather","⛅ °C feels like °C broken clouds

Humidity  
Wind ☴  metersec

PuneWeather Pune Weather","['⛅', '°C', 'feels', 'like', '°C', 'broken', 'clouds', 'Humidity', 'Wind', '☴', 'metersec', 'PuneWeather', 'Pune', 'Weather']"
3,"⛅ 22.05°C feels like 22.61°C, broken clouds

Humidity: 88 %
Wind: ☴ 2.88 meter/sec

#PuneWeather #Pune #Weather","⛅ 22.05°C feels like 22.61°C, broken clouds

Humidity: 88 %
Wind: ☴ 2.88 meter/sec

#PuneWeather #Pune #Weather","⛅ 22.05°C feels like 22.61°C, broken clouds

Humidity: 88 %
Wind: ☴ 2.88 meter/sec

#PuneWeather #Pune #Weather","⛅ .°C feels like .°C, broken clouds

Humidity:  %
Wind: ☴ . meter/sec

#PuneWeather #Pune #Weather","⛅ °C feels like °C broken clouds

Humidity  
Wind ☴  metersec

PuneWeather Pune Weather","['⛅', '°C', 'feels', 'like', '°C', 'broken', 'clouds', 'Humidity', 'Wind', '☴', 'metersec', 'PuneWeather', 'Pune', 'Weather']"
4,"⛅ 22.08°C feels like 22.64°C, scattered clouds

Humidity: 88 %
Wind: ☴ 3.21 meter/sec

#PuneWeather #Pune #Weather","⛅ 22.08°C feels like 22.64°C, scattered clouds

Humidity: 88 %
Wind: ☴ 3.21 meter/sec

#PuneWeather #Pune #Weather","⛅ 22.08°C feels like 22.64°C, scattered clouds

Humidity: 88 %
Wind: ☴ 3.21 meter/sec

#PuneWeather #Pune #Weather","⛅ .°C feels like .°C, scattered clouds

Humidity:  %
Wind: ☴ . meter/sec

#PuneWeather #Pune #Weather","⛅ °C feels like °C scattered clouds

Humidity  
Wind ☴  metersec

PuneWeather Pune Weather","['⛅', '°C', 'feels', 'like', '°C', 'scattered', 'clouds', 'Humidity', 'Wind', '☴', 'metersec', 'PuneWeather', 'Pune', 'Weather']"
5,"⛅ 22.18°C feels like 22.75°C, scattered clouds

Humidity: 88 %
Wind: ☴ 3.25 meter/sec

#PuneWeather #Pune #Weather","⛅ 22.18°C feels like 22.75°C, scattered clouds

Humidity: 88 %
Wind: ☴ 3.25 meter/sec

#PuneWeather #Pune #Weather","⛅ 22.18°C feels like 22.75°C, scattered clouds

Humidity: 88 %
Wind: ☴ 3.25 meter/sec

#PuneWeather #Pune #Weather","⛅ .°C feels like .°C, scattered clouds

Humidity:  %
Wind: ☴ . meter/sec

#PuneWeather #Pune #Weather","⛅ °C feels like °C scattered clouds

Humidity  
Wind ☴  metersec

PuneWeather Pune Weather","['⛅', '°C', 'feels', 'like', '°C', 'scattered', 'clouds', 'Humidity', 'Wind', '☴', 'metersec', 'PuneWeather', 'Pune', 'Weather']"
6,"⛅ 22.21°C feels like 22.76°C, scattered clouds

Humidity: 87 %
Wind: ☴ 3.23 meter/sec

#PuneWeather #Pune #Weather","⛅ 22.21°C feels like 22.76°C, scattered clouds

Humidity: 87 %
Wind: ☴ 3.23 meter/sec

#PuneWeather #Pune #Weather","⛅ 22.21°C feels like 22.76°C, scattered clouds

Humidity: 87 %
Wind: ☴ 3.23 meter/sec

#PuneWeather #Pune #Weather","⛅ .°C feels like .°C, scattered clouds

Humidity:  %
Wind: ☴ . meter/sec

#PuneWeather #Pune #Weather","⛅ °C feels like °C scattered clouds

Humidity  
Wind ☴  metersec

PuneWeather Pune Weather","['⛅', '°C', 'feels', 'like', '°C', 'scattered', 'clouds', 'Humidity', 'Wind', '☴', 'metersec', 'PuneWeather', 'Pune', 'Weather']"
7,"⛅ 22.46°C feels like 23.01°C, scattered clouds

Humidity: 86 %
Wind: ☴ 3.15 meter/sec

#PuneWeather #Pune #Weather","⛅ 22.46°C feels like 23.01°C, scattered clouds

Humidity: 86 %
Wind: ☴ 3.15 meter/sec

#PuneWeather #Pune #Weather","⛅ 22.46°C feels like 23.01°C, scattered clouds

Humidity: 86 %
Wind: ☴ 3.15 meter/sec

#PuneWeather #Pune #Weather","⛅ .°C feels like .°C, scattered clouds

Humidity:  %
Wind: ☴ . meter/sec

#PuneWeather #Pune #Weather","⛅ °C feels like °C scattered clouds

Humidity  
Wind ☴  metersec

PuneWeather Pune Weather","['⛅', '°C', 'feels', 'like', '°C', 'scattered', 'clouds', 'Humidity', 'Wind', '☴', 'metersec', 'PuneWeather', 'Pune', 'Weather']"
8,"⛅ 22.91°C feels like 23.48°C, broken clouds

Humidity: 85 %
Wind: ☴ 3.42 meter/sec

#PuneWeather #Pune #Weather","⛅ 22.91°C feels like 23.48°C, broken clouds

Humidity: 85 %
Wind: ☴ 3.42 meter/sec

#PuneWeather #Pune #Weather","⛅ 22.91°C feels like 23.48°C, broken clouds

Humidity: 85 %
Wind: ☴ 3.42 meter/sec

#PuneWeather #Pune #Weather","⛅ .°C feels like .°C, broken clouds

Humidity:  %
Wind: ☴ . meter/sec

#PuneWeather #Pune #Weather","⛅ °C feels like °C broken clouds

Humidity  
Wind ☴  metersec

PuneWeather Pune Weather","['⛅', '°C', 'feels', 'like', '°C', 'broken', 'clouds', 'Humidity', 'Wind', '☴', 'metersec', 'PuneWeather', 'Pune', 'Weather']"
9,"⛅ 23.32°C feels like 23.87°C, broken clouds

Humidity: 83 %
Wind: ☴ 3.93 meter/sec

#PuneWeather #Pune #Weather","⛅ 23.32°C feels like 23.87°C, broken clouds

Humidity: 83 %
Wind: ☴ 3.93 meter/sec

#PuneWeather #Pune #Weather","⛅ 23.32°C feels like 23.87°C, broken clouds

Humidity: 83 %
Wind: ☴ 3.93 meter/sec

#PuneWeather #Pune #Weather","⛅ .°C feels like .°C, broken clouds

Humidity:  %
Wind: ☴ . meter/sec

#PuneWeather #Pune #Weather","⛅ °C feels like °C broken clouds

Humidity  
Wind ☴  metersec

PuneWeather Pune Weather","['⛅', '°C', 'feels', 'like', '°C', 'broken', 'clouds', 'Humidity', 'Wind', '☴', 'metersec', 'PuneWeather', 'Pune', 'Weather']"
10,"⛅ 24.31°C feels like 24.83°C, broken clouds

Humidity: 78 %
Wind: ☴ 4.8 meter/sec

#PuneWeather #Pune #Weather","⛅ 24.31°C feels like 24.83°C, broken clouds

Humidity: 78 %
Wind: ☴ 4.8 meter/sec

#PuneWeather #Pune #Weather","⛅ 24.31°C feels like 24.83°C, broken clouds

Humidity: 78 %
Wind: ☴ 4.8 meter/sec

#PuneWeather #Pune #Weather","⛅ .°C feels like .°C, broken clouds

Humidity:  %
Wind: ☴ . meter/sec

#PuneWeather #Pune #Weather","⛅ °C feels like °C broken clouds

Humidity  
Wind ☴  metersec

PuneWeather Pune Weather","['⛅', '°C', 'feels', 'like', '°C', 'broken', 'clouds', 'Humidity', 'Wind', '☴', 'metersec', 'PuneWeather', 'Pune', 'Weather']"
11,"⛅ 25.63°C feels like 26.1°C, overcast clouds

Humidity: 71 %
Wind: ☴ 6.25 meter/sec

#PuneWeather #Pune #Weather","⛅ 25.63°C feels like 26.1°C, overcast clouds

Humidity: 71 %
Wind: ☴ 6.25 meter/sec

#PuneWeather #Pune #Weather","⛅ 25.63°C feels like 26.1°C, overcast clouds

Humidity: 71 %
Wind: ☴ 6.25 meter/sec

#PuneWeather #Pune #Weather","⛅ .°C feels like .°C, overcast clouds

Humidity:  %
Wind: ☴ . meter/sec

#PuneWeather #Pune #Weather","⛅ °C feels like °C overcast clouds

Humidity  
Wind ☴  metersec

PuneWeather Pune Weather","['⛅', '°C', 'feels', 'like', '°C', 'overcast', 'clouds', 'Humidity', 'Wind', '☴', 'metersec', 'PuneWeather', 'Pune', 'Weather']"
12,"⛅ 26.6°C feels like 26.6°C, overcast clouds

Humidity: 67 %
Wind: ☴ 6.86 meter/sec

#PuneWeather #Pune #Weather","⛅ 26.6°C feels like 26.6°C, overcast clouds

Humidity: 67 %
Wind: ☴ 6.86 meter/sec

#PuneWeather #Pune #Weather","⛅ 26.6°C feels like 26.6°C, overcast clouds

Humidity: 67 %
Wind: ☴ 6.86 meter/sec

#PuneWeather #Pune #Weather","⛅ .°C feels like .°C, overcast clouds

Humidity:  %
Wind: ☴ . meter/sec

#PuneWeather #Pune #Weather","⛅ °C feels like °C overcast clouds

Humidity  
Wind ☴  metersec

PuneWeather Pune Weather","['⛅', '°C', 'feels', 'like', '°C', 'overcast', 'clouds', 'Humidity', 'Wind', '☴', 'metersec', 'PuneWeather', 'Pune', 'Weather']"
13,"⛅ 27.4°C feels like 28.96°C, overcast clouds

Humidity: 64 %
Wind: ☴ 6.9 meter/sec

#PuneWeather #Pune #Weather","⛅ 27.4°C feels like 28.96°C, overcast clouds

Humidity: 64 %
Wind: ☴ 6.9 meter/sec

#PuneWeather #Pune #Weather","⛅ 27.4°C feels like 28.96°C, overcast clouds

Humidity: 64 %
Wind: ☴ 6.9 meter/sec

#PuneWeather #Pune #Weather","⛅ .°C feels like .°C, overcast clouds

Humidity:  %
Wind: ☴ . meter/sec

#PuneWeather #Pune #Weather","⛅ °C feels like °C overcast clouds

Humidity  
Wind ☴  metersec

PuneWeather Pune Weather","['⛅', '°C', 'feels', 'like', '°C', 'overcast', 'clouds', 'Humidity', 'Wind', '☴', 'metersec', 'PuneWeather', 'Pune', 'Weather']"
14,"⛅ 27.62°C feels like 29.3°C, overcast clouds

Humidity: 64 %
Wind: ☴ 6.85 meter/sec

#PuneWeather #Pune #Weather","⛅ 27.62°C feels like 29.3°C, overcast clouds

Humidity: 64 %
Wind: ☴ 6.85 meter/sec

#PuneWeather #Pune #Weather","⛅ 27.62°C feels like 29.3°C, overcast clouds

Humidity: 64 %
Wind: ☴ 6.85 meter/sec

#PuneWeather #Pune #Weather","⛅ .°C feels like .°C, overcast clouds

Humidity:  %
Wind: ☴ . meter/sec

#PuneWeather #Pune #Weather","⛅ °C feels like °C overcast clouds

Humidity  
Wind ☴  metersec

PuneWeather Pune Weather","['⛅', '°C', 'feels', 'like', '°C', 'overcast', 'clouds', 'Humidity', 'Wind', '☴', 'metersec', 'PuneWeather', 'Pune', 'Weather']"
15,"⛅ 27.62°C feels like 29.3°C, overcast clouds

Humidity: 64 %
Wind: ☴ 6.39 meter/sec

#PuneWeather #Pune #Weather","⛅ 27.62°C feels like 29.3°C, overcast clouds

Humidity: 64 %
Wind: ☴ 6.39 meter/sec

#PuneWeather #Pune #Weather","⛅ 27.62°C feels like 29.3°C, overcast clouds

Humidity: 64 %
Wind: ☴ 6.39 meter/sec

#PuneWeather #Pune #Weather","⛅ .°C feels like .°C, overcast clouds

Humidity:  %
Wind: ☴ . meter/sec

#PuneWeather #Pune #Weather","⛅ °C feels like °C overcast clouds

Humidity  
Wind ☴  metersec

PuneWeather Pune Weather","['⛅', '°C', 'feels', 'like', '°C', 'overcast', 'clouds', 'Humidity', 'Wind', '☴', 'metersec', 'PuneWeather', 'Pune', 'Weather']"
16,"⛅ 27.37°C feels like 29.01°C, overcast clouds

Humidity: 65 %
Wind: ☴ 6.37 meter/sec

#PuneWeather #Pune #Weather","⛅ 27.37°C feels like 29.01°C, overcast clouds

Humidity: 65 %
Wind: ☴ 6.37 meter/sec

#PuneWeather #Pune #Weather","⛅ 27.37°C feels like 29.01°C, overcast clouds

Humidity: 65 %
Wind: ☴ 6.37 meter/sec

#PuneWeather #Pune #Weather","⛅ .°C feels like .°C, overcast clouds

Humidity:  %
Wind: ☴ . meter/sec

#PuneWeather #Pune #Weather","⛅ °C feels like °C overcast clouds

Humidity  
Wind ☴  metersec

PuneWeather Pune Weather","['⛅', '°C', 'feels', 'like', '°C', 'overcast', 'clouds', 'Humidity', 'Wind', '☴', 'metersec', 'PuneWeather', 'Pune', 'Weather']"
17,"⛅ 26.66°C feels like 26.66°C, overcast clouds

Humidity: 66 %
Wind: ☴ 5.87 meter/sec

#PuneWeather #Pune #Weather","⛅ 26.66°C feels like 26.66°C, overcast clouds

Humidity: 66 %
Wind: ☴ 5.87 meter/sec

#PuneWeather #Pune #Weather","⛅ 26.66°C feels like 26.66°C, overcast clouds

Humidity: 66 %
Wind: ☴ 5.87 meter/sec

#PuneWeather #Pune #Weather","⛅ .°C feels like .°C, overcast clouds

Humidity:  %
Wind: ☴ . meter/sec

#PuneWeather #Pune #Weather","⛅ °C feels like °C overcast clouds

Humidity  
Wind ☴  metersec

PuneWeather Pune Weather","['⛅', '°C', 'feels', 'like', '°C', 'overcast', 'clouds', 'Humidity', 'Wind', '☴', 'metersec', 'PuneWeather', 'Pune', 'Weather']"
18,"Evening like this 😍

#pune #puneweather #shotoniphone #12Pro #iphonography #peaceout https://t.co/hyFokmnQwp","Evening like this 😍

#pune #puneweather #shotoniphone #12Pro #iphonography #peaceout https://t.co/hyFokmnQwp","Evening like this 😍

#pune #puneweather #shotoniphone #12Pro #iphonography #peaceout ","Evening like this 😍

#pune #puneweather #shotoniphone #Pro #iphonography #peaceout ","Evening like this 😍

pune puneweather shotoniphone Pro iphonography peaceout ","['Evening', 'like', '😍', 'pune', 'puneweather', 'shotoniphone', 'Pro', 'iphonography', 'peaceout']"
19,"⛅ 26.05°C feels like 26.05°C, overcast clouds

Humidity: 69 %
Wind: ☴ 5.83 meter/sec

#PuneWeather #Pune #Weather","⛅ 26.05°C feels like 26.05°C, overcast clouds

Humidity: 69 %
Wind: ☴ 5.83 meter/sec

#PuneWeather #Pune #Weather","⛅ 26.05°C feels like 26.05°C, overcast clouds

Humidity: 69 %
Wind: ☴ 5.83 meter/sec

#PuneWeather #Pune #Weather","⛅ .°C feels like .°C, overcast clouds

Humidity:  %
Wind: ☴ . meter/sec

#PuneWeather #Pune #Weather","⛅ °C feels like °C overcast clouds

Humidity  
Wind ☴  metersec

PuneWeather Pune Weather","['⛅', '°C', 'feels', 'like', '°C', 'overcast', 'clouds', 'Humidity', 'Wind', '☴', 'metersec', 'PuneWeather', 'Pune', 'Weather']"
20,"⛅ 24.99°C feels like 25.45°C, overcast clouds

Humidity: 73 %
Wind: ☴ 5.22 meter/sec

#PuneWeather #Pune #Weather","⛅ 24.99°C feels like 25.45°C, overcast clouds

Humidity: 73 %
Wind: ☴ 5.22 meter/sec

#PuneWeather #Pune #Weather","⛅ 24.99°C feels like 25.45°C, overcast clouds

Humidity: 73 %
Wind: ☴ 5.22 meter/sec

#PuneWeather #Pune #Weather","⛅ .°C feels like .°C, overcast clouds

Humidity:  %
Wind: ☴ . meter/sec

#PuneWeather #Pune #Weather","⛅ °C feels like °C overcast clouds

Humidity  
Wind ☴  metersec

PuneWeather Pune Weather","['⛅', '°C', 'feels', 'like', '°C', 'overcast', 'clouds', 'Humidity', 'Wind', '☴', 'metersec', 'PuneWeather', 'Pune', 'Weather']"
21,"⛅ 23.71°C feels like 24.23°C, overcast clouds

Humidity: 80 %
Wind: ☴ 4.04 meter/sec

#PuneWeather #Pune #Weather","⛅ 23.71°C feels like 24.23°C, overcast clouds

Humidity: 80 %
Wind: ☴ 4.04 meter/sec

#PuneWeather #Pune #Weather","⛅ 23.71°C feels like 24.23°C, overcast clouds

Humidity: 80 %
Wind: ☴ 4.04 meter/sec

#PuneWeather #Pune #Weather","⛅ .°C feels like .°C, overcast clouds

Humidity:  %
Wind: ☴ . meter/sec

#PuneWeather #Pune #Weather","⛅ °C feels like °C overcast clouds

Humidity  
Wind ☴  metersec

PuneWeather Pune Weather","['⛅', '°C', 'feels', 'like', '°C', 'overcast', 'clouds', 'Humidity', 'Wind', '☴', 'metersec', 'PuneWeather', 'Pune', 'Weather']"
22,"⛅ 22.28°C feels like 22.84°C, overcast clouds

Humidity: 87 %
Wind: ☴ 3.14 meter/sec

#PuneWeather #Pune #Weather","⛅ 22.28°C feels like 22.84°C, overcast clouds

Humidity: 87 %
Wind: ☴ 3.14 meter/sec

#PuneWeather #Pune #Weather","⛅ 22.28°C feels like 22.84°C, overcast clouds

Humidity: 87 %
Wind: ☴ 3.14 meter/sec

#PuneWeather #Pune #Weather","⛅ .°C feels like .°C, overcast clouds

Humidity:  %
Wind: ☴ . meter/sec

#PuneWeather #Pune #Weather","⛅ °C feels like °C overcast clouds

Humidity  
Wind ☴  metersec

PuneWeather Pune Weather","['⛅', '°C', 'feels', 'like', '°C', 'overcast', 'clouds', 'Humidity', 'Wind', '☴', 'metersec', 'PuneWeather', 'Pune', 'Weather']"
