,Tweet Text,Remove user,Remove url,Remove RT,Remove pun,Remove stop
0,"Realme X50 Pro 5G with Snapdragon 865 SoC, Dual Front Cameras Launched: Price in India, Specifications https://t.co/zjYMvtUzNd","Realme X50 Pro 5G with Snapdragon 865 SoC, Dual Front Cameras Launched: Price in India, Specifications https://t.co/zjYMvtUzNd","Realme X50 Pro 5G with Snapdragon 865 SoC, Dual Front Cameras Launched: Price in India, Specifications ","ealme X Pro G with Snapdragon  SoC, Dual Front Cameras Launched: Price in India, Specifications ",ealme X Pro G with Snapdragon  SoC Dual Front Cameras Launched Price in India Specifications ,"['ealme', 'X', 'Pro', 'G', 'Snapdragon', 'SoC', 'Dual', 'Front', 'Cameras', 'Launched', 'Price', 'India', 'Specifications']"
1,"RT @MadhavSheth1: After bringing you the best of Tech World, now it’s time to bring to you the best of Entertainment World.

Bhai @BeingSal…","RT  After bringing you the best of Tech World, now it’s time to bring to you the best of Entertainment World.

Bhai ","RT  After bringing you the best of Tech World, now it’s time to bring to you the best of Entertainment World.

Bhai ","  After bringing you the best of ech World, now it’s time to bring to you the best of Entertainment World.

Bhai ","  After bringing you the best of ech World now it’s time to bring to you the best of Entertainment World

Bhai ","['After', 'bringing', 'best', 'ech', 'World', 'it’s', 'time', 'bring', 'best', 'Entertainment', 'World', 'Bhai']"
2,"Realme Band Launch Set for March 5, Smartwatch Also Expected Soon https://t.co/vIKVdgQpil","Realme Band Launch Set for March 5, Smartwatch Also Expected Soon https://t.co/vIKVdgQpil","Realme Band Launch Set for March 5, Smartwatch Also Expected Soon ","ealme Band Launch Set for March , Smartwatch Also Expected Soon ",ealme Band Launch Set for March  Smartwatch Also Expected Soon ,"['ealme', 'Band', 'Launch', 'Set', 'March', 'Smartwatch', 'Also', 'Expected', 'Soon']"
3,"RT @realmemobiles: Setting the pace of the future with India's First 5G Smartphone #realmeX50Pro:
-SDM 865
-6 Cameras with 20x Zoom
-65W Su…","RT  Setting the pace of the future with India's First 5G Smartphone #realmeX50Pro:
-SDM 865
-6 Cameras with 20x Zoom
-65W Su…","RT  Setting the pace of the future with India's First 5G Smartphone #realmeX50Pro:
-SDM 865
-6 Cameras with 20x Zoom
-65W Su…","  Setting the pace of the future with India's First G Smartphone #realmeXPro:
-SDM 
- Cameras with x Zoom
-W Su…","  Setting the pace of the future with Indias First G Smartphone realmeXPro
SDM 
 Cameras with x Zoom
W Su…","['Setting', 'pace', 'future', 'Indias', 'First', 'G', 'Smartphone', 'realmeXPro', 'SDM', 'Cameras', 'x', 'Zoom', 'W', 'Su…']"
4,"Realme X50 Pro 5G vs Realme X2 Pro: Price in India, Specifications Compared https://t.co/gAfBl7gMti","Realme X50 Pro 5G vs Realme X2 Pro: Price in India, Specifications Compared https://t.co/gAfBl7gMti","Realme X50 Pro 5G vs Realme X2 Pro: Price in India, Specifications Compared ","ealme X Pro G vs ealme X Pro: Price in India, Specifications Compared ",ealme X Pro G vs ealme X Pro Price in India Specifications Compared ,"['ealme', 'X', 'Pro', 'G', 'vs', 'ealme', 'X', 'Pro', 'Price', 'India', 'Specifications', 'Compared']"
5,RT @Beingvicky786: This pic of #SalmanKhan during the ad shoot for #realme confirms that his appearance from #Radhe is most probably gonna…,RT  This pic of #SalmanKhan during the ad shoot for #realme confirms that his appearance from #Radhe is most probably gonna…,RT  This pic of #SalmanKhan during the ad shoot for #realme confirms that his appearance from #Radhe is most probably gonna…,  his pic of #SalmanKhan during the ad shoot for #realme confirms that his appearance from #adhe is most probably gonna…,  his pic of SalmanKhan during the ad shoot for realme confirms that his appearance from adhe is most probably gonna…,"['pic', 'SalmanKhan', 'ad', 'shoot', 'realme', 'confirms', 'appearance', 'adhe', 'probably', 'gonna…']"
6,"@swarnasunny Hey, we will begin rolling out the realme UI update based on Android 10 for realme X from the last wee… https://t.co/M7WfiiwAGt"," Hey, we will begin rolling out the realme UI update based on Android 10 for realme X from the last wee… https://t.co/M7WfiiwAGt"," Hey, we will begin rolling out the realme UI update based on Android 10 for realme X from the last wee… "," Hey, we will begin rolling out the realme UI update based on Android  for realme X from the last wee… ", Hey we will begin rolling out the realme UI update based on Android  for realme X from the last wee… ,"['Hey', 'begin', 'rolling', 'realme', 'UI', 'update', 'based', 'Android', 'realme', 'X', 'last', 'wee…']"
7,"RT @MadhavSheth1: After bringing you the best of Tech World, now it’s time to bring to you the best of Entertainment World.

Bhai @BeingSal…","RT  After bringing you the best of Tech World, now it’s time to bring to you the best of Entertainment World.

Bhai ","RT  After bringing you the best of Tech World, now it’s time to bring to you the best of Entertainment World.

Bhai ","  After bringing you the best of ech World, now it’s time to bring to you the best of Entertainment World.

Bhai ","  After bringing you the best of ech World now it’s time to bring to you the best of Entertainment World

Bhai ","['After', 'bringing', 'best', 'ech', 'World', 'it’s', 'time', 'bring', 'best', 'Entertainment', 'World', 'Bhai']"
8,"@MadhavSheth1 @BeingSalmanKhan @realmemobiles Watermark dekho
Realme 6 
Hmm","   Watermark dekho
Realme 6 
Hmm","   Watermark dekho
Realme 6 
Hmm","   Watermark dekho
ealme  
Hmm","   Watermark dekho
ealme  
Hmm","['Watermark', 'dekho', 'ealme', 'Hmm']"
9,"#SalmanKhan is the brand ambassador for #Realme 😎🔥

By the way #Realme is my Favt smartphone brand.. 📱❤️
Bcoz I'm a… https://t.co/nI7yZdCXbH","#SalmanKhan is the brand ambassador for #Realme 😎🔥

By the way #Realme is my Favt smartphone brand.. 📱❤️
Bcoz I'm a… https://t.co/nI7yZdCXbH","#SalmanKhan is the brand ambassador for #Realme 😎🔥

By the way #Realme is my Favt smartphone brand.. 📱❤️
Bcoz I'm a… ","#SalmanKhan is the brand ambassador for #ealme 😎🔥

By the way #ealme is my Favt smartphone brand.. 📱❤️
Bcoz I'm a… ","SalmanKhan is the brand ambassador for ealme 😎🔥

By the way ealme is my Favt smartphone brand 📱❤️
Bcoz Im a… ","['SalmanKhan', 'brand', 'ambassador', 'ealme', '😎🔥', 'By', 'way', 'ealme', 'Favt', 'smartphone', 'brand', '📱❤️', 'Bcoz', 'Im', 'a…']"
