,Tweet Text,Remove user,Remove url,Remove RT,Remove pun,Remove stop
0,@rampkfannnn Samsung basic phone n rubber chappal chala simple ga vunnadu🙏, Samsung basic phone n rubber chappal chala simple ga vunnadu🙏, Samsung basic phone n rubber chappal chala simple ga vunnadu🙏, Samsung basic phone n rubber chappal chala simple ga vunnadu🙏, Samsung basic phone n rubber chappal chala simple ga vunnadu🙏,"['Samsung', 'basic', 'phone', 'n', 'rubber', 'chappal', 'chala', 'simple', 'ga', 'vunnadu🙏']"
1,"Samsung Galaxy Tab A 8.0 (Black, 2GB RAM, 32GB Storage) WiFi + 4G https://t.co/iIGPcH3Qre","Samsung Galaxy Tab A 8.0 (Black, 2GB RAM, 32GB Storage) WiFi + 4G https://t.co/iIGPcH3Qre","Samsung Galaxy Tab A 8.0 (Black, 2GB RAM, 32GB Storage) WiFi + 4G ","Samsung Galaxy ab A . (Black, GB AM, GB Storage) WiFi + G ",Samsung Galaxy ab A  Black GB AM GB Storage WiFi  G ,"['Samsung', 'Galaxy', 'ab', 'A', 'Black', 'GB', 'AM', 'GB', 'Storage', 'WiFi', 'G']"
2,"RT @SamsungKE: It's never too late with the #AddWash washing machine. Just add that forgotten laundry during the wash.
https://t.co/aPbeA0t…","RT  It's never too late with the #AddWash washing machine. Just add that forgotten laundry during the wash.
https://t.co/aPbeA0t…","RT  It's never too late with the #AddWash washing machine. Just add that forgotten laundry during the wash.
","  It's never too late with the #AddWash washing machine. Just add that forgotten laundry during the wash.
","  Its never too late with the AddWash washing machine Just add that forgotten laundry during the wash
","['Its', 'never', 'late', 'AddWash', 'washing', 'machine', 'Just', 'add', 'forgotten', 'laundry', 'wash']"
3,@DaveDiCello I'm not a professional but I took this sunset from Children's Hospital last week.  Not bad for a Samsu… https://t.co/mCKqR20wnN, I'm not a professional but I took this sunset from Children's Hospital last week.  Not bad for a Samsu… https://t.co/mCKqR20wnN, I'm not a professional but I took this sunset from Children's Hospital last week.  Not bad for a Samsu… , I'm not a professional but I took this sunset from Children's Hospital last week.  Not bad for a Samsu… , Im not a professional but I took this sunset from Childrens Hospital last week  Not bad for a Samsu… ,"['Im', 'professional', 'I', 'took', 'sunset', 'Childrens', 'Hospital', 'last', 'week', 'Not', 'bad', 'Samsu…']"
4,The Best Samsung Galaxy S20 Deals (and Which Model to Choose) https://t.co/48QTfq2M2z #news #technology #trends… https://t.co/87gOUr2K49,The Best Samsung Galaxy S20 Deals (and Which Model to Choose) https://t.co/48QTfq2M2z #news #technology #trends… https://t.co/87gOUr2K49,The Best Samsung Galaxy S20 Deals (and Which Model to Choose)  #news #technology #trends… ,he Best Samsung Galaxy S Deals (and Which Model to Choose)  #news #technology #trends… ,he Best Samsung Galaxy S Deals and Which Model to Choose  news technology trends… ,"['Best', 'Samsung', 'Galaxy', 'S', 'Deals', 'Which', 'Model', 'Choose', 'news', 'technology', 'trends…']"
5,@LillyMogudu_ Samsung basic phone n rubber chappal chala simple ga vunnadu🙏, Samsung basic phone n rubber chappal chala simple ga vunnadu🙏, Samsung basic phone n rubber chappal chala simple ga vunnadu🙏, Samsung basic phone n rubber chappal chala simple ga vunnadu🙏, Samsung basic phone n rubber chappal chala simple ga vunnadu🙏,"['Samsung', 'basic', 'phone', 'n', 'rubber', 'chappal', 'chala', 'simple', 'ga', 'vunnadu🙏']"
6,FileNotFoundException after ACTION_IMAGE_CAPTURE on Samsung_Phone https://t.co/5JOL62rbiI,FileNotFoundException after ACTION_IMAGE_CAPTURE on Samsung_Phone https://t.co/5JOL62rbiI,FileNotFoundException after ACTION_IMAGE_CAPTURE on Samsung_Phone ,FileNotFoundException after ACION_IMAGE_CAPUE on Samsung_Phone ,FileNotFoundException after ACIONIMAGECAPUE on SamsungPhone ,"['FileNotFoundException', 'ACIONIMAGECAPUE', 'SamsungPhone']"
7,"RT @femi_golden: Now selling @Goldengadgetsng ✨🔥

Samsung S20 - N305,000

Samsung S20+ - N340,000

Samsung S20 Ultra - N420,000

Samsung Ga…","RT  Now selling  ✨🔥

Samsung S20 - N305,000

Samsung S20+ - N340,000

Samsung S20 Ultra - N420,000

Samsung Ga…","RT  Now selling  ✨🔥

Samsung S20 - N305,000

Samsung S20+ - N340,000

Samsung S20 Ultra - N420,000

Samsung Ga…","  Now selling  ✨🔥

Samsung S - N,

Samsung S+ - N,

Samsung S Ultra - N,

Samsung Ga…","  Now selling  ✨🔥

Samsung S  N

Samsung S  N

Samsung S Ultra  N

Samsung Ga…","['Now', 'selling', '✨🔥', 'Samsung', 'S', 'N', 'Samsung', 'S', 'N', 'Samsung', 'S', 'Ultra', 'N', 'Samsung', 'Ga…']"
8,"Samsung to shift some smartphone production to Vietnam due to coronavirus  

By: Reuters | Seoul |

Published: Marc… https://t.co/Hi2vytPr4I","Samsung to shift some smartphone production to Vietnam due to coronavirus  

By: Reuters | Seoul |

Published: Marc… https://t.co/Hi2vytPr4I","Samsung to shift some smartphone production to Vietnam due to coronavirus  

By: Reuters | Seoul |

Published: Marc… ","Samsung to shift some smartphone production to Vietnam due to coronavirus  

By: euters | Seoul |

Published: Marc… ","Samsung to shift some smartphone production to Vietnam due to coronavirus  

By euters  Seoul 

Published Marc… ","['Samsung', 'shift', 'smartphone', 'production', 'Vietnam', 'due', 'coronavirus', 'By', 'euters', 'Seoul', 'Published', 'Marc…']"
9,It's mildly annoying that one of the ways to get the Samsung Credit offer to pop for you is to delete and reinstall the Shop Samsung app.,It's mildly annoying that one of the ways to get the Samsung Credit offer to pop for you is to delete and reinstall the Shop Samsung app.,It's mildly annoying that one of the ways to get the Samsung Credit offer to pop for you is to delete and reinstall the Shop Samsung app.,It's mildly annoying that one of the ways to get the Samsung Credit offer to pop for you is to delete and reinstall the Shop Samsung app.,Its mildly annoying that one of the ways to get the Samsung Credit offer to pop for you is to delete and reinstall the Shop Samsung app,"['Its', 'mildly', 'annoying', 'one', 'ways', 'get', 'Samsung', 'Credit', 'offer', 'pop', 'delete', 'reinstall', 'Shop', 'Samsung', 'app']"
