,Tweet Text,Remove user,Remove url,Remove RT,Remove pun,Remove stop
0,RT @SirishChandran: SUVs like Seltos / Creta might be grabbing headlines but Honda haven’t given up on sedans. 7th gen #HondaCity launches…,RT  SUVs like Seltos / Creta might be grabbing headlines but Honda haven’t given up on sedans. 7th gen #HondaCity launches…,RT  SUVs like Seltos / Creta might be grabbing headlines but Honda haven’t given up on sedans. 7th gen #HondaCity launches…,  SUVs like Seltos / Creta might be grabbing headlines but Honda haven’t given up on sedans. th gen #HondaCity launches…,  SUVs like Seltos  Creta might be grabbing headlines but Honda haven’t given up on sedans th gen HondaCity launches…,"['SUVs', 'like', 'Seltos', 'Creta', 'might', 'grabbing', 'headlines', 'Honda', 'haven’t', 'given', 'sedans', 'th', 'gen', 'HondaCity', 'launches…']"
1,"Five big car launches in India within next 30 days: Hyundai Creta, new Honda City and more - Financial Express https://t.co/vR9RhUaxCf","Five big car launches in India within next 30 days: Hyundai Creta, new Honda City and more - Financial Express https://t.co/vR9RhUaxCf","Five big car launches in India within next 30 days: Hyundai Creta, new Honda City and more - Financial Express ","Five big car launches in India within next  days: Hyundai Creta, new Honda City and more - Financial Express ",Five big car launches in India within next  days Hyundai Creta new Honda City and more  Financial Express ,"['Five', 'big', 'car', 'launches', 'India', 'within', 'next', 'days', 'Hyundai', 'Creta', 'new', 'Honda', 'City', 'Financial', 'Express']"
2,"The next-Gen Hyundai New #Creta 2020 - All you need to know. Expected #prices, launch date and time frame, engine… https://t.co/FLo0DSCYwY","The next-Gen Hyundai New #Creta 2020 - All you need to know. Expected #prices, launch date and time frame, engine… https://t.co/FLo0DSCYwY","The next-Gen Hyundai New #Creta 2020 - All you need to know. Expected #prices, launch date and time frame, engine… ","he next-Gen Hyundai New #Creta  - All you need to know. Expected #prices, launch date and time frame, engine… ",he nextGen Hyundai New Creta   All you need to know Expected prices launch date and time frame engine… ,"['nextGen', 'Hyundai', 'New', 'Creta', 'All', 'need', 'know', 'Expected', 'prices', 'launch', 'date', 'time', 'frame', 'engine…']"
3,Da Discover su Google https://t.co/5GcM06mH7P,Da Discover su Google https://t.co/5GcM06mH7P,Da Discover su Google ,Da Discover su Google ,Da Discover su Google ,"['Da', 'Discover', 'su', 'Google']"
4,"RT @A_M_A_R_Biswas: New Hyundai Creta was unveiled at the just-concluded Auto Expo 2020 and people can't stop talking about its design, exp…","RT  New Hyundai Creta was unveiled at the just-concluded Auto Expo 2020 and people can't stop talking about its design, exp…","RT  New Hyundai Creta was unveiled at the just-concluded Auto Expo 2020 and people can't stop talking about its design, exp…","  New Hyundai Creta was unveiled at the just-concluded Auto Expo  and people can't stop talking about its design, exp…",  New Hyundai Creta was unveiled at the justconcluded Auto Expo  and people cant stop talking about its design exp…,"['New', 'Hyundai', 'Creta', 'unveiled', 'justconcluded', 'Auto', 'Expo', 'people', 'cant', 'stop', 'talking', 'design', 'exp…']"
5,"RT @A_M_A_R_Biswas: Top 5 upcoming SUVs: The new Hyundai Creta 2020, 2020 Maruti Suzuki Vitara Brezza, Tata Gravitas, Kia Seonet and MG Hec…","RT  Top 5 upcoming SUVs: The new Hyundai Creta 2020, 2020 Maruti Suzuki Vitara Brezza, Tata Gravitas, Kia Seonet and MG Hec…","RT  Top 5 upcoming SUVs: The new Hyundai Creta 2020, 2020 Maruti Suzuki Vitara Brezza, Tata Gravitas, Kia Seonet and MG Hec…","  op  upcoming SUVs: he new Hyundai Creta ,  Maruti Suzuki Vitara Brezza, ata Gravitas, Kia Seonet and MG Hec…",  op  upcoming SUVs he new Hyundai Creta   Maruti Suzuki Vitara Brezza ata Gravitas Kia Seonet and MG Hec…,"['op', 'upcoming', 'SUVs', 'new', 'Hyundai', 'Creta', 'Maruti', 'Suzuki', 'Vitara', 'Brezza', 'ata', 'Gravitas', 'Kia', 'Seonet', 'MG', 'Hec…']"
6,"Top 5 upcoming SUVs: The new Hyundai Creta 2020, 2020 Maruti Suzuki Vitara Brezza, Tata Gravitas, Kia Seonet and MG… https://t.co/3KBADJAPGC","Top 5 upcoming SUVs: The new Hyundai Creta 2020, 2020 Maruti Suzuki Vitara Brezza, Tata Gravitas, Kia Seonet and MG… https://t.co/3KBADJAPGC","Top 5 upcoming SUVs: The new Hyundai Creta 2020, 2020 Maruti Suzuki Vitara Brezza, Tata Gravitas, Kia Seonet and MG… ","op  upcoming SUVs: he new Hyundai Creta ,  Maruti Suzuki Vitara Brezza, ata Gravitas, Kia Seonet and MG… ",op  upcoming SUVs he new Hyundai Creta   Maruti Suzuki Vitara Brezza ata Gravitas Kia Seonet and MG… ,"['op', 'upcoming', 'SUVs', 'new', 'Hyundai', 'Creta', 'Maruti', 'Suzuki', 'Vitara', 'Brezza', 'ata', 'Gravitas', 'Kia', 'Seonet', 'MG…']"
7,"New Hyundai Creta was unveiled at the just-concluded Auto Expo 2020 and people can't stop talking about its design,… https://t.co/mAYrzgNRhF","New Hyundai Creta was unveiled at the just-concluded Auto Expo 2020 and people can't stop talking about its design,… https://t.co/mAYrzgNRhF","New Hyundai Creta was unveiled at the just-concluded Auto Expo 2020 and people can't stop talking about its design,… ","New Hyundai Creta was unveiled at the just-concluded Auto Expo  and people can't stop talking about its design,… ",New Hyundai Creta was unveiled at the justconcluded Auto Expo  and people cant stop talking about its design… ,"['New', 'Hyundai', 'Creta', 'unveiled', 'justconcluded', 'Auto', 'Expo', 'people', 'cant', 'stop', 'talking', 'design…']"
8,RT @Soma_Mohanty_: 2020 Hyundai Creta launch in India will take place on March 17. The offers up to Rs 1.15 lakh are on the first-generatio…,RT  2020 Hyundai Creta launch in India will take place on March 17. The offers up to Rs 1.15 lakh are on the first-generatio…,RT  2020 Hyundai Creta launch in India will take place on March 17. The offers up to Rs 1.15 lakh are on the first-generatio…,   Hyundai Creta launch in India will take place on March . he offers up to s . lakh are on the first-generatio…,   Hyundai Creta launch in India will take place on March  he offers up to s  lakh are on the firstgeneratio…,"['Hyundai', 'Creta', 'launch', 'India', 'take', 'place', 'March', 'offers', 'lakh', 'firstgeneratio…']"
9,RT @Soma_Mohanty_: New Hyundai Creta (2020 Creta) price in India might be in the range of Rs 10 lakh (ex-showroom) and Rs 17 lakh (ex-showr…,RT  New Hyundai Creta (2020 Creta) price in India might be in the range of Rs 10 lakh (ex-showroom) and Rs 17 lakh (ex-showr…,RT  New Hyundai Creta (2020 Creta) price in India might be in the range of Rs 10 lakh (ex-showroom) and Rs 17 lakh (ex-showr…,  New Hyundai Creta ( Creta) price in India might be in the range of s  lakh (ex-showroom) and s  lakh (ex-showr…,  New Hyundai Creta  Creta price in India might be in the range of s  lakh exshowroom and s  lakh exshowr…,"['New', 'Hyundai', 'Creta', 'Creta', 'price', 'India', 'might', 'range', 'lakh', 'exshowroom', 'lakh', 'exshowr…']"
10,"Feel the exceptional dynamism in performance with every drive in the #HyundaiAURA. #MakesYouShine

Contact 07305017… https://t.co/swZNXdf0hF","Feel the exceptional dynamism in performance with every drive in the #HyundaiAURA. #MakesYouShine

Contact 07305017… https://t.co/swZNXdf0hF","Feel the exceptional dynamism in performance with every drive in the #HyundaiAURA. #MakesYouShine

Contact 07305017… ","Feel the exceptional dynamism in performance with every drive in the #HyundaiAUA. #MakesYouShine

Contact … ","Feel the exceptional dynamism in performance with every drive in the HyundaiAUA MakesYouShine

Contact … ","['Feel', 'exceptional', 'dynamism', 'performance', 'every', 'drive', 'HyundaiAUA', 'MakesYouShine', 'Contact', '…']"
