,Tweet Text,Remove user,Remove url,Remove RT,Remove pun,Remove stop
0,"Honda Shine now gets 5 speed gearbox

#Honda
#Shine
#Fivespeed

https://t.co/CxuIXWznJr","Honda Shine now gets 5 speed gearbox

#Honda
#Shine
#Fivespeed

https://t.co/CxuIXWznJr","Honda Shine now gets 5 speed gearbox

#Honda
#Shine
#Fivespeed

","Honda Shine now gets  speed gearbox

#Honda
#Shine
#Fivespeed

","Honda Shine now gets  speed gearbox

Honda
Shine
Fivespeed

","['Honda', 'Shine', 'gets', 'speed', 'gearbox', 'Honda', 'Shine', 'Fivespeed']"
1,"RT @maxabout: #BS6 #Honda #Shine 125 Launched!

https://t.co/CdJKVVmyk7","RT  #BS6 #Honda #Shine 125 Launched!

https://t.co/CdJKVVmyk7","RT  #BS6 #Honda #Shine 125 Launched!

","  #BS #Honda #Shine  Launched!

","  BS Honda Shine  Launched

","['BS', 'Honda', 'Shine', 'Launched']"
2,"RT @autocarindiamag: The updated, BS6-compliant Honda Shine 125 gets a silent start system, a longer wheelbase, higher fuel efficiency and…","RT  The updated, BS6-compliant Honda Shine 125 gets a silent start system, a longer wheelbase, higher fuel efficiency and…","RT  The updated, BS6-compliant Honda Shine 125 gets a silent start system, a longer wheelbase, higher fuel efficiency and…","  he updated, BS-compliant Honda Shine  gets a silent start system, a longer wheelbase, higher fuel efficiency and…",  he updated BScompliant Honda Shine  gets a silent start system a longer wheelbase higher fuel efficiency and…,"['updated', 'BScompliant', 'Honda', 'Shine', 'gets', 'silent', 'start', 'system', 'longer', 'wheelbase', 'higher', 'fuel', 'efficiency', 'and…']"
3,"RT @maxabout: #BS6 #Honda #Shine 125 Launched!

https://t.co/CdJKVVmyk7","RT  #BS6 #Honda #Shine 125 Launched!

https://t.co/CdJKVVmyk7","RT  #BS6 #Honda #Shine 125 Launched!

","  #BS #Honda #Shine  Launched!

","  BS Honda Shine  Launched

","['BS', 'Honda', 'Shine', 'Launched']"
4,"#BS6 #Honda #Shine 125 Launched!

https://t.co/CdJKVVmyk7","#BS6 #Honda #Shine 125 Launched!

https://t.co/CdJKVVmyk7","#BS6 #Honda #Shine 125 Launched!

","#BS #Honda #Shine  Launched!

","BS Honda Shine  Launched

","['BS', 'Honda', 'Shine', 'Launched']"
5,"RT @autocarindiamag: The updated, BS6-compliant Honda Shine 125 gets a silent start system, a longer wheelbase, higher fuel efficiency and…","RT  The updated, BS6-compliant Honda Shine 125 gets a silent start system, a longer wheelbase, higher fuel efficiency and…","RT  The updated, BS6-compliant Honda Shine 125 gets a silent start system, a longer wheelbase, higher fuel efficiency and…","  he updated, BS-compliant Honda Shine  gets a silent start system, a longer wheelbase, higher fuel efficiency and…",  he updated BScompliant Honda Shine  gets a silent start system a longer wheelbase higher fuel efficiency and…,"['updated', 'BScompliant', 'Honda', 'Shine', 'gets', 'silent', 'start', 'system', 'longer', 'wheelbase', 'higher', 'fuel', 'efficiency', 'and…']"
6,dj honda x b.i.g. joe  / Shine On https://t.co/Ue0B7Sdj8J @YouTubeより,dj honda x b.i.g. joe  / Shine On https://t.co/Ue0B7Sdj8J ,dj honda x b.i.g. joe  / Shine On  ,dj honda x b.i.g. joe  / Shine On  ,dj honda x big joe   Shine On  ,"['dj', 'honda', 'x', 'big', 'joe', 'Shine', 'On']"
7,"New BS6-compliant engine is claimed to deliver 14 percent better fuel economy; prices have increased by Rs 7,000 ov… https://t.co/oRKc42nJng","New BS6-compliant engine is claimed to deliver 14 percent better fuel economy; prices have increased by Rs 7,000 ov… https://t.co/oRKc42nJng","New BS6-compliant engine is claimed to deliver 14 percent better fuel economy; prices have increased by Rs 7,000 ov… ","New BS-compliant engine is claimed to deliver  percent better fuel economy; prices have increased by s , ov… ",New BScompliant engine is claimed to deliver  percent better fuel economy prices have increased by s  ov… ,"['New', 'BScompliant', 'engine', 'claimed', 'deliver', 'percent', 'better', 'fuel', 'economy', 'prices', 'increased', 'ov…']"
8,"Vinales finish on top as Yamaha shine in Qatar testing
#MotoGP #Vnales #Yamaha #Suzuki #Honda #Losail

https://t.co/p8i73BR6aP","Vinales finish on top as Yamaha shine in Qatar testing
#MotoGP #Vnales #Yamaha #Suzuki #Honda #Losail

https://t.co/p8i73BR6aP","Vinales finish on top as Yamaha shine in Qatar testing
#MotoGP #Vnales #Yamaha #Suzuki #Honda #Losail

","Vinales finish on top as Yamaha shine in Qatar testing
#MotoGP #Vnales #Yamaha #Suzuki #Honda #Losail

","Vinales finish on top as Yamaha shine in Qatar testing
MotoGP Vnales Yamaha Suzuki Honda Losail

","['Vinales', 'finish', 'top', 'Yamaha', 'shine', 'Qatar', 'testing', 'MotoGP', 'Vnales', 'Yamaha', 'Suzuki', 'Honda', 'Losail']"
9,"The CB Shine SP is Honda's premium 125cc motorcycle.

It is an addition to the existing CB Shine model and uses the… https://t.co/McpvkRQ8mg","The CB Shine SP is Honda's premium 125cc motorcycle.

It is an addition to the existing CB Shine model and uses the… https://t.co/McpvkRQ8mg","The CB Shine SP is Honda's premium 125cc motorcycle.

It is an addition to the existing CB Shine model and uses the… ","he CB Shine SP is Honda's premium cc motorcycle.

It is an addition to the existing CB Shine model and uses the… ","he CB Shine SP is Hondas premium cc motorcycle

It is an addition to the existing CB Shine model and uses the… ","['CB', 'Shine', 'SP', 'Hondas', 'premium', 'cc', 'motorcycle', 'It', 'addition', 'existing', 'CB', 'Shine', 'model', 'uses', 'the…']"
