,Tweet Text,Remove user,Remove url,Remove RT,Remove pun,Remove stop
0,@HPIndia Hp not replace printer so I send notice, Hp not replace printer so I send notice, Hp not replace printer so I send notice, Hp not replace printer so I send notice, Hp not replace printer so I send notice,"['Hp', 'replace', 'printer', 'I', 'send', 'notice']"
1,"https://t.co/CJTb5efcJQ

Specifications
General
In The Box
Handset, Adapter 5V/2A, Important Info Book with Warrant… https://t.co/EaeseuWrTM","https://t.co/CJTb5efcJQ

Specifications
General
In The Box
Handset, Adapter 5V/2A, Important Info Book with Warrant… https://t.co/EaeseuWrTM","

Specifications
General
In The Box
Handset, Adapter 5V/2A, Important Info Book with Warrant… ","

Specifications
General
In he Box
Handset, Adapter V/A, Important Info Book with Warrant… ","

Specifications
General
In he Box
Handset Adapter VA Important Info Book with Warrant… ","['Specifications', 'General', 'In', 'Box', 'Handset', 'Adapter', 'VA', 'Important', 'Info', 'Book', 'Warrant…']"
2,my mom didn’t really let me dye my hair when i was younger so now that i can i forget how to act,my mom didn’t really let me dye my hair when i was younger so now that i can i forget how to act,my mom didn’t really let me dye my hair when i was younger so now that i can i forget how to act,my mom didn’t really let me dye my hair when i was younger so now that i can i forget how to act,my mom didn’t really let me dye my hair when i was younger so now that i can i forget how to act,"['mom', 'didn’t', 'really', 'let', 'dye', 'hair', 'younger', 'forget', 'act']"
3,@EnglishmanAdam We’re in stockpiling mode because the world is ending here!, We’re in stockpiling mode because the world is ending here!, We’re in stockpiling mode because the world is ending here!, We’re in stockpiling mode because the world is ending here!, We’re in stockpiling mode because the world is ending here,"['We’re', 'stockpiling', 'mode', 'world', 'ending']"
4,RT @lidgates: ⁦@RBKC⁩ ⁦@FelicityBuchan⁩ look at all the cyclists who would be using the segregated cycle super highway on this rainy aftern…,RT  ⁦ ⁦ look at all the cyclists who would be using the segregated cycle super highway on this rainy aftern…,RT  ⁦ ⁦ look at all the cyclists who would be using the segregated cycle super highway on this rainy aftern…,  ⁦ ⁦ look at all the cyclists who would be using the segregated cycle super highway on this rainy aftern…,  ⁦ ⁦ look at all the cyclists who would be using the segregated cycle super highway on this rainy aftern…,"['\u2066', '\u2066', 'look', 'cyclists', 'would', 'using', 'segregated', 'cycle', 'super', 'highway', 'rainy', 'aftern…']"
5,"@evilfemto Yeah, same with HP too 💀 it’s sad and disheartening, but it is what it is"," Yeah, same with HP too 💀 it’s sad and disheartening, but it is what it is"," Yeah, same with HP too 💀 it’s sad and disheartening, but it is what it is"," Yeah, same with HP too 💀 it’s sad and disheartening, but it is what it is", Yeah same with HP too 💀 it’s sad and disheartening but it is what it is,"['Yeah', 'HP', '💀', 'it’s', 'sad', 'disheartening']"
6,"RT @sjokz: ‼️ GIVEAWAY TIME ‼️
In celebration of my partnership with @OMENbyHP you can win the same goodies I received in my care package!…","RT  ‼️ GIVEAWAY TIME ‼️
In celebration of my partnership with  you can win the same goodies I received in my care package!…","RT  ‼️ GIVEAWAY TIME ‼️
In celebration of my partnership with  you can win the same goodies I received in my care package!…","  ‼️ GIVEAWAY IME ‼️
In celebration of my partnership with  you can win the same goodies I received in my care package!…","  ‼️ GIVEAWAY IME ‼️
In celebration of my partnership with  you can win the same goodies I received in my care package…","['‼️', 'GIVEAWAY', 'IME', '‼️', 'In', 'celebration', 'partnership', 'win', 'goodies', 'I', 'received', 'care', 'package…']"
7,"HP 820(Touch)
Processor Core i5
Ram 4 GB
Storage 500

Price 23,000

Call/App 0726 514 84
#kenya7s #ikokazikenya… https://t.co/urf3McY1cl","HP 820(Touch)
Processor Core i5
Ram 4 GB
Storage 500

Price 23,000

Call/App 0726 514 84
#kenya7s #ikokazikenya… https://t.co/urf3McY1cl","HP 820(Touch)
Processor Core i5
Ram 4 GB
Storage 500

Price 23,000

Call/App 0726 514 84
#kenya7s #ikokazikenya… ","HP (ouch)
Processor Core i
am  GB
Storage 

Price ,

Call/App   
#kenyas #ikokazikenya… ","HP ouch
Processor Core i
am  GB
Storage 

Price 

CallApp   
kenyas ikokazikenya… ","['HP', 'ouch', 'Processor', 'Core', 'GB', 'Storage', 'Price', 'CallApp', 'kenyas', 'ikokazikenya…']"
8,"RT @adewalekemi65: Please,what is the full meaning of hp? 🤣🤣🤣","RT  Please,what is the full meaning of hp? 🤣🤣🤣","RT  Please,what is the full meaning of hp? 🤣🤣🤣","  Please,what is the full meaning of hp? 🤣🤣🤣",  Pleasewhat is the full meaning of hp 🤣🤣🤣,"['Pleasewhat', 'full', 'meaning', 'hp', '🤣🤣🤣']"
9,"RT from Jalopnik Here's how a 2020 Toyota Supra is remade to handle 1,000 hp and competitive drifting.… https://t.co/EfjSUydvV9","RT from Jalopnik Here's how a 2020 Toyota Supra is remade to handle 1,000 hp and competitive drifting.… https://t.co/EfjSUydvV9","RT from Jalopnik Here's how a 2020 Toyota Supra is remade to handle 1,000 hp and competitive drifting.… "," from Jalopnik Here's how a  oyota Supra is remade to handle , hp and competitive drifting.… ", from Jalopnik Heres how a  oyota Supra is remade to handle  hp and competitive drifting… ,"['Jalopnik', 'Heres', 'oyota', 'Supra', 'remade', 'handle', 'hp', 'competitive', 'drifting…']"
