,Tweet Text,Remove user,Remove url,Remove RT,Remove pun,Remove stop
0,"RT @KCGIT1: The Future for Industrial Services: The Digital Twin 
#KCGCOLLEGE @KCGtechnology #iteducation #universities #engineeringcollege…","RT  The Future for Industrial Services: The Digital Twin 
#KCGCOLLEGE  #iteducation #universities #engineeringcollege…","RT  The Future for Industrial Services: The Digital Twin 
#KCGCOLLEGE  #iteducation #universities #engineeringcollege…","  he Future for Industrial Services: he Digital win 
#KCGCOLLEGE  #iteducation #universities #engineeringcollege…","  he Future for Industrial Services he Digital win 
KCGCOLLEGE  iteducation universities engineeringcollege…","['Future', 'Industrial', 'Services', 'Digital', 'win', 'KCGCOLLEGE', 'iteducation', 'universities', 'engineeringcollege…']"
1,"The Future for Industrial Services: The Digital Twin 
#KCGCOLLEGE @KCGtechnology #iteducation #universities… https://t.co/75tSyTMTyy","The Future for Industrial Services: The Digital Twin 
#KCGCOLLEGE  #iteducation #universities… https://t.co/75tSyTMTyy","The Future for Industrial Services: The Digital Twin 
#KCGCOLLEGE  #iteducation #universities… ","he Future for Industrial Services: he Digital win 
#KCGCOLLEGE  #iteducation #universities… ","he Future for Industrial Services he Digital win 
KCGCOLLEGE  iteducation universities… ","['Future', 'Industrial', 'Services', 'Digital', 'win', 'KCGCOLLEGE', 'iteducation', 'universities…']"
2,RT @StopS386: @michellemalkin Verizon layoffs: https://t.co/N5yhwHZv78,RT   Verizon layoffs: https://t.co/N5yhwHZv78,RT   Verizon layoffs: ,   Verizon layoffs: ,   Verizon layoffs ,"['Verizon', 'layoffs']"
3,RT @JamesMcCormack: @HmrconI @RishiSunak @stopoffpayroll @IPSEwestminster @ContractorCalc @BaloPig @CarrotyD @elashton @mc_conscience Whate…,RT           Whate…,RT           Whate…,           Whate…,           Whate…,['Whate…']
4,@CafeCoffeeDay Shared Cafe details in DM. We had CCD outlets in Infosys hinjewadi phase 2 Pune campus. They were go… https://t.co/hODQ0oMd1s, Shared Cafe details in DM. We had CCD outlets in Infosys hinjewadi phase 2 Pune campus. They were go… https://t.co/hODQ0oMd1s, Shared Cafe details in DM. We had CCD outlets in Infosys hinjewadi phase 2 Pune campus. They were go… , Shared Cafe details in DM. We had CCD outlets in Infosys hinjewadi phase  Pune campus. hey were go… , Shared Cafe details in DM We had CCD outlets in Infosys hinjewadi phase  Pune campus hey were go… ,"['Shared', 'Cafe', 'details', 'DM', 'We', 'CCD', 'outlets', 'Infosys', 'hinjewadi', 'phase', 'Pune', 'campus', 'hey', 'go…']"
5,RT @JamesMcCormack: @HmrconI @RishiSunak @stopoffpayroll @IPSEwestminster @ContractorCalc @BaloPig @CarrotyD @elashton @mc_conscience Whate…,RT           Whate…,RT           Whate…,           Whate…,           Whate…,['Whate…']
6,RT @techUK: The lifetime of tech relevance is 18 months says @Neoreturns @Infosys. This is why it’s important to create a talent pipeline f…,RT  The lifetime of tech relevance is 18 months says   This is why it’s important to create a talent pipeline f…,RT  The lifetime of tech relevance is 18 months says   This is why it’s important to create a talent pipeline f…,  he lifetime of tech relevance is  months says   his is why it’s important to create a talent pipeline f…,  he lifetime of tech relevance is  months says   his is why it’s important to create a talent pipeline f…,"['lifetime', 'tech', 'relevance', 'months', 'says', 'it’s', 'important', 'create', 'talent', 'pipeline', 'f…']"
7,RT @StopS386: @michellemalkin Verizon layoffs: https://t.co/N5yhwHZv78,RT   Verizon layoffs: https://t.co/N5yhwHZv78,RT   Verizon layoffs: ,   Verizon layoffs: ,   Verizon layoffs ,"['Verizon', 'layoffs']"
8,RT @michellemalkin: @realDonaldTrump @SenMikeLee @CPAC @IvankaTrump @dcgov Another of the most infamous H-1B replacement fiascos: SoCal Edi…,RT       Another of the most infamous H-1B replacement fiascos: SoCal Edi…,RT       Another of the most infamous H-1B replacement fiascos: SoCal Edi…,       Another of the most infamous H-B replacement fiascos: SoCal Edi…,       Another of the most infamous HB replacement fiascos SoCal Edi…,"['Another', 'infamous', 'HB', 'replacement', 'fiascos', 'SoCal', 'Edi…']"
9,RT @michellemalkin: @realDonaldTrump @SenMikeLee @CPAC @IvankaTrump Harley Davison outsourced US tech workers in 2012 and again in 2015 to…,RT      Harley Davison outsourced US tech workers in 2012 and again in 2015 to…,RT      Harley Davison outsourced US tech workers in 2012 and again in 2015 to…,      Harley Davison outsourced US tech workers in  and again in  to…,      Harley Davison outsourced US tech workers in  and again in  to…,"['Harley', 'Davison', 'outsourced', 'US', 'tech', 'workers', 'to…']"
