,Tweet Text,Remove user,Remove url,Remove RT,Remove pun,Remove stop
0,"RT @ashoswai: If you want to comment on the tweets of Modi's news agency ANI, take a screenshot of that tweet, don't just retweet. Don't co…","RT  If you want to comment on the tweets of Modi's news agency ANI, take a screenshot of that tweet, don't just retweet. Don't co…","RT  If you want to comment on the tweets of Modi's news agency ANI, take a screenshot of that tweet, don't just retweet. Don't co…","  If you want to comment on the tweets of Modi's news agency ANI, take a screenshot of that tweet, don't just retweet. Don't co…",  If you want to comment on the tweets of Modis news agency ANI take a screenshot of that tweet dont just retweet Dont co…,"['If', 'want', 'comment', 'tweets', 'Modis', 'news', 'agency', 'ANI', 'take', 'screenshot', 'tweet', 'dont', 'retweet', 'Dont', 'co…']"
1,"RT @PTI_News: Not a single bomb blast in the country in last 6 years. This has not happened just like that, but due to strong measures take…","RT  Not a single bomb blast in the country in last 6 years. This has not happened just like that, but due to strong measures take…","RT  Not a single bomb blast in the country in last 6 years. This has not happened just like that, but due to strong measures take…","  Not a single bomb blast in the country in last  years. his has not happened just like that, but due to strong measures take…",  Not a single bomb blast in the country in last  years his has not happened just like that but due to strong measures take…,"['Not', 'single', 'bomb', 'blast', 'country', 'last', 'years', 'happened', 'like', 'due', 'strong', 'measures', 'take…']"
2,"RT @RahulGandhi: No Yes Bank. 

Modi and his ideas have destroyed India’s economy. 

 #NoBank","RT  No Yes Bank. 

Modi and his ideas have destroyed India’s economy. 

 #NoBank","RT  No Yes Bank. 

Modi and his ideas have destroyed India’s economy. 

 #NoBank","  No Yes Bank. 

Modi and his ideas have destroyed India’s economy. 

 #NoBank","  No Yes Bank 

Modi and his ideas have destroyed India’s economy 

 NoBank","['No', 'Yes', 'Bank', 'Modi', 'ideas', 'destroyed', 'India’s', 'economy', 'NoBank']"
3,"RT @desimojito: Hi @anubhavsinha 

Modi ji tweeted the other day that to stay safe from Corona Virus avoid mass gatherings. It was a sure s…","RT  Hi  

Modi ji tweeted the other day that to stay safe from Corona Virus avoid mass gatherings. It was a sure s…","RT  Hi  

Modi ji tweeted the other day that to stay safe from Corona Virus avoid mass gatherings. It was a sure s…","  Hi  

Modi ji tweeted the other day that to stay safe from Corona Virus avoid mass gatherings. It was a sure s…","  Hi  

Modi ji tweeted the other day that to stay safe from Corona Virus avoid mass gatherings It was a sure s…","['Hi', 'Modi', 'ji', 'tweeted', 'day', 'stay', 'safe', 'Corona', 'Virus', 'avoid', 'mass', 'gatherings', 'It', 'sure', 's…']"
4,@Moody1111Dream @YouTube Is the're such a word in the world in the vocab of U.N. TRump Nentenyahu Erdogan Modi 😂😂😂,  Is the're such a word in the world in the vocab of U.N. TRump Nentenyahu Erdogan Modi 😂😂😂,  Is the're such a word in the world in the vocab of U.N. TRump Nentenyahu Erdogan Modi 😂😂😂,  Is the're such a word in the world in the vocab of U.N. ump Nentenyahu Erdogan Modi 😂😂😂,  Is there such a word in the world in the vocab of UN ump Nentenyahu Erdogan Modi 😂😂😂,"['Is', 'word', 'world', 'vocab', 'UN', 'ump', 'Nentenyahu', 'Erdogan', 'Modi', '😂😂😂']"
5,"RT @Andrew_Adonis: The UK media should be paying more attention to the fascist Modi regime in India, deploying techniques of terror &amp; dehum…","RT  The UK media should be paying more attention to the fascist Modi regime in India, deploying techniques of terror &amp; dehum…","RT  The UK media should be paying more attention to the fascist Modi regime in India, deploying techniques of terror &amp; dehum…","  he UK media should be paying more attention to the fascist Modi regime in India, deploying techniques of terror &amp; dehum…",  he UK media should be paying more attention to the fascist Modi regime in India deploying techniques of terror amp dehum…,"['UK', 'media', 'paying', 'attention', 'fascist', 'Modi', 'regime', 'India', 'deploying', 'techniques', 'terror', 'amp', 'dehum…']"
6,These illustrate woman shld be arrested and put behind bars. She has never read CA. For her it means Muslims Come a… https://t.co/tqYuZ6h2wI,These illustrate woman shld be arrested and put behind bars. She has never read CA. For her it means Muslims Come a… https://t.co/tqYuZ6h2wI,These illustrate woman shld be arrested and put behind bars. She has never read CA. For her it means Muslims Come a… ,hese illustrate woman shld be arrested and put behind bars. She has never read CA. For her it means Muslims Come a… ,hese illustrate woman shld be arrested and put behind bars She has never read CA For her it means Muslims Come a… ,"['hese', 'illustrate', 'woman', 'shld', 'arrested', 'put', 'behind', 'bars', 'She', 'never', 'read', 'CA', 'For', 'means', 'Muslims', 'Come', 'a…']"
7,"Sir, not the special forces but Modi and his loyal crooks in the system. https://t.co/0qnEFncwkv","Sir, not the special forces but Modi and his loyal crooks in the system. https://t.co/0qnEFncwkv","Sir, not the special forces but Modi and his loyal crooks in the system. ","Sir, not the special forces but Modi and his loyal crooks in the system. ",Sir not the special forces but Modi and his loyal crooks in the system ,"['Sir', 'special', 'forces', 'Modi', 'loyal', 'crooks', 'system']"
8,"RT @PTI_News: Not a single bomb blast in the country in last 6 years. This has not happened just like that, but due to strong measures take…","RT  Not a single bomb blast in the country in last 6 years. This has not happened just like that, but due to strong measures take…","RT  Not a single bomb blast in the country in last 6 years. This has not happened just like that, but due to strong measures take…","  Not a single bomb blast in the country in last  years. his has not happened just like that, but due to strong measures take…",  Not a single bomb blast in the country in last  years his has not happened just like that but due to strong measures take…,"['Not', 'single', 'bomb', 'blast', 'country', 'last', 'years', 'happened', 'like', 'due', 'strong', 'measures', 'take…']"
9,"RT @AsharJawad: Mass protests in Dhaka against Modi's planned visit. Pakistan &amp; Bangladesh, geographically 2000 km apart may not be one cou…","RT  Mass protests in Dhaka against Modi's planned visit. Pakistan &amp; Bangladesh, geographically 2000 km apart may not be one cou…","RT  Mass protests in Dhaka against Modi's planned visit. Pakistan &amp; Bangladesh, geographically 2000 km apart may not be one cou…","  Mass protests in Dhaka against Modi's planned visit. Pakistan &amp; Bangladesh, geographically  km apart may not be one cou…",  Mass protests in Dhaka against Modis planned visit Pakistan amp Bangladesh geographically  km apart may not be one cou…,"['Mass', 'protests', 'Dhaka', 'Modis', 'planned', 'visit', 'Pakistan', 'amp', 'Bangladesh', 'geographically', 'km', 'apart', 'may', 'one', 'cou…']"
