,Tweet Text,Remove user,Remove url,Remove RT,Remove pun,Remove stop
0,"RT @iamtusharjpawar: Citizens Who Taken Both Doses of Vaccination Now Enabled to obtain E-pass online for travelling in Local Trains.

Clic…","RT  Citizens Who Taken Both Doses of Vaccination Now Enabled to obtain E-pass online for travelling in Local Trains.

Clic…","RT  Citizens Who Taken Both Doses of Vaccination Now Enabled to obtain E-pass online for travelling in Local Trains.

Clic…","  Citizens Who aken Both Doses of Vaccination Now Enabled to obtain E-pass online for travelling in Local rains.

Clic…","  Citizens Who aken Both Doses of Vaccination Now Enabled to obtain Epass online for travelling in Local rains

Clic…","['Citizens', 'Who', 'aken', 'Both', 'Doses', 'Vaccination', 'Now', 'Enabled', 'obtain', 'Epass', 'online', 'travelling', 'Local', 'rains', 'Clic…']"
1,"Citizens Who Taken Both Doses of Vaccination Now Enabled to obtain E-pass online for travelling in Local Trains.

C… https://t.co/A6UK9KciLb","Citizens Who Taken Both Doses of Vaccination Now Enabled to obtain E-pass online for travelling in Local Trains.

C… https://t.co/A6UK9KciLb","Citizens Who Taken Both Doses of Vaccination Now Enabled to obtain E-pass online for travelling in Local Trains.

C… ","Citizens Who aken Both Doses of Vaccination Now Enabled to obtain E-pass online for travelling in Local rains.

C… ","Citizens Who aken Both Doses of Vaccination Now Enabled to obtain Epass online for travelling in Local rains

C… ","['Citizens', 'Who', 'aken', 'Both', 'Doses', 'Vaccination', 'Now', 'Enabled', 'obtain', 'Epass', 'online', 'travelling', 'Local', 'rains', 'C…']"
2,"RT @NareshBhalla: Shops, malls, offices business all r open but #MumbaiLocal trains r not open fr all.
How do @OfficeofUT think people will…","RT  Shops, malls, offices business all r open but #MumbaiLocal trains r not open fr all.
How do  think people will…","RT  Shops, malls, offices business all r open but #MumbaiLocal trains r not open fr all.
How do  think people will…","  Shops, malls, offices business all r open but #MumbaiLocal trains r not open fr all.
How do  think people will…","  Shops malls offices business all r open but MumbaiLocal trains r not open fr all
How do  think people will…","['Shops', 'malls', 'offices', 'business', 'r', 'open', 'MumbaiLocal', 'trains', 'r', 'open', 'fr', 'How', 'think', 'people', 'will…']"
3,"Shops, malls, offices business all r open but #MumbaiLocal trains r not open fr all.
How do @OfficeofUT think peopl… https://t.co/qvtCXRlTQN","Shops, malls, offices business all r open but #MumbaiLocal trains r not open fr all.
How do  think peopl… https://t.co/qvtCXRlTQN","Shops, malls, offices business all r open but #MumbaiLocal trains r not open fr all.
How do  think peopl… ","Shops, malls, offices business all r open but #MumbaiLocal trains r not open fr all.
How do  think peopl… ","Shops malls offices business all r open but MumbaiLocal trains r not open fr all
How do  think peopl… ","['Shops', 'malls', 'offices', 'business', 'r', 'open', 'MumbaiLocal', 'trains', 'r', 'open', 'fr', 'How', 'think', 'peopl…']"
4,"RT @mumbaimatterz: #GoodNews #Mumbai

Now Fully Vaccinated citizens can apply for #Epass for travel by #MumbaiLocal trains.

Universal Trav…","RT  #GoodNews #Mumbai

Now Fully Vaccinated citizens can apply for #Epass for travel by #MumbaiLocal trains.

Universal Trav…","RT  #GoodNews #Mumbai

Now Fully Vaccinated citizens can apply for #Epass for travel by #MumbaiLocal trains.

Universal Trav…","  #GoodNews #Mumbai

Now Fully Vaccinated citizens can apply for #Epass for travel by #MumbaiLocal trains.

Universal rav…","  GoodNews Mumbai

Now Fully Vaccinated citizens can apply for Epass for travel by MumbaiLocal trains

Universal rav…","['GoodNews', 'Mumbai', 'Now', 'Fully', 'Vaccinated', 'citizens', 'apply', 'Epass', 'travel', 'MumbaiLocal', 'trains', 'Universal', 'rav…']"
5,"RT @mumbaimatterz: #GoodNews #Mumbai

Now Fully Vaccinated citizens can apply for #Epass for travel by #MumbaiLocal trains.

Universal Trav…","RT  #GoodNews #Mumbai

Now Fully Vaccinated citizens can apply for #Epass for travel by #MumbaiLocal trains.

Universal Trav…","RT  #GoodNews #Mumbai

Now Fully Vaccinated citizens can apply for #Epass for travel by #MumbaiLocal trains.

Universal Trav…","  #GoodNews #Mumbai

Now Fully Vaccinated citizens can apply for #Epass for travel by #MumbaiLocal trains.

Universal rav…","  GoodNews Mumbai

Now Fully Vaccinated citizens can apply for Epass for travel by MumbaiLocal trains

Universal rav…","['GoodNews', 'Mumbai', 'Now', 'Fully', 'Vaccinated', 'citizens', 'apply', 'Epass', 'travel', 'MumbaiLocal', 'trains', 'Universal', 'rav…']"
6,"RT @mumbaimatterz: #GoodNews #Mumbai

Now Fully Vaccinated citizens can apply for #Epass for travel by #MumbaiLocal trains.

Universal Trav…","RT  #GoodNews #Mumbai

Now Fully Vaccinated citizens can apply for #Epass for travel by #MumbaiLocal trains.

Universal Trav…","RT  #GoodNews #Mumbai

Now Fully Vaccinated citizens can apply for #Epass for travel by #MumbaiLocal trains.

Universal Trav…","  #GoodNews #Mumbai

Now Fully Vaccinated citizens can apply for #Epass for travel by #MumbaiLocal trains.

Universal rav…","  GoodNews Mumbai

Now Fully Vaccinated citizens can apply for Epass for travel by MumbaiLocal trains

Universal rav…","['GoodNews', 'Mumbai', 'Now', 'Fully', 'Vaccinated', 'citizens', 'apply', 'Epass', 'travel', 'MumbaiLocal', 'trains', 'Universal', 'rav…']"
7,"RT @mumbaimatterz: #GoodNews #Mumbai

Now Fully Vaccinated citizens can apply for #Epass for travel by #MumbaiLocal trains.

Universal Trav…","RT  #GoodNews #Mumbai

Now Fully Vaccinated citizens can apply for #Epass for travel by #MumbaiLocal trains.

Universal Trav…","RT  #GoodNews #Mumbai

Now Fully Vaccinated citizens can apply for #Epass for travel by #MumbaiLocal trains.

Universal Trav…","  #GoodNews #Mumbai

Now Fully Vaccinated citizens can apply for #Epass for travel by #MumbaiLocal trains.

Universal rav…","  GoodNews Mumbai

Now Fully Vaccinated citizens can apply for Epass for travel by MumbaiLocal trains

Universal rav…","['GoodNews', 'Mumbai', 'Now', 'Fully', 'Vaccinated', 'citizens', 'apply', 'Epass', 'travel', 'MumbaiLocal', 'trains', 'Universal', 'rav…']"
8,"RT @mumbaimatterz: #GoodNews #Mumbai

Now Fully Vaccinated citizens can apply for #Epass for travel by #MumbaiLocal trains.

Universal Trav…","RT  #GoodNews #Mumbai

Now Fully Vaccinated citizens can apply for #Epass for travel by #MumbaiLocal trains.

Universal Trav…","RT  #GoodNews #Mumbai

Now Fully Vaccinated citizens can apply for #Epass for travel by #MumbaiLocal trains.

Universal Trav…","  #GoodNews #Mumbai

Now Fully Vaccinated citizens can apply for #Epass for travel by #MumbaiLocal trains.

Universal rav…","  GoodNews Mumbai

Now Fully Vaccinated citizens can apply for Epass for travel by MumbaiLocal trains

Universal rav…","['GoodNews', 'Mumbai', 'Now', 'Fully', 'Vaccinated', 'citizens', 'apply', 'Epass', 'travel', 'MumbaiLocal', 'trains', 'Universal', 'rav…']"
9,@KhamanDhokIa Life line #MumbaiLocal ❤️ https://t.co/KZvABVpgNS, Life line #MumbaiLocal ❤️ https://t.co/KZvABVpgNS, Life line #MumbaiLocal ❤️ , Life line #MumbaiLocal ❤️ , Life line MumbaiLocal ❤️ ,"['Life', 'line', 'MumbaiLocal', '❤️']"
10,"RT @mid_day: WATCH VIDEO | 

#Maharashtra government has allowed #fullyvaccinated citizens with a 14-day cooling period to use local trains…","RT  WATCH VIDEO | 

#Maharashtra government has allowed #fullyvaccinated citizens with a 14-day cooling period to use local trains…","RT  WATCH VIDEO | 

#Maharashtra government has allowed #fullyvaccinated citizens with a 14-day cooling period to use local trains…","  WACH VIDEO | 

#Maharashtra government has allowed #fullyvaccinated citizens with a -day cooling period to use local trains…","  WACH VIDEO  

Maharashtra government has allowed fullyvaccinated citizens with a day cooling period to use local trains…","['WACH', 'VIDEO', 'Maharashtra', 'government', 'allowed', 'fullyvaccinated', 'citizens', 'day', 'cooling', 'period', 'use', 'local', 'trains…']"
11,"RT @mumbaimatterz: #GoodNews #Mumbai

Now Fully Vaccinated citizens can apply for #Epass for travel by #MumbaiLocal trains.

Universal Trav…","RT  #GoodNews #Mumbai

Now Fully Vaccinated citizens can apply for #Epass for travel by #MumbaiLocal trains.

Universal Trav…","RT  #GoodNews #Mumbai

Now Fully Vaccinated citizens can apply for #Epass for travel by #MumbaiLocal trains.

Universal Trav…","  #GoodNews #Mumbai

Now Fully Vaccinated citizens can apply for #Epass for travel by #MumbaiLocal trains.

Universal rav…","  GoodNews Mumbai

Now Fully Vaccinated citizens can apply for Epass for travel by MumbaiLocal trains

Universal rav…","['GoodNews', 'Mumbai', 'Now', 'Fully', 'Vaccinated', 'citizens', 'apply', 'Epass', 'travel', 'MumbaiLocal', 'trains', 'Universal', 'rav…']"
12,"RT @mumbaimatterz: #GoodNews #Mumbai

Now Fully Vaccinated citizens can apply for #Epass for travel by #MumbaiLocal trains.

Universal Trav…","RT  #GoodNews #Mumbai

Now Fully Vaccinated citizens can apply for #Epass for travel by #MumbaiLocal trains.

Universal Trav…","RT  #GoodNews #Mumbai

Now Fully Vaccinated citizens can apply for #Epass for travel by #MumbaiLocal trains.

Universal Trav…","  #GoodNews #Mumbai

Now Fully Vaccinated citizens can apply for #Epass for travel by #MumbaiLocal trains.

Universal rav…","  GoodNews Mumbai

Now Fully Vaccinated citizens can apply for Epass for travel by MumbaiLocal trains

Universal rav…","['GoodNews', 'Mumbai', 'Now', 'Fully', 'Vaccinated', 'citizens', 'apply', 'Epass', 'travel', 'MumbaiLocal', 'trains', 'Universal', 'rav…']"
13,"RT @mumbaimatterz: #GoodNews #Mumbai

Now Fully Vaccinated citizens can apply for #Epass for travel by #MumbaiLocal trains.

Universal Trav…","RT  #GoodNews #Mumbai

Now Fully Vaccinated citizens can apply for #Epass for travel by #MumbaiLocal trains.

Universal Trav…","RT  #GoodNews #Mumbai

Now Fully Vaccinated citizens can apply for #Epass for travel by #MumbaiLocal trains.

Universal Trav…","  #GoodNews #Mumbai

Now Fully Vaccinated citizens can apply for #Epass for travel by #MumbaiLocal trains.

Universal rav…","  GoodNews Mumbai

Now Fully Vaccinated citizens can apply for Epass for travel by MumbaiLocal trains

Universal rav…","['GoodNews', 'Mumbai', 'Now', 'Fully', 'Vaccinated', 'citizens', 'apply', 'Epass', 'travel', 'MumbaiLocal', 'trains', 'Universal', 'rav…']"
14,@mybmc launches online application service for Universal Travel Pass for travel on #mumbailocal trains on… https://t.co/JA03zEOOJ6, launches online application service for Universal Travel Pass for travel on #mumbailocal trains on… https://t.co/JA03zEOOJ6, launches online application service for Universal Travel Pass for travel on #mumbailocal trains on… , launches online application service for Universal ravel Pass for travel on #mumbailocal trains on… , launches online application service for Universal ravel Pass for travel on mumbailocal trains on… ,"['launches', 'online', 'application', 'service', 'Universal', 'ravel', 'Pass', 'travel', 'mumbailocal', 'trains', 'on…']"
15,"RT @mumbaimatterz: #GoodNews #Mumbai

Now Fully Vaccinated citizens can apply for #Epass for travel by #MumbaiLocal trains.

Universal Trav…","RT  #GoodNews #Mumbai

Now Fully Vaccinated citizens can apply for #Epass for travel by #MumbaiLocal trains.

Universal Trav…","RT  #GoodNews #Mumbai

Now Fully Vaccinated citizens can apply for #Epass for travel by #MumbaiLocal trains.

Universal Trav…","  #GoodNews #Mumbai

Now Fully Vaccinated citizens can apply for #Epass for travel by #MumbaiLocal trains.

Universal rav…","  GoodNews Mumbai

Now Fully Vaccinated citizens can apply for Epass for travel by MumbaiLocal trains

Universal rav…","['GoodNews', 'Mumbai', 'Now', 'Fully', 'Vaccinated', 'citizens', 'apply', 'Epass', 'travel', 'MumbaiLocal', 'trains', 'Universal', 'rav…']"
16,"RT @mumbaimatterz: #GoodNews #Mumbai

Now Fully Vaccinated citizens can apply for #Epass for travel by #MumbaiLocal trains.

Universal Trav…","RT  #GoodNews #Mumbai

Now Fully Vaccinated citizens can apply for #Epass for travel by #MumbaiLocal trains.

Universal Trav…","RT  #GoodNews #Mumbai

Now Fully Vaccinated citizens can apply for #Epass for travel by #MumbaiLocal trains.

Universal Trav…","  #GoodNews #Mumbai

Now Fully Vaccinated citizens can apply for #Epass for travel by #MumbaiLocal trains.

Universal rav…","  GoodNews Mumbai

Now Fully Vaccinated citizens can apply for Epass for travel by MumbaiLocal trains

Universal rav…","['GoodNews', 'Mumbai', 'Now', 'Fully', 'Vaccinated', 'citizens', 'apply', 'Epass', 'travel', 'MumbaiLocal', 'trains', 'Universal', 'rav…']"
