,Tweet Text,Remove user,Remove url,Remove RT,Remove pun,Remove stop
0,"RT @AsliDevil: Brand Ambassador Salman Khan with Mr Sheth, CEO of #Realme Mobile !#RealmeSalman @BeingSalmanKhan https://t.co/XAxsCpsk95","RT  Brand Ambassador Salman Khan with Mr Sheth, CEO of #Realme Mobile !#RealmeSalman  https://t.co/XAxsCpsk95","RT  Brand Ambassador Salman Khan with Mr Sheth, CEO of #Realme Mobile !#RealmeSalman  ","  Brand Ambassador Salman Khan with Mr Sheth, CEO of #ealme Mobile !#ealmeSalman  ",  Brand Ambassador Salman Khan with Mr Sheth CEO of ealme Mobile ealmeSalman  ,"['Brand', 'Ambassador', 'Salman', 'Khan', 'Mr', 'Sheth', 'CEO', 'ealme', 'Mobile', 'ealmeSalman']"
1,@MadhavSheth1 @BeingSalmanKhan @realmemobiles I think realme mobile will become expensive now it's bad for realme fans.,   I think realme mobile will become expensive now it's bad for realme fans.,   I think realme mobile will become expensive now it's bad for realme fans.,   I think realme mobile will become expensive now it's bad for realme fans.,   I think realme mobile will become expensive now its bad for realme fans,"['I', 'think', 'realme', 'mobile', 'become', 'expensive', 'bad', 'realme', 'fans']"
2,"RT @AsliDevil: Brand Ambassador Salman Khan with Mr Sheth, CEO of #Realme Mobile !#RealmeSalman @BeingSalmanKhan https://t.co/XAxsCpsk95","RT  Brand Ambassador Salman Khan with Mr Sheth, CEO of #Realme Mobile !#RealmeSalman  https://t.co/XAxsCpsk95","RT  Brand Ambassador Salman Khan with Mr Sheth, CEO of #Realme Mobile !#RealmeSalman  ","  Brand Ambassador Salman Khan with Mr Sheth, CEO of #ealme Mobile !#ealmeSalman  ",  Brand Ambassador Salman Khan with Mr Sheth CEO of ealme Mobile ealmeSalman  ,"['Brand', 'Ambassador', 'Salman', 'Khan', 'Mr', 'Sheth', 'CEO', 'ealme', 'Mobile', 'ealmeSalman']"
3,"RT @AsliDevil: Brand Ambassador Salman Khan with Mr Sheth, CEO of #Realme Mobile !#RealmeSalman @BeingSalmanKhan https://t.co/XAxsCpsk95","RT  Brand Ambassador Salman Khan with Mr Sheth, CEO of #Realme Mobile !#RealmeSalman  https://t.co/XAxsCpsk95","RT  Brand Ambassador Salman Khan with Mr Sheth, CEO of #Realme Mobile !#RealmeSalman  ","  Brand Ambassador Salman Khan with Mr Sheth, CEO of #ealme Mobile !#ealmeSalman  ",  Brand Ambassador Salman Khan with Mr Sheth CEO of ealme Mobile ealmeSalman  ,"['Brand', 'Ambassador', 'Salman', 'Khan', 'Mr', 'Sheth', 'CEO', 'ealme', 'Mobile', 'ealmeSalman']"
4,"RT @AsliDevil: Brand Ambassador Salman Khan with Mr Sheth, CEO of #Realme Mobile !#RealmeSalman @BeingSalmanKhan https://t.co/XAxsCpsk95","RT  Brand Ambassador Salman Khan with Mr Sheth, CEO of #Realme Mobile !#RealmeSalman  https://t.co/XAxsCpsk95","RT  Brand Ambassador Salman Khan with Mr Sheth, CEO of #Realme Mobile !#RealmeSalman  ","  Brand Ambassador Salman Khan with Mr Sheth, CEO of #ealme Mobile !#ealmeSalman  ",  Brand Ambassador Salman Khan with Mr Sheth CEO of ealme Mobile ealmeSalman  ,"['Brand', 'Ambassador', 'Salman', 'Khan', 'Mr', 'Sheth', 'CEO', 'ealme', 'Mobile', 'ealmeSalman']"
5,"Brand Ambassador Salman Khan with Mr Sheth, CEO of #Realme Mobile !#RealmeSalman @BeingSalmanKhan https://t.co/XAxsCpsk95","Brand Ambassador Salman Khan with Mr Sheth, CEO of #Realme Mobile !#RealmeSalman  https://t.co/XAxsCpsk95","Brand Ambassador Salman Khan with Mr Sheth, CEO of #Realme Mobile !#RealmeSalman  ","Brand Ambassador Salman Khan with Mr Sheth, CEO of #ealme Mobile !#ealmeSalman  ",Brand Ambassador Salman Khan with Mr Sheth CEO of ealme Mobile ealmeSalman  ,"['Brand', 'Ambassador', 'Salman', 'Khan', 'Mr', 'Sheth', 'CEO', 'ealme', 'Mobile', 'ealmeSalman']"
6,time to buy a new realme mobile #realmeSalman,time to buy a new realme mobile #realmeSalman,time to buy a new realme mobile #realmeSalman,time to buy a new realme mobile #realmeSalman,time to buy a new realme mobile realmeSalman,"['time', 'buy', 'new', 'realme', 'mobile', 'realmeSalman']"
7,RT @coolkishore59: @MadhavSheth1 @BeingSalmanKhan @realmemobiles I'm big fan of Salman khan  there are no words bcoz the realme is going to…,RT     I'm big fan of Salman khan  there are no words bcoz the realme is going to…,RT     I'm big fan of Salman khan  there are no words bcoz the realme is going to…,     I'm big fan of Salman khan  there are no words bcoz the realme is going to…,     Im big fan of Salman khan  there are no words bcoz the realme is going to…,"['Im', 'big', 'fan', 'Salman', 'khan', 'words', 'bcoz', 'realme', 'going', 'to…']"
8,@MadhavSheth1 @BeingSalmanKhan @realmemobiles In the film industry There is a only one mega star the Salman Khan an… https://t.co/kdalrW2mjZ,   In the film industry There is a only one mega star the Salman Khan an… https://t.co/kdalrW2mjZ,   In the film industry There is a only one mega star the Salman Khan an… ,   In the film industry here is a only one mega star the Salman Khan an… ,   In the film industry here is a only one mega star the Salman Khan an… ,"['In', 'film', 'industry', 'one', 'mega', 'star', 'Salman', 'Khan', 'an…']"
9,@MadhavSheth1 @BeingSalmanKhan @realmemobiles I'm big fan of Salman khan  there are no words bcoz the realme is goi… https://t.co/1qkqAnJGNJ,   I'm big fan of Salman khan  there are no words bcoz the realme is goi… https://t.co/1qkqAnJGNJ,   I'm big fan of Salman khan  there are no words bcoz the realme is goi… ,   I'm big fan of Salman khan  there are no words bcoz the realme is goi… ,   Im big fan of Salman khan  there are no words bcoz the realme is goi… ,"['Im', 'big', 'fan', 'Salman', 'khan', 'words', 'bcoz', 'realme', 'goi…']"
10,"#smartphone, #pro, #android, #samsung, #apple, #tech, #phone, #xiaomi, #mobile, #nokia, #oneplus, #s, #gadget,… https://t.co/Oz3dFhets5","#smartphone, #pro, #android, #samsung, #apple, #tech, #phone, #xiaomi, #mobile, #nokia, #oneplus, #s, #gadget,… https://t.co/Oz3dFhets5","#smartphone, #pro, #android, #samsung, #apple, #tech, #phone, #xiaomi, #mobile, #nokia, #oneplus, #s, #gadget,… ","#smartphone, #pro, #android, #samsung, #apple, #tech, #phone, #xiaomi, #mobile, #nokia, #oneplus, #s, #gadget,… ",smartphone pro android samsung apple tech phone xiaomi mobile nokia oneplus s gadget… ,"['smartphone', 'pro', 'android', 'samsung', 'apple', 'tech', 'phone', 'xiaomi', 'mobile', 'nokia', 'oneplus', 'gadget…']"
11,RT @iamprasadtech: Friends iam not reviewing Realme X50 Pro.Kindly dont ask any Questions regarding Realme X50 Pro. First 5G Mobile unboxin…,RT  Friends iam not reviewing Realme X50 Pro.Kindly dont ask any Questions regarding Realme X50 Pro. First 5G Mobile unboxin…,RT  Friends iam not reviewing Realme X50 Pro.Kindly dont ask any Questions regarding Realme X50 Pro. First 5G Mobile unboxin…,  Friends iam not reviewing ealme X Pro.Kindly dont ask any Questions regarding ealme X Pro. First G Mobile unboxin…,  Friends iam not reviewing ealme X ProKindly dont ask any Questions regarding ealme X Pro First G Mobile unboxin…,"['Friends', 'iam', 'reviewing', 'ealme', 'X', 'ProKindly', 'dont', 'ask', 'Questions', 'regarding', 'ealme', 'X', 'Pro', 'First', 'G', 'Mobile', 'unboxin…']"
12,"RT @gizmotimestech: New Video: Realme X50 Pro Gaming Review, PUBG Mobile Graphics, Heating and Battery Drain Test https://t.co/PgOo2jGE42 #…","RT  New Video: Realme X50 Pro Gaming Review, PUBG Mobile Graphics, Heating and Battery Drain Test https://t.co/PgOo2jGE42 #…","RT  New Video: Realme X50 Pro Gaming Review, PUBG Mobile Graphics, Heating and Battery Drain Test  #…","  New Video: ealme X Pro Gaming eview, PUBG Mobile Graphics, Heating and Battery Drain est  #…",  New Video ealme X Pro Gaming eview PUBG Mobile Graphics Heating and Battery Drain est  …,"['New', 'Video', 'ealme', 'X', 'Pro', 'Gaming', 'eview', 'PUBG', 'Mobile', 'Graphics', 'Heating', 'Battery', 'Drain', 'est', '…']"
13,"RT @gizmotimestech: New Video: Realme X50 Pro Gaming Review, PUBG Mobile Graphics, Heating and Battery Drain Test https://t.co/PgOo2jGE42 #…","RT  New Video: Realme X50 Pro Gaming Review, PUBG Mobile Graphics, Heating and Battery Drain Test https://t.co/PgOo2jGE42 #…","RT  New Video: Realme X50 Pro Gaming Review, PUBG Mobile Graphics, Heating and Battery Drain Test  #…","  New Video: ealme X Pro Gaming eview, PUBG Mobile Graphics, Heating and Battery Drain est  #…",  New Video ealme X Pro Gaming eview PUBG Mobile Graphics Heating and Battery Drain est  …,"['New', 'Video', 'ealme', 'X', 'Pro', 'Gaming', 'eview', 'PUBG', 'Mobile', 'Graphics', 'Heating', 'Battery', 'Drain', 'est', '…']"
14,RT @iamprasadtech: Friends iam not reviewing Realme X50 Pro.Kindly dont ask any Questions regarding Realme X50 Pro. First 5G Mobile unboxin…,RT  Friends iam not reviewing Realme X50 Pro.Kindly dont ask any Questions regarding Realme X50 Pro. First 5G Mobile unboxin…,RT  Friends iam not reviewing Realme X50 Pro.Kindly dont ask any Questions regarding Realme X50 Pro. First 5G Mobile unboxin…,  Friends iam not reviewing ealme X Pro.Kindly dont ask any Questions regarding ealme X Pro. First G Mobile unboxin…,  Friends iam not reviewing ealme X ProKindly dont ask any Questions regarding ealme X Pro First G Mobile unboxin…,"['Friends', 'iam', 'reviewing', 'ealme', 'X', 'ProKindly', 'dont', 'ask', 'Questions', 'regarding', 'ealme', 'X', 'Pro', 'First', 'G', 'Mobile', 'unboxin…']"
15,"@MadhavSheth1 Sir My Mom is in love with your phones.
In 2018 I bought #Realme1 to her from that time she loves ur… https://t.co/7A4UagwCa6"," Sir My Mom is in love with your phones.
In 2018 I bought #Realme1 to her from that time she loves ur… https://t.co/7A4UagwCa6"," Sir My Mom is in love with your phones.
In 2018 I bought #Realme1 to her from that time she loves ur… "," Sir My Mom is in love with your phones.
In  I bought #ealme to her from that time she loves ur… "," Sir My Mom is in love with your phones
In  I bought ealme to her from that time she loves ur… ","['Sir', 'My', 'Mom', 'love', 'phones', 'In', 'I', 'bought', 'ealme', 'time', 'loves', 'ur…']"
16,@MadhavSheth1 We need relame's cureved display mobile. And also realme mobile phone's flash must need more power, We need relame's cureved display mobile. And also realme mobile phone's flash must need more power, We need relame's cureved display mobile. And also realme mobile phone's flash must need more power, We need relame's cureved display mobile. And also realme mobile phone's flash must need more power, We need relames cureved display mobile And also realme mobile phones flash must need more power,"['We', 'need', 'relames', 'cureved', 'display', 'mobile', 'And', 'also', 'realme', 'mobile', 'phones', 'flash', 'must', 'need', 'power']"
17,@realmemobiles Are bas mobile hi lonch karoge ya update BHI doge realme ui Ka realme 5pro me, Are bas mobile hi lonch karoge ya update BHI doge realme ui Ka realme 5pro me, Are bas mobile hi lonch karoge ya update BHI doge realme ui Ka realme 5pro me, Are bas mobile hi lonch karoge ya update BHI doge realme ui Ka realme pro me, Are bas mobile hi lonch karoge ya update BHI doge realme ui Ka realme pro me,"['Are', 'bas', 'mobile', 'hi', 'lonch', 'karoge', 'ya', 'update', 'BHI', 'doge', 'realme', 'ui', 'Ka', 'realme', 'pro']"
18,@ATHIest47 @ImChinna_ Realme x2 best for value megatha ey Mobile tho polchukunna,  Realme x2 best for value megatha ey Mobile tho polchukunna,  Realme x2 best for value megatha ey Mobile tho polchukunna,  ealme x best for value megatha ey Mobile tho polchukunna,  ealme x best for value megatha ey Mobile tho polchukunna,"['ealme', 'x', 'best', 'value', 'megatha', 'ey', 'Mobile', 'tho', 'polchukunna']"
19,@MadhavSheth1 @BeingSalmanKhan @realmemobiles Realme 6 mobile,   Realme 6 mobile,   Realme 6 mobile,   ealme  mobile,   ealme  mobile,"['ealme', 'mobile']"
