,Tweet Text,Remove user,Remove url,Remove RT,Remove pun,Remove stop
0,Red Hat Security Advisory 2020-0726-01 https://t.co/tBXOlFe3CS,Red Hat Security Advisory 2020-0726-01 https://t.co/tBXOlFe3CS,"['Red', 'Hat', 'Security', 'Advisory', '2020-0726-01']",RedHatSecurityAdvisory--,RedHatSecurityAdvisory,['RedHatSecurityAdvisory']
1,Red Hat Security Advisory 2020-0729-01 https://t.co/moJWSKenO9,Red Hat Security Advisory 2020-0729-01 https://t.co/moJWSKenO9,"['Red', 'Hat', 'Security', 'Advisory', '2020-0729-01']",RedHatSecurityAdvisory--,RedHatSecurityAdvisory,['RedHatSecurityAdvisory']
2,Red Hat Security Advisory 2020-0728-01 https://t.co/UfrVO3LNEX,Red Hat Security Advisory 2020-0728-01 https://t.co/UfrVO3LNEX,"['Red', 'Hat', 'Security', 'Advisory', '2020-0728-01']",RedHatSecurityAdvisory--,RedHatSecurityAdvisory,['RedHatSecurityAdvisory']
3,Red Hat Security Advisory 2020-0727-01 https://t.co/3YENATlIPX,Red Hat Security Advisory 2020-0727-01 https://t.co/3YENATlIPX,"['Red', 'Hat', 'Security', 'Advisory', '2020-0727-01']",RedHatSecurityAdvisory--,RedHatSecurityAdvisory,['RedHatSecurityAdvisory']
4,Red Hat Security Advisory 2020-0720-01 https://t.co/nVC1Oyg3ne,Red Hat Security Advisory 2020-0720-01 https://t.co/nVC1Oyg3ne,"['Red', 'Hat', 'Security', 'Advisory', '2020-0720-01']",RedHatSecurityAdvisory--,RedHatSecurityAdvisory,['RedHatSecurityAdvisory']
5,Red Hat Security Advisory 2020-0721-01 https://t.co/ZK6rEe8u1z,Red Hat Security Advisory 2020-0721-01 https://t.co/ZK6rEe8u1z,"['Red', 'Hat', 'Security', 'Advisory', '2020-0721-01']",RedHatSecurityAdvisory--,RedHatSecurityAdvisory,['RedHatSecurityAdvisory']
6,Red Hat Security Advisory 2020-0708-01 https://t.co/1qcOw9KN2Z,Red Hat Security Advisory 2020-0708-01 https://t.co/1qcOw9KN2Z,"['Red', 'Hat', 'Security', 'Advisory', '2020-0708-01']",RedHatSecurityAdvisory--,RedHatSecurityAdvisory,['RedHatSecurityAdvisory']
7,Red Hat Security Advisory 2020-0707-01 https://t.co/KCN5PLhAgj,Red Hat Security Advisory 2020-0707-01 https://t.co/KCN5PLhAgj,"['Red', 'Hat', 'Security', 'Advisory', '2020-0707-01']",RedHatSecurityAdvisory--,RedHatSecurityAdvisory,['RedHatSecurityAdvisory']
8,Red Hat Security Advisory 2020-0704-01 https://t.co/Ez73hNp8mj,Red Hat Security Advisory 2020-0704-01 https://t.co/Ez73hNp8mj,"['Red', 'Hat', 'Security', 'Advisory', '2020-0704-01']",RedHatSecurityAdvisory--,RedHatSecurityAdvisory,['RedHatSecurityAdvisory']
9,Red Hat Security Advisory 2020-0703-01 https://t.co/j9T3UA8FJJ,Red Hat Security Advisory 2020-0703-01 https://t.co/j9T3UA8FJJ,"['Red', 'Hat', 'Security', 'Advisory', '2020-0703-01']",RedHatSecurityAdvisory--,RedHatSecurityAdvisory,['RedHatSecurityAdvisory']
