Sentiment,Tweets
[1],['  Care is about empowering and not just enabling\n\nIts time to rebuild homes in kokan and make our people capable again of…']
[1],['  Care is about empowering and not just enabling\n\nIts time to rebuild homes in kokan and make our people capable again of…']
[0],['  We hank All Our Donors NSS DI for coming forward for this noble cause Lets stand together during hard times\nflood mah…']
[1],['We hank All Our Donors NSS DI for coming forward for this noble cause Lets stand together during hard times… ']
[1],['  Care is about empowering and not just enabling\n\nIts time to rebuild homes in kokan and make our people capable again of…']
[1],['ABVP student karyakartas always on frontline when society needs help \n\nratnagiri chiplunfloods kokan abvp… ']
[1],['  Care is about empowering and not just enabling\n\nIts time to rebuild homes in kokan and make our people capable again of…']
[1],['  Care is about empowering and not just enabling\n\nIts time to rebuild homes in kokan and make our people capable again of…']
[1],['Let us donate to this cause and play our small role from the shelters and comforts of our homes by contributing t… ']
[1],['  Care is about empowering and not just enabling\n\nIts time to rebuild homes in kokan and make our people capable again of…']
[1],['  Care is about empowering and not just enabling\n\nIts time to rebuild homes in kokan and make our people capable again of…']
[1],['  Care is about empowering and not just enabling\n\nIts time to rebuild homes in kokan and make our people capable again of…']
[1],['  Care is about empowering and not just enabling\n\nIts time to rebuild homes in kokan and make our people capable again of…']
[1],['  Care is about empowering and not just enabling\n\nIts time to rebuild homes in kokan and make our people capable again of…']
[1],['  Care is about empowering and not just enabling\n\nIts time to rebuild homes in kokan and make our people capable again of…']
[0],['  AIMIM Mumbai Units work of providing aid and relief to the Kokan flood victims is going on Soon all relief materia…']
[1],['  Care is about empowering and not just enabling\n\nIts time to rebuild homes in kokan and make our people capable again of…']
[1],['  Urgent\nFirst team of SIO  volunteers will be leaving tomorrow early morning to Chiplun Kokan from Mumbai\nNeed…']
[1],['  Care is about empowering and not just enabling\n\nIts time to rebuild homes in kokan and make our people capable again of…']
[1],['  Care is about empowering and not just enabling\n\nIts time to rebuild homes in kokan and make our people capable again of…']
[0],['AIMIM Mumbai Units work of providing aid and relief to the Kokan flood victims is going on under the leadership… ']
[1],['  Care is about empowering and not just enabling\n\nIts time to rebuild homes in kokan and make our people capable again of…']
[1],['  Care is about empowering and not just enabling\n\nIts time to rebuild homes in kokan and make our people capable again of…']
[1],['  Care is about empowering and not just enabling\n\nIts time to rebuild homes in kokan and make our people capable again of…']
[1],['  Care is about empowering and not just enabling\n\nIts time to rebuild homes in kokan and make our people capable again of…']
[1],['  Care is about empowering and not just enabling\n\nIts time to rebuild homes in kokan and make our people capable again of…']
[1],['  Care is about empowering and not just enabling\n\nIts time to rebuild homes in kokan and make our people capable again of…']
[1],['  Care is about empowering and not just enabling\n\nIts time to rebuild homes in kokan and make our people capable again of…']
[1],['  Care is about empowering and not just enabling\n\nIts time to rebuild homes in kokan and make our people capable again of…']
[1],['  Care is about empowering and not just enabling\n\nIts time to rebuild homes in kokan and make our people capable again of…']
[1],['  Care is about empowering and not just enabling\n\nIts time to rebuild homes in kokan and make our people capable again of…']
[1],['  Care is about empowering and not just enabling\n\nIts time to rebuild homes in kokan and make our people capable again of…']
[1],['  Care is about empowering and not just enabling\n\nIts time to rebuild homes in kokan and make our people capable again of…']
[1],['  Care is about empowering and not just enabling\n\nIts time to rebuild homes in kokan and make our people capable again of…']
[1],['  Care is about empowering and not just enabling\n\nIts time to rebuild homes in kokan and make our people capable again of…']
[1],['  Care is about empowering and not just enabling\n\nIts time to rebuild homes in kokan and make our people capable again of…']
[1],['Care is about empowering and not just enabling\n\nIts time to rebuild homes in kokan and make our people capable a… ']
[0],['Pandurang Amle helps flood affected people in Konkan\nbjp sanpada navimumbai leader help kokan fload… ']
[1],['Need volunteers to take calls on helpline and help coordinate relief work in Kokan region\n\nkokan kokanfloodrelief ']
[0],['  Service to Mankind is Service to God Gandhi\nHumbled to participate amp flag off the relief material for flood affect…']
[1],[' If you know someone who needs help I’ll share numbers with you to connect with over there Let’s just… ']
[1],[' With funds collected by the generous kokani muslims specially through Saudi Arabia Uae Qatar the UK… ']
[1],[' Kokan is a vast coastal region and reaching everywhere can be difficult for one charity But rest assu… ']
[1],[' Assalamwalaikum brother I would appreciate if you don’t defame other sources of donations and help as… ']
[0],['  AIMIM Mumbai Units work of providing aid and relief to the Kokan flood victims is going on Soon all relief materia…']
[0],['  Kokan Floodelief oday we have dispatched two tons of relief material to victims of the flood hit Konkan regionhe…']
[1],['India Emergency Appeal\n\nHeavy rainfall has lead to severe flooding in Kokan Maharashtra India \n\nFamilies are in… ']
[1],['Life is like a bus When you turn around you realize that there are already many who have come down \n\ndapoli… ']
[1],['   is collecting clothesbasic utensils and money for kokanflood releif \nruck will leave from Hyderabad t…']
[1],['   is collecting clothesbasic utensils and money for kokanflood releif \nruck will leave from Hyderabad t…']
[1],[' is collecting clothesbasic utensils and money for kokanflood releif \nruck will leave from… ']
[1],['  Be careful my friends kokan \n']
[0],['  AIMIM Mumbai Units work of providing aid and relief to the Kokan flood victims is going on Soon all relief materia…']
[0],['  AIMIM Mumbai Units work of providing aid and relief to the Kokan flood victims is going on Soon all relief materia…']
[0],['  AIMIM Mumbai Units work of providing aid and relief to the Kokan flood victims is going on Soon all relief materia…']
