Sentiment,Tweets
[3],['Kolhapur as a city has gone through a lot in the last  years considering the COVID pandemic floods in  and… ']
[3],['  I even talked about a permanent solution for the recurring problem of livelihood due to pandemic and now floods\n\nKolha…']
[3],['  I even talked about a permanent solution for the recurring problem of livelihood due to pandemic and now floods\n\nKolha…']
[3],['  I even talked about a permanent solution for the recurring problem of livelihood due to pandemic and now floods\n\nKolha…']
[3],['  I even talked about a permanent solution for the recurring problem of livelihood due to pandemic and now floods\n\nKolha…']
[3],['  I even talked about a permanent solution for the recurring problem of livelihood due to pandemic and now floods\n\nKolha…']
[3],['  I even talked about a permanent solution for the recurring problem of livelihood due to pandemic and now floods\n\nKolha…']
[3],['  I even talked about a permanent solution for the recurring problem of livelihood due to pandemic and now floods\n\nKolha…']
[3],['  I even talked about a permanent solution for the recurring problem of livelihood due to pandemic and now floods\n\nKolha…']
[3],['DevFadnavis I even talked about a permanent solution for the recurring problem of livelihood due to pandemic and… ']
[3],['  Crop damage is sign of danger to future Farming Save my Farmers from unscientific developments \nKolhapurfloods https…']
[3],['  I even talked about a permanent solution for the recurring problem of livelihood due to pandemic and now floods\n\nKolha…']
[3],['  I even talked about a permanent solution for the recurring problem of livelihood due to pandemic and now floods\n\nKolha…']
[3],['  I even talked about a permanent solution for the recurring problem of livelihood due to pandemic and now floods\n\nKolha…']
[3],['  I even talked about a permanent solution for the recurring problem of livelihood due to pandemic and now floods\n\nKolha…']
[3],['  I even talked about a permanent solution for the recurring problem of livelihood due to pandemic and now floods\n\nKolha…']
[3],['  Crop damage is sign of danger to future Farming Save my Farmers from unscientific developments \nKolhapurfloods https…']
[3],['  Crop damage is sign of danger to future Farming Save my Farmers from unscientific developments \nKolhapurfloods https…']
[3],['  Crop damage is sign of danger to future Farming Save my Farmers from unscientific developments \nKolhapurfloods https…']
[3],['  I even talked about a permanent solution for the recurring problem of livelihood due to pandemic and now floods\n\nKolha…']
[3],['  I even talked about a permanent solution for the recurring problem of livelihood due to pandemic and now floods\n\nKolha…']
[3],['  I even talked about a permanent solution for the recurring problem of livelihood due to pandemic and now floods\n\nKolha…']
[3],['  I even talked about a permanent solution for the recurring problem of livelihood due to pandemic and now floods\n\nKolha…']
[3],['  I even talked about a permanent solution for the recurring problem of livelihood due to pandemic and now floods\n\nKolha…']
[3],['  I even talked about a permanent solution for the recurring problem of livelihood due to pandemic and now floods\n\nKolha…']
[3],['  I even talked about a permanent solution for the recurring problem of livelihood due to pandemic and now floods\n\nKolha…']
[3],['  I even talked about a permanent solution for the recurring problem of livelihood due to pandemic and now floods\n\nKolha…']
[3],['  I even talked about a permanent solution for the recurring problem of livelihood due to pandemic and now floods\n\nKolha…']
[3],['  I even talked about a permanent solution for the recurring problem of livelihood due to pandemic and now floods\n\nKolha…']
[3],['  I even talked about a permanent solution for the recurring problem of livelihood due to pandemic and now floods\n\nKolha…']
[3],['  I even talked about a permanent solution for the recurring problem of livelihood due to pandemic and now floods\n\nKolha…']
[3],['  I even talked about a permanent solution for the recurring problem of livelihood due to pandemic and now floods\n\nKolha…']
[3],['  I even talked about a permanent solution for the recurring problem of livelihood due to pandemic and now floods\n\nKolha…']
[3],['  I even talked about a permanent solution for the recurring problem of livelihood due to pandemic and now floods\n\nKolha…']
[3],['  I even talked about a permanent solution for the recurring problem of livelihood due to pandemic and now floods\n\nKolha…']
[3],['  I even talked about a permanent solution for the recurring problem of livelihood due to pandemic and now floods\n\nKolha…']
[3],['  I even talked about a permanent solution for the recurring problem of livelihood due to pandemic and now floods\n\nKolha…']
[3],['  I even talked about a permanent solution for the recurring problem of livelihood due to pandemic and now floods\n\nKolha…']
[3],['  I even talked about a permanent solution for the recurring problem of livelihood due to pandemic and now floods\n\nKolha…']
[3],['  I even talked about a permanent solution for the recurring problem of livelihood due to pandemic and now floods\n\nKolha…']
[3],['  I even talked about a permanent solution for the recurring problem of livelihood due to pandemic and now floods\n\nKolha…']
[3],['  I even talked about a permanent solution for the recurring problem of livelihood due to pandemic and now floods\n\nKolha…']
