Sentiment,Tweets
[0],['  equest you to please share this so that it can help Flood Areas and People in kolhapurflood KonkanFloods satararai…']
[0],['equest you to please share this so that it can help Flood Areas and People in kolhapurflood KonkanFloods… ']
[3],['he interception to the feeds is breakdown of allocations via Centre and State Govt\nAdditionally with changed mon… ']
[3],['When CM is free going for trip without taking food for them Funny  Any NGO will also carry food when meet… ']
[0],['  📍Kolhapur \nYesterday visited Narasimhawadi in Kolhapur district to see the damages amp meet flood hit people Look at the…']
[0],['  Worried about Your car submerged in flood waters Look no further Here is the link to the information to claim Your insuranc…']
[0],['  Worried about Your car submerged in flood waters Look no further Here is the link to the information to claim Your insuranc…']
[0],['  Worried about Your car submerged in flood waters Look no further Here is the link to the information to claim Your insuranc…']
[0],['  Worried about Your car submerged in flood waters Look no further Here is the link to the information to claim Your insuranc…']
[0],['  Worried about Your car submerged in flood waters Look no further Here is the link to the information to claim Your insuranc…']
[0],['  Worried about Your car submerged in flood waters Look no further Here is the link to the information to claim Your insuranc…']
[0],['  Worried about Your car submerged in flood waters Look no further Here is the link to the information to claim Your insuranc…']
[0],['  Worried about Your car submerged in flood waters Look no further Here is the link to the information to claim Your insuranc…']
[0],['  Worried about Your car submerged in flood waters Look no further Here is the link to the information to claim Your insuranc…']
[0],['  Worried about Your car submerged in flood waters Look no further Here is the link to the information to claim Your insuranc…']
[0],['  Worried about Your car submerged in flood waters Look no further Here is the link to the information to claim Your insuranc…']
[0],['Worried about Your car submerged in flood waters Look no further Here is the link to the information to claim You… ']
[3],['  Pls spread the word  KolhapurFlood KonkanFloods']
[0],['Maharashtra Devendra Fadnavis seeks allparty meet to discuss longterm measures for flood management… ']
[5],['  Holding Good \n\nOpen weather conditions to continue till evening No rains \n\nkolhapurflood Kolhapur Belgaum']
[5],['Holding Good \n\nOpen weather conditions to continue till evening No rains \n\nkolhapurflood Kolhapur Belgaum ']
[3],['  Desi girl mode on \n mumbai  entertainmentnews kolhapurflood \n\n ']
[3],['Desi girl mode on \n mumbai  entertainmentnews kolhapurflood \n\n ']
[0],['  📍Kolhapur \nYesterday visited Narasimhawadi in Kolhapur district to see the damages amp meet flood hit people Look at the…']
[0],['  📍Kolhapur \nYesterday visited Narasimhawadi in Kolhapur district to see the damages amp meet flood hit people Look at the…']
[3],['his is dedicated to all the political parties and our elected non elected prospect leaders U r the one who has… ']
[3],['  Multiple parts of the Indian state of Maharashtra are devastated by floods\nVisuals from Kolhapur India\nMassive flo…']
[0],['  📍Kolhapur \nYesterday visited Narasimhawadi in Kolhapur district to see the damages amp meet flood hit people Look at the…']
[0],['  📍Kolhapur \nYesterday visited Narasimhawadi in Kolhapur district to see the damages amp meet flood hit people Look at the…']
[0],['  flood \nreliefwork \nfloodreliefwork\nkolhapurflood \n \n \n \n \n']
[0],['  📍Kolhapur \nYesterday visited Narasimhawadi in Kolhapur district to see the damages amp meet flood hit people Look at the…']
[3],['Pray for Kolhapur amp Chiplun🙏😞\nMy prayers for everyone human animal and plants in Maharashtra \n\nkolhapurflood… ']
[0],['  📍Kolhapur \nYesterday visited Narasimhawadi in Kolhapur district to see the damages amp meet flood hit people Look at the…']
[0],['  📍Kolhapur \nYesterday visited Narasimhawadi in Kolhapur district to see the damages amp meet flood hit people Look at the…']
[0],['  📍Kolhapur \nYesterday visited Narasimhawadi in Kolhapur district to see the damages amp meet flood hit people Look at the…']
[0],['  📍Kolhapur \nYesterday visited Narasimhawadi in Kolhapur district to see the damages amp meet flood hit people Look at the…']
[0],['  📍Kolhapur \nYesterday visited Narasimhawadi in Kolhapur district to see the damages amp meet flood hit people Look at the…']
[0],['  📍Kolhapur \nYesterday visited Narasimhawadi in Kolhapur district to see the damages amp meet flood hit people Look at the…']
[0],['  📍Kolhapur \nYesterday visited Narasimhawadi in Kolhapur district to see the damages amp meet flood hit people Look at the…']
[0],['  📍Kolhapur \nYesterday visited Narasimhawadi in Kolhapur district to see the damages amp meet flood hit people Look at the…']
[3],['  Pls spread the word  KolhapurFlood KonkanFloods']
[0],['  📍Kolhapur \nYesterday visited Narasimhawadi in Kolhapur district to see the damages amp meet flood hit people Look at the…']
[0],['  📍Kolhapur \nYesterday visited Narasimhawadi in Kolhapur district to see the damages amp meet flood hit people Look at the…']
[0],['  📍Kolhapur \nYesterday visited Narasimhawadi in Kolhapur district to see the damages amp meet flood hit people Look at the…']
[0],['  📍Kolhapur \nYesterday visited Narasimhawadi in Kolhapur district to see the damages amp meet flood hit people Look at the…']
[0],['  📍Kolhapur \nYesterday visited Narasimhawadi in Kolhapur district to see the damages amp meet flood hit people Look at the…']
[0],['  📍Kolhapur \nYesterday visited Narasimhawadi in Kolhapur district to see the damages amp meet flood hit people Look at the…']
[0],['  📍Kolhapur \nYesterday visited Narasimhawadi in Kolhapur district to see the damages amp meet flood hit people Look at the…']
[3],['  Pls spread the word  KolhapurFlood KonkanFloods']
[0],['  📍Kolhapur \nYesterday visited Narasimhawadi in Kolhapur district to see the damages amp meet flood hit people Look at the…']
[0],['  📍Kolhapur \nYesterday visited Narasimhawadi in Kolhapur district to see the damages amp meet flood hit people Look at the…']
[0],['  📍Kolhapur \nYesterday visited Narasimhawadi in Kolhapur district to see the damages amp meet flood hit people Look at the…']
[0],['  📍Kolhapur \nYesterday visited Narasimhawadi in Kolhapur district to see the damages amp meet flood hit people Look at the…']
[0],['  📍Kolhapur \nYesterday visited Narasimhawadi in Kolhapur district to see the damages amp meet flood hit people Look at the…']
[3],['  elief material for kolhapurflood Maharashtra \n\nPls help us do more \n\nGPay or Paytm \nBank transfer  Jariy…']
[0],['  📍Kolhapur \nYesterday visited Narasimhawadi in Kolhapur district to see the damages amp meet flood hit people Look at the…']
[0],['  📍Kolhapur \nYesterday visited Narasimhawadi in Kolhapur district to see the damages amp meet flood hit people Look at the…']
[0],['  📍Kolhapur \nYesterday visited Narasimhawadi in Kolhapur district to see the damages amp meet flood hit people Look at the…']
[0],['  📍Kolhapur \nYesterday visited Narasimhawadi in Kolhapur district to see the damages amp meet flood hit people Look at the…']
[0],['  📍Kolhapur \nYesterday visited Narasimhawadi in Kolhapur district to see the damages amp meet flood hit people Look at the…']
[0],['  📍Kolhapur \nYesterday visited Narasimhawadi in Kolhapur district to see the damages amp meet flood hit people Look at the…']
[0],['  📍Kolhapur \nYesterday visited Narasimhawadi in Kolhapur district to see the damages amp meet flood hit people Look at the…']
[0],['nitinraut maharashtraflood konkan kolhapurflood ratnagiriflood\nDo not recover electricity bills from flood aff… ']
[0],['  📍Kolhapur \nYesterday visited Narasimhawadi in Kolhapur district to see the damages amp meet flood hit people Look at the…']
[0],['  📍Kolhapur \nYesterday visited Narasimhawadi in Kolhapur district to see the damages amp meet flood hit people Look at the…']
[0],['  📍Kolhapur \nYesterday visited Narasimhawadi in Kolhapur district to see the damages amp meet flood hit people Look at the…']
[0],['  📍Kolhapur \nYesterday visited Narasimhawadi in Kolhapur district to see the damages amp meet flood hit people Look at the…']
[3],['  elief material for kolhapurflood Maharashtra \n\nPls help us do more \n\nGPay or Paytm \nBank transfer  Jariy…']
[3],['  elief material for kolhapurflood Maharashtra \n\nPls help us do more \n\nGPay or Paytm \nBank transfer  Jariy…']
