Sentiment,Tweets
[1],['Pin Code \nPMC P Subudh Hospi And esear\nVaccines COVISHIELD\nMin Age Limit \nDose Capacity … ']
[1],['  Pin Code \nPCMC Pritam Hospital Bhosari\nVaccines COVISHIELD\nMin Age Limit \nDose Capacity …']
[1],['Pin Code \nUAL SHEE GANAJ HOSPIAL\nVaccines COVISHIELD\nMin Age Limit \nDose Capacity … ']
[1],['  Pin Code \nKOHAI CHAIABLE US\nVaccines COVAXIN COVISHIELD\nMin Age Limit \nDose Capacity …']
[1],['Plastic and thermocole pollution in kashyapi Dam nashik maharashtra pollution mumbai pune rain  ']
[1],['Pin Code \nPMC P Jeevandhara Hospital\nVaccines COVISHIELD\nMin Age Limit \nDose Capacity … ']
[1],['Pin Code \nPMC P Kasturba Speciality Hosp\nVaccines COVISHIELD\nMin Age Limit \nDose Capacity … ']
[1],['  Pin Code \nKOHAI CHAIABLE US\nVaccines COVAXIN COVISHIELD\nMin Age Limit \nDose Capacity …']
[1],['  esolution passed by Pune civic body for constructing ft tall sculpture of Lord am at playground\n\n']
[1],['Pin Code \nPMC P Alliance Munot Hospital\nVaccines COVISHIELD\nMin Age Limit \nDose Capacity … ']
[1],['Pin Code \nPMC P Om Hospital\nVaccines COVISHIELD\nMin Age Limit \nDose Capacity \nDose… ']
[1],['Pin Code \nPMC P Visionnext Foundation\nVaccines COVISHIELD\nMin Age Limit \nDose Capacity … ']
[1],['Pin Code \nPMC P Galaxy Care Multispec\nVaccines COVISHIELD\nMin Age Limit \nDose Capacity … ']
[1],['Pin Code \nU PMULPHC MUHACHELLAAM\nVaccines COVISHIELD\nMin Age Limit \nDose Capacity … ']
[1],['Pin Code \nurPKHEH ChakanCriticare H\nVaccines COVISHIELD\nMin Age Limit \nDose Capacity \nDo… ']
[1],['Pin Code \nPMC P Dr Kadam Heart Clinic\nVaccines COVISHIELD\nMin Age Limit \nDose Capacity … ']
[1],['Pin Code \nPMC P Sane Guruji Arogya Kendr\nVaccines COVISHIELD\nMin Age Limit \nDose Capacity … ']
[1],['Pin Code \nPMC P ao Hospital Bibwewadi\nVaccines COVISHIELD\nMin Age Limit \nDose Capacity … ']
[1],['Pin Code \nPMC P Jupiter Orchid Clinic\nVaccines COVISHIELD\nMin Age Limit \nDose Capacity … ']
[1],['Pin Code \nPCMC Healing ouch Hospital\nVaccines COVISHIELD\nMin Age Limit \nDose Capacity \nDose… ']
[1],['Pin Code \nural Vishwraj HosLonikalbhor\nVaccines COVISHIELD\nMin Age Limit \nDose Capacity … ']
