Sentiment,Tweets
[1],['  AAP MLA shared a single tweet of conducting Sundar Kand Path on first uesday of every month and it seems to have triggered…']
[0],['  AAP Sab Kahan Se Ho Sidhearts \n\nNote  Comment Using ag Everyone \n\nWeMissYouSid']
[0],['   ell me kya kar rhe ho aap log  \n\nIm just standing and tweeting \nAnd hoping Sana sees that were trending fo…']
[0],['   ell me kya kar rhe ho aap log  \n\nIm just standing and tweeting \nAnd hoping Sana sees that were trending fo…']
[0],['  We r on th Position again\n\nAb Neeche Mat Jaane Do\n Karo apne dusre account se\nMeine sare apne tweets abhi …']
[0],['   ell me kya kar rhe ho aap log  \n\nIm just standing and tweeting \nAnd hoping Sana sees that were trending fo…']
[0],[' Aap ka kaam Pakistan to teek krna hai Better to do ur job here\nUr Govt should Do something for chi… ']
[0],['   ell me kya kar rhe ho aap log  \n\nIm just standing and tweeting \nAnd hoping Sana sees that were trending fo…']
[0],['   ell me kya kar rhe ho aap log  \n\nIm just standing and tweeting \nAnd hoping Sana sees that were trending fo…']
[0],['  Aap Konse Level Ke Sid Fan Ho \nVote Karo Fast\nAnd o or esult  din me mile ga\nSo  MAXIMUM and Share in groups \n…']
[0],['   ell me kya kar rhe ho aap log  \n\nIm just standing and tweeting \nAnd hoping Sana sees that were trending fo…']
[0],['   ell me kya kar rhe ho aap log  \n\nIm just standing and tweeting \nAnd hoping Sana sees that were trending fo…']
[1],['  Beta Asalamalaikum Main aap ki Ami ke umar ki hooN\nShe must have spent good money on teaching you deen educating you giv…']
[0],['AAPHindutvaPitch  AAP counters BJP with Hanuman bhakti post polls\n\nWatch NewsEpicentre with  at… ']
[1],['Blogs  It is over to Delhi CM Arvind Kejriwal now to maximise the momentum and take quick advantage of his newfou… ']
[1],[' launches youth movement for Bihars progress says it isnt aimed at Assembly polls But reading… ']
[1],['  Britishers Got trading powers with help of Indians who bought foreign goods because of cheaper rates\n\nKejriwal Got r…']
[0],['   Mehak behen I love you jese you are supporting Sidnaazians \nBahaduri tab hai jab aap kisi kamjor k sath h…']
[0],['  we want sidnaz  in seriel FansDemandSidNaazShow  walo se nhi ho payga shyd     aap kuc…']
[0],['  U r overthinking\nIn future esa kbhi huatb dekhenge na\nWeMissYouSid\nItni bdi baat na bolo pls\nQki show end ho chuka h\nime…']
[1],['  Beta Asalamalaikum Main aap ki Ami ke umar ki hooN\nShe must have spent good money on teaching you deen educating you giv…']
[0],['   ell me kya kar rhe ho aap log  \n\nIm just standing and tweeting \nAnd hoping Sana sees that were trending fo…']
[1],['  Beta Asalamalaikum Main aap ki Ami ke umar ki hooN\nShe must have spent good money on teaching you deen educating you giv…']
[0],[' I ustand this is also a political project of AAP hoping to wean Hindus away from BJP\nBut the more you… ']
[0],['  We are not soft Hindus we are strong Hindus AAP MLA Saurabh Bharadwaj announces Sundar Kaand recital every month https…']
[0],['  akeaway from Delhi elections\n Freebies attract middle class too\n GS issues added to smallmedium business troubl…']
[0],['  Greater Kailash AAP MLA Saurabh Bhardwaj ecitation of amayanas Sunder Kanda will be held in different areas of his constituen…']
[0],['  We r on th Position again\n\nAb Neeche Mat Jaane Do\n Karo apne dusre account se\nMeine sare apne tweets abhi …']
[1],['    ecent works\n\nFact Check on Jamia incident\n\nFact Check on JNU violence\n\nFact Check on  AMU slogans \n\nFact check o…']
[0],['  we want sidnaz  in seriel FansDemandSidNaazShow  walo se nhi ho payga shyd     aap kuc…']
[0],['  We are not soft Hindus we are strong Hindus AAP MLA Saurabh Bharadwaj announces Sundar Kaand recital every month https…']
[0],['   ell me kya kar rhe ho aap log  \n\nIm just standing and tweeting \nAnd hoping Sana sees that were trending fo…']
[0],['  Greater Kailash AAP MLA Saurabh Bhardwaj ecitation of amayanas Sunder Kanda will be held in different areas of his constituen…']
[0],['  Aap chronology samajhiye\n\nahul Gandhi warned about saffron terrorism threat \n\nISI amp Laskareaiba sent  terrorists wea…']
[0],['   Bas ParasChhabra kaam krta rhe hume aur kuch ni chahiejo aap logo ne uske kapde jooto ka maxak banaya hai…']
[0],['Aap Konse Level Ke Sid Fan Ho \nVote Karo Fast\nAnd o or esult  din me mile ga\nSo  MAXIMUM and Share in groups… ']
[0],['  o My Stalker SidNaazians\n\nBabies please itna stalk mt kro dono ko\nLet them breathe\n\nWo kaha jate h kya khate h…']
[0],['  We r on th Position again\n\nAb Neeche Mat Jaane Do\n Karo apne dusre account se\nMeine sare apne tweets abhi …']
[0],['  AAP Sab Kahan Se Ho Sidhearts \n\nNote  Comment Using ag Everyone \n\nWeMissYouSid']
[1],['  We know you all love SidNaaz\nFor the sake of that love respect their privacy\n\nAap log bade ho toh baby think and ac…']
