Sentiment,Tweets
[3],['  M’akola Housing Society’s Director of Communications Charla Huber writes for the  about her experience on…']
[3],['  M’akola Housing Society’s Director of Communications Charla Huber writes for the  about her experience on…']
[3],['   Butttttt we will get stasis weapons next season']
[3],['le a akola the you are worried about one thing 😭😭 sbwl life ye then 😭😭 ']
[3],[' Learning iles Fitting Work\nAt Akola Maharashtra\nCurrently est']
[3],[' Akola wishes it could be a fraction of Soul Silver though']
[3],[' AskArun Arun Bhai is Independence Day par Biggest Giveaway Hoga Ya kuch Special Video Aaega By the way… ']
[3],[' \n Mah Batln \nShri Shivaji College of Arts Commerce and Science Akola\nFelicitation of Alumni and career… ']
[3],['    i am from akola maharashtra sir Since  years bjp has mps n mlas from… ']
[3],['  He completed his life circle in just  yearsmade Supreme Sacrifice for his Motherland leaving his Mother and family behin…']
[3],[' Patur\xa0nanasaheb a town \xa0in\xa0Akola district  historical places  patur Caves  build by Buddhist u… ']
[5],['  Welcome to GOVINDAGOUP where convenience amp a great lifestyle unite to create a truly immersive experience\n\neady to…']
[5],['Welcome to GOVINDAGOUP where convenience amp a great lifestyle unite to create a truly immersive experience\n\nead… ']
[3],['  He completed his life circle in just  yearsmade Supreme Sacrifice for his Motherland leaving his Mother and family behin…']
[3],['  th August \nInternational YOUH Day\nNationalYouthDay YouthDay Motivation  Swamivivekanand Vivekananda Olympics…']
[3],['  th August \nInternational YOUH Day\nNationalYouthDay YouthDay Motivation  Swamivivekanand Vivekananda Olympics…']
[3],['  th August \nInternational YOUH Day\nNationalYouthDay YouthDay Motivation  Swamivivekanand Vivekananda Olympics…']
[3],['th August \nInternational YOUH Day\nNationalYouthDay YouthDay Motivation  Swamivivekanand Vivekananda… ']
[3],['      Still  mins   ']
[3],[' Sir supply your Location at Akola  LL No  Mobile NO  and plan please and retwit']
[3],['Sales epresentative\nequired Skills sales marketing business development target retail Designation  itle S… ']
[3],['  Bihar State quarterly meeting witnessed  presence amp commitment of all the leaders A healthy discussion on new ideas to…']
[3],['  National leaders quarterly connect  with state team Odisha A healthy discussion on new ideas amp Drive for membership to con…']
[3],['  Maharashtra State quarterly meeting with the National leaders he plan proposed to build a state office Membership drive…']
[3],['  Aimra leaders meet to stop the sales of activated mobiles in India amp for export which is jeopardizing for the retailers A…']
[3],['  Jharkhand State quarterly meeting with the National leaders he plan proposed to build a state office Membership drive C…']
[3],['  N leaders quarterly meeting with the National leaders Dialogue on numerous topics expansion of association in N also Co…']
[3],['  Haryana State quarterly connect amp National leaders Dialogue Awareness on not to buy amp sell preactivated mobiles Counter…']
[3],['         ']
[3],['    are equal culprits in aiding Ecommerce for selling exclusively through preferred sellers amp provi…']
[3],['  are equal culprits in aiding Ecommerce for selling exclusively through preferred sellers… ']
[3],['  Delta Plus Variant cases of COVID in Maharashtra rises to \n new cases reported including  from Mumbai  fr…']
[3],['Delta Plus Variant cases of COVID in Maharashtra rises to \n new cases reported including  from Mumbai … ']
[3],['        ']
[3],['cabservicestaxitaxiservicesoutstationcabservicesbookonewaycabonesidetaxionewaytaxioutstationcabroundtrip… ']
[3],['  He completed his life circle in just  yearsmade Supreme Sacrifice for his Motherland leaving his Mother and family behin…']
[3],['  Nagpur Delta Plus variant of Covid has been detected in Vidarbhas three districts Chandrapur Gondia and Akola otal…']
[3],['  NEWSUPDAE  more samples with DeltaPlusVariant reported taking the count to  Of the   from Mumbai  Pune  e…']
[3],['  DeltaPlusVariant of Covid has been detected in Vidarbhas three districts\n\n Chandrapur\n Gondia\n Akola\n\not…']
[3],['  He completed his life circle in just  yearsmade Supreme Sacrifice for his Motherland leaving his Mother and family behin…']
[3],[' Delta plus cases found in Chanda Gondia amp Akola\n \nDownload the OI app now\n']
[3],['  ook a detailed review of Land Acq issues of Akola airport ']
[3],['\n\n\n\nEMIND  Article MIN  was dispatched from  to  on th JUL… ']
[3],['\n\n\n\nEMIND  Article MIN  was dispatched from  to  on th JUL… ']
[3],['  He completed his life circle in just  yearsmade Supreme Sacrifice for his Motherland leaving his Mother and family behin…']
